NAME|BRANCH|ADDR|TELL|TIME1|TIME2|XCORD|YCORD
볼보|강남대치전시장|서울특별시 강남구 영동대로 424 사조빌딩 (대치동 1001)|02-569-6080|평일 9:00~20:00|주말/공휴일 9:00~20:00|127.0644647056617|37.50750469342425
볼보|강남신사전시장|서울특별시 강남구 도산대로 165 (신사동 563-17)|02-515-9090|평일 9:00~20:00|주말/공휴일 9:00~20:00|127.026608420706|37.519482367961594
볼보|광안전시장|부산광역시 수영구 광남로 147 (광안동 159-19)|051-759-1600|월~일 9:00~20:00||129.11739747380403|35.15449556235882
볼보|광주전시장|광주광역시 서구 상무대로 1096 (농성동 649-16)|062-372-3600|평일 9:00~20:00|주말/공휴일 9:00~20:00|126.88201623935407|35.15252563375396
볼보|구리전시장|경기도 구리시 동구릉로 23 (구리시 인창동 562-35)|031-555-0070|평일 9:00~20:00|주말/공휴일 9:00~20:00|127.13145780596392|37.60288274559212
볼보|김해전시장|경상남도 김해시 김해대로 2427 (부원동 626-21)|055-338-8999|월~일 9:00~20:00||128.89236233534763|35.22767542642598
볼보|대구전시장|대구광역시 수성구 청수로 71 (중동 192-1)|053-768-5588|평일 9:00~20:00|주말/공휴일 9:00~20:00|128.61607538787112|35.84093866525109
볼보|대전전시장|대전광역시 대덕구 한밭대로 1114 (중리동 230-8)|042-628-2200|평일 9:00~20:00|주말/공휴일 9:00~20:00|127.42201723148057|36.35853969669279
볼보|동대문전시장|서울특별시 동대문구 천호대로 373 (장안동 414-6)|02-2212-8855|평일 9:00~20:00|주말/공휴일 9:00~20:00|127.0605081188365|37.56242728086412
볼보|목동전시장|서울특별시 양천구 신목로7길 1 (신정동 296-31)|02-2061-6789|평일 9:00~20:30|주말/공휴일 9:00~20:00|126.87211578263903|37.519697695689565
볼보|부천전시장|경기도 부천시 길주로 423 (춘의동 116-21)|032-716-6788|<span style="display:block; line-height:1.3;">평일 9:00~20:30 (2월~11월)</span> <span style="display:inline-block; padding-left:24px; line-height:1.3;">9:00~20:00 (12월~1월)</span>|<span style="display:block; line-height:1.3;">주말/공휴일 9:00~20:00</span>|126.78927309298601|37.5045524729649
볼보|분당서현전시장|경기도 성남시 분당구 새마을로 51번길 1 (서현동 136-14)|031-707-2266|평일 9:00~20:00|주말/공휴일 9:00~20:00|127.13583077034238|37.383716976315874
볼보|분당판교전시장|경기도 성남시 분당구 대왕판교로 372 (백현동 472-99)|031-739-6800|평일 9:00~20:00|주말/공휴일 10:00~20:00|127.10213608331044|37.37677695083404
볼보|서초전시장|서울특별시 서초구 반포대로 66 (서초동 1582-19)|02-3705-1222|평일 9:00~20:00|주말/공휴일 10:00~20:00|127.01066242256724|37.48643374343113
볼보|송파전시장|서울특별시 송파구 위례성대로 124 (방이동 183)|02-3705-1200|평일 9:00~20:00|주말/공휴일 10:00~20:00|127.12553602257434|37.51236604952942
볼보|수원전시장|경기도 용인시 기흥구 중부대로 16 (영덕동 788-9)|031-216-6777|평일 9:00~20:00|주말/공휴일 9:00~20:00|127.07066059480123|37.26769609918609
볼보|순천전시장|전라남도 순천시 해룡면 상성길 174-5 (상삼리 128)|061-754-7200|평일 9:00~20:00|주말/공휴일 9:00~20:00|127.54112142011724|34.935034059154646
볼보|안양전시장|경기도 안양시 동안구 관악대로 265 (비산동 1052)|031-385-6789|평일 9:00~20:30|주말/공휴일 9:00~20:00|126.95225896847117|37.40258742983257
볼보|울산전시장|울산광역시 남구 화합로 219 (삼산동 1540-10)|052-268-0900|평일 9:00~20:00|주말/공휴일 10:00~20:00|129.3392780076322|35.54437242731531
볼보|원주전시장|강원도 원주시 봉화로 35-1 (단계동 1117-2)|033-735-2900|평일 9:00~20:00|주말/공휴일 10:00~20:00|127.92843168645241|37.34760424825927
볼보|의정부전시장|경기도 의정부시 동일로100 (장암동 218-1)|031-563-7000|평일 9:00~20:00|주말/공휴일 9:00~20:00|127.05452063343631|37.69804211952415
볼보|인천전시장|인천광역시 연수구 센트럴로 232 송도더샵 센트럴파크1 C동 (송도동 23-3)|032-858-0777|평일 9:00~20:00|주말/공휴일 9:00~20:00|126.63761899627771|37.39634507550402
볼보|일산전시장|경기도 고양시 일산동구 백마로 491 (풍동 149-12)|031-906-6789|평일 9:00~20:30|주말/공휴일 9:00~20:00|126.80246946139097|37.66276693676564
볼보|전주전시장|전라북도 전주시 덕진구 기린대로 885 (팔복동 2가 829-5)|063-275-3600|평일 9:00~20:00|주말/공휴일 9:00~20:00|127.08748284880478|35.86196602736757
볼보|제주전시장|제주특별자치도 제주시 연삼로 98 (오라삼동 2748)|064-712-3600|평일 9:00~20:00|주말/공휴일 9:00~20:00|126.50289992798032|33.492998400957234
볼보|창원전시장|경상남도 창원시 마산합포구 서성로 11 (신포동1가 15-8)|055-714-8020|월~일 9:00~20:00||128.57026541544045|35.19846020582624
볼보|천안전시장|충청남도 천안시 서북구 동서대로 15 (백석동 8-2)|041-569-2900|평일 9:00~20:00|주말/공휴일 10:00~20:00|127.12514882125937|36.824556530607126
볼보|포항전시장|경상북도 포항시 북구 새천년대로 519 (득량동 292-1)|054-278-7900|평일 9:00~20:00|주말/공휴일 9:00~20:00|129.34943614323444|36.02132157304784
볼보|하남전시장|경기도 하남시 미사대로 750 스타필드 (신장동 616)|031-739-6810|평일 10:00~22:00|주말/공휴일 10:00~22:00|127.22370543480848|37.54552413078031
볼보|해운대전시장|부산광역시 해운대구 해운대로 269 (재송동 81-25)|051-714-7400|월~일 9:00~20:00||129.13060446189536|35.17632402317246
