ID|NAME|CAT|NEWADDR|OLDADDR|XX|YY|TELL|업데이트날짜|모두_운영시간|모두_현장요금|모두_URL|카카오_주차면수|카카오_결제방법|카카오_운영시간|카카오_현장요금
1173757191|상봉1노상공영주차장|공영주차장|경남 진주시 의곡길 12|경남 진주시 평안동 61|128.082578|35.19824895||2019.05.20.|[{'start': '09:00', 'end': '21:00', 'title': '매일'}, {'start': '09:00', 'end': '21:00', 'title': '공휴일'}]|[{'price': '500원', 'title': '30분'}, {'price': '1,100원', 'title': '1시간'}, {'price': '2,300원', 'title': '2시간'}, {'price': '4,700원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=630a031cd3c20ec0708f26ee7af2a57e&type=P&usingTime=60&id=2|||||
35968918|명지IC노상공영주차장|공영주차장||부산 강서구 명지동 1-395|128.93154649|35.11187367||2019.05.17.|[{'start': '08:00', 'end': '22:00', 'title': '매일'}, {'start': '08:00', 'end': '22:00', 'title': '공휴일'}]|[{'price': '300원', 'title': '30분'}, {'price': '600원', 'title': '1시간'}, {'price': '1,200원', 'title': '2시간'}, {'price': '2,400원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=31f6fb39c145f0c74d9a566819108baf&type=P&usingTime=60&id=2|||||
880395092|한빛지하 공영 주차장|공영주차장|경기 화성시 동탄중심상가2길 21|경기 화성시 반송동 88-7|127.07356455|37.20596681||2021.03.19.|[{'start': '10:00', 'end': '23:00', 'title': '매일'}, {'start': '10:00', 'end': '23:00', 'title': '공휴일'}]|[{'price': '1,200원', 'title': '2시간'}, {'price': '7,800원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=ab746e1f9ac8a440a61eb5de4dfb631c&type=P&usingTime=60&id=2|||||
20581150|노외공영주차장|공영주차장||제주특별자치도 제주시 용담1동 2578|126.51717826|33.51479312||2021.05.06.|[{'start': '09:00', 'end': '19:00', 'title': '매일'}]|[{'price': '2,000원', 'title': '1시간'}, {'price': '4,000원', 'title': '2시간'}, {'price': '8,000원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=6f675aa64da924b6e162a1dbf03e48b6&type=P&usingTime=60&id=2|||||
20517448|상인2공영주차장|공영주차장||대구 달서구 상인동 1528-3|128.54531285|35.81384823||2019.05.23.|[{'start': '09:00', 'end': '20:00', 'title': '주중'}, {'start': '09:00', 'end': '20:00', 'title': '토'}]|[{'price': '300원', 'title': '30분'}, {'price': '750원', 'title': '1시간'}, {'price': '1,650원', 'title': '2시간'}, {'price': '3,450원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=dbfd8fd61b9b2d7dc2115f4078cdcfc6&type=P&usingTime=60&id=2|||||
1591414726|제23노상 공영주차장|공영주차장||경북 문경시 모전동 895|128.18358974|36.58477486||2019.05.16.|[{'start': '09:00', 'end': '18:00', 'title': '주중'}, {'start': '00:00', 'end': '24:00', 'title': '토'}, {'start': '00:00', 'end': '24:00', 'title': '일'}]|[{'price': '500원', 'title': '30분'}, {'price': '500원', 'title': '1시간'}, {'price': '1,500원', 'title': '2시간'}, {'price': '3,500원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=1546ae9132a25d86398e885ab233a16c&type=P&usingTime=60&id=2|||||
20588894|현충탑공영주차장|주차장||경기 수원시 팔달구 인계동 1128|127.03473078|37.25831757||2019.05.27.|[{'start': '00:00', 'end': '24:00', 'title': '매일'}]|[{'price': '900원', 'title': '30분'}, {'price': '2,100원', 'title': '1시간'}, {'price': '4,500원', 'title': '2시간'}, {'price': '9,300원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=b32d14c20cecfa08899d00498020e47c&type=P&usingTime=60&id=2|||||
1731140705|금오천1공영주차장|공영주차장||경북 구미시 원평동 964-604|128.33771508|36.12680803||2021.01.06.|[{'start': '08:00', 'end': '02:00', 'title': '매일'}, {'start': '08:00', 'end': '02:00', 'title': '공휴일'}]|[{'price': '400원', 'title': '30분'}, {'price': '1,000원', 'title': '1시간'}, {'price': '2,200원', 'title': '2시간'}, {'price': '4,600원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=fca05d716ae5a0fe07854e063bc03f5c&type=P&usingTime=60&id=2|||||
1133665230|불당 제2공영주차장|공영주차장||충남 천안시 서북구 불당동 735|127.11069963|36.81018329|041-529-5120|2019.12.17.||[{'price': '500원', 'title': '30분'}, {'price': '1,400원', 'title': '1시간'}, {'price': '3,200원', 'title': '2시간'}, {'price': '6,800원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=3b29c21b664763812b5a6176fa8c8756&type=P&usingTime=60&id=2|||||
1447228182|노상공영주차장|공영주차장||경북 문경시 점촌동 251-2|128.19879017|36.59714444||2019.05.16.|[{'start': '09:00', 'end': '18:00', 'title': '주중'}, {'start': '00:00', 'end': '24:00', 'title': '토'}, {'start': '00:00', 'end': '24:00', 'title': '일'}]|[{'price': '500원', 'title': '30분'}, {'price': '500원', 'title': '1시간'}, {'price': '1,500원', 'title': '2시간'}, {'price': '3,500원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=9a4944257ec47b900f02dc54c8b44274&type=P&usingTime=60&id=2|||||
1227911993|중앙시장1 노상공영주차장|공영주차장||경북 안동시 대석동 214-2|128.72453524|36.56630663||2019.05.27.|[{'start': '10:00', 'end': '19:00', 'title': '주중'}, {'start': '10:00', 'end': '19:00', 'title': '토'}]|[{'price': '500원', 'title': '30분'}, {'price': '1,100원', 'title': '1시간'}, {'price': '2,300원', 'title': '2시간'}, {'price': '4,700원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=6bc6248a1e68f9ca7cd6fa0162b17e1f&type=P&usingTime=60&id=2|||||
150929838|중앙로터리공영주차장|공영주차장|제주특별자치도 제주시 중앙로 지하 60|제주특별자치도 제주시 일도일동 1427-1|126.52478601|33.51317804||2020.08.04.|[{'start': '09:00', 'end': '21:00', 'title': '매일'}, {'start': '09:00', 'end': '21:00', 'title': '공휴일'}]|[{'price': '2,000원', 'title': '1시간'}, {'price': '4,000원', 'title': '2시간'}, {'price': '8,000원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=aa9a79a7bc8d461d229d926228f43ba3&type=P&usingTime=60&id=2|||||
1807351327|정왕동51블럭 노상공영주차장|공영주차장||경기 시흥시 정왕동 1636|126.75001497|37.33705769||2020.08.10.|[{'start': '09:00', 'end': '21:00', 'title': '주중'}, {'start': '09:00', 'end': '21:00', 'title': '토'}]|[{'price': '500원', 'title': '30분'}, {'price': '1,100원', 'title': '1시간'}, {'price': '2,300원', 'title': '2시간'}, {'price': '5,900원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=b705d734c03a99674efb1e22c521044d&type=P&usingTime=60&id=2|||||
20515175|덕천공영주차장|공영주차장||부산 북구 덕천동 457-31|129.01011395|35.21483972||2019.05.16.|[{'start': '00:00', 'end': '24:00', 'title': '매일'}, {'start': '00:00', 'end': '24:00', 'title': '공휴일'}]|[{'price': '300원', 'title': '30분'}, {'price': '600원', 'title': '1시간'}, {'price': '1,200원', 'title': '2시간'}, {'price': '2,400원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=b81cce334ce01d8f69e18138c390f942&type=P&usingTime=60&id=2|||||
991591869|어울림복개천 공영 주차장|공영주차장|경기 오산시 오산로190번길 31-1|경기 오산시 원동 772-15|127.07206403|37.14427787||2021.03.16.|[{'start': '00:00', 'end': '24:00', 'title': '매일'}, {'start': '00:00', 'end': '24:00', 'title': '공휴일'}]|[{'price': '500원', 'title': '30분'}, {'price': '1,100원', 'title': '1시간'}, {'price': '2,300원', 'title': '2시간'}, {'price': '4,700원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=5a2ea96a980372037eac99a771aad33b&type=P&usingTime=60&id=2|||||
813441108|풍년로노상주차장|공영주차장||충북 청주시 흥덕구 가경동 1459|127.43478459|36.62546781||2019.05.20.|[{'start': '09:00', 'end': '18:30', 'title': '주중'}, {'start': '09:00', 'end': '18:30', 'title': '토'}]|[{'price': '500원', 'title': '30분'}, {'price': '1,100원', 'title': '1시간'}, {'price': '2,300원', 'title': '2시간'}, {'price': '4,700원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=7519eee3a72b94c3863f2eeb310edc1a&type=P&usingTime=60&id=2|||||
9385647|용인중앙시장 제1공영주차장|공영주차장||경기 용인시 처인구 김량장동 254-10|127.20513282|37.23667366||2019.05.14.|[{'start': '09:00', 'end': '21:00', 'title': '매일'}, {'start': '09:00', 'end': '21:00', 'title': '공휴일'}]|[{'price': '900원', 'title': '30분'}, {'price': '1,800원', 'title': '1시간'}, {'price': '3,600원', 'title': '2시간'}, {'price': '7,200원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=c5798172ab219555987ed1b4c34b3ace&type=P&usingTime=60&id=2|||||
1692734227|노상공영주차장|공영주차장||충북 제천시 의림동 278|128.20880279|37.13840602||2019.05.24.|[{'start': '09:00', 'end': '20:00', 'title': '주중'}, {'start': '09:00', 'end': '20:00', 'title': '토'}]|[{'price': '600원', 'title': '30분'}, {'price': '1,200원', 'title': '1시간'}, {'price': '2,400원', 'title': '2시간'}, {'price': '4,800원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=3e50a1e47e075db9671402a5ed9adaff&type=P&usingTime=60&id=2|||||
1447490283|금오천제3공영주차장|공영주차장||경북 구미시 원평동 964-604|128.33961372|36.12839534||2021.04.07.|[{'start': '08:00', 'end': '02:00', 'title': '매일'}, {'start': '08:00', 'end': '02:00', 'title': '공휴일'}]|[{'price': '400원', 'title': '30분'}, {'price': '1,000원', 'title': '1시간'}, {'price': '2,200원', 'title': '2시간'}, {'price': '4,600원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=2bf4c1ee5a947fc42b651da6bcf3076c&type=P&usingTime=60&id=2|||||
1811828227|중앙시장주차타워 제9공영주차장|공영주차장|경북 문경시 중앙시장1길 12|경북 문경시 점촌동 195-3|128.19692314|36.59419953||2019.05.16.|[{'start': '09:00', 'end': '18:00', 'title': '주중'}]|[{'price': '500원', 'title': '30분'}, {'price': '500원', 'title': '1시간'}, {'price': '1,500원', 'title': '2시간'}, {'price': '3,500원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=0d558052748d769ac689a6c8f727cd5b&type=P&usingTime=60&id=2|||||
740887030|시흥정왕우체국 공영주차장|공영주차장||경기 시흥시 정왕동 1213|126.7484308|37.34512664||2020.07.28.|[{'start': '08:00', 'end': '20:00', 'title': '주중'}, {'start': '08:00', 'end': '20:00', 'title': '토'}]|[{'price': '300원', 'title': '30분'}, {'price': '600원', 'title': '1시간'}, {'price': '1,200원', 'title': '2시간'}, {'price': '3,600원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=13687f9ed6a46393c03343e64ea91416&type=P&usingTime=60&id=2|||||
27085856|내동상가 노외주차장|공영주차장||경남 창원시 성산구 내동 456-23|128.6691493|35.21758196||2019.05.17.|[{'start': '08:00', 'end': '24:00', 'title': '매일'}, {'start': '08:00', 'end': '24:00', 'title': '공휴일'}]|[{'price': '500원', 'title': '30분'}, {'price': '1,100원', 'title': '1시간'}, {'price': '2,300원', 'title': '2시간'}, {'price': '4,700원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=b0519908-58eb-45aa-92a1-4ea60456&type=P&usingTime=60&id=2|||||
25646572|지산한라공영주차장|공영주차장|대구 수성구 용학로40길 10|대구 수성구 지산동 1192-11|128.62973918|35.82108483||2019.05.20.|[{'start': '09:00', 'end': '18:00', 'title': '주중'}]|[{'price': '400원', 'title': '30분'}, {'price': '1,000원', 'title': '1시간'}, {'price': '2,200원', 'title': '2시간'}, {'price': '4,600원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=0db95dbe1c3a3d9aa4bfb1e89947743b&type=P&usingTime=60&id=2|||||
24067209|경혜길공영주차장|공영주차장|부산 북구 팽나무로56번길 34|부산 북구 구포동 1204-32|129.01005786|35.2048161||2019.05.16.|[{'start': '00:00', 'end': '24:00', 'title': '매일'}, {'start': '00:00', 'end': '24:00', 'title': '공휴일'}]|[{'price': '300원', 'title': '30분'}, {'price': '600원', 'title': '1시간'}, {'price': '1,200원', 'title': '2시간'}, {'price': '2,400원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=2a2e8b330526c2a45a5270ad3940cc92&type=P&usingTime=60&id=2|||||
1204448582|삼일장주차장|공영주차장||경북 문경시 점촌동 242-27|128.19910137|36.59544546||2019.05.16.|[{'start': '09:00', 'end': '18:00', 'title': '주중'}]|[{'price': '500원', 'title': '30분'}, {'price': '500원', 'title': '1시간'}, {'price': '1,500원', 'title': '2시간'}, {'price': '3,500원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=db9851754dbeac4efdb10b0ef3280af1&type=P&usingTime=60&id=2|||||
20514568|칠성골공영주차장|공영주차장|제주특별자치도 제주시 임항로 8|제주특별자치도 제주시 삼도2동 1192-8|126.52521122|33.51651555||2019.05.21.|[{'start': '12:00', 'end': '21:00', 'title': '매일'}, {'start': '12:00', 'end': '21:00', 'title': '공휴일'}]|[{'price': '2,000원', 'title': '1시간'}, {'price': '4,000원', 'title': '2시간'}, {'price': '8,000원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=05aa199fcf0d9e436b70b4cc0c95b1e0&type=P&usingTime=60&id=2|||||
300301043|상설시장 노상유료주차장|공영주차장||경북 예천군 예천읍 남본리 221-20|128.45482334|36.65608088||2019.05.27.|[{'start': '08:00', 'end': '20:00', 'title': '주중'}]|[{'price': '500원', 'title': '1시간'}, {'price': '1,500원', 'title': '2시간'}, {'price': '3,500원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=1b97d50a426003863d01abddb610cd6f&type=P&usingTime=60&id=2|||||
25020383|상주시 공영유료주차장|공영주차장||경북 상주시 남성동 85-36|128.15975802|36.413475||2019.05.17.|[{'start': '08:00', 'end': '20:00', 'title': '매일'}, {'start': '08:00', 'end': '20:00', 'title': '공휴일'}]|[{'price': '500원', 'title': '30분'}, {'price': '1,000원', 'title': '1시간'}, {'price': '2,000원', 'title': '2시간'}, {'price': '4,000원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=6df1e20f2d4119c3e68a625f0ea2061b&type=P&usingTime=60&id=2|||||
1654632446|노외공영주차장|공영주차장||경기 평택시 지산동 757-23|127.05725304|37.08067436||2020.07.30.|[{'start': '00:00', 'end': '24:00', 'title': '매일'}, {'start': '00:00', 'end': '24:00', 'title': '공휴일'}]|[{'price': '1,400원', 'title': '2시간'}, {'price': '5,000원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=e8b9dcb39a0a5114f8e2ecfa5ed063f1&type=P&usingTime=60&id=2|||||
527291885|이벤트광장 공영 주차장|공영주차장|세종특별자치시 조치원읍 장안길 14|세종특별자치시 조치원읍 정리 39-1|127.30000986|36.59984412||2020.08.04.|[{'start': '07:00', 'end': '23:00', 'title': '매일'}, {'start': '07:00', 'end': '23:00', 'title': '공휴일'}]|[{'price': '600원', 'title': '1시간'}, {'price': '1,400원', 'title': '2시간'}, {'price': '3,000원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=5681626adf18fb5c0fbe8e95d4494254&type=P&usingTime=60&id=2|||||
1533113703|내수동로 노상공영주차장|공영주차장||충북 청주시 서원구 사창동 409|127.45897208|36.63357738||2019.05.20.|[{'start': '09:00', 'end': '18:30', 'title': '주중'}, {'start': '09:00', 'end': '18:30', 'title': '토'}]|[{'price': '500원', 'title': '30분'}, {'price': '1,100원', 'title': '1시간'}, {'price': '2,300원', 'title': '2시간'}, {'price': '4,700원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=f949a8f2604e689163a516909aded12e&type=P&usingTime=60&id=2|||||
12779659|옥동공영주차장|공영주차장|경북 안동시 옥동3길 21|경북 안동시 옥동 792-2|128.70132755|36.56136732|054-850-4710|2021.01.12.|[{'start': '08:00', 'end': '22:00', 'title': '주중'}]|[{'price': '500원', 'title': '30분'}, {'price': '1,100원', 'title': '1시간'}, {'price': '2,300원', 'title': '2시간'}, {'price': '4,700원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=207a46b96f657adea2e5d33d3aa70278&type=P&usingTime=60&id=2|||||
1634147630|서부신시가지 신한은행 공영주차장|공영주차장||전북 전주시 완산구 효자동2가 1229-7|127.10328344|35.81772202||2021.11.10.||[{'price': '1,000원', 'title': '30분'}, {'price': '2,800원', 'title': '1시간'}, {'price': '6,400원', 'title': '2시간'}, {'price': '13,600원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=513f8ad37dcde5873cb37cfc5fe956e1&type=P&usingTime=60&id=2|||||
14880682|중앙공영주차장|공영주차장|경기 용인시 처인구 백옥대로 1103|경기 용인시 처인구 김량장동 80-2|127.20849228|37.23413331|031-335-6581|2019.05.14.|[{'start': '09:00', 'end': '18:00', 'title': '주중'}]|[{'price': '600원', 'title': '30분'}, {'price': '1,200원', 'title': '1시간'}, {'price': '3,000원', 'title': '2시간'}, {'price': '6,600원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=8ee9c2745993aea96177448107a51a7b&type=P&usingTime=60&id=2|||||
1887373773|동대구로 2 노상 공영주차장|공영주차장||대구 동구 신천동 743|128.62607984|35.87522003||2020.06.12.|[{'start': '09:00', 'end': '19:30', 'title': '주중'}, {'start': '08:00', 'end': '20:00', 'title': '토'}]|[{'price': '1,000원', 'title': '30분'}, {'price': '2,500원', 'title': '1시간'}, {'price': '5,500원', 'title': '2시간'}, {'price': '11,500원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=40c9a27698a213f45c508ec398f8ef2f&type=P&usingTime=60&id=2|||||
62558444|노상공영주차장|공영주차장||충남 아산시 온천동 309|127.0051578|36.78399789||2019.05.20.|[{'start': '10:00', 'end': '15:30', 'title': '주중'}, {'start': '10:00', 'end': '15:30', 'title': '토'}]|[{'price': '700원', 'title': '30분'}, {'price': '1,300원', 'title': '1시간'}, {'price': '2,500원', 'title': '2시간'}, {'price': '4,900원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=fb012936-1f8e-4150-a54c-afc8d0d4&type=P&usingTime=60&id=2|||||
17571827|가사문학관 주차장|공영주차장||전남 담양군 가사문학면 지곡리 319|127.00404265|35.18802396||2019.05.20.|[{'start': '00:00', 'end': '24:00', 'title': '매일'}]||https://m.modu.kr/#/parkinglot?seq=3aafdf66dfa10380050187afa9f89bcb&type=P&usingTime=60&id=2|||||
1579719317|중앙삼각지 공영주차장|공영주차장||경남 창원시 성산구 중앙동 72-3|128.67680836|35.22816456||2019.05.17.|[{'start': '08:00', 'end': '24:00', 'title': '매일'}, {'start': '08:00', 'end': '24:00', 'title': '공휴일'}]|[{'price': '500원', 'title': '30분'}, {'price': '1,100원', 'title': '1시간'}, {'price': '2,300원', 'title': '2시간'}, {'price': '4,700원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=ff66644c-9cb8-40b3-868b-25543f5f&type=P&usingTime=60&id=2|||||
