##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@미술관
강릉시립미술관||||미술관|033-640-4271|강원도 강릉시 화부산로 40번길 46|||오전 9:00   오후 6:00|||||강릉시립미술관||||100104
겸재정선미술관||126.8384617|37.5722490|미술관|02-2659-2206~7|서울 강서구 양천로 47길 36||아트샵; 카페|10:00~18:00 / 주말, 공휴일 10:00~17:00 / 동절기(11~2월) 10:00~17:00|||||겸재정선미술관||||100104
경기도미술관||126.8138992|37.3259057|미술관|031-481-7000|경기 안산시 단원구 동산로 268||아트샵; 카페; 라이브러리|10:00~18:00|||||경기도미술관||||100104
경남도립미술관||128.6908315|35.2395021|미술관|055-254-4600|경남 창원시 의창구 용지로 296|||하절기(03월~10월) 10:00~19:00 / 동절기(11월~02월) 10:00~18:00|||||경남도립미술관||||100104
경주예술의전당/알천미술관||129.2061027|35.8625486|미술관|054-748-7725|경북 경주시 알천북로 1||전망대; 커피숍; 회의실 등|10:00~18:00|||||경주예술의전당 알천미술관|경주예술의전당|||100104
광주시립미술관||126.8856750|35.1825100|미술관|062-613-7100|광주 북구 하서로 52||카페|10:00~18:00|||||광주시립미술관||||100104
국립현대미술관|과천관|127.0199375|37.4311346|미술관|02-2188-6000|경기도 과천시 광명로 313||아트존; 카페테리아; 야외공원|하절기(3월~10월) 10:00~18:00, 토요일: 10:00 ~ 21:00 (18:00 ~ 21:00 기획전시 무료관람)동절기(11월~2월) 10:00~17:00, 토요일: 10:00 ~ 21:00 (17:00 ~ 21:00 기획전시 무료관람)매월 마지막 주 수요일 ‘문화가 있는 날’은 밤 9시까지 관람하실수 있습니다|||||국립현대미술관 과천관|(막계동)|||100104
국립현대미술관|덕수궁관|||미술관|02-2022-6000|서울 중구 세종대로 99||아트존|화, 목, 금, 일요일 10:00 ~ 19:00수, 토요일: 10:00 ~ 21:00 (야간개장)|||||국립현대미술관 덕수궁관||||100104
국립현대미술관|서울관|||미술관|02-3701-9500|서울 종로구 삼청로 30||카페테리아; 문화상품점; 수유실 등|10 : 00 ~ 18 : 00|||||국립현대미술관 서울관||||100104
국립현대미술관|청주관|||미술관|043-261-1400|충청북도 청주시 청원구 상당로 314||개방수장고(국립현대미술관 소장품/ open storage)보이는 수장고(국립현대미술관 소장품/ visible storage)|화~일요일 10:00 ~ 18:00|||||국립현대미술관 청주관|청주첨단문화산업단지|||100104
김천시립미술관||128.1195078|36.1168063|미술관|054-420-6725|경북 김천시 남산공원길 90-14|||09:00~18:00|||||김천시립미술관||||100104
남원시립김병종미술관||||미술관|063-620-5660|전북 남원시 함파우길 65-14||북카페|10:00~18:00|||||남원시립김병종미술관||||100104
내설악예술인촌공공미술관||128.2532913|38.1455087|미술관|033-463-4081|강원 인제군 북면 예술인촌길 66-12|||09:00~18:00|||||내설악예술인촌공공미술관||||100104
노적봉예술공원미술관||126.3808863|34.7882022|미술관|061-270-8300|전남 목포시 유달로 116|||09:00~18:00|||||노적봉예술공원미술관||||100104
단원미술관||||미술관|031-481-0505|경기 안산시 상록구 충장로 422||||||||단원미술관||||100104
도립전라남도옥과미술관||127.1226130|35.2970750|미술관|061-363-7278|전남 곡성군 옥과면 미술관로 288|||하절기(3월~10월) 09:00~18:00 / 동절기(11월~2월) 09:00~17:00|||||도립전라남도옥과미술관||||100104
부산광역시립미술관||129.1370285|35.1667495|미술관|051-744-2602|부산 해운대구 APEC로 58||아트샵; 레스토랑; 카페|10:00~20:00|||||부산광역시립미술관||||100104
성남큐브미술관||127.1299475|37.4022928|미술관|031-783-8142|경기 성남시 분당구 성남대로 808||레스토랑; 카페|하절기(3월~10월) 10:30~19:30 / 동절기(11월~2월) 10:00~18:00|||||성남큐브미술관||||100104
성북구립미술관||||미술관|02-6925-5011|서울 성북구 성북로 134||||||||성북구립미술관||||100104
수원시립아이파크미술관||||미술관|031-228-3800|경기도 수원시 팔달구 정조로 833||2F : 전시실4; 5; 교육실 I;II; 아트앤디자인라이브러리 1F :  전시실 1; 2; 3; 카페테리아; 수유실; 포니정홀  B1 : 주차장|* 하절기 (3월~10월) 10:00 ~ 19:00* 동절기 (11월~2월) 10:00 ~ 18:00                                        관람시간 1시간 전까지 입장가능|||||수원시립아이파크미술관|(우)16252|||100104
양구군립박수근미술관||||미술관|033-480-2655|강원 양구군 양구읍 박수근로 265-15||||||||양구군립박수근미술관||||100104
양주시립장욱진미술관||126.9483415|37.7324895|미술관|031-8082-4245|경기 양주시 장흥면 권율로 211||아트샵; 카페|10:00~18:00|||||양주시립장욱진미술관||||100104
양평군립미술관||127.4840260|37.4971477|미술관|031-775-8515|경기 양평군 양평읍 문화복지길 2||아트샵; 레스토랑; 카페; 도서관; 모유실; 미취학놀이방|09:30~18:00|||||양평군립미술관||||100104
영암군립하정웅미술관||126.6219679|34.7609348|미술관|061-470-6841|전남 영암군 군서면 구림로 96|||10:00~18:00|||||영암군립하정웅미술관||||100104
예송미술관||||미술관|02-2147-3579|서울 송파구 백제고분로 242|||10:00 ~ 18:00|||||예송미술관|송파구의회및구민회관|||100104
이응노미술관||||미술관|042-611-9800|대전 서구 둔산대로 157||카페; 아트숍|3~10월 : 10:00~19:00 / 11~2월 : 10:00~18:00 / 수요일 : 오후 9시까지 / 문화가 있는 날 : 매달 마지막 수요일 (무료관람)|||||이응노미술관||||100104
이천시립월전미술관||127.4243433|37.2794797|미술관|031-637-0033|경기 이천시 경충대로 2709번길 185||아트샵; 카페; 세미나실|09:30~18:00|||||이천시립월전미술관||||100104
인천광역시송암미술관||126.6422203|37.4344981|미술관|032-440-6777|인천 미추홀구 비류대로 55번길 68|||09:00~18:00|||||인천광역시송암미술관||||100104
전북도립미술관||127.1069464|35.7278363|미술관|063-290-6888|전북 완주군 구이면 모악산길 111-6||아트샵; 카페|10:00~18:00|||||전북도립미술관||||100104
정읍시립미술관||||미술관|063-539-6420/6417~6419|전북 정읍시 시기 4길 7||카페테리아|10:00~18:00 (17:30까지 입실)|||||정읍시립미술관||||100104
제주특별자치도립미술관||126.4893923|33.4527753|미술관|064-710-4300|제주 제주시 1100로 2894-78||아트샵; 카페|09:00~18:00 / 7월~9월 09:00~20:00|||||제주특별자치도립미술관||||100104
제주현대미술관||126.2658375|33.3399654|미술관|064-710-7801|제주 제주시 한경면 저지 14길 35||아트샵|09:00~18:00 / 7월~9월 09:00~19:00|||||제주현대미술관||||100104
진천군립생거판화미술관||127.4148315|36.8708890|미술관|043-539-3607~9|충북 진천군 진천읍 백곡로 1504-10||체험실|09:00~18:00|||||진천군립생거판화미술관||||100104
천안예술의전당미술관||||미술관|1566-0155|충남 천안시 동남구 성남면 종합휴양지로 185||문화센터|10:00~18:00|||||천안예술의전당미술관||||100104
청주시립대청호미술관||||미술관|043-251-4062~3|충북 청주시 상당구 문의면 대청호반로 721|||하절기(5월~9월) 10:00~20:00 / 동절기(10월~4월) 10:00~18:00|||||청주시립대청호미술관||||100104
최북미술관||127.6651246|36.0029746|미술관|063-320-5636|전북 무주군 무주읍 한풍루로 346|||09:00~18:00|||||최북미술관||||100104
클레이아크김해미술관||128.7448727|35.2508045|미술관|055-340-7000|경남 김해시 진례면 진례로 275-51||아트샵; 카페; 도자체험관|10:00~18:00|||||클레이아크김해미술관||||100104
함평군립미술관||126.5197113|35.0548680|미술관|061-320-2276|전남 함평군 함평읍 곤재로 27||카페|하절기 10:00~18:00 / 동절기 10:00~17:00|||||함평군립미술관|엑스포공원 내|||100104
