##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@미술관
(재)한원미술관||127.0153202|37.4817557|미술관|02-588-5642|서울 서초구 남부순환로 2423|||10:00~18:00|||||(재)한원미술관|한원빌딩 B1|||100105
CICA미술관||126.5977374|37.6081526|미술관|031-988-6363|경기 김포시 양촌읍 삼도로 196-30||미디어관; CICA 가든; CICA 아트 앤 북 까페|10:30~17:30|||||CICA미술관||||100105
VM아트미술관||127.0658056|35.9058849|미술관|070-8915-8123|전북 완주군 삼례읍 삼례역로 81-13||아트샵; 카페|10:00~18:00|||||VM아트미술관||||100105
W미술관||||미술관|063-835-3033|전북 익산시 동서로 504||한옥별관; 세미나실|10:00~18:00|||||W미술관||||100105
가일미술관||127.3794407|37.6604730|미술관|031-584-4722|경기 가평군 청평면 북한강로 1549||레스토랑; 카페; 음악홀|10:00~19:00|||||가일미술관||||100105
계명대학교극재미술관||||미술관|053-620-2381|대구 남구 명덕로 104|||10:00~18:00|||||계명대학교극재미술관|계명대학교대명캠퍼스 동산관 2층|||100105
교동아트미술관||127.1511761|35.8155051|미술관|063-287-1244|전북 전주시 완산구 경기전길 89|||하절기(4월~9월) 10:00~19:00 / 동절기(10월~3월) 10:00~18:00|||||교동아트미술관||||100105
국윤미술관||126.9365155|35.1318865|미술관|062-232-7335|광주 동구 의재로 82|||10:00~18:00|||||국윤미술관||||100105
국제현대미술관||128.5066380|37.2082850|미술관|033-375-2752|강원 영월군 영월읍 삼옥길 31||아트샵|09:00~18:00|||||국제현대미술관||||100105
금구원야외조각미술관||126.4887540|35.6204950|미술관|063-584-6770|전북 부안군 변산면 조각공원길 31|||아침해가 뜬 직후부터 해가 지기 1시간 전까지|||||금구원야외조각미술관||||100105
금호미술관||126.9798243|37.5775115|미술관|02-720-5114|서울 종로구 삼청로 18|||10:00~18:00|||||금호미술관||||100105
기산미술관||126.9166280|37.7739270|미술관|031-943-8232|경기 파주시 광탄면 기산리 186번길 59||아트샵; 카페|10:00~18:00|||||기산미술관||||100105
김영갑갤러리두모악미술관||126.8541870|33.3720650|미술관|064-784-9907|제주 서귀포시 성산읍 삼달로 137||아트샵; 레스토랑; 카페; 미로공원|3~6월 9:30~18:00 / 7~8월 9:30~19:00 / 9~10월 9:30~18:00 / 11~2월 9:30~17:00|||||김영갑갤러리두모악미술관||||100105
나절로미술관||||미술관|061-543-8841|전남 진도군 임회면 진도대로 3886||||||||나절로미술관||||100105
