##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@갤러리
갤러리두루||126.99435070000004|37.5358728|갤러리|02-798-1900||서울시 용산구 이태원1동 102-29|||||||갤러리두루||||100106
갤러리서화||127.01310549999994|37.5373907|갤러리|02-546-2103|서울시 용산구 독서당로 124-8||||||||갤러리서화||||100106
어반아트||126.99270469999999|37.5424102|갤러리|02-511-2931|서울시 용산구 소월로44길 7||||||||어반아트||||100106
아트스페이스/루||126.9704901|37.5310818|갤러리|02-790-3888|서울시 용산구 한강대로44길 5||||||||아트스페이스 루|PAA빌딩 B1|||100106
숙명여대문신미술관||126.96544419999998|37.5384272|갤러리|02-710-9280|서울시 용산구 청파로 47길 100||||||||숙명여대문신미술관|숙명여자대학교|||100106
더컬럼스갤러리||126.99401250000005|37.535441|갤러리|02-3442-6301|서울시 용산구 이태원로27길 31-2||||||||더컬럼스갤러리||||100106
제이케이스페이스||126.9998300|37.5343831|갤러리|02-795-0443||서울시 용산구 한남동 686-1|||||||제이케이스페이스||||100106
비컨갤러리||126.9707310|37.5242567|갤러리|02-567-1652||서울시 용산구 용산동 5가 24|||||||비컨갤러리|파크타워 103동 203호|||100106
식스/Six||127.0012807|37.5381905|갤러리|02-749-2525||서울시 용산구 한남동 739-1|||||||식스 Six|B1|||100106
갤러리가비||126.97300799999994|37.5315407|갤러리|02-735-1036|서울시 용산구 한강대로52길 37||||||||갤러리가비||||100106
갤러리지오/Gallery/Geo||127.0020487|37.5382177|갤러리|02-3218-1301||서울시 용산구 한남동 682-3|(폐관)||||||갤러리지오 Gallery Geo||||100106
갤러리비케이||127.00117899999998|37.533853|갤러리|02-790-7079||서울시 용산구 한남동 657-155|(휴관)||||||갤러리비케이|1F|||100106
갤러리쉐자아르||126.9777629|37.5362151|갤러리|02-529-2033||서울시 용산구 용산동1가 8|||||||갤러리쉐자아르|전쟁기념관내|||100106
스페이스/윌링앤딜링||126.98670349999998|37.492915|갤러리|02-797-7893|서울시 서초구 방배중앙로 156||||||||스페이스 윌링앤딜링||||100106
테이크아웃드로잉/한남동||127.00108640000008|37.5370671|갤러리|797-3139|서울특별시 용산구 이태원로 252||||||||테이크아웃드로잉 한남동||||100106
테이크아웃드로잉/이태원동||126.98737920000008|37.5392489|갤러리|540-0107|서울시 용산구 녹사평대로 244||||||||테이크아웃드로잉 이태원동|1F|||100106
아마도예술공간||127.00182610000002|37.5377644|갤러리|02-790-1178|서울시 용산구 이태원로54길 8||||||||아마도예술공간||||100106
대림미술관/구슬모아당구장||127.00905020000005|37.5344824|갤러리|02-3785-0667||서울 용산구 한남동 29-4|||||||대림미술관 구슬모아당구장||||100106
갤러리바톤||127.01212599999997|37.5364166|갤러리|02-597-5701|서울시 용산구 독서당로 116||||||||갤러리바톤||||100106
갤러리아트플라자||127.0274018|37.5247315|갤러리|02-543-5751|서울시 용산구 서빙고로 309-7||||||||갤러리아트플라자||||100106
갤러리골목||126.98996650000004|37.5345491|갤러리|02-792-5030|서울 용산구 녹사평대로 174-11||(휴관)||||||갤러리골목|(이태원동 34-8) 1F|||100106
남산도서관/1층/남산갤러리||||갤러리|02-754-7338|- , 서울특별시 용산구 소월로 109||||||||남산도서관 1층 남산갤러리||||100106
공평갤러리||126.97288630000003|37.53711800000001|갤러리|02-749-7071|서울특별시 용산구 한강대로 211||||||||공평갤러리|대우 월드마크 용산 101호|||100106
갤러리파비욘드||126.9725545|37.5319872|갤러리|02-790-1144|서울 용산구 한강대로52길 22||||||||갤러리파비욘드|(한강로2가 45-1) 시가이아팰리스 102호|||100106
룬트갤러리||127.00006869999993|37.5319324|갤러리|02-745-0180|서울 용산구 우사단로10길 88||||||키스갤러리 이태원||룬트갤러리 (전 키스갤러리 이태원)||||100106
LIG아트스페이스/한남스튜디오엘||127.00178770000002|37.53484110000001|갤러리||서울시 용산구 대사관로11길 30||||||LIG아트스페이스 스튜디오엘||LIG아트스페이스 한남스튜디오엘 (구 LIG아트스페이스 스튜디오엘)|수가빌딩 B1|||100106
카라스갤러리||126.99210170000003|37.5400456|갤러리|02-6349-0810|서울시 용산구 회나무로13길 34||||||||카라스갤러리||||100106
그리고갤러리||127.00260270000001|37.5372322|갤러리|070-7570-3760|서울시 용산구 이태원로 54길 16-9||||||||그리고갤러리|1층 2호|||100106
갤러리조은||127.00952519999998|37.5333826|갤러리|02-790-5889|서울시 용산구 유엔빌리지길 28||||||||갤러리조은||||100106
갤러리비선재||127.01429989999997|37.5358833|갤러리|02-793-5445|서울시 용산구 유엔빌리지3길 54-16||||||||갤러리비선재||||100106
스토리지/바이/현대카드||127.00085489999992|37.5367741|갤러리|02-2014-7850|서울시 용산구 이태원로 248||||||||스토리지 바이 현대카드|지하2층|||100106
갤러리이알디||126.99093949999997|37.541149|갤러리|02-749-0419|서울시 용산구 회나무로 13가길 25-1||||||||갤러리이알디||||100106
스튜디오콘크리트||127.0024942|37.5424041|갤러리|02-794-4095|서울시 용산구 한남대로 162||||||||스튜디오콘크리트||||100106
갤러리코지&글라스코||127.00849820000008|37.5328469|갤러리|02-792-1179|서울시 용산구 한남대로10길 58-2||||||송원갤러리||갤러리코지&글라스코 (구 송원갤러리)||||100106
필갤러리||||갤러리|02-795-0046|서울시 용산구 유엔빌리지길 24||||||||필갤러리|(한남동 271-5)|||100106
갤러리비케이||127.00128849999999|37.5369309|갤러리|02-790-7079|서울시 용산구 이태원로 42길 56||||||||갤러리비케이||||100106
비비안초이갤러리||127.05008109999994|37.512324|갤러리|010-4512-8109|서울시 강남구 봉은사로 461||||||||비비안초이갤러리|프레스티지 1001|||100106
원앤제이플러스원||127.00480719999996|37.5506538|갤러리|02-745-1644|서울시 중구 동호로11자길 33||||||||원앤제이플러스원|3F|||100106
페이스갤러리||127.00160299999993|37.5378698|갤러리|070-7707-8787|서울시 용산구 이태원로 262||||||||페이스갤러리|5F|||100106
가나아트한남||127.00207460000001|37.5337341|갤러리|02-720-1020|서울 용산구 대사관로 35||||||||가나아트한남|사운즈 한남 13호|||100106
아트딜라이트||126.98767599999996|37.5386414|갤러리|02-792-2865|서울시 용산구 회나무로 7||||||||아트딜라이트|2F|||100106
알부스갤러리||127.00588059999995|37.5381735|갤러리|02-792-8050|서울시 용산구 한남대로28길 26||||||||알부스갤러리||||100106
한성자동차/드림그림갤러리/용산전시장||126.95961169999998|37.5328642|갤러리|02-709-3800|서울시 용산구 청파로 74||||||||한성자동차 드림그림갤러리 용산전시장||||100106
초이스아트컴퍼니||||갤러리|02-501-2486|- , 서울시 용산구 녹사평대로 168-16||||||||초이스아트컴퍼니||||100106
보혜미안갤러리||||갤러리|02-790-1222|서울시 용산구 소월로 314||||||保慧美安;보혜미안||보혜미안갤러리 (保慧美安)||||100106
금호아트갤러리||126.9729652|37.5706220|갤러리|02-6303-1918||서울시 종로구 신문로1가 57|||||||금호아트갤러리|금호빌딩 3F|||100106
갤러리코리아||126.9788777|37.5685495|갤러리|02-774-1366|서울시 중구 태평로 1가 84||||||||갤러리코리아|서울 파이낸셜빌딩 센터몰 지하3층|||100106
이오스갤러리||126.9816657|37.5831848|갤러리|02-720-1926||서울시 종로구 팔판동 27|||||||이오스갤러리|- 6 B-1|||100106
갤러리예맥||127.07108310000001|37.5387765|갤러리|02-720-9912||서울시 광진구 자양동 227-342|||||||갤러리예맥|C205-2|||100106
갤러리브레송||126.9867799|37.5614050|갤러리|02-2269-2613||서울시 중구 충무로2가 고려빌딩 B1 |||||||갤러리브레송||||100106
갤러리편도나무||126.9798828|37.5763558|갤러리|02-3210-0016||서울시 종로구 사간동 126-1|||||||갤러리편도나무||||100106
갤러리서미(북촌)||126.9839591|37.5797185|갤러리|02-3675-8232||서울시 종로구 가회동 129-1|||||||갤러리서미(북촌)||||100106
스페이스홍지||126.95660999999996|37.6023282|갤러리|02-396-0514||서울시 종로구 홍지동 63-1|||||||스페이스홍지||||100106
에이원갤러리||127.11136829999998|37.5067252|갤러리|02-412-9560|서울시 송파구 송파대로42길 40||||||||에이원갤러리||||100106
EBS/Space||127.0471902|37.4865821|갤러리|02-526-2643||서울 강남구 도곡동 463|||||||EBS Space|EBS Space 지하철3호선 매봉역|||100106
아트윌||126.9850539|37.5743784|갤러리|02-722-0048||서울시 종로구 관훈동 55-1|||||||아트윌||||100106
사비나미술관||126.92929100000003|37.6298117|갤러리|02-736-4371||- , 서울시 은평구 진관동 161-10|||||||사비나미술관||||100106
백상기념관||126.9827737|37.5758068|갤러리|02-724-2243||서울시 종로구 송현동 60-1|||||||백상기념관||||100106
갤러리피쉬||126.9852473|37.5729745|갤러리|02-730-3280||서울시 종로구 관훈동 197-28|||||||갤러리피쉬|백상빌딩 1F|||100106
갤러리썬&문||126.9857081|37.5743048|갤러리|02-722-4140||서울시 종로구 관훈동 30-9|||||||갤러리썬&문|청아빌딩 2층|||100106
갤러리꿈||126.9841484|37.5742805|갤러리|02-725-9444||서울시 종로구 인사동 168|||||||갤러리꿈|고당빌딩 3층|||100106
갤러리아미||127.0461012|37.5264970|갤러리|02-514-5568||서울시 강남구 청담동 100-17|||||||갤러리아미|8층|||100106
갤러리컨템포||127.0333102|37.5153588|갤러리|02-3444-0640||서울시 강남구 논현동 89-4|(휴관)||||||갤러리컨템포|한국자수박물관 지하|||100106
삼오갤러리||126.9935361|37.5716317|갤러리|02-741-3532||서울시 종로구 봉익동 108|||||3/5갤러리||삼오갤러리 (3ㆍ5갤러리)|(주)삼오 4층|||100106
갤러리시선||126.9845388|37.5735423|갤러리|02-732-6621||서울시 종로구 관훈동 192-10|||||||갤러리시선||||100106
유나화랑||127.0465260|37.5268095|갤러리|02-545-2151||서울시 강남구 청담동 100-14|||||||유나화랑||||100106
플러스갤러리||127.0660219|37.5024576|갤러리|02-557-9286||서울시 강남구 대치동 983-10|||||||플러스갤러리|대경빌딩|||100106
가갤러리||126.9886997|37.5794447|갤러리|02-792-8736||서울시 종로구 원서동 141|||||||가갤러리||||100106
가톨릭화랑||126.9670169|37.5589521|갤러리|02-360-9193||서울시 중구 중림동 149-2|||||||가톨릭화랑||||100106
갤러리동방||126.9317040|37.5693908|갤러리|02-333-7171||서울시 서대문구 연희동 90-5|||||||갤러리동방||||100106
갤러리몬티첼로||127.4363937|37.5046359|갤러리|031-774-9301||경기도 양평군 강하면 전수리 20-2|||||||갤러리몬티첼로||||100106
갤러리버질||127.0684604|37.7517991|갤러리|031-853-7991||경기도 의정부시 금오동 471-2|||||||갤러리버질|해피플러스 601호|||100106
갤러리삼성플라자||127.1231651|37.3850076|갤러리|031-779-3830||경기도 성남시 분당구 서현동 263|||||||갤러리삼성플라자||||100106
갤러리서종||127.3571300|37.6039776|갤러리|031-774-5530||경기도 양평군 서종면 문호리 370-6|||||||갤러리서종||||100106
갤러리유하||127.0046010|37.5797646|갤러리|02-766-6495||서울시 종로구 동숭동 187-8|||||||갤러리유하|최가철물점B/D 3F|||100106
갤러리칸지||129.1798476|35.1568755|갤러리|051-743-1265||부산시 해운대구 중동 1501-17|||||||갤러리칸지||||100106
공간마뫼||126.98338710000007|37.5480844|갤러리|02-771-7131|서울시 용산구 두텁바위로60길 74-10||||||||공간마뫼||||100106
나은크라프트||126.9754336|37.5554538|갤러리|02-779-2259||서울시 중구 남대문로5가 395|||||||나은크라프트|힐튼호텔 1F|||100106
롯데월드화랑||||갤러리|02-411-4779|||||||||롯데월드화랑||||100106
밀알미술관||127.08219059999999|37.4859112|갤러리|02-3412-0061|서울시 강남구 일원로 90||||||||밀알미술관||||100106
백해영갤러리||126.99486660000002|37.5364719|갤러리|02-796-9347/9328||서울시 용산구 이태원1동 101-40|||||||백해영갤러리|외인주택 54-c|||100106
아떼갤러리||127.2074336|37.7483032|갤러리|031-527-2169||경기도 남양주시 진접읍 팔야리 732-9|||||||아떼갤러리|수덕빌딩 A동 2층|||100106
인아트갤러리||127.1184686|36.7989369|갤러리|041-576-2423||충남 천안시 쌍용동 1489|||||||인아트갤러리|로마노빌딩 2층|||100106
진흥아트홀||127.0242574|37.5740485|갤러리|02-2230-5170||서울시 동대문구 신설동 104-7|||||||진흥아트홀|진흥기독교 문화관 1층|||100106
혜안갤러리||128.6056102|35.8586101|갤러리|053-252-3557||대구시 중구 대봉1동 40-123|||||||혜안갤러리||||100106
BNC갤러리||127.3769928|36.3496574|갤러리|042-488-9696||대전시 서구 둔산동 1109|||||||BNC갤러리||||100106
LMC갤러리||126.7571767|37.6826332|갤러리|031-921-1214||경기도 고양시 일산구 대화동 2030-5|||||||LMC갤러리||||100106
시티갤러리||126.9826331|37.5610156|갤러리|02-778-9029|서울시 중구 충무로 1가 50-10||||||||시티갤러리|회현아케이드 마-14호|||100106
아트스페이스/미음||126.9726626|37.5796261|갤러리|02-722-8897||서울시 종로구 창성동 122-9|||||||아트스페이스 미음||||100106
문갤러리||127.0265788|37.4875494|갤러리|02-3474-3019||서울시 서초구 서초동 1343-5호 서향빌딩 3층 |||||||문갤러리||||100106
산정호수산비탈||127.3040444|38.0707239|갤러리|031-533-3992||경기도 포천군 영북면 산정리 528|||||||산정호수산비탈|(산정호수)|||100106
필스아트갤러리||126.9682969|37.5770138|갤러리|02-722-1807||서울시 종로구 필운동 130-1|||||||필스아트갤러리||||100106
프로젝트스페이스ZIP||127.0225042|37.5209771|갤러리|02-3446-1828||서울시 강남구 신사동 534-14|||||||프로젝트스페이스ZIP||||100106
갤러리스클로||127.01343900000006|37.5562171|갤러리|02-2236-1582/1583|서울시 중구 다산로16길 29||||||||갤러리스클로|1F|||100106
아트앤아이||126.9229403|37.5527060|갤러리|02-323-7555||서울시 마포구 서교동 358-91|||||||아트앤아이|1층|||100106
해피칼라갤러리||126.9207032|37.5999023|갤러리|02-389-7779||서울시 은평구 응암동 110-1|||||||해피칼라갤러리||||100106
영암도기문화센터/구림마을||126.6200396|34.7606877|갤러리|061-470-2566||전남 영암군 군서면 서구림리 354|||||||영암도기문화센터ㆍ구림마을||||100106
갤러리마루||127.0085833|37.5565855|갤러리|02-2252-3900||서울시 중구 신당동 429-14|||||||갤러리마루||||100106
갤러리펠리치타||126.9721231|37.5827146|갤러리|02-737-0002||서울시 종로구 효자동 104-1|||||||갤러리펠리치타||||100106
황진현미술관||127.13339700000006|37.5053382|갤러리|02-403-8664|서울시 송파구 마천로 123||||||||황진현미술관||||100106
코리아아트갤러리(서울)||127.0588240|37.5124040|갤러리|02-565-5871||서울시 강남구 삼성동 159|||||||코리아아트갤러리(서울)|코엑스 인터컨티넨탈서울 2층|||100106
갤러리사디||127.0314868|37.5136915|갤러리|02-3438-0341||서울 강남구 논현동 보전빌딩 |||||||갤러리사디||||100106
갤러리다다||126.9800890|37.5776749|갤러리|011-794-0254||서울시 종로구 사간동 90|||||||갤러리다다||||100106
유갤러리||126.9842559|37.5746193|갤러리|02-720-1020||서울시 종로구 관훈동 74|||||||유갤러리||||100106
하갤러리||127.0145337|37.4867890|갤러리|02-597-5971||서울시 서초구 서초동 1599-2|||||||하갤러리|LG에클라트 1821호|||100106
갤러리랑||126.9855621|37.5757217|갤러리|02-583-6958||서울시 종로구 경운동 89-4|||||||갤러리랑|SK-HUB B동 204-4호|||100106
롯데화랑|광주점|126.9130090|35.1546353|갤러리|062-221-1808||광주시 동구 대인동 7-12|||||||롯데화랑(광주점)|광주은행본점 1층|||100106
희망갤러리||126.9232177|37.5530122|갤러리|02-337-8837||서울시 마포구 서교동 358-80|||||||희망갤러리||||100106
이현갤러리||128.5947218|35.8685176|갤러리|053-428-2234||대구시 중구 동성로2가 125|||||||이현갤러리|(프라이비트 4층)|||100106
예가족갤러리||126.8596442|37.5256223|갤러리|02-2604-7979||- , 서울시 양천구 신정5동 907-12|||||||예가족갤러리||||100106
비비스페이스||127.3802225|36.3846559|갤러리|042-862-7954||대전시 유성구 도룡동 395-28|||||||비비스페이스||||100106
갤러리알트||127.0064067|37.4828005|갤러리|02-597-5902||서울시 서초구 서초동 1487-3|||||||갤러리알트|서초빌딩 B1|||100106
