##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@컨벤션센터
aT/Center||||컨벤션센터|02-6300-1462|서울특별시 서초구 강남대로 27||||||||aT Center||||100107
BEXCO||||컨벤션센터|051-740-7300|부산광역시 해운대구 APEC로 55||||||||BEXCO||||100107
CECO||||컨벤션센터|055-212-1000|경상남도 창원시 의창구 원이대로 362||||||||CECO||||100107
coex||||컨벤션센터|02-6000-0114|서울특별시 강남구 영동대로 513||||||||coex||||100107
DCC||||컨벤션센터|042-250-1100|대전광역시 유성구 엑스포로 107||||||||DCC||||100107
EXCO||||컨벤션센터|053-601-5000|대구광역시 북구 유통단지로 90||||||||EXCO||||100107
GUMICO||||컨벤션센터|054-477-8000|경상북도 구미시 산동면 첨단기업1로 49||||||||GUMICO||||100107
HICO||||컨벤션센터|054-702-1000|경상북도 경주시 보문로 507||||||||HICO||||100107
ICC/JEJU||||컨벤션센터|064-735-1000|제주특별자치도 서귀포시 중문관광로 224||||||||ICC JEJU||||100107
김대중컨벤션센터||||컨벤션센터|062-611-2000|광주광역시 서구 상무누리로 30||||||||김대중컨벤션센터||||100107
KINTEX||||컨벤션센터|031-810-8114|경기도 고양시 일산서구 한류월드로 408||||||||KINTEX||||100107
SETEC||||컨벤션센터|02-2187-4600|서울특별시 강남구 남부순환로 3104||||||||SETEC||||100107
SONGDO/CONVENSIA||||컨벤션센터|032-210-1114|인천광역시 연수구 센트럴로 123||||||||SONGDO CONVENSIA||||100107
GSCO||||컨벤션센터|063-468-1880|전라북도 군산시 새만금북로 437||||||||GSCO|(오식도동)|||100107
