##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@문화센터_서울연극재단
아뮤스소극장||||문화센터|010-2685-2507|서울 종로구 이화장1길 24||||||Amuse Theater||아뮤스소극장|지하;지하|||100203
씨어터다소니||||문화센터||서울시 종로구 동숭길 94||||||Theatre Dasani||씨어터다소니||||100203
허수아비/소극장||||문화센터|02-736-2428|||||||HURSOOABEE THEATER||허수아비 소극장|서울특별시 종로구 성균관로3길 20-4 지하;서울특별시 종로구 성균관로3길 20-4 지하|||100203
타이니/앨리스/극장||||문화센터|02-766-0830|서울시 종로구 대학로11길 23||||||Tiny Alice theater||타이니 앨리스 극장|스타시티 빌딩 B1|||100203
수상한흥신소전용관||||문화센터|02-744-7420|서울시 종로구 대학로8가길 79||||||Susanghan heungshinso exclusive||수상한흥신소전용관||||100203
명작극장/2관||||문화센터|010-8322-5353|서울특별시 종로구 대학로 8가길 30||||||Myeong jak theater||명작극장 2관|지하1층;지하1층|||100203
명작극장/1관||||문화센터|010-8322-5353|서울특별시 종로구 대학로 8가길 30||||||Myeong jak theater||명작극장 1관||||100203
대학로/마루아트홀||||문화센터|1661-6981|서울특별시 종로구 대학로8가길 30||||||Daehangno Maru Art Hall||대학로 마루아트홀|3층|||100203
콘텐츠/그라운드||||문화센터|02-747-2232|서울특별시 종로구 대학로8길 25||||||Kontentz Ground||콘텐츠 그라운드|B1 콘텐츠 그라운드;B1 콘텐츠 그라운드|||100203
창조소극장||||문화센터|02-3667-0170|서울특별시 종로구 창경궁로 259||||||Changjo Theater||창조소극장|2층;2층|||100203
시온아트홀||||문화센터|02-766-2022|서울특별시 종로구 대학로8가길 52||||||웃찾사전용관||시온아트홀 (구 웃찾사전용관)|3층;3층|||100203
아이들극장||||문화센터|02-2088-4290|서울특별시 종로구 성균관로 91||||||Jongno Children's Theater||아이들극장|올림픽기념국민생활관 아이들극장;올림픽기념국민생활관 아이들극장|||100203
동화/소극장||||문화센터|1661-6981|서울특별시 종로구 성균관로 6-5||||||Donghwa Theater||동화 소극장||||100203
스페이스/1959||||문화센터|02-765-0717|서울특별시 종로구 이화장길 86-8||||||Space 1959||스페이스 1959||||100203
아트원씨어터/3관||||문화센터|02-762-0010|서울특별시 종로구 대학로12길 83||||||Artone Theater 3||아트원씨어터 3관|SW빌딩;SW빌딩|||100203
아트원씨어터/2관||||문화센터|02-762-0010|서울특별시 종로구 대학로12길 83||||||Artone Theater 2||아트원씨어터 2관|SW빌딩;SW빌딩|||100203
마로니에/야외공연장||||문화센터|02-742-3800|서울특별시 종로구 대학로 104||||||Marronnier Outdoor Theater||마로니에 야외공연장||||100203
마로니에/다목적홀||||문화센터|02-742-3800|서울특별시 종로구 대학로 104||||||Marronnier Multipurpose Hall||마로니에 다목적홀||||100203
대학로/연극/순위아트홀||||문화센터|02-766-7667|서울특별시 종로구 대학로10길 11||||||Daehangno Play Sunwi Art Hall||대학로 연극 순위아트홀||||100203
좋은공연안내센터||||문화센터|02-742-3800|서울특별시 종로구 대학로 104||||||Daehangno Information Center||좋은공연안내센터|마로니에공원;마로니에공원|||100203
JTN/아트홀/4관||||문화센터|02-779-1595|서울특별시 종로구 이화장길 26||||||JTN Art Hall 4||JTN 아트홀 4관|대학로 JTN아트홀;대학로 JTN아트홀|||100203
