##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@현대자동차서비스블루핸즈
현대차블루핸즈|국제보링1급정비|||현대자동차서비스블루핸즈|055-2324442|경상남도 창원시 마산회원구 내서읍 중리 공단로 149||마이티;중형트럭;대형트럭;카운티;중대형버스;쏠라티||||||현대차블루핸즈 국제보링1급정비||||160405
현대차블루핸즈|대덕현대서비스|||현대자동차서비스블루핸즈|042-6256600|대전광역시 대덕구 신탄진로 375||||||||현대차블루핸즈 대덕현대서비스|(와동)|||160405
현대차블루핸즈|동성자동차공업|||현대자동차서비스블루핸즈|061-6658585|전라남도 여수시 연등8길 23||||||||현대차블루핸즈 동성자동차공업|(연등동)|||160405
현대차블루핸즈|명성공업사|||현대자동차서비스블루핸즈|061-4339909|전라남도 강진군 강진읍 강진공단길 20-5||||||||현대차블루핸즈 명성공업사||||160405
현대차블루핸즈|봉동현대서비스|||현대자동차서비스블루핸즈|063-2623600|전라북도 완주군 봉동읍 봉동로 459||||||||현대차블루핸즈 봉동현대서비스||||160405
현대차블루핸즈|삽진공업사|||현대자동차서비스블루핸즈|061-2787103|전라남도 목포시 대양로13번길 12||||||||현대차블루핸즈 삽진공업사|(연산동)|||160405
현대차블루핸즈|신성자동차공업|||현대자동차서비스블루핸즈|063-5338216|전라북도 정읍시 충정로 501||||||||현대차블루핸즈 신성자동차공업|(공평동)|||160405
현대차블루핸즈|제일자동차공업|||현대자동차서비스블루핸즈|063-8550020|전라북도 익산시 군익로 446-1||||||||현대차블루핸즈 제일자동차공업|(송학동)|||160405
현대차블루핸즈|태원자동차|||현대자동차서비스블루핸즈|061-2835514|전라남도 목포시 영산로 600||마이티;중형트럭;대형트럭;카운티;중대형버스;쏠라티||||||현대차블루핸즈 태원자동차|(석현동)|||160405
현대차블루핸즈|팔복현대서비스|||현대자동차서비스블루핸즈|063-2119688|전라북도 전주시 덕진구 동곡로 25||||||||현대차블루핸즈 팔복현대서비스|(팔복동2가)|||160405
