##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@쉐보레지정서비스센터
쉐보레서비스센터|가락지정서비스|127.1227106|37.4924084|쉐보레지정서비스센터|02-3401-8255|서울 송파구 중대로10길 19||||||||쉐보레서비스센터 가락지정서비스|(가락동)|||160407
쉐보레서비스센터|정릉지정서비스|127.00535949999994|37.6098024|쉐보레지정서비스센터|02-913-8255|서울 성북구 솔샘로 26||||||||쉐보레서비스센터 정릉지정서비스||||160407
쉐보레서비스센터|거여지정서비스|127.14893|37.493128|쉐보레지정서비스센터|02-449-8253|서울 송파구 거마로10길 40||||||||쉐보레서비스센터 거여지정서비스|(거여동)|||160407
쉐보레서비스센터|공릉지정서비스|127.07310319999999|37.6232208|쉐보레지정서비스센터|02-948-8255|서울 노원구 동일로 183길 10||||||||쉐보레서비스센터 공릉지정서비스|102호 (공릉동)|||160407
쉐보레서비스센터|창동지정서비스|127.038178|37.651662|쉐보레지정서비스센터|02-997-8255|서울 도봉구 노해로 269-1||||||||쉐보레서비스센터 창동지정서비스|(창동)|||160407
쉐보레서비스센터|구로지정서비스|126.88215390000005|37.4915071|쉐보레지정서비스센터|02-868-8255|서울 구로구 가마산로 174-9||||||||쉐보레서비스센터 구로지정서비스|(구로동)|||160407
쉐보레서비스센터|역삼지정서비스|127.04005510000002|37.5077891|쉐보레지정서비스센터|02-538-0085|서울 강남구 언주로 108길 6||||||||쉐보레서비스센터 역삼지정서비스|(역삼동)|||160407
쉐보레서비스센터|상계지정서비스|127.05446600000005|37.6707833|쉐보레지정서비스센터|02-938-8255|서울 노원구 수락산로 218||||||||쉐보레서비스센터 상계지정서비스|(상계동)|||160407
쉐보레서비스센터|신진지정서비스|126.90731670000002|37.4800983|쉐보레지정서비스센터|02-855-8204|서울 금천구 남부순환로 1408||||||||쉐보레서비스센터 신진지정서비스|(독산동)|||160407
쉐보레서비스센터|청담지정서비스|127.051655|37.518213|쉐보레지정서비스센터|02-543-0689|서울 강남구 학동로 82길 11||||||||쉐보레서비스센터 청담지정서비스|(삼성동)|||160407
쉐보레서비스센터|원효로지정서비스|126.95908069999996|37.5345175|쉐보레지정서비스센터|02-6405-8255|서울 용산구 원효로 145||||||||쉐보레서비스센터 원효로지정서비스||||160407
쉐보레서비스센터|강남논현지정서비스|127.02710400000001|37.5104331|쉐보레지정서비스센터|02-3443-4996|서울 강남구 학동로 12길 35||||||||쉐보레서비스센터 강남논현지정서비스|(논현동)|||160407
쉐보레서비스센터|방배지정서비스|126.9890721163372|37.49246956998869|쉐보레지정서비스센터|02-6071-8255|서울 서초구 동광로 59||||||||쉐보레서비스센터 방배지정서비스|(방배동)|||160407
쉐보레서비스센터|한일지정서비스|128.976152|35.07437|쉐보레지정서비스센터|051-265-6111-3|부산 사하구 다대로 300번길 13||||||||쉐보레서비스센터 한일지정서비스|(장림동)|||160407
쉐보레서비스센터|일급지정서비스|129.21561169999995|35.2342295|쉐보레지정서비스센터|051-724-1470|부산 기장군 기장읍 대청로72번길 28||||||||쉐보레서비스센터 일급지정서비스||||160407
쉐보레서비스센터|장림지정서비스|128.98290810000003|35.0846528|쉐보레지정서비스센터|051-262-8275|부산 사하구 을숙도대로 710||||||||쉐보레서비스센터 장림지정서비스|(장림동)|||160407
쉐보레서비스센터|기장동부지정서비스|129.21352969999998|35.2464575|쉐보레지정서비스센터|051-724-0600|부산 기장군 기장읍 차성로 323||||||||쉐보레서비스센터 기장동부지정서비스||||160407
쉐보레서비스센터|정관지정서비스|129.185320|35.322379|쉐보레지정서비스센터|051-724-8572|부산 기장군 정관읍 방곡5로 2-6||||||||쉐보레서비스센터 정관지정서비스|(방곡리)|||160407
쉐보레서비스센터|동대구지정서비스|128.721129|35.87158|쉐보레지정서비스센터|053-963-6800|대구 동구 반야월로 298||||||||쉐보레서비스센터 동대구지정서비스|(각산동)|||160407
쉐보레서비스센터|대흥지정서비스|127.42857132694469|36.325218415967754|쉐보레지정서비스센터|042-257-8272|대전 중구 대종로 452번길 10||||||||쉐보레서비스센터 대흥지정서비스|(대흥동)|||160407
쉐보레서비스센터|남양지정서비스|126.68056|37.4779|쉐보레지정서비스센터|032-575-2292|인천 서구 가좌로 41||||||||쉐보레서비스센터 남양지정서비스|(가좌동)|||160407
쉐보레서비스센터|상인천지정서비스|126.71971810000002|37.4600847|쉐보레지정서비스센터|032-472-8282|인천 남동구 호구포로 871||||||||쉐보레서비스센터 상인천지정서비스|(구월동)|||160407
쉐보레서비스센터|백마지정서비스|126.603339|37.453317|쉐보레지정서비스센터|032-882-0017|인천 중구 연안부두로 53번길 21||||||||쉐보레서비스센터 백마지정서비스|(항동7가)|||160407
