##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@쉐보레바로서비스센터
쉐보레서비스센터|보문바로서비스|127.021462|37.581043|쉐보레바로서비스센터|02-929-8255|서울 성북구 보문로 63||||||||쉐보레서비스센터 보문바로서비스|(보문동5가)|||160408
쉐보레서비스센터|면목바로서비스|127.09128899999996|37.5939415|쉐보레바로서비스센터|02-496-8272|서울 중랑구 봉우재로 165-1||||||||쉐보레서비스센터 면목바로서비스|(상봉동,문수해오름)|||160408
쉐보레서비스센터|송파바로서비스|127.0856096|37.5019918|쉐보레바로서비스센터|02-413-1554|서울 송파구 삼전로1길 6||||||||쉐보레서비스센터 송파바로서비스|(잠실동)|||160408
쉐보레서비스센터|태능바로서비스|127.07857190000004|37.6047284|쉐보레바로서비스센터|02-438-8255|서울 중랑구 동일로 833||||||||쉐보레서비스센터 태능바로서비스|(중화동)|||160408
쉐보레서비스센터|성북바로서비스|127.05432|37.609724|쉐보레바로서비스센터|02-916-8255|서울 성북구 화랑로 223||||||||쉐보레서비스센터 성북바로서비스|(장위동)|||160408
쉐보레서비스센터|신내바로서비스|127.09750980000001|37.6075697|쉐보레바로서비스센터|02-435-8281|서울 중랑구 봉화산로 222||||||||쉐보레서비스센터 신내바로서비스|(신내동)|||160408
쉐보레서비스센터|전농바로서비스|127.0517658|37.5815315|쉐보레바로서비스센터|02-2215-8255|서울 동대문구 서울시립대로 123||||||||쉐보레서비스센터 전농바로서비스|(전농동)|||160408
쉐보레서비스센터|강북바로서비스|127.025023|37.62842|쉐보레바로서비스센터|02-984-8255|서울 강북구 도봉로 221||||||||쉐보레서비스센터 강북바로서비스|(미아동)|||160408
쉐보레서비스센터|강서바로서비스|126.84632869999996|37.5445605|쉐보레바로서비스센터|02-2663-0400|서울 강서구 까치산로 63||||||||쉐보레서비스센터 강서바로서비스|(화곡동)|||160408
쉐보레서비스센터|은평바로서비스|126.92194470000004|37.603725|쉐보레바로서비스센터|02-383-1881|서울 은평구 진흥로 80||||||||쉐보레서비스센터 은평바로서비스|(녹번동)|||160408
쉐보레서비스센터|덕양바로서비스|126.828175|37.638683|쉐보레바로서비스센터|031-968-8222|경기 고양시 덕양구 은빛로17번길 5-29||||||||쉐보레서비스센터 덕양바로서비스|(화정동)|||160408
쉐보레서비스센터|용산바로서비스|126.97014089999993|37.5230685|쉐보레바로서비스센터|02-795-7336|서울 용산구 서빙고로 54||||||||쉐보레서비스센터 용산바로서비스|(한강로 3가)|||160408
쉐보레서비스센터|동작바로서비스|126.955639|37.494293|쉐보레바로서비스센터|02-822-8255|서울 동작구 상도로 391||||||||쉐보레서비스센터 동작바로서비스||||160408
쉐보레서비스센터|개봉바로서비스|126.84642020000001|37.5010776|쉐보레바로서비스센터|02-2066-5656|서울 구로구 고척로22길 8||||||||쉐보레서비스센터 개봉바로서비스|(개봉동)|||160408
쉐보레서비스센터|신길바로서비스|126.919311|37.500095|쉐보레바로서비스센터|02-848-0135|서울 영등포구 신풍로 117||||||||쉐보레서비스센터 신길바로서비스|(신길동)|||160408
쉐보레서비스센터|응암바로서비스|126.92080579999993|37.5869167|쉐보레바로서비스센터|02-305-8292|서울 은평구 가좌로 177-1||||||||쉐보레서비스센터 응암바로서비스|(응암동)|||160408
쉐보레서비스센터|서초바로서비스|127.041859|37.481069|쉐보레바로서비스센터|02-522-9255|서울 서초구 바우뫼로 217||||||||쉐보레서비스센터 서초바로서비스|(양재동)|||160408
쉐보레서비스센터|방화바로서비스|126.81378259999997|37.5672691|쉐보레바로서비스센터|02-2665-8255|서울 강서구 초원로 14길 22||||||||쉐보레서비스센터 방화바로서비스|(방화동)|||160408
쉐보레서비스센터|등촌바로서비스|126.85140920000003|37.5570524|쉐보레바로서비스센터|02-3662-8252|서울 강서구 화곡로61길 16||||||||쉐보레서비스센터 등촌바로서비스|(등촌동)|||160408
쉐보레서비스센터|개금바로서비스|129.021869|35.155587|쉐보레바로서비스센터|051-896-8255|부산 부산진구 백양대로 268||||||||쉐보레서비스센터 개금바로서비스|(개금동)|||160408
쉐보레서비스센터|금정바로서비스|129.09032460000003|35.2432379|쉐보레바로서비스센터|051-513-3391|부산 금정구 금정로 218||||||||쉐보레서비스센터 금정바로서비스||||160408
쉐보레서비스센터|영도바로서비스|129.0411236|35.0944177|쉐보레바로서비스센터|051-417-8250|부산 영도구 대교로 38||||||||쉐보레서비스센터 영도바로서비스|(봉래동1가)|||160408
쉐보레서비스센터|구포바로서비스|128.997659|35.200045|쉐보레바로서비스센터|051-336-8259|부산 북구 백양대로 1064번길 3||||||||쉐보레서비스센터 구포바로서비스|(구포동)|||160408
