##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@기아자동차오토큐
기아오토큐|동부모터스|127.1266389|37.4908583|기아자동차오토큐|0220432266|서울특별시 송파구 송이로 149||||||||기아오토큐 동부모터스|(가락동),동부카독크|||160412
기아오토큐|수서광평자동차|127.1056417|37.4837194|기아자동차오토큐|0222260167|서울특별시 강남구 밤고개로5길 9||||||||기아오토큐 수서광평자동차|(수서동)|||160412
기아오토큐|가락점|127.136198|37.490249|기아자동차오토큐|024023286|서울특별시 송파구 동남로18길 41-1||||||||기아오토큐 가락점|(가락동)|||160412
기아오토큐|가리봉점|126.8905056|37.4775583|기아자동차오토큐|028692220|서울특별시 구로구 남부순환로105길 80||||||||기아오토큐 가리봉점|가리봉동|||160412
기아오토큐|가좌점|126.914024|37.580593|기아자동차오토큐|023048585|서울특별시 서대문구 증가로 251||||||||기아오토큐 가좌점|북가좌동|||160412
기아오토큐|갈현점|126.911517|37.611925|기아자동차오토큐|023560652|서울특별시 은평구 서오릉로 221||||||||기아오토큐 갈현점|구산동|||160412
기아오토큐|공덕점|126.9590682|37.5452019|기아자동차오토큐|027122747|서울특별시 마포구 마포대로14길 26||||||||기아오토큐 공덕점|(공덕동)|||160412
기아오토큐|공릉점|127.15158055555555|37.55481666666667|기아자동차오토큐|029782523|서울특별시 노원구 동일로173가길 112||||||||기아오토큐 공릉점||||160412
기아오토큐|구로북부점|126.890835|37.502218|기아자동차오토큐|028396157|서울특별시 구로구 새말로 77||||||||기아오토큐 구로북부점|구로동|||160412
기아오토큐|남가좌점|126.9290306|37.5735861|기아자동차오토큐|023763888|서울특별시 서대문구 모래내로 257||||||||기아오토큐 남가좌점|남가좌동|||160412
기아오토큐|대림점|126.899232|37.498506|기아자동차오토큐|028475008|서울특별시 영등포구 대림로 229||||||||기아오토큐 대림점|대림동|||160412
기아오토큐|대조점|126.919819|37.61051|기아자동차오토큐|023828585|서울특별시 은평구 연서로 164||||||||기아오토큐 대조점|대조동,부러나빌딩|||160412
기아오토큐|독산북부점|126.8997556|37.4740667|기아자동차오토큐|028521880|서울특별시 금천구 시흥대로153길 15||||||||기아오토큐 독산북부점|독산동|||160412
기아오토큐|등촌점|126.8681778|37.5517333|기아자동차오토큐|0236621374||서울 강서구 등촌1동 633-1~3 |||||||기아오토큐 등촌점||||160412
기아오토큐|망우점|127.1084333|37.5976417|기아자동차오토큐|024396636|서울특별시 중랑구 망우로 492||||||||기아오토큐 망우점|망우동,기아모터스|||160412
기아오토큐|명동점|126.9917556|37.5581444|기아자동차오토큐|0222755998|서울특별시 중구 삼일대로2길 90||||||||기아오토큐 명동점|주자동|||160412
기아오토큐|미아점|127.024315|37.609809|기아자동차오토큐|029819922|서울특별시 강북구 삼양로 98||||||||기아오토큐 미아점|미아동|||160412
기아오토큐|반포점|126.9946746|37.4951274|기아자동차오토큐|025938204|서울특별시 서초구 사평대로 72||||||||기아오토큐 반포점|(반포동)|||160412
기아오토큐|사직점|126.9680278|37.5714722|기아자동차오토큐|027305500|서울특별시 종로구 사직로 57-1||||||||기아오토큐 사직점|사직동|||160412
