##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@쌍용자동차서비스프라자
쌍용자동차서비스프라자|각화|||쌍용자동차서비스프라자||광주광역시 북구 각화대로 53||||||||쌍용자동차서비스프라자 각화||||160414
쌍용자동차서비스프라자|강남|||쌍용자동차서비스프라자|||서울특별시 강남구 대치동 913-16|||||||쌍용자동차서비스프라자 강남|(삼성로 337)|||160414
쌍용자동차서비스프라자|강서|||쌍용자동차서비스프라자||부산광역시 낙동남로 588번길 4||||||||쌍용자동차서비스프라자 강서||||160414
쌍용자동차서비스프라자|강진|||쌍용자동차서비스프라자||전라남도 강진읍 중앙로 18||||||||쌍용자동차서비스프라자 강진||||160414
쌍용자동차서비스프라자|강화|||쌍용자동차서비스프라자|||인천광역시 강화군 선원면 창리 423-9|||||||쌍용자동차서비스프라자 강화|(중앙로 196-1)|||160414
쌍용자동차서비스프라자|거제|||쌍용자동차서비스프라자|||경상남도 거제시 수월동 1043-78|||||||쌍용자동차서비스프라자 거제|(수양로 454-24)|||160414
쌍용자동차서비스프라자|거창|||쌍용자동차서비스프라자|||경상남도 거창군 거창읍 송정리 16-2|||||||쌍용자동차서비스프라자 거창|(강남로 124)|||160414
쌍용자동차서비스프라자|경산|||쌍용자동차서비스프라자||경상북도 경상북도 경산시 경산로 168||||||||쌍용자동차서비스프라자 경산||||160414
쌍용자동차서비스프라자|경주|||쌍용자동차서비스프라자|||경상북도 경주시 용강동 1175-3|||||||쌍용자동차서비스프라자 경주|(원화로 487)|||160414
쌍용자동차서비스프라자|계룡|||쌍용자동차서비스프라자|||충청남도 계룡시 엄사면 유동리 88|||||||쌍용자동차서비스프라자 계룡|(계백로 3007)|||160414
쌍용자동차서비스프라자|고성|||쌍용자동차서비스프라자||경상남도 고성군 고성읍 송학고분로 358번길 ||||||||쌍용자동차서비스프라자 고성||||160414
쌍용자동차서비스프라자|고양삼송|||쌍용자동차서비스프라자||경기도 경기 고양시 덕양구 삼원로2길 10||||||||쌍용자동차서비스프라자 고양삼송||||160414
쌍용자동차서비스프라자|고창|||쌍용자동차서비스프라자|||전라북도 고창군 고창읍 22-29|||||||쌍용자동차서비스프라자 고창|(고인돌대로 1854)|||160414
쌍용자동차서비스프라자|고흥|||쌍용자동차서비스프라자|||전라남도 고흥군 고흥읍 남계리 213-4|||||||쌍용자동차서비스프라자 고흥|(고흥로 1901)|||160414
쌍용자동차서비스프라자|공주|||쌍용자동차서비스프라자|||충청남도 공주시 옥룡동 38-2|||||||쌍용자동차서비스프라자 공주|52,42-1 (무령로 328)|||160414
쌍용자동차서비스프라자|광명|||쌍용자동차서비스프라자|||경기도 광명시 노온사동 376-9|||||||쌍용자동차서비스프라자 광명|(범안로 643)|||160414
쌍용자동차서비스프라자|광명옥길|||쌍용자동차서비스프라자||경기도 경기도 광명시 금오로 823||||||||쌍용자동차서비스프라자 광명옥길||||160414
쌍용자동차서비스프라자|광양|||쌍용자동차서비스프라자|||전라남도 광양시 광양읍 용강리 136|||||||쌍용자동차서비스프라자 광양|(제철로 13)|||160414
쌍용자동차서비스프라자|광주서구|||쌍용자동차서비스프라자|||광주광역시 서구 화정동 73-41|||||||쌍용자동차서비스프라자 광주서구|(화운로 204)|||160414
쌍용자동차서비스프라자|광주|||쌍용자동차서비스프라자||경기도 광주시 문화로 74||||||||쌍용자동차서비스프라자 광주||||160414
쌍용자동차서비스프라자|광주장지|||쌍용자동차서비스프라자||경기도 경기 광주시 장지9길 109||||||||쌍용자동차서비스프라자 광주장지||||160414
쌍용자동차서비스프라자|괴산|||쌍용자동차서비스프라자||충청북도 괴산군 괴산읍 남산길 21||||||||쌍용자동차서비스프라자 괴산||||160414
쌍용자동차서비스프라자|교하|||쌍용자동차서비스프라자||경기도 경기 파주시 교하로 909||||||||쌍용자동차서비스프라자 교하||||160414
쌍용자동차서비스프라자|구리|||쌍용자동차서비스프라자|||경기도 구리시 교문동 305-34|||||||쌍용자동차서비스프라자 구리|(경춘로 67)|||160414
쌍용자동차서비스프라자|구미|||쌍용자동차서비스프라자|||경상북도 구미시 도량동 391-2|||||||쌍용자동차서비스프라자 구미|(송선로 504)|||160414
쌍용자동차서비스프라자|구미인동|||쌍용자동차서비스프라자||경상북도 구미시 인동북길 143||||||||쌍용자동차서비스프라자 구미인동||||160414
쌍용자동차서비스프라자|구포|||쌍용자동차서비스프라자|||부산광역시 북구 구포1동 131-24|||||||쌍용자동차서비스프라자 구포|(덕천로 8)|||160414
쌍용자동차서비스프라자|군산|||쌍용자동차서비스프라자|||전라북도 군산시 수송동 430-39|||||||쌍용자동차서비스프라자 군산|40,46 (월명로 301)|||160414
쌍용자동차서비스프라자|군위|||쌍용자동차서비스프라자|||경상북도 군위군 군위읍 정리250 , 252|||||||쌍용자동차서비스프라자 군위|(군청로 254)|||160414
쌍용자동차서비스프라자|군포|||쌍용자동차서비스프라자|||경기도 군포시 금정동 775-7|||||||쌍용자동차서비스프라자 군포|(군포로 613)|||160414
쌍용자동차서비스프라자|권선|||쌍용자동차서비스프라자|||경기도 수원시 권선구 곡반정동 596-2|||||||쌍용자동차서비스프라자 권선|(곡반정로 61)|||160414
쌍용자동차서비스프라자|금강|||쌍용자동차서비스프라자|||전라북도 익산시 금강동 380-3|||||||쌍용자동차서비스프라자 금강|(서동로38길 9)|||160414
쌍용자동차서비스프라자|금산|||쌍용자동차서비스프라자||충청남도 금산군 금산읍 비단로 259||||||||쌍용자동차서비스프라자 금산|(중도리 209-2)|||160414
쌍용자동차서비스프라자|금정|||쌍용자동차서비스프라자|||부산광역시 금정구 서동 237-4|||||||쌍용자동차서비스프라자 금정|5 (반송로 379)|||160414
쌍용자동차서비스프라자|금천|||쌍용자동차서비스프라자|||서울특별시 금천구 시흥동 981-2|||||||쌍용자동차서비스프라자 금천|(시흥대로 39)|||160414
쌍용자동차서비스프라자|기장|||쌍용자동차서비스프라자|||부산광역시 기장군 기장읍 대라리 128-18|||||||쌍용자동차서비스프라자 기장|(차성로 262)|||160414
쌍용자동차서비스프라자|기흥|||쌍용자동차서비스프라자|||경기도 용인시 기흥구 상갈동 123-13|||||||쌍용자동차서비스프라자 기흥|(상갈로 47)|||160414
쌍용자동차서비스프라자|김제|||쌍용자동차서비스프라자||전라북도 김제시 금성로 11||||||||쌍용자동차서비스프라자 김제||||160414
쌍용자동차서비스프라자|김천|||쌍용자동차서비스프라자|||경상북도 김천시 어모면 남산리 1583|||||||쌍용자동차서비스프라자 김천|(시청로 300)|||160414
쌍용자동차서비스프라자|김포|||쌍용자동차서비스프라자|||경기도 김포시 통진읍 수참리 256|||||||쌍용자동차서비스프라자 김포|(하성로 90)|||160414
쌍용자동차서비스프라자|김해|||쌍용자동차서비스프라자|||경상남도 김해시 내동 1073-3|||||||쌍용자동차서비스프라자 김해|(금관대로 1360)|||160414
쌍용자동차서비스프라자|나주|||쌍용자동차서비스프라자|||전라남도 나주시 송월동 1451-1|||||||쌍용자동차서비스프라자 나주||||160414
쌍용자동차서비스프라자|남구|||쌍용자동차서비스프라자|||대구광역시 남구 대명동 690-8|||||||쌍용자동차서비스프라자 남구|(대명로 192)|||160414
쌍용자동차서비스프라자|남동|||쌍용자동차서비스프라자|||인천광역시 남동구 구월4동 1314-4|||||||쌍용자동차서비스프라자 남동|(인주대로 791-1)|||160414
쌍용자동차서비스프라자|남양주|||쌍용자동차서비스프라자|||경기도 남양주시 금곡동 669-5|||||||쌍용자동차서비스프라자 남양주|(홍유릉로248번길 64)|||160414
쌍용자동차서비스프라자|남원|||쌍용자동차서비스프라자|||전라북도 남원시 도통동 290-4|||||||쌍용자동차서비스프라자 남원|(동도1길 24)|||160414
쌍용자동차서비스프라자|남해|||쌍용자동차서비스프라자||경상남도 남해군 남해읍 스포츠로 108||||||||쌍용자동차서비스프라자 남해||||160414
쌍용자동차서비스프라자|노원|||쌍용자동차서비스프라자|||서울특별시 노원구 상계동 401-5|||||||쌍용자동차서비스프라자 노원|(노원로 482)|||160414
쌍용자동차서비스프라자|논산|||쌍용자동차서비스프라자||충청남도 충남 논산시 생뫼길 35||||||||쌍용자동차서비스프라자 논산||||160414
쌍용자동차서비스프라자|논현고잔|||쌍용자동차서비스프라자||인천광역시 앵고개로 677||||||||쌍용자동차서비스프라자 논현고잔||||160414
쌍용자동차서비스프라자|논현|||쌍용자동차서비스프라자|||서울특별시 강남구 논현동 221-1|||||||쌍용자동차서비스프라자 논현|(논현로120길 6)|||160414
쌍용자동차서비스프라자|달서|||쌍용자동차서비스프라자|||대구광역시 달서구 송현동 2015-8|||||||쌍용자동차서비스프라자 달서|(앞산순환로 283)|||160414
쌍용자동차서비스프라자|담양|||쌍용자동차서비스프라자||전라남도 담양군 담양읍 지침5길 33-6||||||||쌍용자동차서비스프라자 담양||||160414
쌍용자동차서비스프라자|당진|||쌍용자동차서비스프라자|||충청남도 당진시 시곡동 1120-1|||||||쌍용자동차서비스프라자 당진|(당진시 시곡동 1120-1)|||160414
쌍용자동차서비스프라자|당진채운|||쌍용자동차서비스프라자||충청남도 충남 당진시 남부로 69||||||||쌍용자동차서비스프라자 당진채운||||160414
쌍용자동차서비스프라자|대구중구|||쌍용자동차서비스프라자|||대구광역시 중구 동인동4가 455-3|||||||쌍용자동차서비스프라자 대구중구|(국채보상로149길 11)|||160414
쌍용자동차서비스프라자|대덕|||쌍용자동차서비스프라자|||대전광역시 대덕구 오정동 391-12|||||||쌍용자동차서비스프라자 대덕|(대전로 1148)|||160414
쌍용자동차서비스프라자|대전서구|||쌍용자동차서비스프라자|||대전광역시 서구 가장동 21-5|||||||쌍용자동차서비스프라자 대전서구|(유등로 445)|||160414
쌍용자동차서비스프라자|대전중구|||쌍용자동차서비스프라자|||대전광역시 중구 석교동 7-1|||||||쌍용자동차서비스프라자 대전중구|(대종로 253)|||160414
쌍용자동차서비스프라자|대치|||쌍용자동차서비스프라자|||서울특별시 강남구 대치동 940-13|||||||쌍용자동차서비스프라자 대치|(도곡로 435)|||160414
쌍용자동차서비스프라자|덕소|||쌍용자동차서비스프라자|||경기도 남양주시 와부읍 월문리 1139-1|||||||쌍용자동차서비스프라자 덕소|(수레로 177)|||160414
쌍용자동차서비스프라자|덕양|||쌍용자동차서비스프라자|||경기도 고양시 덕양구 주교동 612-6|||||||쌍용자동차서비스프라자 덕양|(마상로126번길 71)|||160414
