##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@르노삼성자동차서비스
르노삼성자동차서비스|애니카랜드/삼화점(한일자동차)|||르노삼성자동차서비스|064-752-4972|제주 제주시 동화로 24|제주 제주시 화북일동 1152-8|General-ASC코너||||||르노삼성자동차서비스 애니카랜드/삼화점(한일자동차)|(화북일동)|||160417
르노삼성자동차서비스|한일공업사|||르노삼성자동차서비스|064-755-8111~5|제주 제주시 선반로 19|제주 제주시 화북1동 3878|General-ASC센터||||||르노삼성자동차서비스 한일공업사|(화북일동)|||160417
르노삼성자동차|제주정비사업소|||르노삼성자동차서비스|064-713-1100|제주 제주시 연삼로 75|제주 제주시 오라3동 2692|ESC센터||||||르노삼성자동차 제주정비사업소|(오라삼동)|||160417
르노삼성자동차지정정비코너|토평점|||르노삼성자동차서비스|064-732-3334|제주 서귀포시 516로 133|제주 서귀포시 토평동 2260-2|General-ASC코너||||||르노삼성자동차지정정비코너 토평점|(토평동)|||160417
르노삼성자동차서비스코너|도남점|||르노삼성자동차서비스|064-805-6611|제주특별자치도 제주시 원남2길 7|제주특별자치도 제주시 도남동 566|ESC코너||||||르노삼성자동차서비스코너 도남점|(도남동)|||160417
르노삼성자동차지정정비코너|노형점|||르노삼성자동차서비스|064-711-0854|제주특별자치도 제주시 오광로 184|제주특별자치도 제주시 노형동 3110-2|General-ASC코너||||||르노삼성자동차지정정비코너 노형점|(노형동)|||160417
르노삼성자동차서비스|언양제일종합정비공업사|||르노삼성자동차서비스|052-262-8400|울산 울주군 언양읍 언양로 130|울산 울주군 언양읍 어음리 51|General-ASC센터||||||르노삼성자동차서비스 언양제일종합정비공업사||||160417
르노삼성자동차서비스|울산/북구정비사업소|||르노삼성자동차서비스|052-289-4200|울산 북구 진장유통1로 34|울산 북구 진장동 124-10|ESC센터||||||르노삼성자동차서비스 울산/북구정비사업소|(진장동);817-5|||160417
르노삼성자동차서비스코너|무거점|||르노삼성자동차서비스|052-222-3700|울산 남구 삼호로 127|울산 남구 무거동 1229-20|ESC코너||||||르노삼성자동차서비스코너 무거점|(무거동)|||160417
르노삼성자동차지정정비코너|삼산점|||르노삼성자동차서비스|052-256-3000|울산 남구 돋질로 448|울산 남구 삼산동 194-14|Premium-ASC코너||||||르노삼성자동차지정정비코너 삼산점|(삼산동)|||160417
르노삼성자동차서비스|신정점|||르노삼성자동차서비스|052-716-3000|울산 남구 돋질로 141|울산 남구 신정동 165-4|ESC코너||||||르노삼성자동차서비스 신정점|(신정동)|||160417
르노삼성자동차지정정비코너|병영점|||르노삼성자동차서비스|052-282-1199|울산 중구 번영로 516|울산 중구 반구동 26-1|Premium-ASC코너||||||르노삼성자동차지정정비코너 병영점|(반구동)|||160417
르노삼성자동차서비스코너|유성봉명점|||르노삼성자동차서비스|042-822-0899|대전 유성구 계룡로74번길 64|대전 유성구 봉명동 463-12|General-ASC센터||||||르노삼성자동차서비스코너 유성봉명점|(봉명동)|||160417
르노삼성자동차서비스|삼성자동차공업|||르노삼성자동차서비스|042-936-7777|대전 대덕구 신일동로33번길 85|대전 대덕구 신일동 1684-26|General-ASC센터||||||르노삼성자동차서비스 삼성자동차공업|(신일동)|||160417
르노삼성자동차|유천점|||르노삼성자동차서비스|042-535-0079|대전 중구 유천로 96-1|대전 중구 유천동 202-22|General-ASC코너||||||르노삼성자동차 유천점|(유천동)|||160417
르노삼성자동차서비스|대전사업소|||르노삼성자동차서비스|042-622-3100|대전 동구 동서대로1695번길 77|대전 동구 용전동 64-16|직영센터||||||르노삼성자동차서비스 대전사업소|(용전동)|||160417
르노삼성자동차|서대전정비사업소|||르노삼성자동차서비스|042-546-0100|대전 유성구 유성대로 34|대전 유성구 원내동 35-3|ESC센터||||||르노삼성자동차 서대전정비사업소|(원내동)|||160417
르노삼성자동차서비스코너|유성반석점|||르노삼성자동차서비스|042-825-0233|대전 유성구 북유성대로316번길 57|대전 유성구 반석동 664-1|ESC코너||||||르노삼성자동차서비스코너 유성반석점|(반석동)|||160417
르노삼성자동차지정정비코너|중리점|||르노삼성자동차서비스|042-621-0951|대전 대덕구 한밭대로 1182|대전 대덕구 중리동 252-15|General-ASC코너||||||르노삼성자동차지정정비코너 중리점|(중리동)|||160417
르노삼성자동차지정정비코너|둔산점|||르노삼성자동차서비스|042-489-4525|대전 서구 대덕대로162번길 59|대전 서구 갈마동 1425|General-ASC코너||||||르노삼성자동차지정정비코너 둔산점|(갈마동)|||160417
르노삼성자동차지정정비코너|관저점|||르노삼성자동차서비스|042-542-6767|대전 서구 관저중로80번길 39|대전 서구 관저동 1073|General-ASC코너||||||르노삼성자동차지정정비코너 관저점|(관저동)|||160417
르노삼성자동차지정정비코너|낭월점|||르노삼성자동차서비스|042-622-9807|대전 동구 산내로1315번길 5-5|대전 동구 낭월동 463|General-ASC코너||||||르노삼성자동차지정정비코너 낭월점|(낭월동)|||160417
르노삼성자동차서비스|영창카센터|||르노삼성자동차서비스|054-332-2040|경북 영천시 충효로 172|경북 영천시 야사동 401-1|General-ASC코너||||||르노삼성자동차서비스 영창카센터|(야사동)|||160417
르노삼성자동차서비스코너|상도점|||르노삼성자동차서비스|054-283-3031|경북 포항시 남구 상공로 23|경북 포항시 남구 상도동 640-9|ESC코너||||||르노삼성자동차서비스코너 상도점|(상도동)|||160417
르노삼성자동차지정정비코너|예천점|||르노삼성자동차서비스|054-652-4235|경북 예천군 예천읍 시장로 19|경북 예천군 예천읍 남본리 246-8|General-ASC코너||||||르노삼성자동차지정정비코너 예천점||||160417
르노삼성자동차서비스|오토랜드|||르노삼성자동차서비스|054-535-6544|경북 상주시 경상대로 2758|경북 상주시 신봉동 573-3|General-ASC코너||||||르노삼성자동차서비스 오토랜드|(신봉동)|||160417
르노삼성자동차서비스|울진대원정비|||르노삼성자동차서비스|054-783-8830|경북 울진군 울진읍 토일2길 14|경북 울진군 울진읍 읍남리 436|General-ASC센터||||||르노삼성자동차서비스 울진대원정비||||160417
르노삼성자동차지정정비센터|동구미정비|||르노삼성자동차서비스|054-476-3320|경북 구미시 산동면 산호대로43길 8-15|경북 구미시 산동면 봉산리 387-10|General-ASC센터||||||르노삼성자동차지정정비센터 동구미정비||||160417
르노삼성자동차서비스|청송정비공장|||르노삼성자동차서비스|054-874-8181|경북 청송군 진보면 진보로 59|경북 청송군 진보면 이촌리 55-7|General-ASC센터||||||르노삼성자동차서비스 청송정비공장||||160417
르노삼성자동차지정정비센터|대명정비|||르노삼성자동차서비스|054-635-5588|경북 영주시 구성로88번길 10-3|경북 영주시 휴천1동 1891|General-ASC센터||||||르노삼성자동차지정정비센터 대명정비|(휴천동)|||160417
르노삼성자동차서비스|포항정비사업소|||르노삼성자동차서비스|054-286-1800|경북 포항시 남구 연일읍 동문로 88|경북 포항시 남구 연일읍 오천리 166-6|ESC센터||||||르노삼성자동차서비스 포항정비사업소||||160417
르노삼성자동차서비스|하원1급정비공장|||르노삼성자동차서비스|054-331-2222|경북 영천시 금호읍 고수골길 26|경북 영천시 금호읍 원제리 106-4|General-ASC센터||||||르노삼성자동차서비스 하원1급정비공장||||160417
르노삼성자동차서비스|부산/밧데리|||르노삼성자동차서비스|054-787-2992|경북 울진군 후포면 후포삼율로 200|경북 울진군 후포면 삼율리 555-17|General-ASC코너||||||르노삼성자동차서비스 부산/밧데리||||160417
르노삼성자동차서비스|상산자동차공업사|||르노삼성자동차서비스|054-531-1177|경북 상주시 외답6길 6|경북 상주시 외답동 275-1|General-ASC센터||||||르노삼성자동차서비스 상산자동차공업사|(외답동)|||160417
르노삼성자동차지정정비코너|옥동점|||르노삼성자동차서비스|054-841-7414|경북 안동시 광명로 206-7|경북 안동시 옥동 619-9|Premium-ASC코너||||||르노삼성자동차지정정비코너 옥동점|(옥동)|||160417
르노삼성자동차지정정비코너|용상점|||르노삼성자동차서비스|054-821-3533|경북 안동시 경동로 988|경북 안동시 용상동 1038-1|General-ASC코너||||||르노삼성자동차지정정비코너 용상점|(용상동)|||160417
르노삼성자동차지정정비코너|울진북면점|||르노삼성자동차서비스|054-782-5693|경북 울진군 북면 울진북로 2035|경북 울진군 북면 부구리 403-7|General-ASC코너||||||르노삼성자동차지정정비코너 울진북면점||||160417
르노삼성자동차지정정비코너|의성점|||르노삼성자동차서비스|054-834-5551|경북 의성군 의성읍 북부길 40|경북 의성군 의성읍 후죽리 368-7|General-ASC코너||||||르노삼성자동차지정정비코너 의성점||||160417
르노삼성자동차지정정비코너|인동점|||르노삼성자동차서비스|054-472-4233|경북 구미시 수출대로 524|경북 구미시 황상동 341-1|ESC코너||||||르노삼성자동차지정정비코너 인동점|(황상동)|||160417
르노삼성자동차서비스|강구종합정비공장|||르노삼성자동차서비스|054-733-3364|경북 영덕군 강구면 동해대로 4404-4|경북 영덕군 강구면 삼사리 71-1|General-ASC센터||||||르노삼성자동차서비스 강구종합정비공장||||160417
르노삼성자동차서비스|그린1급자동차정비공장|||르노삼성자동차서비스|054-431-7200|경북 김천시 영남대로 2078|경북 김천시 덕곡동 972|General-ASC센터||||||르노삼성자동차서비스 그린1급자동차정비공장|(덕곡동) 외1필;외 1필|||160417
르노삼성자동차서비스|뉴그린자동차정비공장|||르노삼성자동차서비스|054-858-7777|경북 안동시 강남로 76|경북 안동시 수상동 222-3|General-ASC센터||||||르노삼성자동차서비스 뉴그린자동차정비공장|(수상동)|||160417
르노삼성자동차|시지경산사업소|||르노삼성자동차서비스|053-817-3000|경북 경산시 압량면 대학로 405|경북 경산시 압량면 부적3리 254|ESC센터||||||르노삼성자동차 시지경산사업소||||160417
르노삼성자동차|구미정비사업소|||르노삼성자동차서비스|054-461-7777|경북 구미시 수출대로 12|경북 구미시 광평동 58-1|ESC센터||||||르노삼성자동차 구미정비사업소|(광평동)|||160417
르노삼성자동차지정정비코너고령점|애니카랜드|||르노삼성자동차서비스|054-956-4568|경북 고령군 고령읍 지산길 20|경북 고령군 고령읍 지산리 31-3|General-ASC코너||||||르노삼성자동차지정정비코너고령점 애니카랜드||||160417
르노삼성자동차지정정비코너|봉화점|||르노삼성자동차서비스|054-672-7922|경북 봉화군 봉화읍 내성로 50-3|경북 봉화군 봉화읍 내성리 200-4|General-ASC코너||||||르노삼성자동차지정정비코너 봉화점||||160417
르노삼성자동차지정정비코너성주점|애니카랜드|||르노삼성자동차서비스|054-933-5109|경북 성주군 성주읍 주천로 69|경북 성주군 성주읍 금산리 234-5|General-ASC코너||||||르노삼성자동차지정정비코너성주점 애니카랜드||||160417
르노삼성자동차지정정비코너|왜관점|||르노삼성자동차서비스|054-973-1230|경북 칠곡군 왜관읍 관문로 11|경북 칠곡군 왜관읍 왜관리 273-56|General-ASC코너||||||르노삼성자동차지정정비코너 왜관점||||160417
르노삼성자동차서비스|예인상사|||르노삼성자동차서비스|054-634-5218|경북 영주시 대학로 20|경북 영주시 휴천동 318-5|General-ASC코너||||||르노삼성자동차서비스 예인상사|(휴천동)|||160417
르노삼성자동차서비스|오토카24센터|||르노삼성자동차서비스|054-382-7660|경북 군위군 군위읍 경북대로 3399|경북 군위군 군위읍 금구리 785-3|General-ASC코너||||||르노삼성자동차서비스 오토카24센터||||160417
르노삼성자동차서비스|자동차나라|||르노삼성자동차서비스|054-761-5252|경북 경주시 안강읍 산대리 구부랑길 27|경북 경주시 안강읍 산대리 2416-3|General-ASC코너||||||르노삼성자동차서비스 자동차나라||||160417
르노삼성자동차서비스코너|장성점|||르노삼성자동차서비스|054-246-3993|경북 포항시 북구 새천년대로 1329|경북 포항시 북구 장성동 1447-14|ESC코너||||||르노삼성자동차서비스코너 장성점|(장성동)|||160417
르노삼성자동차서비스코너|경주점|||르노삼성자동차서비스|054-745-3309|경북 경주시 소금강로61번길 81|경북 경주시 용강동 1310|ESC코너||||||르노삼성자동차서비스코너 경주점|(용강동)|||160417
르노삼성자동차지정정비코너|청도점|||르노삼성자동차서비스|054-371-1993|경북 청도군 화양읍 범곡길 1|경북 청도군 화양읍 범곡리 414-3|General-ASC코너||||||르노삼성자동차지정정비코너 청도점||||160417
르노삼성자동차지정정비코너|항구점|||르노삼성자동차서비스|054-243-3331|경북 포항시 북구 선착로77번길 11-1|경북 포항시 북구 항구동 99-2|General-ASC코너||||||르노삼성자동차지정정비코너 항구점|(항구동)|||160417
르노삼성자동차지정정비코너|형곡점|||르노삼성자동차서비스|054-451-3464|경북 구미시 새마을로 30|경북 구미시 형곡동 175-16|Premium-ASC코너||||||르노삼성자동차지정정비코너 형곡점|(형곡동)|||160417
르노삼성자동차서비스|르노상성자동차지정정비코너/영주점|||르노삼성자동차서비스|054-631-4146|경북 영주시 대동로 211-1|경북 영주시 휴천3동 663-10|General-ASC코너||||||르노삼성자동차서비스 르노상성자동차지정정비코너/영주점|(휴천동)|||160417
르노삼성자동차서비스코너|포항점|||르노삼성자동차서비스|054-274-3334|경북 포항시 남구 새천년대로 339|경북 포항시 남구 효자동 126-3|ESC코너||||||르노삼성자동차서비스코너 포항점||||160417
르노삼성자동차지정정비코너|김천점|||르노삼성자동차서비스|054-432-9876|경북 김천시 시청로 131|경북 김천시 신음동 494-6|General-ASC코너||||||르노삼성자동차지정정비코너 김천점|(신음동)|||160417
르노삼성자동차지정정비코너|도량점|||르노삼성자동차서비스|054-444-7273|경북 구미시 야은로 438|경북 구미시 도량동 559-7|General-ASC코너||||||르노삼성자동차지정정비코너 도량점|(도량동)|||160417
르노삼성자동차지정정비코너|문경점|||르노삼성자동차서비스|054-554-1551|경북 문경시 중앙로 238|경북 문경시 흥덕동 353-4|General-ASC코너||||||르노삼성자동차지정정비코너 문경점|(흥덕동)|||160417
르노삼성자동차지정정비코너|성건점|||르노삼성자동차서비스|054-741-1221|경북 경주시 북성로 4-3|경북 경주시 성건동 445-1|Premium-ASC코너||||||르노삼성자동차지정정비코너 성건점||||160417
르노삼성자동차서비스|두성자동차/정비공장|||르노삼성자동차서비스|054-773-8112|경북 경주시 유림로13번길 156|경북 경주시 용강동 732-1|General-ASC센터||||||르노삼성자동차서비스 두성자동차/정비공장|(용강동)|||160417
르노삼성자동차서비스|울릉종합자동차정비|||르노삼성자동차서비스|054-791-1231|경북 울릉군 울릉읍 저동4길 33-12|경북 울릉군 울릉읍 저동리 169|General-ASC센터||||||르노삼성자동차서비스 울릉종합자동차정비||||160417
르노삼성자동차서비스코너|경산삼북점|||르노삼성자동차서비스|053-290-1500|경북 경산시 장산로 110|경북 경산시 삼북동 200|General-ASC코너||||||르노삼성자동차서비스코너 경산삼북점|(삼북동)|||160417
르노삼성자동차서비스|수원사업소|||르노삼성자동차서비스|031-218-3333|경기 수원시 영통구 삼성로 300|경기 수원시 영통구 원천동 318-1|직영센터||||||르노삼성자동차서비스 수원사업소|(원천동)|||160417
르노삼성자동차서비스|시화정비센터|||르노삼성자동차서비스|031-488-8877|경기 시흥시 마유로238번길 10|경기 시흥시 정왕동 1366-2|General-ASC센터||||||르노삼성자동차서비스 시화정비센터|(정왕동)|||160417
르노삼성자동차서비스코너|상동점|||르노삼성자동차서비스|032-327-3332|경기 부천시 원미구 평천로 621|경기 부천시 원미구 상동 499-30|ESC코너||||||르노삼성자동차서비스코너 상동점|(상동)|||160417
르노삼성자동차|평촌정비사업소|||르노삼성자동차서비스|031-421-7100|경기 안양시 동안구 부림로 202|경기 안양시 동안구 관양동 736-7|ESC센터||||||르노삼성자동차 평촌정비사업소|(관양동)|||160417
르노삼성자동차서비스코너|와동점|||르노삼성자동차서비스|031-486-1771|경기 안산시 단원구 화정로 88|경기 안산시 단원구 와동 848|ESC코너||||||르노삼성자동차서비스코너 와동점|(와동)|||160417
