##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@르노삼성자동차부품
르노삼성부품|해동부품|||르노삼성자동차부품|064-723-6098|제주특별자치도 제주시 오남로 200|제주특별자치도 제주시 오라2동 1582-1|||||||르노삼성부품 해동부품|(오라2동)|||160419
르노삼성부품|삼성부품(제주)|||르노삼성자동차부품|064-753-2200|제주 제주시 연북로 668|제주 제주시 이도2동 122-1|||||||르노삼성부품 삼성부품(제주)|(이도이동)|||160419
르노삼성부품|서귀포삼성부품|||르노삼성자동차부품|064-732-7039|제주 서귀포시 516로 133|제주 서귀포시 토평동 2260-10|||||||르노삼성부품 서귀포삼성부품|(토평동)|||160419
르노삼성부품|SK네트웍스/울산정비|||르노삼성자동차부품|052-227-2940|울산 남구 처용로 108|울산 남구 선암동 176|||||||르노삼성부품 SK네트웍스/울산정비|(선암동)|||160419
르노삼성부품|경은상사|||르노삼성자동차부품|052-269-1452|울산 남구 꽃대나리로 73|울산 남구 달동 1305-15|||||||르노삼성부품 경은상사|(달동)|||160419
르노삼성부품|백두상사|||르노삼성자동차부품|052-254-6562|울산 울주군 삼남면 교동로 40|울산 울주군 삼남면 교동리 1646-3|||||||르노삼성부품 백두상사||||160419
르노삼성부품|일광사|||르노삼성자동차부품|052-288-4201|울산 북구 명촌20길 10|울산 북구 진장동 787-4|||||||르노삼성부품 일광사||||160419
르노삼성부품|청진상사|||르노삼성자동차부품|052-221-2420|울산 남구 삼호로 21|울산 남구 무거동 1443-8|||||||르노삼성부품 청진상사|(무거동)|||160419
르노삼성부품|경주상사|||르노삼성자동차부품|042-623-7190|대전 동구 동대전로 325|대전 동구 가양동 426-7|||||||르노삼성부품 경주상사|(가양동)|||160419
르노삼성부품|삼성보성상사|||르노삼성자동차부품|042-585-7520|대전 중구 대둔산로316번길 9|대전 중구 사정동 387-11|||||||르노삼성부품 삼성보성상사|(사정동)|||160419
르노삼성부품|아우벤코리아|||르노삼성자동차부품|042-631-4334|대전 동구 한밭대로 1291|대전 동구 용전동 21-7|||||||르노삼성부품 아우벤코리아|(용전동)|||160419
르노삼성부품|미진상사|||르노삼성자동차부품|042-822-4141|대전 유성구 계룡로113번길 17|대전 유성구 봉명동 550-4|||||||르노삼성부품 미진상사|(봉명동)|||160419
르노삼성부품|삼성대양상사(대전)|||르노삼성자동차부품|042-626-5345|대전 대덕구 오정로76번길 81|대전 대덕구 오정동 274-8|||||||르노삼성부품 삼성대양상사(대전)|(오정동)|||160419
르노삼성부품|경산자동차부품|||르노삼성자동차부품|053-812-6055|경북 경산시 대학로32길 39|경북 경산시 중방동 824-5|||||||르노삼성부품 경산자동차부품|(중방동)|||160419
르노삼성부품|경안부품|||르노삼성자동차부품|054-858-8500|경북 안동시 경북대로 180|경북 안동시 수상동 590-3|||||||르노삼성부품 경안부품|(수상동)|||160419
르노삼성부품|남부부속상회|||르노삼성자동차부품|054-331-7700|경북 영천시 최무선로 225|경북 영천시 성내동 175-28|||||||르노삼성부품 남부부속상회|(성내동)|||160419
르노삼성부품|대중상사|||르노삼성자동차부품|054-535-3221|경북 상주시 중앙로 269|경북 상주시 복룡동 291-12|||||||르노삼성부품 대중상사|(복룡동)|||160419
르노삼성부품|동경상사|||르노삼성자동차부품|054-782-1963|경북 울진군 울진읍 월변6길 3|경북 울진군 울진읍 읍내리 293-1|||||||르노삼성부품 동경상사||||160419
르노삼성부품|덕상사)|||르노삼성자동차부품|054-282-0949|경북 포항시 북구 새천년대로 549-3|경북 포항시 북구 득량동 289-29|||||||르노삼성부품 덕상사)|(득량동)|||160419
르노삼성부품|김천대리점|||르노삼성자동차부품|054-433-3101|경북 김천시 신음3길 2|경북 김천시 신음동 518|||||||르노삼성부품 김천대리점|(신음동)|||160419
르노삼성부품|구미대리점|||르노삼성자동차부품|054-465-2387|경북 구미시 칠성로 86|경북 구미시 원평동 564-7|||||||르노삼성부품 구미대리점|(원평동)|||160419
르노삼성부품|카프라임|||르노삼성자동차부품|054-442-5223|경북 구미시 야은로 541|경북 구미시 지산동 594-36|||||||르노삼성부품 카프라임|(지산동)|||160419
르노삼성부품|삼성상사(영주)|||르노삼성자동차부품|054-635-0630|경북 영주시 구성로 97|경북 영주시 조암동 1176-7|||||||르노삼성부품 삼성상사(영주)||||160419
르노삼성부품|이반종합상사|||르노삼성자동차부품|054-771-6983|경북 경주시 초당길27번길 1|경북 경주시 동천동 924-10|||||||르노삼성부품 이반종합상사|(동천동)|||160419
르노삼성부품|재경상사|||르노삼성자동차부품|054-272-3533|경북 포항시 남구 중앙로 42|경북 포항시 남구 해도동 97-5|||||||르노삼성부품 재경상사|(해도동)|||160419
르노삼성부품|진영상사|||르노삼성자동차부품|054-732-4268|경북 영덕군 영덕읍 하저길 15|경북 영덕군 영덕읍 우곡리 62-1|||||||르노삼성부품 진영상사||||160419
르노삼성부품|다이아몬드안전유리|||르노삼성자동차부품|031-881-6244|경기 여주시 가남읍 경충대로 1183|경기 여주군 가남면 건장리 107-3|||||||르노삼성부품 다이아몬드안전유리||||160419
르노삼성부품|군포삼성상사|||르노삼성자동차부품|031-459-3353|경기 군포시 봉성로 108|경기 군포시 당정동 417-3|||||||르노삼성부품 군포삼성상사|(당정동)|||160419
르노삼성부품|대화유리|||르노삼성자동차부품|031-907-4630|경기 고양시 일산동구 장항로 313-12|경기 고양시 일산동구 장항동 546-2|||||||르노삼성부품 대화유리|(장항동)|||160419
르노삼성부품|동부삼성부품|||르노삼성자동차부품|031-559-9791|경기 남양주시 금곡로19번길 44|경기 남양주시 금곡동 404-20|||||||르노삼성부품 동부삼성부품||||160419
르노삼성부품|안성부품|||르노삼성자동차부품|031-675-2275|경기 안성시 서동대로 5086|경기 안성시 신소현동 30-4|||||||르노삼성부품 안성부품|(신소현동)|||160419
르노삼성부품|원창센터|||르노삼성자동차부품|031-551-3033|경기 구리시 안골로 10|경기 구리시 교문동 738-1|||||||르노삼성부품 원창센터|(교문동)|||160419
르노삼성부품|화성부품|||르노삼성자동차부품|031-227-8119|경기 화성시 봉담읍 덕우공단1길 31|경기 화성시 봉담읍 덕우리 175|||||||르노삼성부품 화성부품||||160419
르노삼성부품|마석센타|||르노삼성자동차부품|031-594-7657/8|경기 남양주시 화도읍 묵현로 200|경기 남양주시 화도읍 묵현리 162-9|||||||르노삼성부품 마석센타||||160419
르노삼성부품|북서울부품센터|||르노삼성자동차부품|031-529-5930|경기 남양주시 진건읍 사릉로 432|경기 남양주시 진건읍 용정리 776-13|||||||르노삼성부품 북서울부품센터||||160419
