##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@현대해상하이카
하이카프라자|도봉/도봉점|127.0470194341|37.6748541879|현대해상하이카|02-998-8002|서울 도봉구 마들로 723-1|서울 도봉구 도봉동 625-189|||||||하이카프라자 도봉/도봉점|1층|||160503
하이카프라자|경주/안강점|129.1961399156|35.9999960576|현대해상하이카|054-761-5252|경북 경주시 안강읍 구부랑길 27|경북 경주시 안강읍 산대리 2416-3|||||||하이카프라자 경주/안강점||||160503
하이카프라자|당진/채운점|126.6295888546|36.8853900291|현대해상하이카|041-355-2006|충남 당진시 서부로 21|충남 당진군 당진읍 채운리 207-9|||||||하이카프라자 당진/채운점||||160503
하이카프라자|경주/성건점|129.2107143159|35.8551951536|현대해상하이카|054-774-9934|경북 경주시 봉황로 176-5|경북 경주시 성건동 620-94|||||||하이카프라자 경주/성건점||||160503
하이카프라자|제주/애월점|126.331819286390|33.441697123252|현대해상하이카|064-799-8260|제주 제주시 애월읍 납읍동2길 3|제주 제주시 애월읍 납읍리 1863-6|||||||하이카프라자 제주/애월점||||160503
하이카프라자|익산/영등점|126.9804984919|35.9606950193|현대해상하이카|063-836-8010|전북 익산시 하나로13길 8|전북 익산시 영등동 825-8|||||||하이카프라자 익산/영등점||||160503
하이카프라자|양산/북부점|129.0396051009|35.3504271236|현대해상하이카|055-367-9596|경남 양산시 명곡로 28|경남 양산시 북부동 694-4|||||||하이카프라자 양산/북부점||||160503
하이카프라자|춘천/효자점|127.727266906332|37.8704829655388|현대해상하이카|033-255-8929|강원 춘천시 공지로 356|강원 춘천시 효자동 673-7|||||||하이카프라자 춘천/효자점||||160503
하이카프라자|강원/양구점|127.981926773026|38.1027636096106|현대해상하이카|033-481-2621|강원 양구군 양구읍 박수근로 349|강원 양구군 양구 정림리 184-5|||||||하이카프라자 강원/양구점||||160503
하이카프라자|강원/인제점|128.163631680696|38.0588958752222|현대해상하이카|033-461-9701|강원 인제군 인제읍 인제로 49|강원 인제군 인제읍 남북리 400-6|||||||하이카프라자 강원/인제점|2/4|||160503
하이카프라자|강원/홍천점|127.879127145917|37.7040144154703|현대해상하이카|033-434-1469|강원 홍천군 홍천읍 마지기로 187|강원 홍천군 홍천면 희망2리 219|||||||하이카프라자 강원/홍천점||||160503
하이카프라자|강원/횡성점|127.982933511194|37.4906815487125|현대해상하이카|033-343-0123|강원 횡성군 횡성읍 앞들서2로 2|강원 횡성군 횡성읍 읍하리 301-16|||||||하이카프라자 강원/횡성점||||160503
하이카프라자|고양/대화점|126.751428116925|37.6707163820642|현대해상하이카|031-921-0952|경기 고양시 일산서구 호수로838번길 34-18|경기 고양시 일산서구 대화동 2284-6|||||||하이카프라자 고양/대화점||||160503
하이카프라자|군포/금정점|126.944983705454|37.3671499708969|현대해상하이카|031-455-5997|경기 군포시 군포로 691|경기 군포시 금정동 85-4|||||||하이카프라자 군포/금정점||||160503
하이카프라자|부천/상동점|126.756165501961|37.5017411168570|현대해상하이카|032-321-3054|경기 부천시 원미구 조마루로105번길 34-5|경기 부천시 원미구 상동 565-2|||||||하이카프라자 부천/상동점||||160503
하이카프라자|안성/대덕점|127.239703386704|37.0236373181066|현대해상하이카|031-676-9800|경기 안성시 대덕면 만세로 37|경기 안성시 대덕면 모산리 410-3|||||||하이카프라자 안성/대덕점||||160503
하이카프라자|의정부/의정부1점|127.047689109753|37.7314136213099|현대해상하이카|031-829-1144|경기 의정부시 평화로 441|경기 의정부시 의정부3동 377-8|||||||하이카프라자 의정부/의정부1점||||160503
하이카프라자|평택/서정점(보람자동차정비공업사)|127.058715233836|37.0833378977037|현대해상하이카|031-611-0276|경기 평택시 송탄로 227|경기 평택시 서정동 887-1|||||||하이카프라자 평택/서정점(보람자동차정비공업사)||||160503
하이카프라자|마산/중앙점|128.563904183576|35.1908869555288|현대해상하이카|055-247-5086|경남 창원시 마산합포구 3·15대로 136|경남 창원시 마산합포구 중앙동 1가 1-9|||||||하이카프라자 마산/중앙점||||160503
하이카프라자|창원/팔용점|128.613221906050|35.2591815877673|현대해상하이카|055-294-8188|경남 창원시 의창구 남산로27번길 3|경남 창원시 팔용동 169-6|||||||하이카프라자 창원/팔용점||||160503
