##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@렉서스
렉서스|강남전시장|127.067466|37.5023214|렉서스|080-555-3579|서울특별시 강남구 영동대로 312||||||||렉서스 강남전시장||||160711
렉서스|용산전시장|126.9873157|37.5362864|렉서스|02-799-0500|서울특별시 용산구 녹사평대로 206||||||||렉서스 용산전시장||||160711
렉서스|서초전시장|127.009473|37.4870985|렉서스|080-855-3579|서울특별시 서초구 반포대로 77||||||||렉서스 서초전시장||||160711
렉서스|광진전시장|127.0909983|37.5494942|렉서스|02-457-0555|서울 광진구 천호대로 690||||||||렉서스 광진전시장||||160711
렉서스|도산대로전시장|127.0318576|37.521306|렉서스|080-852-3579|서울시 강남구 도산대로 229||||||||렉서스 도산대로전시장||||160711
렉서스|한강대로전시장|126.9725782|37.5412512|렉서스|02-798-0555|서울특별시 용산구 한강대로 257||||||||렉서스 한강대로전시장|청룡빌딩 1층|||160711
렉서스|강서전시장|126.851432|37.5566218|렉서스|080-866-3579|서울특별시 강서구 공항대로 395||||||||렉서스 강서전시장||||160711
렉서스|강북전시장|127.0265979|37.6241508|렉서스|02-3294-0500|서울특별시 강북구 도봉로 173||||||||렉서스 강북전시장||||160711
렉서스|인천전시장|126.709677|37.4493453|렉서스|080-330-4300|인천광역시 남동구 성리로 76||||||||렉서스 인천전시장||||160711
렉서스|분당전시장|127.145353|37.3741441|렉서스|080-683-5000|경기도 성남시 분당구 서현로 439번길 1||||||||렉서스 분당전시장||||160711
렉서스|용인광교전시장|127.096224|37.2699558|렉서스|080-688-5000|경기도 용인시 기흥구 중부대로 260||||||||렉서스 용인광교전시장||||160711
렉서스|판교전시장|127.102326|37.3729377|렉서스|080-739-5000|경기도 성남시 분당구 대왕판교로 328||||||||렉서스 판교전시장||||160711
렉서스|일산전시장|126.804955|37.6627715|렉서스|031-961-0500|경기도 고양시 일산동구 백마로 512||||||||렉서스 일산전시장||||160711
렉서스|수원전시장|127.028899|37.2714504|렉서스|080-200-3579|경기도 수원시 팔달구 경수대로 514-4||||||||렉서스 수원전시장||||160711
렉서스|대전전시장|127.353635|36.3592342|렉서스|080-500-3369|대전광역시 유성구 한밭대로 492번길 1||||||||렉서스 대전전시장||||160711
렉서스|천안전시장|127.161613|36.8204290|렉서스|080-700-3369|충청남도 천안시 동남구 만남로 90||||||||렉서스 천안전시장||||160711
렉서스|대구전시장|128.6241630|35.8344900|렉서스|080-762-7000|대구광역시 수성구 동대구로 48||||||||렉서스 대구전시장||||160711
렉서스|서대구전시장|128.5348885|35.8370003|렉서스|080-850-4800|대구광역시 달서구 구마로 64||||||||렉서스 서대구전시장||||160711
렉서스|포항전시장|129.3323880|36.0257345|렉서스|080-293-7000|경상북도 포항시 남구 포스코대로 62||||||||렉서스 포항전시장||||160711
렉서스|부산전시장|129.1318940|35.1745540|렉서스|080-310-7000|부산광역시 해운대구 해운대로 293||||||||렉서스 부산전시장||||160711
렉서스|창원전시장|128.6032694|35.2177181|렉서스|080-858-7711|경상남도 창원시 마산회원구 봉양로 156||||||||렉서스 창원전시장||||160711
렉서스|진주전시장|128.074597|35.1853958|렉서스|080-852-7700|경상남도 진주시 남강로 533||||||||렉서스 진주전시장||||160711
렉서스|광주전시장|126.8583426|35.1507897|렉서스|080-384-7733|광주광역시 서구 상무대로 881||||||||렉서스 광주전시장||||160711
렉서스|전주전시장|127.1122828|35.8496027|렉서스|080-236-7743|전라북도 전주시 덕진구 기린대로 621||||||||렉서스 전주전시장||||160711
렉서스|순천전시장|127.5393256|34.9334886|렉서스|080-745-7733|전라남도 순천시 해룡면 지봉로 211||||||||렉서스 순천전시장||||160711
렉서스|원주전시장|127.942729|37.3737329|렉서스|080-861-5100|강원도 원주시 북원로 2569||||||||렉서스 원주전시장||||160711
