##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@폭스바겐
폭스바겐|강남/대치/전시장|||폭스바겐|02-564-9800|서울특별시 강남구 역삼로 557||||||||폭스바겐 강남/대치/전시장||||160718
폭스바겐|강남/신사/전시장|||폭스바겐|02-516-0033|서울 강남구 도산대로 225||||||||폭스바겐 강남/신사/전시장||||160718
폭스바겐|강북/미아/전시장|||폭스바겐|02-320-9630|서울특별시 강북구 도봉로 124||||||||폭스바겐 강북/미아/전시장||||160718
폭스바겐|광주/전시장|||폭스바겐|062-351-9500|광주광역시 서구 죽봉대로 7||||||||폭스바겐 광주/전시장||||160718
폭스바겐|구리/전시장|||폭스바겐|031-563-0090|경기도 구리시 벌말로 86||||||||폭스바겐 구리/전시장||||160718
폭스바겐|남대구/전시장|||폭스바겐|053-559-1600|대구광역시 달서구 와룡로 50||||||||폭스바겐 남대구/전시장||||160718
폭스바겐|남천/전시장|||폭스바겐|051-611-5500|부산광역시 수영구 수영로 461||||||||폭스바겐 남천/전시장||||160718
폭스바겐|대구/전시장|||폭스바겐|053-767-1900|대구광역시 수성구 동대구로 35||||||||폭스바겐 대구/전시장||||160718
폭스바겐|대전/전시장|||폭스바겐|042-862-9944|대전광역시 대덕구 동서대로 1815||||||||폭스바겐 대전/전시장|(송촌동)|||160718
폭스바겐|동대문/전시장|||폭스바겐|02-2241-8888|서울시 동대문구 천호대로 361||||||||폭스바겐 동대문/전시장||||160718
폭스바겐|동래/전시장|||폭스바겐|051-926-5500|부산시 연제구 거제대로 289||||||||폭스바겐 동래/전시장||||160718
폭스바겐|마포/신촌/전시장|||폭스바겐|02-320-9600|서울특별시 마포구 신촌로 28||||||||폭스바겐 마포/신촌/전시장||||160718
폭스바겐|목동/전시장|||폭스바겐|02-3660-9999|서울특별시 양천구 신월로 393||||||||폭스바겐 목동/전시장||||160718
폭스바겐|방배/전시장|||폭스바겐|02-595-0070|서울 서초구 사평대로 12||||||||폭스바겐 방배/전시장||||160718
폭스바겐|부천/전시장|||폭스바겐|032-671-4700|경기도 부천시 원미구 신흥로 321||||||||폭스바겐 부천/전시장||||160718
폭스바겐|분당/전시장|||폭스바겐|031-760-1800|경기도 성남시 분당구 서현로 433||||||||폭스바겐 분당/전시장||||160718
폭스바겐|서초/전시장|||폭스바겐|02-588-3434|서울특별시 서초구 반포대로 49||||||||폭스바겐 서초/전시장||||160718
폭스바겐|송파/전시장|||폭스바겐|02-6958-0800|서울시 송파구 송이로 136||||||||폭스바겐 송파/전시장||||160718
폭스바겐|수원/전시장|||폭스바겐|031-284-3030|경기도 수원시 영통구 중부대로447번길 10||||||||폭스바겐 수원/전시장||||160718
폭스바겐|순천/전시장|||폭스바겐|061-727-2345|전라남도 순천시 해룡면 해광로 184||||||||폭스바겐 순천/전시장||||160718
폭스바겐|안양/전시장|||폭스바겐|031-396-0801|경기도 안양시 동안구 시민대로 361||||||||폭스바겐 안양/전시장||||160718
폭스바겐|원주/전시장|||폭스바겐|033-737-6500|강원 원주시 북원여중길 2||||||||폭스바겐 원주/전시장|(태장동)|||160718
폭스바겐|인천/전시장|||폭스바겐|032-471-6100|인천광역시 남동구 인주대로 646||||||||폭스바겐 인천/전시장||||160718
폭스바겐|일산/전시장|||폭스바겐|031-904-4400|경기 고양시 일산동구 중앙로 1067||||||||폭스바겐 일산/전시장||||160718
폭스바겐|전주/전시장|||폭스바겐|063-213-9500|전라북도 전주시 덕진구 장동 유통로 29-12||||||||폭스바겐 전주/전시장||||160718
폭스바겐|제주/전시장|||폭스바겐|064-744-9200|제주특별자치도 제주시 연삼로 125||||||||폭스바겐 제주/전시장||||160718
폭스바겐|창원/전시장|||폭스바겐|055-245-7788|경상남도 창원시 마산합포구 해안대로 228||||||||폭스바겐 창원/전시장||||160718
폭스바겐|천안/전시장|||폭스바겐|041-573-9993|충청남도 천안시 서북구 두정공단 1길 100||||||||폭스바겐 천안/전시장||||160718
폭스바겐|청주/전시장|||폭스바겐|043-223-9944|충청북도 청주시 서원구 2순환로 1814-28||||||||폭스바겐 청주/전시장||||160718
폭스바겐|춘천/전시장|||폭스바겐|033-244-6400|강원 춘천시 춘천로 34||||||||폭스바겐 춘천/전시장|(퇴계동)|||160718
폭스바겐|판교/전시장|||폭스바겐|031-696-0100|경기도 성남시 분당구 대왕판교로 283||||||||폭스바겐 판교/전시장||||160718
폭스바겐|포항/전시장|||폭스바겐|054-249-5000|경북 포항시 북구 새천년대로 592||||||||폭스바겐 포항/전시장||||160718
폭스바겐|한남/전시장|||폭스바겐|02-747-4300|서울특별시 용산구 이태원로 262||||||||폭스바겐 한남/전시장||||160718
폭스바겐|해운대/전시장|||폭스바겐|051-995-5500|부산광역시 해운대구 해운대해변로221번길 4||||||||폭스바겐 해운대/전시장||||160718
