##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@아우디
아우디|도산대로전시장|||아우디|02-516-2468|서울시 강남구 도산대로 306||||||||아우디 도산대로전시장||||160719
아우디|동대문전시장|||아우디|02-2247-2460|서울시 성동구 천호대로 454||||||||아우디 동대문전시장||||160719
아우디|남산전시장|||아우디|02-797-1468|서울시 중구 동호로 211||||||||아우디 남산전시장||||160719
아우디|목동전시장|||아우디|02-2676-1468|서울시 양천구 신목로 53||||||||아우디 목동전시장|미진빌딩 1층|||160719
아우디|한강대로전시장|||아우디|02-790-1468|서울시 용산구 한강대로 21길 7||||||||아우디 한강대로전시장||||160719
아우디|도곡로전시장|||아우디|02-564-1468|서울시 강남구 도곡로 121||||||||아우디 도곡로전시장||||160719
아우디|방배전시장|||아우디|02-523-1468|서울시 서초구 방배로 231||||||||아우디 방배전시장||||160719
아우디|대치전시장|||아우디|02-3415-9100|서울특별시 강남구 영동대로 318||||||||아우디 대치전시장||||160719
아우디|송파대로전시장|||아우디|02-3434-9100|서울시 송파구 충민로2길 8||||||||아우디 송파대로전시장||||160719
아우디|서초전시장|||아우디|02-521-0000|서울시 서초구 반포대로 12길 3||||||||아우디 서초전시장||||160719
아우디|미아전시장|||아우디|02-982-2468|서울시 강북구 도봉로 94||||||||아우디 미아전시장||||160719
아우디|잠실전시장|||아우디|02-3430-9100|서울시 송파구 올림픽로 336||||||||아우디 잠실전시장||||160719
아우디|인천전시장|||아우디|032-465-1468|인천광역시 남동구 인주대로 679||||||||아우디 인천전시장||||160719
아우디|수원전시장|||아우디|031-241-0033|경기도 수원시 영통구 중부대로 412||||||||아우디 수원전시장|서진빌딩 1층|||160719
아우디|분당전시장|||아우디|031-743-0000|경기도 성남시 분당구 새마을로 31||||||||아우디 분당전시장||||160719
아우디|판교전시장|||아우디|031-712-7777|경기도 성남시 분당구 대왕판교로 183||||||||아우디 판교전시장||||160719
아우디|일산전시장|||아우디|031-905-1468|경기도 고양시 일산동구 중앙로 1019||||||||아우디 일산전시장||||160719
아우디|평택전시장|||아우디|031-653-3883|경기도 안성시 서동대로 3924||||||||아우디 평택전시장||||160719
아우디|송도전시장|||아우디|032-832-1466|인천광역시 연수구 센트럴로 232||||||||아우디 송도전시장|더샵센트럴파크 1층|||160719
아우디|동탄전시장|||아우디|031-263-0000|경기도 화성시 동탄순환대로 763||||||||아우디 동탄전시장||||160719
아우디|대전전시장|||아우디|042-863-8787|대전광역시 대덕구 한밭대로 1108||||||||아우디 대전전시장||||160719
아우디|천안전시장|||아우디|041-567-3111|충청남도 천안시 동남구 만남로 64||||||||아우디 천안전시장||||160719
아우디|청주전시장|||아우디|043-265-7799|충청북도 청주시 서원구 2순환로 1803||||||||아우디 청주전시장||||160719
아우디|광주전시장|||아우디|062-525-8777|광주광역시 서구 무진대로 955||||||||아우디 광주전시장||||160719
아우디|순천전시장|||아우디|061-746-7733|전라남도 순천시 왕지5길 4||||||||아우디 순천전시장||||160719
아우디|목포전시장|||아우디|061-284-1677|전라남도 목포시 평화로 87||||||||아우디 목포전시장||||160719
아우디|전주전시장|||아우디|063-915-0000|전라북도 전주시 완산구 쑥고개로 372||||||||아우디 전주전시장||||160719
아우디|대구전시장|||아우디|053-744-7070|대구광역시 수성구 들안로 185||||||||아우디 대구전시장||||160719
아우디|서대구전시장|||아우디|053-760-9100|대구광역시 달서구 와룡로 170||||||||아우디 서대구전시장||||160719
아우디|남천전시장|||아우디|051-611-3844|부산광역시 수영구 황령대로 501||||||||아우디 남천전시장||||160719
아우디|해운대전시장|||아우디|051-995-0000|부산광역시 해운대구 해운대해변로 305||||||||아우디 해운대전시장||||160719
아우디|창원전시장|||아우디|055-245-2233|경상남도 창원시 마산합포구 해안대로 232||||||||아우디 창원전시장||||160719
아우디|진주전시장|||아우디|055-924-0000|경상남도 진주시 남강로 537||||||||아우디 진주전시장||||160719
아우디|울산전시장|||아우디|052-257-3883|울산광역시 남구 정동로 127||||||||아우디 울산전시장||||160719
아우디|제주전시장|||아우디|064-748-2211|제주특별자치도 제주시 연삼로 111||||||||아우디 제주전시장||||160719
아우디|원주전시장|||아우디||강원도 원주시 치악로 1316||||||||아우디 원주전시장||||160719
