##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@만트럭
만트럭|서울경기남부지점|||만트럭|02-581-5133|경기도 하남시 조정대로 150||||||||만트럭 서울경기남부지점|아이테코 블루존 714호 만트럭 서울경기남부영업지점|||160732
만트럭|서울경기서부지점|||만트럭|032-888-8980|인천광역시 남동구 호구포로 78||||||||만트럭 서울경기서부지점|(고잔동) 만트럭 인천남동사업소2층 경기서부영업지점|||160732
만트럭|서울경기북부지점|||만트럭|031-903-2406|경기도 고양시 일산동구 백마로 195||||||||만트럭 서울경기북부지점|(장항동,일산방송 COMPLEX) SK-M CITY 2층 2131호 만트럭 서울경기북부영업지점|||160732
만트럭|서울경기중부지점|||만트럭|031-461-7767|경기도 의왕시 오봉로 175||||||||만트럭 서울경기중부지점|4층 408호 (이동,의왕 제2터미널) 서울경기중부영업지점|||160732
만트럭|포천영업소|||만트럭|031-903-2406|경기도 포천시 송선로 232||||||||만트럭 포천영업소|MAN포천센터 내|||160732
만트럭|서울경기남부카고지점|||만트럭|031-281-8284|경기도 용인시 기흥구 보라하갈로 57||||||||만트럭 서울경기남부카고지점|2층 (하갈동) 만트럭 서울경기남부카고영업지점|||160732
만트럭|서울경기북부카고지점|||만트럭|032-887-7705|인천광영시 중구 서해대로 120||||||||만트럭 서울경기북부카고지점|2층 서울경기 북부카고영업지점|||160732
만트럭|충북지점|||만트럭|043-642-0067|충청북도 제천시 강저로 5길 16||||||||만트럭 충북지점|2층 만트럭 충북영업지점|||160732
만트럭|강원지점|||만트럭|033-735-7600|강원도 원주시 북원로 2833||||||||만트럭 강원지점|(태장동 2066-4)|||160732
만트럭|동해영업소|||만트럭|033-535-7588|강원도 동해시 용정로 171||||||||만트럭 동해영업소|(용정동) 만트럭 동해영업소|||160732
만트럭|청주영업소|||만트럭|043-642-0067|충청북도 청주시 서원구 남이면 연청로 1288-8||||||||만트럭 청주영업소||||160732
만트럭|대전충남지점|||만트럭|044-850-7416|세종시 부강면 부강외천로 334||||||||만트럭 대전충남지점|2층|||160732
만트럭|당진영업소|||만트럭|041-362-7277|충청남도 당진시 신평면 원신당로 183||||||||만트럭 당진영업소|만트럭 당진사업소 내 2층 당진영업소|||160732
만트럭|전북지점|||만트럭|063-543-9800|전라북도 김제시 백구면 석담4길 177||||||||만트럭 전북지점|만트럭 전북영업지점|||160732
만트럭|광주지점|||만트럭|062-961-8686|광주광역시 광산구 손재로 327||||||||만트럭 광주지점|진곡화물공영차고지 204호 만트럭 광주영업지점|||160732
만트럭|전남지점|||만트럭|061-755-0119|전라남도 순천시 서면 순천로 623||||||||만트럭 전남지점|순천만모터스㈜ 내 만트럭 전남영업지점|||160732
만트럭|전북영업소|||만트럭|063-213-0075|전라북도 전주시 덕진구 동부대로 1562||||||||만트럭 전북영업소|(고랑동) 2층 만트럭 전북영업소|||160732
만트럭|대구경북지점|||만트럭|054-972-5600|경상북도 칠곡군 왜관읍 현대로 74||||||||만트럭 대구경북지점|만트럭 대구|||160732
만트럭|포항지점|||만트럭|054-292-8030|경상북도 포항시 남구 오천읍 냉천로 560번길 19||||||||만트럭 포항지점||||160732
만트럭|안동영업소|||만트럭|054-843-5582|경북 안동시 은행나무로 67||||||||만트럭 안동영업소|(옥동) 만트럭 안동영업소|||160732
만트럭|부산지점|||만트럭|051-621-5940|부산광역시 남구 신선로 209||||||||만트럭 부산지점|2층 (감만동) 만트럭 부산영업지점|||160732
만트럭|울산지점|||만트럭|052-256-8978|울산광역시 울주군 청량면 온산로 367||||||||만트럭 울산지점|2층 도이치트럭 내 울산영업지점|||160732
만트럭|경남지점|||만트럭|055-232-2984|경상남도 창녕군 계성면 영산계성로 187||||||||만트럭 경남지점|만트럭 창녕사업소내 경남영업지점|||160732
만트럭|창원영업소|||만트럭|055-232-2984|경상남도 창원시 마산회원구 북성로 500-1||||||||만트럭 창원영업소|201호 경남영업지점 창원영업소|||160732
만트럭|진주영업소|||만트럭|055-854-2610|경상남도 사천시 사천읍 구암두문로 154-6||||||||만트럭 진주영업소|101호 진주영업소|||160732
만트럭|부산카고지점|||만트럭|055-345-1285|경남 김해시 한림면 김해대로 1288번길 21-10||||||||만트럭 부산카고지점|2층|||160732
만트럭|경남카고지점|||만트럭|055-536-5611|경남 창녕군 계성면 영산계성로 187||||||||만트럭 경남카고지점||||160732
만트럭|제주지점|||만트럭|064-744-0576|제주특별자치도 제주시 연북로 582만트럭버스 제주영업지점 ||||||||만트럭 제주지점||||160732
만트럭|출고/사무소|||만트럭|031-8024-9712 (PDI) ; 031-8024-9724 (Handover)|경기도 평택시 포승읍 서동대로 437-55||||||||만트럭 출고/사무소||||160732
