##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@성당
천주교|가경동성당|||성당|043-237-2284|충북 청주시 흥덕구 경산로43번길 21||||청주교구||||천주교 가경동성당||||180201
천주교|가남성당|||성당|031-882-1103|경기도 여주시 가남읍 태평4길 11-6||||수원교구||||천주교 가남성당||||180201
천주교|가락2동성당|||성당|02-2043-0084~5|서울특별시 송파구 중대로20길 20-1||||서울대교구||||천주교 가락2동성당||||180201
천주교|가락동성당|||성당|02-425-2206~7|서울특별시 송파구 송파대로36길 34||||서울대교구||||천주교 가락동성당|(송파동)|||180201
천주교|가락시장(준)성당|||성당|02-409-3411|서울특별시 송파구 양재대로 932||||서울대교구||||천주교 가락시장(준)성당|(가락동) 가락동농수산물시장 청과동 3층 39-2|||180201
천주교|가산성당|||성당|031-543-1267|경기도 포천시 가산면 가산로309번길 19||||춘천교구||||천주교 가산성당||||180201
천주교|가수원성당|||성당|042-542-0663|대전광역시 서구 가수원로65번길 38||||대전교구||||천주교 가수원성당||||180201
천주교|가실성당|||성당|054-976-1102|경북 칠곡군 왜관읍 가실1길 1||||대구대교구||||천주교 가실성당||||180201
천주교|가야성당|||성당|051-891-5655|부산광역시 부산진구 가야공원로 7||||부산교구||||천주교 가야성당||||180201
천주교|가양동성당|||성당|042-636-0251|대전광역시 동구 흥룡로 55||||대전교구||||천주교 가양동성당||||180201
천주교|가양동성당|||성당|02-2659-3272|서울특별시 강서구 허준로 69||||서울대교구||||천주교 가양동성당|(가양동)|||180201
천주교|가오동성당|||성당|042-285-9517|대전광역시 동구 은어송로52번길 20||||대전교구||||천주교 가오동성당||||180201
천주교|가은성당|||성당||경상북도 문경시 가은읍 대야로 2491-4||||안동교구||||천주교 가은성당||||180201
천주교|가음동성당|||성당|055-282-3667|경상남도 창원시 성산구 가음정로 107-24||||마산교구||||천주교 가음동성당||||180201
천주교|가재울성당|||성당|02-308-8871|서울특별시 서대문구 모래내로15길 25||||서울대교구||||천주교 가재울성당|(남가좌동)|||180201
천주교|가정3동성당|||성당|032-584-6736|인천광역시 서구 서달로 235||||인천교구||||천주교 가정3동성당|(가정동)|||180201
천주교|가정동성당|||성당|032-584-3385|인천시 서구 봉수대로 535||||인천교구||||천주교 가정동성당|(원창동)|||180201
천주교|가좌동성당|||성당|032-583-6460|인천광역시 서구 장고개로275번길 16||||인천교구||||천주교 가좌동성당|(가좌동)|||180201
천주교|가좌동성당|||성당|055-763-5131|경상남도 진주시 개양로6번길 17||||마산교구||||천주교 가좌동성당||||180201
천주교|가좌동성당|||성당|031-923-2693~4|경기도 고양시 일산서구 송포로391번길 34||||의정부교구||||천주교 가좌동성당||||180201
천주교|가창성당|||성당|053-768-8942|대구시 달성군 가창면 가창로 1118||||대구대교구||||천주교 가창성당||||180201
천주교|가천성당|||성당|054-932-4026|경북 성주군 가천면 창천2길 16||||대구대교구||||천주교 가천성당||||180201
천주교|가평성당|||성당|031-582-2065|경기도 가평군 가평읍 석봉로191번길 9||||춘천교구||||천주교 가평성당||||180201
천주교|가회동성당|||성당|02-763-1570|서울특별시 종로구 북촌로 57||||서울대교구||||천주교 가회동성당|(가회동)|||180201
천주교|가흥동성당|||성당||경북 영주시 가흥로 285||||안동교구||||천주교 가흥동성당||||180201
천주교|각산성당|||성당||||||대구대교구||||천주교 각산성당||||180201
천주교|간석2동성당|||성당|032-433-7301|인천광역시 남동구 남동대로 880||||인천교구||||천주교 간석2동성당|올리브백화점 A동 지하170호 (간석동)|||180201
천주교|간석4동성당|||성당|032-435-8511|인천광역시 남동구 석산로9번길 87||||인천교구||||천주교 간석4동성당|(간석동)|||180201
천주교|간성성당|||성당|033-682-9004|강원도 고성군 간성읍 간성로 71-6||||춘천교구||||천주교 간성성당||||180201
천주교|갈곡리성당|||성당|031-959-1208|경기도 파주시 법원읍 화합로466번길 25||||의정부교구||||천주교 갈곡리성당||||180201
