##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@복지서비스
사랑모아요양원||128.87339378867722|37.7500220582525|복지서비스|033-6482333|강원도 강릉시 경강로1855번안길 34||노인장기요양시설||||||사랑모아요양원|(홍제동)|||200100
행복한둥지||128.87313475876826|37.749827990418346|복지서비스|033-6427712|강원도 강릉시 경강로1855번안길 38||노인장기요양시설||||||행복한둥지|(홍제동)|||200100
한나/재가복지센터||128.88191330647751|37.753302292227325|복지서비스|033-6459901|강원도 강릉시 홍제로71번길 24||노인장기요양시설||||||한나 재가복지센터|1층 (홍제동)|||200100
사임당지역아동센터||128.88241735863|37.75241861905556|복지서비스|033-6440003|강원도 강릉시 새냉이길 36||사회복지시설||||||사임당지역아동센터|홍제동|||200100
온누리요양원||128.880100032|37.7471082029|복지서비스|033-6427738|강원도 강릉시 경강로1928번길 11||사회복지시설||||||온누리요양원|(홍제동)|||200100
강릉노인종합복지관||128.8839864295|37.747719957|복지서비스|033-6404809|강원도 강릉시 경강로 1956||사회복지시설||||||강릉노인종합복지관|(홍제동)|||200100
해피케어||128.8861547493|37.7523336235|복지서비스|033-6553579|강원도 강릉시 홍제로 44||사회서비스제공기관||||||해피케어|(홍제동)|||200100
산들바다지역아동센터||128.88165726392083|37.74498617587603|복지서비스|033-6550234|강원도 강릉시 강변로 116||사회복지시설||||||산들바다지역아동센터|(내곡동)|||200100
강릉참사랑요양원||128.72092283704214|37.56032008301598|복지서비스|033-5630214|강원도 강릉시 왕산면 노추산로 887||노인장기요양시설||||||강릉참사랑요양원||||200100
솔마루터||128.8581818288798|37.64339627704529|복지서비스|033-6453008|강원도 강릉시 왕산면 방터길 49||노인장기요양시설||||||솔마루터||||200100
강릉효도마을||129.0526333538603|37.67289045083421|복지서비스|033-6445766|강원도 강릉시 강동면 심곡봉화길 118-1||노인장기요양시설||||||강릉효도마을||||200100
정동진희망원||129.00254152835257|37.68390618169037|복지서비스|033-6550691|강원도 강릉시 강동면 오이골말길 58-20||노인장기요양시설||||||정동진희망원||||200100
강릉솔향의집||129.00254152835257|37.68390618169037|복지서비스|033-6550692|강원도 강릉시 강동면 오이골말길 58-20||노인장기요양시설||||||강릉솔향의집||||200100
강릉섬김의집||129.0025415284|37.6839061817|복지서비스|033-6550692|강원도 강릉시 강동면 오이골말길 58-20||노인장기요양시설||||||강릉섬김의집||||200100
한빛마을||128.90864358480363|37.68965817367529|복지서비스|033-6477058|강원도 강릉시 구정면 보램길 42-6||노인장기요양시설||||||한빛마을||||200100
참살이요양원||128.97523702220946|37.691746529330224|복지서비스|033-6470629|강원도 강릉시 강동면 임곡로 693||노인장기요양시설||||||참살이요양원||||200100
금평요양원||128.91589084839757|37.700804815404624|복지서비스|033-6427650|강원도 강릉시 구정면 금평로 538-6||노인장기요양시설||||||금평요양원||||200100
실버하우스||128.92602591397457|37.702697176733096|복지서비스|033-6418899|강원도 강릉시 구정면 와천로 102-42||노인장기요양시설||||||실버하우스||||200100
강릉창해요양원||128.84084858374445|37.703398777068976|복지서비스|033-6471914|강원도 강릉시 성산면 칠봉로 193-2||노인장기요양시설||||||강릉창해요양원||||200100
사랑방이야기||128.9121111209032|37.705669508434205|복지서비스|033-6438774|강원도 강릉시 구정면 용금정길 34-5||노인장기요양시설||||||사랑방이야기||||200100
우리요양원||128.88983085558917|37.70772244160039|복지서비스|033-6410786|강원도 강릉시 구정면 금평로 91-8||노인장기요양시설||||||우리요양원||||200100
에이플러스홈/노인요양공동생활가정||128.8994457011|37.7105442909|복지서비스|033-6412500|강원도 강릉시 구정면 범일로 151-8||노인장기요양시설||||||에이플러스홈 노인요양공동생활가정||||200100
강릉무지개마을||128.868092086512|37.710980542692674|복지서비스|033-6426770|강원도 강릉시 구정면 삼정2길 31-15||노인장기요양시설||||||강릉무지개마을||||200100
금광실버캐슬||128.91850484393254|37.71459208565128|복지서비스|033-6480708|강원도 강릉시 구정면 하금광길 88||노인장기요양시설||||||금광실버캐슬||||200100
해드림요양원||128.88022953351182|37.71868619756708|복지서비스|033-6441161|강원도 강릉시 구정면 구정중앙로 239||노인장기요양시설||||||해드림요양원||||200100
구정||128.89102341949473|37.71877294483946|복지서비스|033-6462688|강원도 강릉시 구정면 모산로169번길 141||노인장기요양시설||||||(주)구정||||200100
다솜요양원||128.8855473491|37.7230334134|복지서비스|033-6482852|강원도 강릉시 구정면 새끼미길 68||노인장기요양시설||||||다솜요양원||||200100
문수마을노인요양원||128.79527380972445|37.72354229369495|복지서비스|033-6431254|강원도 강릉시 성산면 망월길 10||노인장기요양시설||||||문수마을노인요양원||||200100
징검다리/재가복지센터||128.7952738097|37.7235422937|복지서비스|033-6431254|강원도 강릉시 성산면 망월길 10||노인장기요양시설||||||징검다리 재가복지센터||||200100
은혜의집||128.97813185910687|37.72507582691538|복지서비스|033-6452306|강원도 강릉시 강동면 대동안길 23-8||노인장기요양시설||||||은혜의집||||200100
행복만들기||128.87421592647073|37.72630227719663|복지서비스|033-6411300|강원도 강릉시 구정면 말미길 25||노인장기요양시설||||||행복만들기||||200100
효사랑복지센터||128.90707016438265|37.729821785126795|복지서비스|033-6421412|강원도 강릉시 박월길 139-1||노인장기요양시설||||||효사랑복지센터|(박월동)|||200100
효사랑요양원||128.90707016438265|37.729821785126795|복지서비스|033-6421412|강원도 강릉시 박월길 139-1||노인장기요양시설||||||효사랑요양원|(박월동)|||200100
푸른내곡노인요양공동생활가정||128.88355661903807|37.73345022017705|복지서비스|033-6441814|강원도 강릉시 남부로18번길 73||노인장기요양시설||||||푸른내곡노인요양공동생활가정|(내곡동)|||200100
노인요양공동생활가정/선한복지센터||128.8423868461614|37.73455871851044|복지서비스|033-6550655|강원도 강릉시 성산면 금산안길 100-6||노인장기요양시설||||||노인요양공동생활가정 선한복지센터||||200100
선한복지센터||128.8423868461614|37.73455871851044|복지서비스|033-6550655|강원도 강릉시 성산면 금산안길 100-6||노인장기요양시설||||||선한복지센터||||200100
선한재가장기요양기관||128.8423868461614|37.73455871851044|복지서비스|033-6550655|강원도 강릉시 성산면 금산안길 100-6||노인장기요양시설||||||선한재가장기요양기관||||200100
가정강릉요양원||128.877283315267|37.73620602496368|복지서비스|033-6460401|강원도 강릉시 범일로579번길 49-3||노인장기요양시설||||||가정강릉요양원|(내곡동)|||200100
강릉노인요양파견센터||128.877283315267|37.73620602496368|복지서비스|033-6470401|강원도 강릉시 범일로579번길 49-3||노인장기요양시설||||||강릉노인요양파견센터|(내곡동)|||200100
노인요양원||128.90356922050321|37.737499533165796|복지서비스|033-6415600|강원도 강릉시 유산골길 40-7||노인장기요양시설|||||율|노인요양원 (율)|(유산동)|||200100
노인복지센터/율||128.90356922050321|37.737499533165796|복지서비스|033-6415600|강원도 강릉시 유산골길 40-7||노인장기요양시설||||||노인복지센터 율|(유산동)|||200100
강릉부모사랑2||128.8611968509868|37.73794940615241|복지서비스|033-6466565|강원도 강릉시 회산로339번길 41||노인장기요양시설||||||강릉부모사랑2|(회산동)|||200100
강릉부모사랑||128.8611968509868|37.73794940615241|복지서비스|033-6466565|강원도 강릉시 회산로339번길 41||노인장기요양시설||||||강릉부모사랑|(회산동)|||200100
사랑채움노인요양원||128.89116749392517|37.737991099159835|복지서비스|033-6418869|강원도 강릉시 진재골길29번길 27-17||노인장기요양시설||||||사랑채움노인요양원|(노암동)|||200100
착한노인요양원||128.89116749392517|37.737991099159835|복지서비스|033-6418869|강원도 강릉시 진재골길29번길 27-17||노인장기요양시설||||||착한노인요양원|(노암동)|||200100
사랑채움노인장기요양센터II||128.89116749392517|37.737991099159835|복지서비스|033-6418882|강원도 강릉시 진재골길29번길 27-17||노인장기요양시설||||||사랑채움노인장기요양센터II|(노암동)|||200100
좋은요양원||128.90320253728436|37.73806397942|복지서비스|033-6421488|강원도 강릉시 유산골길 36||노인장기요양시설||||||좋은요양원|(유산동)|||200100
좋은복지센터||128.90320253728436|37.73806397942|복지서비스|033-6421488|강원도 강릉시 유산골길 36||노인장기요양시설||||||좋은복지센터|(유산동)|||200100
양지뜰노인요양원||128.90354788269013|37.73808362466857|복지서비스|033-6429945|강원도 강릉시 유산동 유산골길 38||노인장기요양시설||||||양지뜰노인요양원||||200100
양지뜰노인복지센터||128.90354788269013|37.73808362466857|복지서비스|033-6429945|강원도 강릉시 유산골길 38||노인장기요양시설||||||양지뜰노인복지센터|(유산동)|||200100
한결요양원||128.9018154213302|37.73882506740787|복지서비스|033-6443340|강원도 강릉시 유산골길 20||노인장기요양시설||||||한결요양원|(유산동)|||200100
강릉치유재활요양원||128.79889113143062|37.740109769193786|복지서비스|033-6427651|강원도 강릉시 성산면 보현길 22-71||노인장기요양시설||||||강릉치유재활요양원||||200100
강릉노인요양시설||128.798676108116|37.74041213605744|복지서비스|033-6481235|강원도 강릉시 성산면 보현길 22-73||노인장기요양시설||||||강릉노인요양시설||||200100
두리노인복지센터||128.8682327681795|37.74185584781274|복지서비스|033-6475333|강원도 강릉시 회산로383번길 7||노인장기요양시설||||||두리노인복지센터|2층 (회산동)|||200100
바른요양원||128.9198597712429|37.74545811743316|복지서비스|033-6459001|강원도 강릉시 유다리길37번길 19||노인장기요양시설||||||바른요양원|(청량동)|||200100
사랑채움노인장기요양센터||128.8905142584325|37.74566597055359|복지서비스|033-6418882|강원도 강릉시 남산초교길 18||노인장기요양시설||||||사랑채움노인장기요양센터|(내곡동)|||200100
효담요양원||128.85879116984472|37.74644094652947|복지서비스|033-6412847|강원도 강릉시 공제로359번길 19||노인장기요양시설||||||효담요양원|(홍제동)|||200100
포도나무요양원||128.8584648657|37.7468208467|복지서비스|033-6425702|강원도 강릉시 공제로359번길 25-5||노인장기요양시설||||||포도나무요양원|(홍제동)|||200100
다금요양원||128.8279882274484|37.746836370996476|복지서비스|033-6557837|강원도 강릉시 성산면 안곡길 153||노인장기요양시설||||||다금요양원||||200100
햇빛요양원||128.9011953004|37.7491695487|복지서비스|033-6426275|강원도 강릉시 연화봉길 26||노인장기요양시설||||||햇빛요양원|(노암동)|||200100
행복마을||128.8987821964965|37.749392234081775|복지서비스|033-6453004|강원도 강릉시 강변로 278||노인장기요양시설||||||행복마을|(노암동)|||200100
고려보조기||128.8904688751|37.7497673415|복지서비스|033-6467477|강원도 강릉시 경강로 2019||노인장기요양시설||||||고려보조기|(명주동)|||200100
참사랑재가장기요양기관||128.88791247146602|37.75006777464519|복지서비스|033-6462369|강원도 강릉시 홍제로20번길 10-10||노인장기요양시설||||||참사랑재가장기요양기관|(남문동)|||200100
나눔의료기||128.8930783586|37.7504821517|복지서비스|033-6451311|강원도 강릉시 남문길 13||노인장기요양시설||||||나눔의료기|(남문동)|||200100
대양의료기||128.8931497615375|37.750790894578515|복지서비스|033-6551311|강원도 강릉시 경강로2046번길 11-2||노인장기요양시설||||||대양의료기|(남문동)|||200100
희망재가요양센터||128.89254220722572|37.751881667320696|복지서비스|033-6481002|강원도 강릉시 경강로 2050||노인장기요양시설||||||희망재가요양센터|(명주동)|||200100
큰사랑/요양원||128.8933152841404|37.75212148294274|복지서비스|033-6558552|강원도 강릉시 임영로 119||노인장기요양시설||||||큰사랑 요양원|(성내동)|||200100
큰사랑/노인장기요양/센터||128.8933152841404|37.75212148294274|복지서비스|033-6558552|강원도 강릉시 임영로 119||노인장기요양시설||||||큰사랑 노인장기요양 센터|(성내동)|||200100
성덕방문요양센터||128.9110821046|37.7543966278|복지서비스|033-6469950|강원도 강릉시 용지로 31||노인장기요양시설||||||성덕방문요양센터|4층 (입암동)|||200100
박정자/재가복지센터||128.89079963203628|37.75509502756906|복지서비스|033-6429491|강원도 강릉시 임영로155번길 6||노인장기요양시설||||||박정자 재가복지센터|용강동,서부시장동 2층 17호 (용강동)|||200100
햇살장기요양센터||128.9035159563159|37.75561093400223|복지서비스|070-49510027|강원도 강릉시 수문길 24||노인장기요양시설||||||햇살장기요양센터|(옥천동)|||200100
강릉자활종합돌봄센터||128.8873574285|37.7559069286|복지서비스|033-6434101|강원도 강릉시 명주로 69||노인장기요양시설||||||강릉자활종합돌봄센터|(교동)|||200100
강릉지역자활센터/재가장기요양기관||128.88735742850847|37.75590692863559|복지서비스|033-6427575|강원도 강릉시 명주로 69||노인장기요양시설||||||강릉지역자활센터 재가장기요양기관|(교동)|||200100
가애노인요양시설||128.89082824308696|37.75621882053969|복지서비스|033-6473789|강원도 강릉시 임영로157번길 14||노인장기요양시설||||||가애노인요양시설|(용강동)|||200100
가애노인요양센터||128.89082824308696|37.75621882053969|복지서비스|033-6473789|강원도 강릉시 임영로157번길 14||노인장기요양시설||||||가애노인요양센터|(용강동)|||200100
우리사랑노인요양시설||128.8941425037885|37.75661960770616|복지서비스|033-6486419|강원도 강릉시 강릉대로218번길 20||노인장기요양시설||||||우리사랑노인요양시설|(임당동)|||200100
우리방문간호사업소||128.8941425037885|37.75661960770616|복지서비스|033-6486419|강원도 강릉시 강릉대로218번길 20||노인장기요양시설||||||우리방문간호사업소|(임당동)|||200100
이원건강의료기|강릉점|128.897725263|37.7572249719|복지서비스|033-6472159|강원도 강릉시 율곡로 2835||노인장기요양시설||||||이원건강의료기 강릉점|(옥천동)|||200100
스마일시니어/간호/재가장기요양기관||128.9041155947|37.7574029267|복지서비스|033-6424114|강원도 강릉시 옥천로20번길 16||노인장기요양시설||||||스마일시니어 간호 재가장기요양기관|(옥천동)|||200100
경선/효/요양원||128.8984881411134|37.75741807303351|복지서비스|033-6462779|강원도 강릉시 옥가로7번길 3||노인장기요양시설||||||경선 효 요양원|(옥천동)|||200100
평강요양원||128.84876686282198|37.757563793269135|복지서비스|033-6441061|강원도 강릉시 성산면 위촌길 178||노인장기요양시설||||||평강요양원||||200100
갈바리노인요양원||128.85977425069066|37.757794130258546|복지서비스|033-6443474|강원도 강릉시 사임당로107번길 86||노인장기요양시설||||||갈바리노인요양원|(홍제동)|||200100
갈바리노인복지센터1||128.8597742507|37.7577941303|복지서비스|033-6443477|강원도 강릉시 사임당로107번길 86||노인장기요양시설||||||갈바리노인복지센터1|(홍제동)|||200100
에이플러스홈/노인의료복지시설||128.8620041635984|37.75803276612642|복지서비스|033-6415751|강원도 강릉시 위촌길 35||노인장기요양시설||||||에이플러스홈 노인의료복지시설|(홍제동)|||200100
에이플러스홈/재가복지센터||128.8620041635984|37.75803276612642|복지서비스|033-6431919|강원도 강릉시 위촌길 35||노인장기요양시설||||||(I)에이플러스홈 재가복지센터|(홍제동)|||200100
가나안/재가요양센터||128.89176623134793|37.75936752234414|복지서비스|033-6485913|강원도 강릉시 임영로 203||노인장기요양시설||||||가나안 재가요양센터|(교동)|||200100
신화메디칼||128.89939113723756|37.75954031457796|복지서비스|033-6438551|강원도 강릉시 옥천로 57||노인장기요양시설||||||신화메디칼|2호 (옥천동)|||200100
가나의료기||128.90029779066933|37.76091659256807|복지서비스|033-6448858|강원도 강릉시 옥가로50번길 1||노인장기요양시설||||||가나의료기|(옥천동)|||200100
예담노인요양원||128.929937408|37.7609680653|복지서비스|033-6536068|강원도 강릉시 성덕로216번길 14||노인장기요양시설||||||예담노인요양원|(두산동)|||200100
러브케어재가장기요양기관||128.929937408|37.7609680653|복지서비스|033-6476067|강원도 강릉시 성덕로216번길 14||노인장기요양시설||||||러브케어재가장기요양기관|(두산동)|||200100
정한방문요양센터||128.9017703030058|37.761346855264065|복지서비스|033-6419047|강원도 강릉시 동부시장1길 12||노인장기요양시설||||||정한방문요양센터|(옥천동)|||200100
강남노인복지센터||128.90580567575827|37.76136091801946|복지서비스|033-6435689|강원도 강릉시 용지각길 20||노인장기요양시설||||||강남노인복지센터|3층 (포남동,성지빌딩)|||200100
행복나눔재가복지직원협동조합||128.90378126369427|37.76295030194914|복지서비스|033-6488988|강원도 강릉시 남구길17번길 25||노인장기요양시설||||||행복나눔재가복지직원협동조합|(포남동)|||200100
민들레재가복지센터||128.90498354347636|37.76363712557216|복지서비스|033-6435024|강원도 강릉시 경강로2223번길 15||노인장기요양시설||||||민들레재가복지센터|(포남동)|||200100
실버벨재가방문센터||128.90635003550764|37.76364745118107|복지서비스|070-87444360|강원도 강릉시 남구길5번길 6||노인장기요양시설||||||실버벨재가방문센터|(포남동)|||200100
천사재가방문센터||128.90796791578106|37.763902321527326|복지서비스|033-6418090|강원도 강릉시 경강로 2242||노인장기요양시설||||||천사재가방문센터|5층 5호 (포남동)|||200100
효자손재가복지센터||128.9085839407|37.7640292705|복지서비스|033-6467300|강원도 강릉시 성덕포남로153번길 32||노인장기요양시설||||||효자손재가복지센터|(포남동)|||200100
누가노인복지센터||128.89126061061745|37.76446359673417|복지서비스|033-6434363|강원도 강릉시 옛강일길 61||노인장기요양시설||||||누가노인복지센터|(교동)|||200100
고은손||128.91758786018832|37.76502891993363|복지서비스|033-6431475|강원도 강릉시 강변로 520-5||노인장기요양시설||||||고은손|(입암동)|||200100
기쁨샘||128.84265886941887|37.766383297590224|복지서비스|033-6444320|강원도 강릉시 성산면 송두길 85-5||노인장기요양시설||||||기쁨샘||||200100
강릉/사랑의뜰안/요양원||128.89100570278092|37.766395489979956|복지서비스|033-6483476|강원도 강릉시 율곡로2953번길 2-1||노인장기요양시설||||||강릉 사랑의뜰안 요양원|(교동)|||200100
강릉자비노인복지센터||128.907740287418|37.76687877831468|복지서비스|033-6558785|강원도 강릉시 경강로2267번길 19||노인장기요양시설||||||강릉자비노인복지센터|(포남동)|||200100
강릉노인요양공동생활가정||128.91112527690424|37.76700768335906|복지서비스|033-6428898|강원도 강릉시 성덕포남로162번길 6||노인장기요양시설||||||강릉노인요양공동생활가정|(포남동)|||200100
강릉재가노인종합지원센터||128.91112527690424|37.76700768335906|복지서비스|033-6428898|강원도 강릉시 성덕포남로162번길 6||노인장기요양시설||||||강릉재가노인종합지원센터|(포남동)|||200100
강릉지역자활센터재가장기요양기관||128.8873574285|37.7559069286|복지서비스|033-6434101|강원도 강릉시 명주로 69||사회서비스제공기관||||||강릉지역자활센터재가장기요양기관|(교동)|||200100
