##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@작은도서관
꿈이영그는작은도서관||||작은도서관|000-0000-0000|경기도 용인시 수지구 광교마을로 90||||||||꿈이영그는작은도서관|(상현동,광교마을휴먼시아41단지) 꿈이영그는작은도서관|||200102
고림양우작은도서관||||작은도서관|000-0000-0000|경기도 용인시 처인구 경안천로 112||||||||고림양우작은도서관|(고림동,고림지구 양우내안애 에듀파크) 관리사무소 건물 1층|||200102
한울타리작은도서관||||작은도서관|000-0000-0000|경기도 용인시 기흥구 동백중앙로 269||||||||한울타리작은도서관|(중동) 401호|||200102
아라꿈도서관||||작은도서관|032-569-6671|인천광역시 서구 정서진로 651||||||||아라꿈도서관|(시천동) 서해5도수산물복합문화센터 3층|||200102
동행/작은도서관||||작은도서관|032-258-1062|인천광역시 서구 고래울로 6-1||||||||동행 작은도서관|(가좌동) 동행 작은도서관|||200102
글고운도서관||||작은도서관|000-0000-0000|경기도 군포시 번영로200번길 71||||||||글고운도서관|(부곡동,삼성마을) 관리동|||200102
언덕마을18단지/작은도서관||||작은도서관|031-8059-5320|경기도 화성시 향남읍 상신하길로 35||||||||언덕마을18단지 작은도서관|(언덕마을 18단지) 언덕마을18단지 작은도서관|||200102
유엔평화기념관/작은도서관||||작은도서관|000-0000-0000|부산광역시 남구 홍곡로320번길 106||||||||유엔평화기념관 작은도서관|(대연동) 유엔평화기념관 3층|||200102
베리타스작은도서관||||작은도서관|000-0000-0000|경기도 시흥시 배곧1로 27-16||||||||베리타스작은도서관|(정왕동,한라비발디캠퍼스2차) 커뮤니티센터|||200102
소래산작은도서관||||작은도서관|000-0000-0000|경기도 시흥시 소래산길 11||||||||소래산작은도서관|(대야동) ABC행복학습타운 내|||200102
하브루타작은도서관||||작은도서관|000-0000-0000|경기도 화성시 병점동로42번길 24||||||||하브루타작은도서관|(병점동) 202호|||200102
물버들마을도서관||||작은도서관|000-0000-0000|충청남도 서천군 마산면 한마로 456-51||||||||물버들마을도서관|물버들마을도서관|||200102
야음장생포동/마을문고||||작은도서관|052-226-2801|울산광역시 남구 여천로12번길 50||||||||야음장생포동 마을문고|(야음동) 야음장생포동 마을문고|||200102
이야기나눔/작은도서관||||작은도서관|033-573-0131|강원도 삼척시 오십천로 407||||||||이야기나눔 작은도서관|(읍중동) 2층 202호|||200102
코아루플러스아파트/작은도서관||||작은도서관|033-573-8034|강원도 삼척시 엑스포로 173||||||||코아루플러스아파트 작은도서관|(건지동,코아루플러스아파트) 관리사무소2층|||200102
동탄역센트럴상록작은도서관||||작은도서관|000-0000-0000|경기도 화성시 동탄대로22길 9||||||||동탄역센트럴상록작은도서관|(영천동,동탄역 센트럴 상록아파트) 동탄역센트럴상록아파트|||200102
동화/작은도서관||||작은도서관|031-298-6080|경기도 화성시 봉담읍 동화새터길 121||||||||동화 작은도서관|(휴먼시아동화마을아파트) 동화마을3단지|||200102
다올책사랑방/작은도서관||||작은도서관|000-0000-0000|충청남도 홍성군 홍북읍 청사로48번길 16-1||||||||다올책사랑방 작은도서관|자경빌딩2층 203호|||200102
키작은/소나무숲/작은도서관||||작은도서관|000-0000-0000|경기도 고양시 덕양구 권율대로 726||||||||키작은 소나무숲 작은도서관|(원흥동,삼송마을14단지아파트) 관리사무소 2층|||200102
