##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@보건소
곡성군보건의료원||127.296904133|35.2788662616|보건소|061-362-4000|전라남도 곡성군 곡성읍 곡성로 854||||||||곡성군보건의료원|(곡성읍)|||30301
구례군보건의료원||127.461779011|35.2160741079|보건소|061-780-2003|전라남도 구례군 구례읍 동편제길 30||||||||구례군보건의료원|(구례읍)|||30301
무주군보건의료원||127.671699071|36.0058820243|보건소|063-320-8314|전라북도 무주군 무주읍 한풍루로 413||||||||무주군보건의료원|(무주읍)|||30301
산청군보건의료원||127.884238144|35.4160820623|보건소|055-970-7500|경상남도 산청군 산청읍 중앙로 97||||||||산청군보건의료원|()|||30301
순창군보건의료원||127.143624542|35.367104757|보건소|063-650-5322|전라북도 순창군 순창읍 교성로 135||||||||순창군보건의료원|(순창군보건의료원)|||30301
연천군보건의료원||127.060962784|38.0235344463|보건소|031-839-4001|경기도 연천군 전곡읍 은대성로 95||||||||연천군보건의료원|(전곡읍)|||30301
완도군보건의료원||126.731322945|34.3358245484|보건소|061-550-6720|전라남도 완도군 완도읍 농공단지길 34||||||||완도군보건의료원|(완도읍)|||30301
울릉군보건의료원||130.898832628|37.4859010227|보건소|054-790-6871|경상북도 울릉군 울릉읍 울릉순환로 396-18||||||||울릉군보건의료원|()|||30301
임실군보건의료원||127.2869773|35.6124995|보건소|063-640-3102|전라북도 임실군 임실읍 호국로 1680-1680||||||||임실군보건의료원|1680|||30301
장수군보건의료원||127.519437604|35.6545855385|보건소|063-351-8000|전라북도 장수군 장수읍 장천로 247||||||||장수군보건의료원|()|||30301
진안군의료원||127.431720481|35.7952483675|보건소|063-430-7000|전라북도 진안군 진안읍 진무로 1145||||||||진안군의료원|(진안읍)|||30301
청송군보건의료원||129.0518338|36.4311459|보건소|054-870-7126|경상북도 청송군 청송읍 의료원길 19-19||||||||청송군보건의료원|19|||30301
청양군보건의료원||126.804937238|36.455019779|보건소|041-942-3401|충청남도 청양군 청양읍 칠갑산로7길 54||||||||청양군보건의료원|()|||30301
태안군보건의료원||126.323198708|36.7518786039|보건소|041-671-5315|충청남도 태안군 태안읍 서해로 1952-16||||||||태안군보건의료원|()|||30301
