##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@광주은행
광주은행|광교지점|0245127.0695233|37.2972025|광주은행|031-217-0201|경기도 용인시 수지구 광교중앙로 304||||||||광주은행 광교지점|(상현동) 미주프라자 2층|||40201
광주은행|김포지점|0238126.667707|37.644387|광주은행|031-996-9500|경기도 김포시 김포한강4로 119||||||||광주은행 김포지점|(장기동) 승문프라자 3층|||40201
광주은행|동탄지점|0248127.0984463|37.1971977|광주은행|031-376-9811|경기도 화성시 동탄대로 489||||||||광주은행 동탄지점|(오산동) 우성KTX타워 3층 309호|||40201
광주은행|부천상동지점|0228126.753974|37.505465|광주은행|032-323-8400|경기도 부천시 원미구 상동로 90||||||||광주은행 부천상동지점|(상동) 메가플러스빌딩 4층|||40201
광주은행|분당금융센터|0229127.1214834|37.3849802|광주은행|031-8017-4600|경기도 성남시 분당구 황새울로 324||||||||광주은행 분당금융센터|(서현동) 대홍빌딩 3층|||40201
광주은행|수원영통지점|0227127.0740408|37.2550386|광주은행|031-203-9600|경기도 수원시 영통구 봉영로 1613||||||||광주은행 수원영통지점|(영통동) 영통하우스토리 상가 2층|||40201
광주은행|안양지점|0239126.965373|37.396001|광주은행|031-423-0100|경기도 안양시 동안구 시민대로 317||||||||광주은행 안양지점|(관양동) 대한스마트빌딩 2층|||40201
광주은행|일산주엽지점|0237126.763441|37.668825|광주은행|031-919-2400|경기도 고양시 일산서구 강선로 49||||||||광주은행 일산주엽지점|(주엽동) 일산비스타 2층|||40201
광주은행|PrimePB센터|07520|0|광주은행|062-385-7791|광주 서구 상무누리로 55||||||||광주은행 PrimePB센터|홀리데이인호텔 1층 (치평동)|||40201
광주은행|각화동지점|0091126.933509|35.186066|광주은행|062-264-2951|광주광역시 북구 동문대로 280||||||||광주은행 각화동지점|(각화동)|||40201
광주은행|경양로지점|0053126.920298|35.164276|광주은행|062-523-5910|광주광역시 동구 중앙로 358||||||||광주은행 경양로지점|(계림동)|||40201
광주은행|계림지점|0010126.919697|35.153205|광주은행|062-227-1236|광주광역시 동구 중앙로 240||||||||광주은행 계림지점|(동명동)|||40201
광주은행|광주시청지점|0055126.85167|35.160021|광주은행|062-374-0601|광주광역시 서구 내방로 111||||||||광주은행 광주시청지점|광주시청 (치평동)|||40201
광주은행|금남로지점|0019126.914826|35.150786|광주은행|062-223-3401|광주광역시 동구 금남로 201||||||||광주은행 금남로지점|(금남로4가)|||40201
광주은행|금호동지점|0137126.856953|35.144546|광주은행|062-376-8326|광주광역시 서구 운천로 131||||||||광주은행 금호동지점|(쌍촌동)|||40201
광주은행|농성동지점|0105126.890114|35.15088|광주은행|062-365-2401|광주광역시 서구 경열로 38||||||||광주은행 농성동지점|2층 (농성동)|||40201
광주은행|동구청출장소|0007126.922897|35.146199|광주은행|062-228-1600|광주광역시 동구 서남로 1||||||||광주은행 동구청출장소|(서석동)|||40201
광주은행|동림지점|0069126.866226|35.186685|광주은행|062-513-8741|광주광역시 북구 북문대로 237번길 (동림동) ||||||||광주은행 동림지점||||40201
광주은행|동운지점|0066126.8895927|35.1724164|광주은행|062-528-2852|광주광역시 북구 금호로 35||||||||광주은행 동운지점|3층 (운암동)|||40201
광주은행|두암타운지점|0032126.935435|35.161584|광주은행|062-266-9371|광주광역시 동구 갈마로 46||||||||광주은행 두암타운지점|(산수동)|||40201
광주은행|만호마재지점|0139126.851383|35.132106|광주은행|062-682-4632|광주광역시 서구 금화로 23||||||||광주은행 만호마재지점|2층 (금호동)|||40201
광주은행|매곡동지점|0080126.891794|35.187228|광주은행|062-574-0002|광주광역시 북구 서하로 104||||||||광주은행 매곡동지점|(매곡동)|||40201
광주은행|매월동지점|0140126.85975|35.115669|광주은행|062-654-3355|광주광역시 서구 매월4로 34||||||||광주은행 매월동지점|(매월동)|||40201
광주은행|문화동지점|0085126.925764|35.173295|광주은행|062-264-8191|광주광역시 북구 동문대로 116||||||||광주은행 문화동지점|(두암동)|||40201
광주은행|문화전당지점|0006126.9182679|35.1464081|광주은행|062-227-4221|광주광역시 동구 서석로 42||||||||광주은행 문화전당지점|2층 (광산동)|||40201
광주은행|문흥지점|0076126.920564|35.185863|광주은행|062-267-4091|광주광역시 북구 서하로 372||||||||광주은행 문흥지점|2층 (문흥동)|||40201
광주은행|백운동지점|0125126.902714|35.13194|광주은행|062-652-0461|광주광역시 남구 봉선로 13||||||||광주은행 백운동지점|(주월동)|||40201
광주은행|법원지점|0430126.935362|35.149848|광주은행|062-222-1166|광주광역시 동구 준법로 7-12||||||||광주은행 법원지점|(지산동)|||40201
광주은행|봉선동지점|0028126.910908|35.128217|광주은행|062-671-2161|광주광역시 남구 봉선중앙로 81||||||||광주은행 봉선동지점|(봉선동)|||40201
광주은행|봉선이마트지점|0025126.915857|35.122618|광주은행|062-653-5885|광주광역시 남구 봉선로 198||||||||광주은행 봉선이마트지점|(봉선동)|||40201
광주은행|북구청출장소|0077126.912261|35.174458|광주은행|062-524-0235|광주광역시 북구 우치로 77||||||||광주은행 북구청출장소|(용봉동)|||40201
광주은행|빛고을건강타운출장소|0058126.896658|35.0997385|광주은행|062-672-7677|광주광역시 남구 덕남길 7||||||||광주은행 빛고을건강타운출장소|빛고을건강타운복지관 지하층 (노대동)|||40201
광주은행|산수동지점|0031126.931178|35.153925|광주은행|062-222-3181|광주광역시 동구 필문대로 190||||||||광주은행 산수동지점|2층 (산수동)|||40201
광주은행|삼각지점|0083126.89936|35.188659|광주은행|062-269-2141|광주광역시 북구 설죽로 328||||||||광주은행 삼각지점|2층 (오치동)|||40201
광주은행|상무지점|0170126.8472607|35.155349|광주은행|062-381-4455|광주광역시 서구 상무시민로 75||||||||광주은행 상무지점|(치평동)|||40201
광주은행|상무버들지점|0169126.863276|35.158184|광주은행|062-371-6996|광주광역시 서구 상일로 28||||||||광주은행 상무버들지점|(쌍촌동)|||40201
