##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@대구은행
대구은행|3공단영업부|||대구은행|053-354-5081|대구광역시 북구 노원동로 2||||||||대구은행 3공단영업부|(노원동2가 133)|||40202
대구은행|YU본관점|||대구은행|053-801-1378|경상북도 경산시 대학로 280||||||||대구은행 YU본관점|영남대학교 본관1층 (대동214-1)|||40202
대구은행|가톨릭대학병원출장소|||대구은행|053-653-8811|대구광역시 남구 두류공원로17길 33||||||||대구은행 가톨릭대학병원출장소|(대명동 3056-6 가톨릭병원본관1층)|||40202
대구은행|강남영업부|||대구은행|02-588-2780|서울특별시 강남구 테헤란로 405||||||||대구은행 강남영업부|(삼성동 141-32 보광빌딩2층)|||40202
대구은행|강서영업부|||대구은행|051-832-5650|부산광역시 강서구 명지국제2로 80||||||||대구은행 강서영업부|e편한세상명지 201호 (명지동 3599-1 e편한세상명지 201호)|||40202
대구은행|강촌지점|||대구은행|053-984-8312|대구광역시 동구 화랑로80길 12||||||||대구은행 강촌지점|(방촌동 1120-39 강촌빌딩)|||40202
대구은행|검단공단지점|||대구은행|053-384-9248|대구광역시 북구 검단로 135||||||||대구은행 검단공단지점|(검단동) 101동 115호 (검단동 383-4 검단팩토리밸리 101동115호)|||40202
대구은행|경북개발공사점|||대구은행|053-816-2100|경상북도 예천군 호명면 행복로 35||||||||대구은행 경북개발공사점|(금능리 735)|||40202
대구은행|경북대병원지점|||대구은행|053-421-8541|대구광역시 중구 동덕로 130||||||||대구은행 경북대병원지점|(삼덕2가 50 경북대병원 PET동1층)|||40202
대구은행|경북대지점|||대구은행|053-944-1081|대구광역시 북구 대학로 80||||||||대구은행 경북대지점|(산격동 1370-1 경북대학교 DGB문화센터건물 1층)|||40202
대구은행|경북도청지점|||대구은행|054-841-0271|경상북도 안동시 풍천면 도청대로 455||||||||대구은행 경북도청지점|주민복지관 1층 (갈전리 1155)|||40202
대구은행|경산공단영업부|||대구은행|053-856-8671|경상북도 경산시 진량읍 공단2로 64||||||||대구은행 경산공단영업부|(진량면 신상리 1195-1)|||40202
대구은행|경산시청출장소|||대구은행|053-811-4467|경상북도 경산시 남매로 159||||||||대구은행 경산시청출장소|(중방동 701-17 청내)|||40202
대구은행|경산영업부|||대구은행|053-811-3071|경상북도 경산시 중앙로 85||||||||대구은행 경산영업부|(중방동 508)|||40202
대구은행|경운대출장소|||대구은행|054-471-7694|경상북도 구미시 산동면 강동로 724-5||||||||대구은행 경운대출장소|(산동면 55 경운대학교내)|||40202
대구은행|경일대출장소|||대구은행|053-851-0005|경상북도 경산시 하양읍 가마실길 50||||||||대구은행 경일대출장소|(하양읍 33 경일대 제1학생회관)|||40202
대구은행|경주시청출장소|||대구은행|054-742-6453|경상북도 경주시 양정로 260||||||||대구은행 경주시청출장소|(동천동 800)|||40202
대구은행|경주영업부|||대구은행|054-772-3701|경상북도 경주시 화랑로 67||||||||대구은행 경주영업부|(서부동 222-5)|||40202
대구은행|계명대동산병원점|||대구은행|053-581-6732|대구광역시 달서구 달구벌대로 1035||||||||대구은행 계명대동산병원점|(신당동 1000-2,지하1층)|||40202
대구은행|계명대지점|||대구은행|053-581-1262|대구광역시 달서구 달구벌대로 1095||||||||대구은행 계명대지점|(신당동 1000 대학원건물)|||40202
대구은행|계산동지점|||대구은행|053-256-2850|대구광역시 중구 서성로 20||||||||대구은행 계산동지점|(계산동2가 71 매일빌딩1층)|||40202
대구은행|고령지점|||대구은행|054-954-1591~4|경상북도 고령군 고령읍 왕릉로 114||||||||대구은행 고령지점|(고령읍 469-1)|||40202
대구은행|고산점|||대구은행|053-792-2181|대구광역시 수성구 달구벌대로 3093||||||||대구은행 고산점|(시지동 135-14)|||40202
대구은행|관음점|||대구은행|053-322-0277|대구광역시 북구 영송로 85||||||||대구은행 관음점|(태전동 936-1 한신중앙상가 1층)|||40202
대구은행|광장지점|||대구은행|053-558-2070|대구광역시 서구 달구벌대로 1703||||||||대구은행 광장지점|(내당동 463-34 광장코아 1층)|||40202
대구은행|구미4공단지점|||대구은행|054-476-2451|경상북도 구미시 산호대로31길 11||||||||대구은행 구미4공단지점|(옥계동 834-5)|||40202
대구은행|구미시청출장소|||대구은행|054-456-0616|경상북도 구미시 송정대로 55||||||||대구은행 구미시청출장소|(송정동 50 청내)|||40202
대구은행|구미영업부|||대구은행|054-461-4061|경상북도 구미시 수출대로 116||||||||대구은행 구미영업부|(공단동 206-1)|||40202
대구은행|구미중앙로점|||대구은행|054-452-4611|경상북도 구미시 구미중앙로 117||||||||대구은행 구미중앙로점|(원평동 367-11)|||40202
대구은행|구암동지점|||대구은행|053-322-4381|대구광역시 북구 구암로32길 6-20||||||||대구은행 구암동지점|(구암동 653-2)|||40202
대구은행|금호사수점|||대구은행|053-326-7740|대구광역시 북구 한강로4길 13-1||||||||대구은행 금호사수점|(사수동 966)|||40202
대구은행|김천지점|||대구은행|054-434-7361|경상북도 김천시 시청로 75||||||||대구은행 김천지점|(신음동 990-1 신세계이마트)|||40202
대구은행|김천혁신도시지점|||대구은행|054-437-9151|경상북도 김천시 혁신3로 5||||||||대구은행 김천혁신도시지점|율곡스퀘어Ⅲ (율곡동 780)|||40202
대구은행|김해지점|||대구은행|055-311-4152|경상남도 김해시 김해대로 2520||||||||대구은행 김해지점|(삼정동 JW웨딩컨벤션) (삼정동 315)|||40202
대구은행|남구청출장소|||대구은행|053-475-7154|대구광역시 남구 이천로 51||||||||대구은행 남구청출장소|(봉덕동 565-5 남구청내)|||40202
대구은행|남문시장지점|||대구은행|053-252-6101|대구광역시 중구 중앙대로 303||||||||대구은행 남문시장지점|(남산동 700-11 라파엘내과 1층)|||40202
대구은행|내당동지점|||대구은행|053-558-0161|대구광역시 서구 달서로 1||||||||대구은행 내당동지점|(내당동 871-2)|||40202
대구은행|내당역점|||대구은행|053-650-7600|대구광역시 달서구 달구벌대로 1834||||||||대구은행 내당역점|(두류동 87-36 성안오피스텔1층)|||40202
대구은행|노변지점|||대구은행|053-791-9233|대구광역시 수성구 시지로 55||||||||대구은행 노변지점|(시지동 498 고산노변상가 1/101)|||40202
대구은행|노원동지점|||대구은행|053-354-5321|대구광역시 북구 노원로 169||||||||대구은행 노원동지점|(노원동3가 1205-1 삼공빌딩)|||40202
대구은행|다사지점|||대구은행|053-588-6231|대구광역시 달성군 다사읍 달구벌대로 879||||||||대구은행 다사지점|(다사읍 매곡리 1546-14)|||40202
대구은행|달서구청출장소|||대구은행|053-636-0695|대구광역시 달서구 학산로 45||||||||대구은행 달서구청출장소|(월성동 281 달서구청내)|||40202
대구은행|달성공단영업부|||대구은행|053-615-4511|대구광역시 달성군 논공읍 논공중앙로33길 17||||||||대구은행 달성공단영업부|(논공읍 북리 1-101)|||40202
대구은행|달성군청출장소|||대구은행|053-616-2966|대구광역시 달성군 논공읍 달성군청로 33||||||||대구은행 달성군청출장소|(논공면 1313 달성군청 신청사 1층)|||40202
대구은행|대곡역지점|||대구은행|053-639-3541|대구광역시 달성군 화원읍 비슬로 2723||||||||대구은행 대곡역지점|(화원읍 구라리 1737-1)|||40202
대구은행|대곡지점|||대구은행|053-642-8383|대구광역시 달서구 도원로 29||||||||대구은행 대곡지점|(도원동 1436-2 중앙빌딩)|||40202
대구은행|대구가톨릭대출장소|||대구은행|053-852-7570|경상북도 경산시 하양로 13-13||||||||대구은행 대구가톨릭대출장소|대구가톨릭대학교 취업.창업센터1층 (하양읍 330 대구가톨릭대학교 취업.창업센터1층)|||40202
대구은행|대구경북과학기술원점|||대구은행|053-611-1061|대구광역시 달성군 현풍면 테크노 중앙대로 333||||||||대구은행 대구경북과학기술원점|(현풍면 50-1 대구경북과학기술원)|||40202
대구은행|대구교육대점|||대구은행|053-651-0491|대구광역시 남구 중앙대로 219||||||||대구은행 대구교육대점|(대명2동 1797-6 대구교육대학교 상록복지관 1층)|||40202
대구은행|대구국제공항출장소|||대구은행|053-984-1977|대구광역시 동구 공항로 221||||||||대구은행 대구국제공항출장소|(지저동 400-1 대구국제공항내1층)|||40202
대구은행|대구대지점|||대구은행|053-853-8974|경상북도 경산시 진량읍 대구대로 201||||||||대구은행 대구대지점|(진량면 15 본관)|||40202
대구은행|대구도시공사점|||대구은행|053-351-0684|대구광역시 북구 침산로 73||||||||대구은행 대구도시공사점|(고성동3가 1-1 대구도시공사내)|||40202
대구은행|대구시청별관출장소|||대구은행|053-431-2330|대구광역시 북구 연암로 40||||||||대구은행 대구시청별관출장소|구.경북도청 민원실 (산격동 1445-3 구.경북도청 민원실)|||40202
대구은행|대구한의대점|||대구은행|053-801-1147|경상북도 경산시 한의대로 1||||||||대구은행 대구한의대점|(유곡동 290-1번지 대구한의대학교 내)|||40202
대구은행|대구혁신도시지점|||대구은행|053-961-6748|대구광역시 동구 동내로 88||||||||대구은행 대구혁신도시지점|(동내동) (동내동 1120 커뮤니케이션센터 1층)|||40202
대구은행|대덕지점|||대구은행|053-627-1621|대구광역시 남구 대명로 195||||||||대구은행 대덕지점|(대명동 784-2)|||40202
대구은행|대명동지점|||대구은행|053-621-6391|대구광역시 남구 중앙대로 147||||||||대구은행 대명동지점|(대명동 37-5)|||40202
대구은행|대백프라자점|||대구은행|053-426-8507|대구광역시 중구 명덕로 333||||||||대구은행 대백프라자점|(대봉동 214 대백프라자 10층)|||40202
대구은행|대봉동지점|||대구은행|053-476-6166|대구광역시 남구 명덕로 308||||||||대구은행 대봉동지점|(이천동 184-32)|||40202
대구은행|대신동지점|||대구은행|0535545181|대구광역시 중구 국채보상로 469||||||||대구은행 대신동지점|(대신동) (대신동 103-13)|||40202
대구은행|대이동지점|||대구은행|054-275-3622|경상북도 포항시 남구 포스코대로 130||||||||대구은행 대이동지점|(남구 대잠동 459-1 번지 1층)|||40202
대구은행|대전지점|||대구은행|042-478-6675||대전광역시 서구 둔산동 1506|||||||대구은행 대전지점|대광빌딩 2층 (문예로 65,대광빌딩 2층)|||40202
대구은행|대천로지점|||대구은행|053-639-7450|대구광역시 달서구 조암남로 41||||||||대구은행 대천로지점|(월성1동 1266-3 유창빌딩 1층)|||40202
대구은행|대현동지점|||대구은행|053-943-1560|대구광역시 북구 대현남로6길 20||||||||대구은행 대현동지점|대구대현엘에이치3단지 (대현동 535)|||40202
대구은행|덕산지점|||대구은행|053-252-4605|대구광역시 중구 남산로 61||||||||대구은행 덕산지점|(남산4동 107-31)|||40202
대구은행|도량동지점|||대구은행|054-442-9437|경상북도 구미시 송동로 122||||||||대구은행 도량동지점|(도량동 114-2)|||40202
대구은행|동구청지점|||대구은행|053-958-1101|대구광역시 동구 아양로 207||||||||대구은행 동구청지점|(신암동36-1)|||40202
대구은행|동대구로지점|||대구은행|053-755-1806|대구광역시 수성구 동대구로 382||||||||대구은행 동대구로지점|(범어동 45-13)|||40202
대구은행|동대구역점|||대구은행|053-741-7145|대구광역시 동구 동대구로 550||||||||대구은행 동대구역점|(신암동) 동대구역 (신천동 1506)|||40202
대구은행|동북로지점|||대구은행|053-956-1575|대구광역시 북구 동북로 287||||||||대구은행 동북로지점|(복현2동 340-30)|||40202
대구은행|동산의료원출장소|||대구은행|053-254-7290|대구광역시 중구 달성로 56||||||||대구은행 동산의료원출장소|(동산동 194 동산의료원내)|||40202
대구은행|동서변지점|||대구은행|053-958-4850|대구광역시 북구 호국로 209||||||||대구은행 동서변지점|(서변동 1787-2)|||40202
대구은행|동성로지점|||대구은행|053-421-5061|대구광역시 중구 동성로5길 26||||||||대구은행 동성로지점|(공평동 45-1 구.국제빌딩 1층)|||40202
대구은행|두류점|||대구은행|053-621-7771|대구광역시 달서구 달구벌대로 1728||||||||대구은행 두류점|(두류동 488-1)|||40202
대구은행|두산동지점|||대구은행|053-766-3283|대구광역시 수성구 동대구로 59||||||||대구은행 두산동지점|(두산동 105 대우트럼프월드 수성단지내 상가C동)|||40202
대구은행|두호동지점|||대구은행|054-255-7772|경상북도 포항시 북구 두호로 35||||||||대구은행 두호동지점|(북구 두호동 1052 미문빌딩)|||40202
대구은행|만촌동지점|||대구은행|053-741-8771|대구광역시 수성구 달구벌대로 2503||||||||대구은행 만촌동지점|(범어동 223-5 동일빌딩)|||40202
대구은행|만촌역지점|||대구은행|053-742-3561|대구광역시 수성구 달구벌대로 2620||||||||대구은행 만촌역지점|(만촌동 849-6)|||40202
대구은행|만촌우방점|||대구은행|053-744-9680|대구광역시 수성구 교학로11길 46||||||||대구은행 만촌우방점|(만촌3동 816 만촌1차우방타운상가213호)|||40202
대구은행|매천점|||대구은행|053-327-2161|대구광역시 북구 매전로 12||||||||대구은행 매천점|(매천동 679)|||40202
대구은행|메트로팔레스지점|||대구은행|053-744-5680|대구광역시 수성구 동원로 135||||||||대구은행 메트로팔레스지점|상가 122동 204호 (만촌동 1356-3 메트로팔레스상가122동204호)|||40202
대구은행|명가타운지점|||대구은행|053-591-1890|대구광역시 달서구 호산로 125||||||||대구은행 명가타운지점|(파호동 89 삼성명가타운상가204호)|||40202
대구은행|목련시장점|||대구은행|053-783-0740|대구광역시 수성구 용학로 206||||||||대구은행 목련시장점|(지산동 1194-2)|||40202
대구은행|문경시청출장소|||대구은행|054-552-2730|경상북도 문경시 당교로 225||||||||대구은행 문경시청출장소|(모전동 220 문경시청내)|||40202
대구은행|문경지점|||대구은행|054-552-2701|경상북도 문경시 중앙로 102||||||||대구은행 문경지점|(점촌동 273-7)|||40202
대구은행|반야월지점|||대구은행|053-961-3061|대구광역시 동구 안심로 401||||||||대구은행 반야월지점|(신서동) (신서동 717)|||40202
대구은행|반월공단지점|||대구은행|031-492-9108|경기도 안산시 단원구 성곡로 176||||||||대구은행 반월공단지점|가동 117호,118호 (성곡동,타원타크라지식산업센타) (성곡동 645-5 가동 117호,118호)|||40202
대구은행|반월당지점|||대구은행|053-425-5815|대구광역시 중구 달구벌대로 2105||||||||대구은행 반월당지점|(덕산동) (덕산동 96 (덕산빌딩 1층))|||40202
대구은행|방촌지점|||대구은행|053-982-1734|대구광역시 동구 동촌로 299||||||||대구은행 방촌지점|(방촌동 887-2 태화빌딩)|||40202
대구은행|범물1동점|||대구은행|053-782-0357|대구광역시 수성구 지범로39길 12||||||||대구은행 범물1동점|(범물1동 1281 범물청구타운상가1,2,3호)|||40202
대구은행|범어3동점|||대구은행|053-759-5217|대구광역시 수성구 범어천로 200||||||||대구은행 범어3동점|(범어3동 970-13 월드메르디앙카운티 상가 1,2층)|||40202
대구은행|범어4동지점|||대구은행|053-756-8631|대구광역시 수성구 달구벌대로496길 26||||||||대구은행 범어4동지점|(범어동 257-1)|||40202
대구은행|범어동지점|||대구은행|053-752-9883|대구광역시 수성구 달구벌대로 2387||||||||대구은행 범어동지점|(범어동 557-10)|||40202
