##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@SK증권
SK증권|경기PIB센터|127.125474|37.385491|SK증권|031-708-8245|경기도 성남시 분당구 황새울로360번길 25|경기도 성남시 분당구 서현동 246-3|||||||경기PIB센터|2F (서현동,한국학원빌딩);한국학원B/D 2F|||40508
SK증권|경인PIB센터|126.75504|37.491106|SK증권|032-325-8245|경기도 부천시 원미구 송내대로 88||||||||경인PIB센터|3F (상동,산업은행빌딩)|||40508
SK증권|광주PIB센터|126.847977|35.147716|SK증권|062-222-8245|광주광역시 서구 상무중앙로 9|광주 서구 치평동 1176-1|||||||광주PIB센터|(치평동,동양빌딩 4F);동양빌딩 4F|||40508
SK증권|구서지점|129.090976|35.256177|SK증권|051-581-8245|부산시 금정구 중앙대로 1925|부산시 금정구 구서동 184-3|||||||구서|3F (구서동,금정타워빌딩);금정타워B/D 3F|||40508
SK증권|남양주지점|127.243309|37.654063|SK증권|031-594-8245|경기도 남양주시 늘을1로16번길 29|경기도 남양주시 호평동 638-1|||||||남양주|3F (호평동,늘봄타워);늘봄타워 3F|||40508
SK증권|남원지점|127.3803297|35.4065327|SK증권|063-633-8245|전라북도 남원시 남문로 447||||||||남원|3층 (하정동,주차장)|||40508
SK증권|대구PIB센터|128.547093|35.836703|SK증권|053-651-8245|대구시 달서구 구마로 176||||||||대구PIB센터|3F (본동,송림백화점)|||40508
SK증권|대전지점|127.380525|36.35156|SK증권|042-472-8245|대전시 서구 둔산로 59|대전시 서구 둔산동 1275|||||||대전|2F (둔산동,아이빌딩);아이B/D 2F|||40508
SK증권|명동PIB센터|126.983941|37.567035|SK증권|02-774-8245|서울특별시 중구 을지로5길 19||||||||명동PIB센터|11층 (수하동,FERRUMTOWER);11층 (수하동,FERRUMTOWER)|||40508
SK증권|부산지점|129.062689|35.13923|SK증권|051-633-8245|부산시 동구 조방로16번길 5|부산시 동구 범일동 830-136|||||||부산|2F (범일동,SK네트웍스빌딩);SK네트웍스B/D 2F|||40508
SK증권|삼천포지점|128.076588|34.933789|SK증권|055-834-8245|경남 사천시 중앙로 85|경남 사천시 동금동 141-7|||||||삼천포|3F (동금동,경남은행빌딩);경남은행B/D 3F|||40508
SK증권|서인천지점|126.676413|37.543465|SK증권|032-568-8245|인천시 서구 서곶로 293|인천시 서구 심곡동 248|||||||서인천|4F (심곡동,우민빌딩);우민B/D 4F|||40508
SK증권|서초PIB센터|126.997495|37.480851|SK증권|02-521-8245|서울특별시 서초구 방배로 73||||||||서초PIB센터|1F (방배동,양지빌딩)|||40508
SK증권|수성PIB센터|128.6242829|35.8595798|SK증권|053-254-8245|대구광역시 수성구 달구벌대로 2393||||||||수성PIB센터|3층 (범어동,요아킴빌딩);3층 (범어동,요아킴빌딩)|||40508
SK증권|안산지점|126.862272|37.301402|SK증권|031-416-8245|경기도 안산시 상록구 용신로 364||||||||안산|6층 (본오동,안산상록수우체국);6층 (본오동,안산상록수우체국)|||40508
SK증권|압구정PIB센터|127.029684|37.526947|SK증권|02-515-8245|서울특별시 강남구 논현로176길 14|서울 강남구 신사동 612-1|||||||압구정PIB센터|1F 4F 6F (신사동,증권빌딩);증권빌딩 1F,4F,6F|||40508
SK증권|영업부PIB센터|126.927882|37.520128|SK증권|02-3773-8245|서울특별시 영등포구 국제금융로8길 31|서울특별시 영등포구 여의도동 , 45-1|||||||영업부PIB센터|2F (여의도동,SK증권빌딩);SK증권빌딩|||40508
SK증권|울산지점|129.333675|35.538949|SK증권|052-258-8245|울산시 남구 삼산로 243||||||||울산|2F (달동,종범빌딩)|||40508
SK증권|이천지점|127.44658|37.280345|SK증권|031-634-8245|경기도 이천시 이섭대천로 1233|경기도 이천시 창전동 165|||||||이천|5F (창전동,화창빌딩);화창B/D 5F|||40508
SK증권|전주지점|127.122854|35.805585|SK증권|063-287-8245|전북 전주시 완산구 백제대로 141||||||||전주|2F (효자동1가,영광빌딩)|||40508
SK증권|진주지점|128.111291|35.180122|SK증권|055-759-8245|경남 진주시 동진로 183|경남 진주시 상대동 299-4|||||||진주|3F (상대동,태웅빌딩);태웅B/D 3F|||40508
SK증권|창원PIB센터|128.679565|35.219299|SK증권|055-262-8245|경상남도 창원시 성산구 상남로 60||||||||창원PIB센터|(상남동,오션타워)|||40508
SK증권|청주지점|127.431938|36.625146|SK증권|043-268-8245|충북 청주시 흥덕구 풍산로 14|충북 청주시 흥덕구 가경동 1449|||||||청주|3F (가경동,청주여객터미널);여객터미널B/D 3F|||40508
SK증권|포항지점|129.3979353|36.0815459|SK증권|054-249-8245|경북 포항시 북구 장랑로 160||||||||포항|(양덕동,메디컬닥터스 2F);(양덕동,메디컬닥터스 2F)|||40508
SK증권|해운대마린PIB센터|129.142795|35.157134|SK증권|051-894-8245|부산광역시 해운대구 마린시티2로 38||||||||해운대마린PIB센터|4F (우동,해운대lPARK)|||40508
