##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@한국투자증권
한국투자증권|강남대로지점|||한국투자증권|02-3473-2324|서울특별시 서초구 강남대로 331|서울특별시 서초구 서초동 1337-32|||||||한국투자증권 강남대로지점|2층 (서초동,광일빌딩);광일빌딩 2층|||40530
한국투자증권|강동PB센터|||한국투자증권|02-486-1254|서울특별시 강동구 천호대로 1016|서울특별시 강동구 성내동 48-1|||||||한국투자증권 강동PB센터|2층 (성내동,한일빌딩);한일빌딩 2층|||40530
한국투자증권|강릉지점|||한국투자증권|033-641-1414|강원도 강릉시 경강로 2109|강원도 강릉시 임당동 112-1|||||||한국투자증권 강릉지점|1층 (임당동,문선빌딩);문선빌딩 1층|||40530
한국투자증권|강북센터|||한국투자증권|02-6226-6700|서울특별시 종로구 종로5길 7|서울특별시 종로구 청진동 128|||||||한국투자증권 강북센터|4층 (청진동,타워8 본관);타워8 빌딩 본관 4층|||40530
한국투자증권|강서지점|||한국투자증권|02-2697-1254|서울특별시 강서구 화곡로 347|서울특별시 강서구 화곡6동 1095|||||||한국투자증권 강서지점|3층 (화곡6동,아이파크빌딩);아이파크빌딩 3층|||40530
한국투자증권|건대역지점|||한국투자증권|02-467-1212|서울특별시 광진구 능동로 90|서울특별시 광진구 자양동 227-342|||||||한국투자증권 건대역지점|4층 (자양동,더클래식500 A동);더 클래식 500 A동 4층|||40530
한국투자증권|관악PB센터|||한국투자증권|02-884-1254|서울특별시 관악구 신림로 318|서울특별시 관악구 신림동 86-3|||||||한국투자증권 관악PB센터|2층 (청암두산위브센티움);청암두산위브센티움 2층|||40530
한국투자증권|광명지점|||한국투자증권|02-2625-1254|경기도 광명시 오리로 856|경기도 광명시 철산3동 413|||||||한국투자증권 광명지점|2층 (철산3동,한복빌딩);한복빌딩 2층|||40530
한국투자증권|광양지점|||한국투자증권|061-795-5700|전라남도 광양시 공영로 61|전라남도 광양시 중동 1650-5|||||||한국투자증권 광양지점|1층|||40530
한국투자증권|광주PB센터|||한국투자증권|062-232-6006|광주광역시 동구 금남로 239||||||||한국투자증권 광주PB센터|1층 (금남로2가)|||40530
한국투자증권|광화문지점|||한국투자증권|02-736-1778|서울특별시 종로구 새문안로5길 19|서울특별시 종로구 당주동 5|||||||한국투자증권 광화문지점|1층 (당주동,로얄빌딩);로얄빌딩 1층|||40530
한국투자증권|구미지점|||한국투자증권|054-453-1254|경상북도 구미시 송정대로 56|경상북도 구미시 송정동 459-3|||||||한국투자증권 구미지점|1층 (송정동);1층|||40530
한국투자증권|구포지점|||한국투자증권|051-341-1254|부산광역시 북구 만덕대로 3|부산광역시 북구 덕천2동 399-1|||||||한국투자증권 구포지점|1층 (덕천2동,덕천빌딩);덕천빌딩 1층|||40530
한국투자증권|금융센터|||한국투자증권|02-3276-4020|서울특별시 영등포구 의사당대로 88|여의도동 27-1|||||||한국투자증권 금융센터|2층 (여의도동,한국투자증권);한국투자증권 2층|||40530
한국투자증권|남원지점|||한국투자증권|063-633-6611|전라북도 남원시 남문로 462|전라북도 남원시 쌍교동 101-6|||||||한국투자증권 남원지점|2층 (쌍교동,황룡빌딩);황룡빌딩 2층|||40530
한국투자증권|노원PB센터|||한국투자증권|02-952-1212|서울특별시 노원구 동일로 1402.|서울특별시 노원구 상계동 727-3|||||||한국투자증권 노원PB센터|2층 (상계동,기업빌딩)|||40530
한국투자증권|대구지점|||한국투자증권|053-427-3881|대구광역시 중구 달구벌대로 2127|대구광역시 중구 봉산동 28-20|||||||한국투자증권 대구지점|1층 (봉산동,S타워);S타워 1층|||40530
한국투자증권|대전지점|||한국투자증권|042-825-3911|대전시 유성구 도안대로 591|대전광역시 유성구 봉명동 553-4|||||||한국투자증권 대전지점|3층 (봉명동,명동프라자)|||40530
한국투자증권|대치PB센터|||한국투자증권|02-556-1141|서울특별시 강남구 남부순환로 2911|서울특별시 강남구 대치동 653|||||||한국투자증권 대치PB센터|2층 (대치동,청우빌딩);청우빌딩 2층|||40530
한국투자증권|돈암동지점|||한국투자증권|02-926-3911|서울특별시 성북구 동소문로 89|서울특별시 성북구 동소문동6가 117-2|||||||한국투자증권 돈암동지점|2층 (동소문동6가);2층|||40530
한국투자증권|동래PB센터|||한국투자증권|051-553-3001|부산광역시 동래구 충렬대로 194|부산광역시 동래구 명륜동 506-13|||||||한국투자증권 동래PB센터|1층 (명륜동);동림빌딩 1층|||40530
한국투자증권|동수원PB센터|||한국투자증권|031-236-1122|경기도 수원시 팔달구 권광로 199|경기도 수원시 팔달구 인계동 1038-2|||||||한국투자증권 동수원PB센터|세영빌딩 7층;세영빌딩 7층|||40530
한국투자증권|둔산PB센터|||한국투자증권|042-489-4911|대전광역시 서구 둔산서로 47|대전광역시 서구 둔산동 1267|||||||한국투자증권 둔산PB센터|1층 (둔산동,중소기업중앙회빌딩);중소기업중앙회빌딩 1층|||40530
한국투자증권|마산PB센터|||한국투자증권|055-221-1212|경상남도 창원시 마산합포구 남성로 131|경상남도 창원시 마산합포구 동성동 299|||||||한국투자증권 마산PB센터|1층 (동성동);1층|||40530
한국투자증권|마포지점|||한국투자증권|02-3273-1254|서울특별시 마포구 마포대로 68|서울특별시 마포구 도화동 563|||||||한국투자증권 마포지점|3층 (도화동,아크로타워);아크로타워 3층|||40530
한국투자증권|명동PB센터|||한국투자증권|02-775-1212|서울특별시 중구 명동3길 6|서울특별시 중구 명동1가 54-8|||||||한국투자증권 명동PB센터|5층 (개양빌딩);개양빌딩 5층|||40530
한국투자증권|목동지점|||한국투자증권|02-2691-1254|서울특별시 양천구 오목로 299|서울특별시 양천구 목동 962-1|||||||한국투자증권 목동지점|6층 (목동,목동트라팰리스 이스턴에비뉴빌딩);목동트라팰리스 이스턴에비뉴 6층 (이마트 건물)|||40530
한국투자증권|목포지점|||한국투자증권|061-283-0006||전라남도 목포시 상동 869|||||||한국투자증권 목포지점|2층 (상동,스타시티빌딩);스타시티빌딩 2층|||40530
한국투자증권|반포/PB센터|||한국투자증권|02-3482-0200|서울특별시 서초구 반포대로 287|서울특별시 서초구 반포2동 18-3|||||||한국투자증권 반포/PB센터|3층 (반포2동,래미안퍼스티지중심상가);래미안퍼스티지중심상가 3층|||40530
한국투자증권|방배PB센터|||한국투자증권|02-536-1254|서울특별시 서초구 방배천로 91|서울특별시 서초구 방배동 3250|||||||한국투자증권 방배PB센터|4층 (방배동);4층 (구산타워)|||40530
한국투자증권|방화동지점|||한국투자증권|02-2661-1411|서울특별시 강서구 양천로 72|서울특별시 강서구 방화1동 569-12|||||||한국투자증권 방화동지점|6층 (방화1동,해성빌딩);해성빌딩 6층|||40530
한국투자증권|범어동지점|||한국투자증권|053-752-3881|대구광역시 수성구 달구벌대로 2397|대구광역시 수성구 범어동 41-3|||||||한국투자증권 범어동지점|3층 (범어동,KB손해보험빌딩);KB손해보험빌딩 3층|||40530
한국투자증권|부산PB센터|||한국투자증권|051-241-1212|부산광역시 중구 해관로 1|부산광역시 중구 동광동 1가 15|||||||한국투자증권 부산PB센터|1층 (동광동);1,2층|||40530
한국투자증권|부천지점|||한국투자증권|032-326-1254|경기도 부천시 길주로 199|경기도 부천시 중4동 1033-3|||||||한국투자증권 부천지점|2층 (중4동,굿모닝프라자빌딩);굿모닝프라자 2층|||40530
한국투자증권|부평지점|||한국투자증권|032-526-1254|인천광역시 부평구 부평대로 21|인천광역시 부평구 부평동 549-5|||||||한국투자증권 부평지점|1층 (부평동,금남빌딩);금남빌딩 1,2층|||40530
한국투자증권|북광주지점|||한국투자증권|062-224-9400|광주광역시 북구 서하로 156|광주광역시 북구 용봉동 476-1|||||||한국투자증권 북광주지점|2층;2층|||40530
한국투자증권|분당PB센터|||한국투자증권|031-781-2525|경기도 성남시 분당구 황새울로312번길 26|경기도 성남시 분당구 서현동 265-3|||||||한국투자증권 분당PB센터|1층 (서현동);1,2층|||40530
한국투자증권|사하지점|||한국투자증권|051-291-1254|부산광역시 사하구 낙동대로 219|부산광역시 사하구 괴정동 971-9|||||||한국투자증권 사하지점|2층 (괴정동);2층|||40530
한국투자증권|삼성동PB센터|||한국투자증권|02-501-3911|서울특별시 강남구 테헤란로 522|서울특별시 강남구 대치동 945-1|||||||한국투자증권 삼성동PB센터|3층 (대치동,홍우빌딩);홍우빌딩 3층|||40530
한국투자증권|상무지점|||한국투자증권|062-376-8585|광주광역시 서구 상무중앙로 75|광주광역시 서구 치평동 1182-2|||||||한국투자증권 상무지점|2층 (치평동,MK타워);MK타워 2층|||40530
한국투자증권|상봉지점|||한국투자증권|02-2209-1254|서울특별시 중랑구 망우로 410|서울특별시 중랑구 망우동 470-10|||||||한국투자증권 상봉지점|6층 (망우동,삼부빌딩);삼부빌딩 6층|||40530
한국투자증권|상인PB센터|||한국투자증권|053-657-1254|대구광역시 달서구 월배로 188||||||||한국투자증권 상인PB센터|(2층)|||40530
한국투자증권|서광주PB센터|||한국투자증권|062-365-7700|광주광역시 서구 죽봉대로 86|광주광역시 서구 농성동 418-19|||||||한국투자증권 서광주PB센터|2층 (농성동,대인빌딩);대인빌딩 2층|||40530
한국투자증권|서면지점|||한국투자증권|051-818-1212|부산광역시 부산진구 가야대로 795|부산광역시 부산진구 부전1동 259-9|||||||한국투자증권 서면지점|1층 (부전1동);1,2층|||40530
한국투자증권|서전주PB센터|||한국투자증권|063-254-5111|전라북도 전주시 완산구 온고을로 29|전라북도 전주시 완산구 서신동 766|||||||한국투자증권 서전주PB센터|1층 (서신동,KT빌딩);KT빌딩 1층|||40530
한국투자증권|서초동지점|||한국투자증권|02-587-0381|서울특별시 서초구 효령로 285|서울특별시 서초구 서초동 1602-4|||||||한국투자증권 서초동지점|1층 (서초동,일복빌딩);일복빌딩 1층|||40530
한국투자증권|서초중앙PB센터|||한국투자증권|02-595-0121|서울특별시 서초구 서초중앙로 158|서울특별시 서초구 서초4동 1699-9|||||||한국투자증권 서초중앙PB센터|1층 (서초4동,남계빌딩);남계빌딩 1층|||40530
한국투자증권|송도지점|||한국투자증권|032-858-0990|인천광역시 연수구 컨벤시아대로 81|인천광역시 연수구 송도동 3-2|||||||한국투자증권 송도지점|2층 (송도동,드림시티빌딩);드림시티빌딩 2층|||40530
한국투자증권|송파PB센터|||한국투자증권|02-443-1212|서울특별시 송파구 중대로 80|서울특별시 송파구 문정동 150-2|||||||한국투자증권 송파PB센터|3층 (문정동,LG문정플라자빌딩);LG문정플라자 3층|||40530
한국투자증권|수유동지점|||한국투자증권|02-999-1254|서울특별시 강북구 한천로 1035|서울특별시 강북구 수유3동 191-35|||||||한국투자증권 수유동지점|1층 (수유3동,우성빌딩);우성빌딩 1층|||40530
한국투자증권|수지지점|||한국투자증권|031-896-0440|경기도 용인시 수지구 성복2로 58|경기도 용인시 수지구 성복동 76|||||||한국투자증권 수지지점|1층 (성복동,영진빌딩);영진빌딩 1층|||40530
한국투자증권|순천지점|||한국투자증권|061-742-9001|전라남도 순천시 연향번영길 102|전라남도 순천시 연향동 1342-5|||||||한국투자증권 순천지점|2층 (연향동,양천회관빌딩);양천회관빌딩 2층|||40530
한국투자증권|신도림지점|||한국투자증권|02-3439-7700|서울특별시 구로구 경인로 661|서울특별시 구로구 신도림동 337|||||||한국투자증권 신도림지점|2층 (신도림동,신도림1차 푸르지오빌딩);신도림1차 푸르지오빌딩 2층|||40530
한국투자증권|신촌PB센터|||한국투자증권|02-715-2102|서울특별시 마포구 신촌로 104|서울특별시 마포구 노고산동 31-11|||||||한국투자증권 신촌PB센터|1층 (노고산동,신촌로타리예식장빌딩);신촌로타리예식장 1층|||40530
한국투자증권|안산PB센터|||한국투자증권|031-413-1215|경기도 안산시 단원구 당곡로 10|경기도 안산시 고잔동 536-1|||||||한국투자증권 안산PB센터|1층 (고잔동,제일빌딩);제일빌딩1층|||40530
한국투자증권|압구정PB센터|||한국투자증권|02-542-0115|서울특별시 강남구 논현로 878|서울특별시 강남구 신사동 611|||||||한국투자증권 압구정PB센터|4층 (신사동,중산빌딩);중산빌딩 4층|||40530
한국투자증권|양재지점|||한국투자증권|02-589-4000|서울특별시 서초구 마방로 68|서울특별시 서초구 양재동 275|||||||한국투자증권 양재지점|1층 (양재동,동원산업빌딩);동원산업빌딩 1층|||40530
한국투자증권|양재중앙지점|||한국투자증권|02-574-1233|서울특별시 강남구 남부순환로 2609|서울특별시 강남구 도곡동 957-14|||||||한국투자증권 양재중앙지점|3층 (도곡동,하늘메디컬빌딩);하늘메디컬빌딩 3층|||40530
한국투자증권|여수지점|||한국투자증권|061-654-1212|전라남도 여수시 시청로 19|전라남도 여수시 학동 68-20|||||||한국투자증권 여수지점|2층 (학동);2층|||40530
한국투자증권|여수충무지점|||한국투자증권|061-664-1212|전라남도 여수시 중앙로 35|전라남도 여수시 충무동 623|||||||한국투자증권 여수충무지점|2층 (충무동,한국투자증권빌딩);한국투자증권빌딩 2층|||40530
