##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@메트라이프생명
메트라이프생명|BIGBANG지점|||메트라이프생명|02-567-4122|서울 강남구 영동대로 520||||||||메트라이프생명 BIGBANG지점|14층 (삼성동,아이파크타워)|||40602
메트라이프생명|BPS지점|||메트라이프생명|02-2051-2491|서울 강남구 영동대로 520||||||||메트라이프생명 BPS지점|10층 (삼성동,아이파크타워)|||40602
메트라이프생명|CEN지점|||메트라이프생명|02-556-6878|서울 강남구 영동대로 520||||||||메트라이프생명 CEN지점|13층 (삼성동,아이파크타워)|||40602
메트라이프생명|CLASS지점|||메트라이프생명|02-720-2222|서울 종로구 종로3길 17||||||||메트라이프생명 CLASS지점|19층 (청진동,D타워)|||40602
메트라이프생명|COEX지점|||메트라이프생명|02-514-3740|서울 강남구 영동대로 520||||||||메트라이프생명 COEX지점|11층 (삼성동,아이파크타워)|||40602
메트라이프생명|Charin지점|||메트라이프생명|02-2051-6744|서울 강남구 영동대로 520||||||||메트라이프생명 Charin지점|10층 (삼성동,아이파크타워)|||40602
메트라이프생명|DOUBLE-WIN지점|||메트라이프생명|02-2051-6744|서울 강남구 영동대로 520||||||||메트라이프생명 DOUBLE-WIN지점|10층 (삼성동,아이파크타워)|||40602
메트라이프생명|HONORS지점|||메트라이프생명|02-2051-6744|서울 강남구 영동대로 520||||||||메트라이프생명 HONORS지점|10층 (삼성동,아이파크타워)|||40602
메트라이프생명|INNOCEAN지점|||메트라이프생명|02-567-3907|서울 강남구 영동대로 520||||||||메트라이프생명 INNOCEAN지점|9층 (삼성동,아이파크타워)|||40602
메트라이프생명|INVICTUS지점|||메트라이프생명|02-3453-1408|서울 강남구 영동대로 520||||||||메트라이프생명 INVICTUS지점|8층 (삼성동,아이파크타워)|||40602
메트라이프생명|본사/고객플라자|||메트라이프생명||서울 강남구 테헤란로 316||||||||메트라이프생명 본사/고객플라자|3층 (역삼동 메트라이프 타워)|||40602
메트라이프생명|강남/고객플라자|||메트라이프생명||서울 강남구 영동대로 520||||||||메트라이프생명 강남/고객플라자|현대아이파크타워 1층|||40602
메트라이프생명|강북/고객플라자|||메트라이프생명||서울 종로구 종로3길 17||||||||메트라이프생명 강북/고객플라자|D-타워 19층|||40602
메트라이프생명|부산/고객플라자|||메트라이프생명||부산 연제구 중앙대로 1217||||||||메트라이프생명 부산/고객플라자|16층 (거제동,국제문화센터)|||40602
메트라이프생명|K-STAR지점|||메트라이프생명|02-553-4774|서울 강남구 영동대로 520||||||||메트라이프생명 K-STAR지점|14층 (삼성동,아이파크타워)|||40602
메트라이프생명|K2|||메트라이프생명|02-3447-1622|서울 강남구 영동대로 520||||||||메트라이프생명 K2|9층 (삼성동,아이파크타워)|||40602
메트라이프생명|LIFE지점|||메트라이프생명|02-541-1490|서울 강남구 영동대로 520||||||||메트라이프생명 LIFE지점|14층 (삼성동,아이파크타워)|||40602
메트라이프생명|MASTER지점|||메트라이프생명|02-779-0207|서울 종로구 종로3길 17||||||||메트라이프생명 MASTER지점|19층 (청진동,D타워)|||40602
메트라이프생명|MILLION지점|||메트라이프생명|02-3453-6822|서울 강남구 영동대로 520||||||||메트라이프생명 MILLION지점|8층 (삼성동,아이파크타워)|||40602
메트라이프생명|MIRACLE지점|||메트라이프생명|02-2051-6744|서울 강남구 영동대로 520||||||||메트라이프생명 MIRACLE지점|10층 (삼성동,아이파크타워)|||40602
메트라이프생명|NICE지점|||메트라이프생명|02-2051-5201|서울 강남구 영동대로 520||||||||메트라이프생명 NICE지점|12층 (삼성동,아이파크타워)|||40602
메트라이프생명|SUPER지점|||메트라이프생명|02-514-3740|서울 강남구 영동대로 520||||||||메트라이프생명 SUPER지점|11층 (삼성동,아이파크타워)|||40602
메트라이프생명|T&I|||메트라이프생명|02-3453-1408|서울 강남구 영동대로 520||||||||메트라이프생명 T&I|8층 (삼성동,아이파크타워)|||40602
메트라이프생명|THE/ONE지점|||메트라이프생명|02-3448-0073|서울 종로구 종로3길 17||||||||메트라이프생명 THE/ONE지점|19층 (청진동,D타워)|||40602
메트라이프생명|TRAUM지점|||메트라이프생명|02-3447-1622|서울 강남구 영동대로 520||||||||메트라이프생명 TRAUM지점|13층 (삼성동,아이파크타워)|||40602
메트라이프생명|VIP지점|||메트라이프생명|02-3445-6570|서울 강남구 영동대로 520||||||||메트라이프생명 VIP지점|9층 (삼성동,아이파크타워)|||40602
메트라이프생명|WISE지점|||메트라이프생명|02-2051-6744|서울 강남구 영동대로 520||||||||메트라이프생명 WISE지점|10층 (삼성동,아이파크타워)|||40602
메트라이프생명|WITH지점|||메트라이프생명|02-2051-4811|서울 강남구 영동대로 520||||||||메트라이프생명 WITH지점|12층 (삼성동,아이파크타워)|||40602
메트라이프생명|강남1지점|||메트라이프생명|02-501-6985|서울 강남구 영동대로 520||||||||메트라이프생명 강남1지점|12층 (삼성동,아이파크타워)|||40602
메트라이프생명|강명지점|||메트라이프생명|02-501-6985|서울 강남구 영동대로 520||||||||메트라이프생명 강명지점|12층 (삼성동,아이파크타워)|||40602
메트라이프생명|광화문지점|||메트라이프생명|02-3448-0073|서울 종로구 종로3길 17||||||||메트라이프생명 광화문지점|19층 (청진동,D타워)|||40602
메트라이프생명|기네스지점|||메트라이프생명|02-541-7361|서울 강남구 영동대로 520||||||||메트라이프생명 기네스지점|8층 (삼성동,아이파크타워)|||40602
메트라이프생명|뉴올림포스지점|||메트라이프생명|02-569-5184|서울 강남구 영동대로 520||||||||메트라이프생명 뉴올림포스지점|13층 (삼성동,아이파크타워)|||40602
메트라이프생명|리움지점|||메트라이프생명|02-514-3740|서울 강남구 영동대로 520||||||||메트라이프생명 리움지점|11층 (삼성동,아이파크타워)|||40602
메트라이프생명|마이스터지점|||메트라이프생명|02-553-5761|서울 강남구 영동대로 520||||||||메트라이프생명 마이스터지점|14층 (삼성동,아이파크타워)|||40602
메트라이프생명|마제스티지점|||메트라이프생명|02-501-6985|서울 강남구 영동대로 520||||||||메트라이프생명 마제스티지점|9층 (삼성동,아이파크타워)|||40602
메트라이프생명|상진지점|||메트라이프생명|02-737-0099|서울 종로구 종로3길 17||||||||메트라이프생명 상진지점|19층 (청진동,D타워)|||40602
메트라이프생명|세종지점|||메트라이프생명|02-553-1790|서울 강남구 영동대로 520||||||||메트라이프생명 세종지점|14층 (삼성동,아이파크타워)|||40602
메트라이프생명|수퍼클래스지점|||메트라이프생명|02-2051-9456|서울 강남구 영동대로 520||||||||메트라이프생명 수퍼클래스지점|11층 (삼성동,아이파크타워)|||40602
메트라이프생명|시엔지점|||메트라이프생명|02-514-3740|서울 강남구 영동대로 520||||||||메트라이프생명 시엔지점|11층 (삼성동,아이파크타워)|||40602
메트라이프생명|아델란지점|||메트라이프생명|02-566-3627|서울 강남구 영동대로 520||||||||메트라이프생명 아델란지점|9층 (삼성동,아이파크타워)|||40602
메트라이프생명|여의도지점|||메트라이프생명|02-784-1788|서울 영등포구 의사당대로 82||||||||메트라이프생명 여의도지점|18층 (여의도동,하나금융투자빌딩)|||40602
메트라이프생명|영웅지점|||메트라이프생명|02-720-2222|서울 종로구 종로3길 17||||||||메트라이프생명 영웅지점|19층 (청진동,D타워)|||40602
메트라이프생명|우리지점|||메트라이프생명|02-2051-2345|서울 강남구 영동대로 520||||||||메트라이프생명 우리지점|14층 (삼성동,아이파크타워)|||40602
메트라이프생명|월드클래스지점|||메트라이프생명|02-501-6985|서울 강남구 영동대로 520||||||||메트라이프생명 월드클래스지점|12층 (삼성동,아이파크타워)|||40602
메트라이프생명|이룸지점|||메트라이프생명|02-553-1790|서울 강남구 영동대로 520||||||||메트라이프생명 이룸지점|13층 (삼성동,아이파크타워)|||40602
메트라이프생명|정탑지점|||메트라이프생명|02-2051-9130|서울 강남구 영동대로 520||||||||메트라이프생명 정탑지점|14층 (삼성동,아이파크타워)|||40602
메트라이프생명|중앙지점|||메트라이프생명|02-582-2972|서울 강남구 영동대로 520||||||||메트라이프생명 중앙지점|14층 (삼성동,아이파크타워)|||40602
메트라이프생명|청담지점|||메트라이프생명|02-569-5187|서울 강남구 영동대로 520||||||||메트라이프생명 청담지점|9층 (삼성동,아이파크타워)|||40602
메트라이프생명|카리스지점|||메트라이프생명|02-567-3222|서울 강남구 영동대로 520||||||||메트라이프생명 카리스지점|9층 (삼성동,아이파크타워)|||40602
메트라이프생명|태극지점|||메트라이프생명|02-569-9544|서울 영등포구 의사당대로 82||||||||메트라이프생명 태극지점|18층 (여의도동,하나금융투자빌딩)|||40602
메트라이프생명|ARK지점|||메트라이프생명|031-707-5559|경기 성남시 분당구 황새울로359번길 7||||||||메트라이프생명 ARK지점|5층 (서현동,한국정보공학본사사옥)|||40602
메트라이프생명|가디언지점|||메트라이프생명|031-707-5559|경기 성남시 분당구 황새울로359번길 7||||||||메트라이프생명 가디언지점|5층 (서현동,한국정보공학본사사옥)|||40602
메트라이프생명|마렌지점|||메트라이프생명|032-329-4292|경기 부천시 길주로 281||||||||메트라이프생명 마렌지점|5층 (중동,동화빌딩)|||40602
메트라이프생명|부천지점|||메트라이프생명|032-327-0633|경기 부천시 길주로 281||||||||메트라이프생명 부천지점|5층 (중동,동화빌딩)|||40602
메트라이프생명|수원지점|||메트라이프생명|031-226-2561|경기 수원시 권선구 효원로 268||||||||메트라이프생명 수원지점|10층 (권선동,현대해상빌딩)|||40602
메트라이프생명|일산지점|||메트라이프생명|031-901-2828|경기 고양시 일산동구 중앙로 1228||||||||메트라이프생명 일산지점|9층 (마두1동,KT고양지사)|||40602
메트라이프생명|평촌지점|||메트라이프생명|031-476-8052|경기 안양시 동안구 시민대로 199||||||||메트라이프생명 평촌지점|3층 (비산동,BYC빌딩)|||40602
메트라이프생명|원주지점|||메트라이프생명|033-766-6177|강원 원주시 만대로 16||||||||메트라이프생명 원주지점|5층 (무실동)|||40602
메트라이프생명|춘천지점|||메트라이프생명|033-256-2552|강원 춘천시 경춘로 2360||||||||메트라이프생명 춘천지점|3층 (온의동)|||40602
