##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@신한생명
신한생명|일산고객창구|126.750631|37.675125|신한생명|031-960-7391|경기도 고양시 일산서구 중앙로 1542|경기도 고양시 일산서구 대화동 2199-2|||||||신한생명 일산고객창구|신동아 노블타워 2층 (대화동 2199-2 신동아 노블타워 2층);신동아 노블타워 2층|||40613
신한생명|부천고객창구|126.786319|37.498597|신한생명|032-668-8410|경기도 부천시 원미구 부천로 160|경기도 부천시 원미구 춘의동 207-2|||||||신한생명 부천고객창구|신한은행빌딩3층 (원미구 춘의동 207-2 신한은행빌딩 3층);신한은행빌딩 3층|||40613
신한생명|수원고객플라자|127.030797|37.261540|신한생명|031-223-3727|경기도 수원시 권선구 효원로 268|경기도 수원시 권선구 권선동 1014|||||||신한생명 수원고객플라자|현대해상빌딩 7층 (권선구 권선동 1014 현대해상빌딩 7층);현대해상빌딩 7층|||40613
신한생명|김해고객창구|128.867134|35.235167|신한생명|055-329-3191|경상남도 김해시 내외중앙로 60|경상남도 김해시 내동 1144-3|||||||신한생명 김해고객창구|신한프라자 12층 (내동 1144-3 신한프라자 12층);신한프라자 12층|||40613
신한생명|창원고객창구|128.677716|35.220175|신한생명|055-212-7570|경상남도 창원시 성산구 중앙대로 60|경상남도 창원시 성산구 상남동 71-1|||||||신한생명 창원고객창구|신한은행빌딩 3층 (성산구 상남동 71-1 신한은행빌딩 3층);신한은행빌딩 3층|||40613
신한생명|광주고객플라자|126.849017|35.155654|신한생명|062-531-0240|광주 서구 상무중앙로 98|광주광역시 서구 치평동 1213-3|||||||신한생명 광주고객플라자|교수공제회 광주회관빌딩 6층 (치평동 1213-3 BM타워 6층);BM타워 6층|||40613
신한생명|대구고객플라자|128.596221|35.865396|신한생명|053-421-2807|대구광역시 중구 달구벌대로 2125|대구광역시 중구 봉산동 34-16|||||||신한생명 대구고객플라자|신한은행빌딩7층 (봉산동 34-16 신한은행빌딩 7층);신한은행빌딩 7층|||40613
신한생명|대전고객플라자|127.377907|36.348999|신한생명|042-486-9675|대전광역시 서구 대덕대로 182|대전광역시 서구 둔산동 1160|||||||신한생명 대전고객플라자|(둔산동,오라클빌딩) 7층 (둔산동 1160 (오라클빌딩) 7층);(오라클빌딩) 7층|||40613
신한생명|부산고객플라자|129.058695|35.158654|신한생명|051-808-1139|부산광역시 부산진구 새싹로 6|부산광역시 부산진구 부전1동 260-47|||||||신한생명 부산고객플라자|신한은행빌딩 3층 (부전1동 260-47 신한은행B 3층);신한은행B 3층|||40613
신한생명|강남고객창구|127.060075|37.507404|신한생명|02-586-2741|서울특별시 강남구 테헤란로 516|서울특별시 강남구 대치동 944-1|||||||신한생명 강남고객창구|(대치동,정헌빌딩) 2층 (대치동 944-1 (정헌빌딩) 2층);(정헌빌딩) 2층|||40613
신한생명|강서고객창구|126.839870|37.542073|신한생명|02-2602-6805|서울특별시 강서구 강서로 173|서울특별시 강서구 화곡3동 1065-22|||||||신한생명 강서고객창구|터보빌딩 10층 (화곡3동 1065-22 터보빌딩 10층);터보빌딩 10층|||40613
신한생명|강북고객플라자|127.061045|37.654072|신한생명|02-741-1375|서울특별시 노원구 동일로 1404|서울특별시 노원구 상계동 727-2|||||||신한생명 강북고객플라자|신한은행빌딩5층 (상계동 727-2 신한은행빌딩 5층);신한은행빌딩 5층|||40613
신한생명|울산고객창구|129.331830|35.538701|신한생명|052-267-0395|울산광역시 남구 삼산로 227|울산광역시 남구 달동 1362-6|||||||신한생명 울산고객창구|신한은행빌딩5층 (달동 1362-6 신한은행빌딩 5층);신한은행빌딩 5층|||40613
신한생명|인천고객창구|126.708242|37.451694|신한생명|032-468-6155|인천광역시 남동구 남동대로 776|인천광역시 남동구 구월동 1199-13|||||||신한생명 인천고객창구|신한은행빌딩 3층 (구월동 1199-13 신한은행빌딩 3층);신한은행빌딩 3층|||40613
신한생명|경인고객플라자|126.722603|37.491115|신한생명|032-529-1836|인천광역시 부평구 광장로 4|인천광역시 부평구 부평동 534-1|||||||신한생명 경인고객플라자|코아빌딩 7층 (부평동 534-1 코아빌딩 7층);코아빌딩 7층|||40613
신한생명|목포고객창구|126.426565|34.803888|신한생명|061-285-8642|전라남도 목포시 비파로 60|전라남도 목포시 상동 877-4|||||||신한생명 목포고객창구|삼흥타워 4층 (상동 877-4 삼흥타워 4층);삼흥타워 4층|||40613
신한생명|군산고객창구|126.702405|35.964565|신한생명|063-471-9601|전라북도 군산시 하나운로 72|전라북도 군산시 나운2동 100-14|||||||신한생명 군산고객창구|(나운동) 유앤미프라자빌딩 7층 (나운2동 100-14 유앤미프라자빌딩 7층);유앤미프라자빌딩 7층|||40613
신한생명|전주고객플라자|127.146309|35.825806|신한생명|063-288-9661|전라북도 전주시 완산구 기린대로 213||||||||신한생명 전주고객플라자|대우증권빌딩3층 (완산구 서노송동568-95대우증권 3층)|||40613
신한생명|제주고객창구|126.524941|33.515328|신한생명|064-758-4467|제주특별자치도 제주시 중앙로 31|제주특별자치도 제주시 일도1동 1298-1|||||||신한생명 제주고객창구|신한은행빌딩 3층 (일도1동 1298-1 신한은행빌딩 3층);신한은행빌딩 3층|||40613
신한생명|청주고객창구|127.428328|36.624878|신한생명|043-224-9430|충청북도 청주시 흥덕구 강서로 107|충청북도 청주시 흥덕구 강서동 483|||||||신한생명 청주고객창구|(강서동) BYC강서사옥빌딩 10층 (강서동 483 BYC강서사옥빌딩 10층);BYC강서사옥빌딩 10층|||40613
신한생명|강릉지점|128.897085|37.755835|신한생명|033-647-4826|강원도 강릉시 경강로 2109|강원도 강릉시 임당동 112-1|||||||신한생명 강릉지점|문선빌딩 7층 (임당동 112-1 문선빌딩 7층);문선빌딩 7층|||40613
신한생명|원주지점|127.926401|37.342610|신한생명|033-762-6408|강원도 원주시 로아노크로 28|강원도 원주시 단계동 382-12|||||||신한생명 원주지점|(단계동) 봉화산빌딩 4층 (단계동 382-12 봉화산빌딩 4층);봉화산빌딩 4층|||40613
신한생명|춘천지점|127.750512|37.855138|신한생명|033-255-1874|강원도 춘천시 동내면 춘천순환로 58|강원도 춘천시 동내면 거두리 926-1|||||||신한생명 춘천지점|(거두리) 메디피아빌딩 6층 (동내면 거두리 926-1 메디피아빌딩 6층);메디피아빌딩 6층|||40613
신한생명|남춘천지점|127.744402|37.851731|신한생명|033-259-8850|강원도 춘천시 퇴계농공로 16|강원도 춘천시 석사동 880-2|||||||신한생명 남춘천지점|팰리즈프라자빌딩7층 (석사동 880-2 팰리즈프라자빌딩 7층);팰리즈프라자빌딩 7층|||40613
