##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@농협생명
농협생명|심사센터|309068|551674|농협생명|02-1544-4000|서울특별시 서대문구 통일로 87||||||||농협생명 심사센터|(미근동) NH농협생명빌딩 동관 6층|||40625
농협생명|본사|309068|551674|농협생명|02-1544-4000|서울특별시 서대문구 통일로 87||||||||농협생명 본사|(미근동) NH농협생명빌딩|||40625
송파농협|가락시장역지점|322210|543954|농협생명|02-2043-9577|서울특별시 송파구 송파대로30길 5||||||||송파농협 가락시장역지점||||40625
농협생명|수도AM지점|309068|551674|농협생명|02-2051-2903|서울특별시 서대문구 통일로 87||||||||농협생명 수도AM지점|NH농협생명빌딩 동관 2층|||40625
농협생명|강북AM지점|309068|551674|농협생명|02-2051-9411|서울특별시 서대문구 통일로 87||||||||농협생명 강북AM지점|NH농협생명빌딩 동관 2층|||40625
농협생명|강남AM지점|317210|545495|농협생명|02-2051-9521|서울특별시 강남구 테헤란로 522||||||||농협생명 강남AM지점|홍우빌딩 8층|||40625
농협생명|청담지점|315710|545026|농협생명|02-2052-2269|서울특별시 강남구 역삼동 테헤란로 309||||||||농협생명 청담지점|삼성제일빌딩 4층|||40625
영동농협|내곡지점|316988|539802|농협생명|02-2058-0380|서울특별시 서초구 헌릉로 176||||||||영동농협 내곡지점||||40625
영동농협|청계산역지점|316659|538833|농협생명|02-2058-1010|서울특별시 서초구 청계산로 197||||||||영동농협 청계산역지점||||40625
경서농협|신목지점|300832|547420|농협생명|02-2061-7171|서울특별시 양천구 신목로 102||||||||경서농협 신목지점||||40625
서울축산농협|우장산역지점|297287|550154|농협생명|02-2065-3851|서울특별시 강서구 강서로45길 13||||||||서울축산농협 우장산역지점||||40625
송파농협|가든파이브지점|322751|542107|농협생명|02-2157-6700|서울특별시 송파구 충민로 66||||||||송파농협 가든파이브지점||||40625
농협생명|중앙AM지점|317210|545495|농협생명|02-2193-2901|서울특별시 강남구 테헤란로 522||||||||농협생명 중앙AM지점|홍우빌딩 8층|||40625
동서울농협|동부지점|318784|554691|농협생명|02-2207-1520|서울특별시 중랑구 봉우재로 45||||||||동서울농협 동부지점||||40625
동서울농협|용마지점|320004|553444|농협생명|02-2208-6561|서울특별시 중랑구 용마산로 307||||||||동서울농협 용마지점||||40625
서울축산농협|전농지점|316210|552951|농협생명|02-2214-1001|서울특별시 동대문구 답십리로 78||||||||서울축산농협 전농지점||||40625
한국양계농협|장안평지점|318257|552990|농협생명|02-2215-1981|서울특별시 동대문구 장한로 170||||||||한국양계농협 장안평지점||||40625
농협생명|서울총국|322448|547679|농협생명|02-2224-8362|서울특별시 강동구 올림픽로 528||||||||농협생명 서울총국|5층|||40625
송파농협|세곡동지점|321400|540859|농협생명|02-2226-8120|서울특별시 강남구 헌릉로637길 22||||||||송파농협 세곡동지점||||40625
한국양봉농협||312843|550929|농협생명|02-2231-9856|서울특별시 중구 다산로 141||||||||한국양봉농협||||40625
서울우유농협|신당역지점|313872|551933|농협생명|02-2234-8151|서울특별시 중구 퇴계로 459||||||||서울우유농협 신당역지점||||40625
서울경기양돈농협|답십리지점|316968|552746|농협생명|02-2242-7162|서울특별시 동대문구 전농로 94||||||||서울경기양돈농협 답십리지점||||40625
동서울농협|장안동지점|317862|553297|농협생명|02-2244-4247|서울특별시 동대문구 한천로 193||||||||동서울농협 장안동지점||||40625
동서울농협|답십리지점|316899|552128|농협생명|02-2244-7194|서울특별시 동대문구 전농로 30||||||||동서울농협 답십리지점||||40625
서울축산농협|장안지점|317927|552176|농협생명|02-2248-0541|서울특별시 동대문구 장한로 79||||||||서울축산농협 장안지점||||40625
한국양봉농협|약수역지점|||농협생명|02-2256-7030|서울특별시 중구 다산로 141||||||||한국양봉농협 약수역지점||||40625
서울우유농협|장충동지점|312469|551613|농협생명|02-2279-8470|서울특별시 중구 장충단로 200||||||||서울우유농협 장충동지점||||40625
서울원예농협|마장동지점|315165|552465|농협생명|02-2281-0681|서울특별시 성동구 고산자로 345||||||||서울원예농협 마장동지점||||40625
중앙농협|옥수지점|312890|549333|농협생명|02-2282-7101|서울특별시 성동구 독서당로 184||||||||중앙농협 옥수지점||||40625
