##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@삼성화재
삼성화재|강남고객지원센터|||삼성화재|02-489-6301|서울 송파구 송파대로 562||||||||삼성화재 강남고객지원센터|11층 강남고객지원센터 (신천동,한빛프라자삼성웰리스아파트)|||40701
삼성화재|강릉지역단|||삼성화재|033-648-3114|강원 강릉시 율곡로 2853||||||||삼성화재 강릉지역단|3층 대동빌딩 (옥천동)|||40701
삼성화재|강북고객지원센터|||삼성화재|02-940-6293|서울 동대문구 왕산로 168||||||||삼성화재 강북고객지원센터|2층 강북고객지원센터 (용두동,삼성화재청량리사옥)|||40701
삼성화재|강서고객지원센터|||삼성화재|02-850-6164|서울 영등포구 양평로 76||||||||삼성화재 강서고객지원센터|1층 (양평동4가,삼성화재영등포사옥)|||40701
삼성화재|거제통영지역단|||삼성화재|055-637-7114|경남 거제시 거제중앙로 1934||||||||삼성화재 거제통영지역단|2층 정광빌딩 (고현동)|||40701
삼성화재|경기고객지원센터|||삼성화재|070-7111-6054|경기 수원시 팔달구 권광로 205||||||||삼성화재 경기고객지원센터|3층 삼성화재빌딩 (인계동)|||40701
삼성화재|구리지역단|||삼성화재|031-556-5114|경기 구리시 경춘로 253||||||||삼성화재 구리지역단|9층 구리지역단 (인창동,황금시계빌딩)|||40701
삼성화재|구미지역단|||삼성화재|054-450-7412|경북 구미시 구미중앙로11길 6||||||||삼성화재 구미지역단|6층 구미지역단 (원평동,T5빌딩)|||40701
삼성화재|김해지역단|||삼성화재|055-336-0612|경남 김해시 김해대로 2342||||||||삼성화재 김해지역단|C동 10층 (부원동,아이스퀘어)|||40701
삼성화재|대구고객지원센터|||삼성화재|053-607-7686|대구 수성구 동대구로 401||||||||삼성화재 대구고객지원센터|3층 삼성화재빌딩 (범어동,삼성화재사옥)|||40701
삼성화재|마산지역단|||삼성화재|055-250-2543|경남 창원시 마산회원구 3.15대로 674||||||||삼성화재 마산지역단|2층 (석전동,삼성화재)|||40701
삼성화재|목포지역단|||삼성화재|061-240-4706|전남 목포시 후광대로 116||||||||삼성화재 목포지역단|3층 삼성화재목포지역단 (옥암동)|||40701
삼성화재|부산고객지원센터|||삼성화재|051-461-8173|부산 동구 중앙대로 184||||||||삼성화재 부산고객지원센터|2층 삼성화재빌딩 부산역 스타일웨딩홀옆건물 (초량동,삼성금융프라자빌딩)|||40701
삼성화재|부천지역단|||삼성화재|032-650-7114|경기 부천시 원미구 신흥로 197||||||||삼성화재 부천지역단|3층 삼성화재빌딩 (중동)|||40701
삼성화재|부평지역단|||삼성화재|032-510-1114|인천 부평구 경원대로 1373||||||||삼성화재 부평지역단|5층 북인천우체국청사 부평역16번출구 (부평동)|||40701
삼성화재|성남지역단|||삼성화재|031-229-5300|경기 성남시 분당구 황새울로312번길 26||||||||삼성화재 성남지역단|7층 (서현동,KT&amp;G타워)|||40701
삼성화재|소보기획파트|||삼성화재|02-758-4292|서울 서초구 서초대로74길 14||||||||삼성화재 소보기획파트|2층 고객지원센터 (서초동,삼성물산 (주))|||40701
삼성화재|순천지역단|||삼성화재|061-720-7700|전남 순천시 순광로 8||||||||삼성화재 순천지역단|2층 (조례동,삼성화재빌딩)|||40701
삼성화재|안산지역단|||삼성화재|031-413-7144|경기 안산시 단원구 광덕대로 259||||||||삼성화재 안산지역단|1층 (고잔동,삼성화재빌딩)|||40701
삼성화재|안양지역단|||삼성화재|031-990-7600|경기 안양시 동안구 시민대로 180||||||||삼성화재 안양지역단|G.SQURE,26층 삼성화재 안양지역단 (호계동)|||40701
삼성화재|울산지역단|||삼성화재|052-259-7106|울산 남구 중앙로 220||||||||삼성화재 울산지역단|1층 삼성화재빌딩 (신정동)|||40701
삼성화재|원주지역단|||삼성화재|033-761-9114|강원 원주시 남원로 648||||||||삼성화재 원주지역단|1층 삼성화재 원주지역단 (개운동)|||40701
삼성화재|의정부지역단|||삼성화재|031-876-8115|경기 의정부시 시민로 62||||||||삼성화재 의정부지역단|3층 삼성생명빌딩 (의정부동,삼성생명의정부사옥)|||40701
삼성화재|익산지역단|||삼성화재|063-839-9817|전북 익산시 하나로4길 14||||||||삼성화재 익산지역단|4층 삼성화재 익산지역단 (어양동,BYC빌딩)|||40701
삼성화재|인천지역단|||삼성화재|032-440-7315|인천 남동구 남동대로 773||||||||삼성화재 인천지역단|6층 (구월동,가천대길병원인공지능암병원)|||40701
삼성화재|일산지역단|||삼성화재|031-961-4411|경기 고양시 일산동구 중앙로 1161||||||||삼성화재 일산지역단|11층 삼성화재빌딩 (장항동)|||40701
삼성화재|전주지역단|||삼성화재|063-270-5446|전북 전주시 덕진구 기린대로 409||||||||삼성화재 전주지역단|1층 (금암동,삼성화재)|||40701
삼성화재|제주지역단|||삼성화재|064-741-7114|제주 제주시 은남길 8||||||||삼성화재 제주지역단|3층 (연동,삼성화재빌딩)|||40701
삼성화재|진주지역단|||삼성화재|055-745-7114|경남 진주시 진양호로 563||||||||삼성화재 진주지역단|9층 안성빌딩 (장대동)|||40701
