##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@24게스트하우스
24게스트하우스|서울시청점|309765|551886|24게스트하우스||서울특별시 중구 덕수궁길 7|서울특별시 중구 태평로2가 366-1|||||||24게스트하우스 서울시청점|펠리스빌딩 3층;오천빌딩 3층|||70210
24게스트하우스|명동에비뉴점|309880|551511|24게스트하우스|02-753-8700|서울특별시 중구 남대문로1길 6|서울특별시 중구 북창동 134-1|||||||24게스트하우스 명동에비뉴점||||70210
24게스트하우스|인사동|310733|552377|24게스트하우스|02-734-0024|서울특별시 종로구 삼일대로17길 8|서울특별시 종로구 관철동 7-5|||||||24게스트하우스 인사동|4-5층|||70210
24게스트하우스|경복궁점|309252|553416|24게스트하우스|02-732-3000|서울특별시 종로구 자하문로5가길 27-1|서울특별시 종로구 체부동 112-1|||||||24게스트하우스 경복궁점||||70210
24게스트하우스|서울역점|309551|550440|24게스트하우스|02-754-8124|서울특별시 용산구 후암로57길 41|서울특별시 용산구 동자동 35-125|||||||24게스트하우스 서울역점|알프스장여관|||70210
24게스트하우스|종로타워점|311872|552637|24게스트하우스|02-747-1002|서울특별시 종로구 종로31길 12-5|서울특별시 종로구 종로5가 118|||||||24게스트하우스 종로타워점||||70210
24게스트하우스|명동타운|309977|551281|24게스트하우스|02-776-0588|서울특별시 중구 퇴계로 61|서울특별시 중구 남창동 9-15|||||||24게스트하우스 명동타운|금오빌딩;금오빌딩 10F|||70210
24게스트하우스|남산|310497|551197|24게스트하우스|02-774-1212|서울특별시 중구 소공로6길 29|서울특별시 중구 남산동2가 36-6|||||||24게스트하우스 남산||||70210
24게스트하우스|명동시티점|310860|552138|24게스트하우스|02-2274-0024|서울특별시 중구 을지로9길 26|서울특별시 중구 수표동 56-14|||||||24게스트하우스 명동시티점||||70210
24게스트하우스|남산가든|310535|551226|24게스트하우스|02-778-7900|서울특별시 중구 퇴계로20나길 2-23|서울특별시 중구 남산동2가 37-1|||||||24게스트하우스 남산가든||||70210
24게스트하우스|서울역/프리미어점|309602|550630|24게스트하우스|02-779-0117|서울특별시 용산구 후암로 97-1|서울특별시 용산구 동자동 11-7|||||||24게스트하우스 서울역/프리미어점||||70210
24게스트하우스|동대문점|312655|551934|24게스트하우스|02-2176-3659|서울특별시 중구 을지로 280-2|서울특별시 중구 을지로7가 58-1|||||||24게스트하우스 동대문점|kika|||70210
24게스트하우스|동대문마켓|312764|552511|24게스트하우스|02-742-6200|서울특별시 종로구 종로46길 22|서울특별시 종로구 창신동 444-9|||||||24게스트하우스 동대문마켓|임진빌딩;4,5층|||70210
24게스트하우스|신촌에비뉴|306342|551168|24게스트하우스||서울특별시 서대문구 명물길 19|서울특별시 서대문구 창천동 31-92|||||||24게스트하우스 신촌에비뉴|경오빌딩|||70210
24게스트하우스|신촌점|306111|550844|24게스트하우스|02-334-0900|서울특별시 마포구 신촌로18길 9|서울특별시 마포구 노고산동 57-20|||||||24게스트하우스 신촌점||||70210
24게스트하우스|신촌스타일점|306091|551077|24게스트하우스|02-332-5949|서울특별시 서대문구 연세로5나길 24|서울특별시 서대문구 창천동 57-17|||||||24게스트하우스 신촌스타일점||||70210
24게스트하우스|서울청량리점|317023|554716|24게스트하우스||서울특별시 동대문구 회기로29길 18|서울특별시 동대문구 휘경동 183-154|||||||24게스트하우스 서울청량리점||||70210
24게스트하우스|잠실점|319686|544968|24게스트하우스|02-6949-1000|서울특별시 송파구 백제고분로22길 5|서울특별시 송파구 삼전동 47|||||||24게스트하우스 잠실점||||70210
24게스트하우스|강남센터점|314736|545083|24게스트하우스|02-538-1177|서울특별시 강남구 봉은사로20길 52|서울특별시 강남구 역삼동 626-29|||||||24게스트하우스 강남센터점||||70210
24게스트하우스|여수점|376838|238845|24게스트하우스|061-666-4757|전라남도 여수시 공화남3길 19|전라남도 여수시 공화동 657|||||||24게스트하우스 여수점||||70210
24게스트하우스|순천|354500|260892|24게스트하우스|061-746-2700|전라남도 순천시 역전광장3길 44|전라남도 순천시 조곡동 157-15|||||||24게스트하우스 순천||||70210
24게스트하우스|서면점|496646|284290|24게스트하우스||부산광역시 부산진구 신천대로62번길 46|부산광역시 부산진구 부전동 232-15|||||||24게스트하우스 서면점|3,4층|||70210
24게스트하우스|해운대프리미어|506044|285539|24게스트하우스||부산광역시 해운대구 중동1로 22|부산광역시 해운대구 중동 1394-37|||||||24게스트하우스 해운대프리미어|2,,3층|||70210
24게스트하우스|자갈치|493777|278049|24게스트하우스|051-231-6089|부산광역시 중구 구덕로 87-1|부산광역시 중구 남포동6가 113-1|||||||24게스트하우스 자갈치|하버타워빌딩 5층|||70210
24게스트하우스|전주점|323423|358371|24게스트하우스|063-715-1616|전라북도 전주시 완산구 현무3길 56|전라북도 전주시 완산구 중노송동 498-17|||||||24게스트하우스 전주점||||70210
24게스트하우스|남포역점|494521|278143|24게스트하우스|051-257-7005|부산광역시 중구 구덕로 9-1|부산광역시 중구 남포동1가 22-3|||||||24게스트하우스 남포역점||||70210
24게스트하우스|울산|529393|321659|24게스트하우스||울산광역시 동구 꽃바위로 323|울산광역시 동구 방어동 375-10|||||||24게스트하우스 울산||||70210
24게스트하우스|객코스|251805|74822|24게스트하우스||제주특별자치도 서귀포시 일주서로 968-8|제주특별자치도 서귀포시 색달동 2156-3|||||||24게스트하우스 객코스||||70210
