##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@피쉬앤그릴
피쉬앤그릴|충북음성점|127.6906487|36.931105|피쉬앤그릴|043-873-1333||충북 음성군 읍내리 366-20||PM 5시 ~ AM 3시|||||피쉬앤그릴 충북음성점||||80215
피쉬앤그릴|광주첨단2지구점|126.8604611|35.206963|피쉬앤그릴|062-572-7890||광주 북구 신용동 703||PM 5시 ~ AM 3시|||||피쉬앤그릴 광주첨단2지구점||||80215
피쉬앤그릴|충북괴산점|127.7931541|36.8098727|피쉬앤그릴|043-834-9393|충북 괴산군 괴산읍 읍내로 2길 61-1|||PM 5시 ~ AM 3시|||||피쉬앤그릴 충북괴산점|(동부리 627-18)|||80215
피쉬앤그릴|포항우현점|129.3623933|36.0567243|피쉬앤그릴|054-232-2233|포항시 북구 우창동로21번길 22|||PM 5시 ~ AM 3시|||||피쉬앤그릴 포항우현점|(우현동)|||80215
피쉬앤그릴|김포장기점|126.6677616|37.6443286|피쉬앤그릴|031-985-8974|경기도 김포시 김포한강4로 119|||PM 5시 ~ AM 3시|||||피쉬앤그릴 김포장기점|(장기동 1607)|||80215
피쉬앤그릴|전주송천점|127.1164391|35.8655282|피쉬앤그릴|063-252-9090||전북 전주시 덕진구 송천동 1가 803-5||PM 5시 ~ PM 3시|||||피쉬앤그릴 전주송천점||||80215
피쉬앤그릴|대전용전점|127.4365897|36.351576|피쉬앤그릴|042-626-1352||대전광역시 동구 용전동 63-25||PM 5시 ~ AM 3시|||||피쉬앤그릴 대전용전점|2층|||80215
피쉬앤그릴|상도역점|126.9482487|37.503749|피쉬앤그릴|02-817-8599||서울시 동작구 상도 1동 682||PM 5 시~ AM 4 시|||||피쉬앤그릴 상도역점||||80215
피쉬앤그릴|율량점|127.4903843|36.6700029|피쉬앤그릴|043-213-3539||충북 청주시 상당구 율량동 837||PM 5 시~ AM 4 시|||||피쉬앤그릴 율량점||||80215
피쉬앤그릴|함양점|127.7281253|35.5199074|피쉬앤그릴|055-962-0279||경상남도 함양군 함양읍 용평리 701-6||PM 5시 ~ AM 4시|||||피쉬앤그릴 함양점||||80215
피쉬앤그릴|전북무주점|127.6629506|36.0073326|피쉬앤그릴|063-324-3990||전북 무주군 무주읍 읍내리 188||PM 5시 ~ AM 4시|||||피쉬앤그릴 전북무주점||||80215
피쉬앤그릴|서면태화본점|129.0609063|35.1546825|피쉬앤그릴|051-804-2523||부산광역시 진구 부전동 172-5||PM 5시 ~ AM 4시|||||피쉬앤그릴 서면태화본점||||80215
피쉬앤그릴|부산정관점|129.1771811|35.3213945|피쉬앤그릴|051-727-6288||부산시 기장군 정관면 매학리 717-1||PM 5시 ~ AM 4시|||||피쉬앤그릴 부산정관점|203호|||80215
피쉬앤그릴|와동점|126.8215284|37.3427071|피쉬앤그릴|070-4791-6761||경기도 안산시 단원구 와동 769-27||PM 5시 ~ AM 4시|||||피쉬앤그릴 와동점||||80215
피쉬앤그릴|천안두정점|127.1341553|36.8316767|피쉬앤그릴|041-551-1618||충남 천안시 서북구 두정동 879||PM 5시 ~ AM 4시|||||피쉬앤그릴 천안두정점|2층|||80215
피쉬앤그릴|전남완도점|126.7452226|34.3196768|피쉬앤그릴|061-554-5776||전라남도 완도군 완도읍 가용리 1073-5||PM 5시 ~ AM 4시|||||피쉬앤그릴 전남완도점||||80215
피쉬앤그릴|야탑점|127.130735|37.4128904|피쉬앤그릴|031-705-3399||경기도 성남시 분당구 야탑동 376-6||PM 5시 ~ AM 4시|||||피쉬앤그릴 야탑점||||80215
피쉬앤그릴|광혜원점|127.4383921|36.9920923|피쉬앤그릴|043-532-4062||충북 진천군 광혜원면 광혜원리 529-105||PM 5시 ~ AM 4시|||||피쉬앤그릴 광혜원점||||80215
