##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@말자싸롱
말자싸롱|칠곡석적점|128.41329|36.0773182|말자싸롱|054-977-8445|경상북도 칠곡군 석적읍 북중리 11길 8|||PM05:00~AM03:00|||||말자싸롱 칠곡석적점|102 (사랑스러운 집상가)|||80217
말자싸롱|나주남평점|126.8525914|35.0402251|말자싸롱|061-332-5453|전라남도 나주시 남평읍 강변 2길 20|||PM05:00~AM03:00|||||말자싸롱 나주남평점||||80217
말자싸롱|부산신항점|128.8165999|35.0877283|말자싸롱|055-551-7913|경상남도 창원시 진해구 신항4로 47-14|||PM05:00~AM03:00|||||말자싸롱 부산신항점|1층 101호 (용원동)|||80217
말자싸롱|청주가경점|127.4400859|36.6229533|말자싸롱|043-231-7326|충청북도 청주시 흥덕구 가경로 85|||PM05:00~AM03:00|||||말자싸롱 청주가경점|(가경동,1층)|||80217
말자싸롱|군산지곡점|126.7112715|35.9575314|말자싸롱|063-465-5158|전라북도 군산시 신지길 65|||PM05:00~AM03:00|||||말자싸롱 군산지곡점|101호|||80217
말자싸롱|화성향남점|126.9115407|37.1161623|말자싸롱|031-366-0345|경기도 화성시 향남읍 발안양감로 193|||PM05:00~AM03:00|||||말자싸롱 화성향남점|1층 103호|||80217
말자싸롱|대전도안점|127.3505168|36.3059772|말자싸롱|042-541-5158|대전 서구 도안동로11번길 42|||PM05:00~AM03:00|||||말자싸롱 대전도안점|(가수원동)|||80217
말자싸롱|천안성거점|127.197509|36.8677859|말자싸롱|041-523-2228|충남 천안시 서북구 성거읍 성거길 20|||PM05:00~AM03:00|||||말자싸롱 천안성거점|(송남리,북천안자이에뜨) 103호|||80217
말자싸롱|서울목동사거리점|126.8632943|37.5313721|말자싸롱|02-2652-5910|서울 강서구 곰달래로60길 19|||PM05:00~AM03:00|||||말자싸롱 서울목동사거리점|(화곡동)|||80217
말자싸롱|천안아산역점|127.0989683|36.7974228|말자싸롱|041-543-7220|충남 천안시 서북구 공원로 176|||PM05:00~AM01:00|||||말자싸롱 천안아산역점|(불당동,천안불당 시티프라디움 3차)근린생활시설 3동 지하2층 B212호|||80217
말자싸롱|구미선산점|128.3028815|36.2446205|말자싸롱|054-481-1799|경상북도 구미시 선산읍 선주로 150|||PM05:00~AM03:00|||||말자싸롱 구미선산점|(동부리)|||80217
