##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@교촌치킨
교촌치킨|개포1호점|||교촌치킨|02-573-5699,5499|서울 강남구 논현로16길 5|서울 강남구 개포동 1229-18|||||||교촌치킨 개포1호점||||80607
교촌치킨|논현1호(서울)|||교촌치킨|02-540-2182|서울 강남구 강남대로114길 15|서울 강남구 논현동 184-21|||||||교촌치킨 논현1호(서울)|(논현동)|||80607
교촌치킨|대치1호점|||교촌치킨|02-556-3599,558-3599|서울 강남구 선릉로 312|서울 강남구 대치동 936|||||||교촌치킨 대치1호점||||80607
교촌치킨|대치2호점|||교촌치킨|02-556-9963|서울 강남구 도곡로 516|서울 강남구 대치동 990|||||||교촌치킨 대치2호점|삼정상가 113호의 1/2;삼성상가 113호 1/2|||80607
교촌치킨|삼성1호점|||교촌치킨|02-515-2399,2599|서울 강남구 봉은사로 451|서울 강남구 삼성동 44-18|||||||교촌치킨 삼성1호점||||80607
교촌치킨|세곡점|||교촌치킨|02-2226-1991|서울 강남구 자곡로 101|서울 강남구 자곡동 611|||||||교촌치킨 세곡점|강남레미안힐즈상가 103호|||80607
교촌치킨|압구정신사점|||교촌치킨|02-547-9945|서울 강남구 언주로172길 29|서울 강남구 신사동 640-5|||||||교촌치킨 압구정신사점|대성빌딩 1층 1호;대성빌딩 1층 1호|||80607
교촌치킨|역삼1호점|||교촌치킨|02-566-9942|서울 강남구 강남대로 66길 16|서울 강남구 역삼동 837-15|||||||교촌치킨 역삼1호점|1층|||80607
교촌치킨|일원본동점|||교촌치킨|02-2226-4080|서울 강남구 광평로31길 27|서울 강남구 수서동 747|||||||교촌치킨 일원본동점|삼성아파트 상가 104호;삼성아파트 상가 104호|||80607
교촌치킨|청담역점|||교촌치킨|02-515-9995,515-9975|서울 강남구 학동로 87길 9|서울 강남구 청담동 65|||||||교촌치킨 청담역점|진흥아파트상가;진흥아파트상가|||80607
교촌치킨|강일점|||교촌치킨|02-426-6692,6696|서울 강동구 아리수로 419|서울 강동구 강일동 679-3|||||||교촌치킨 강일점|리슈빌오피스텔;리슈빌오피스텔|||80607
교촌치킨|고덕1호점|||교촌치킨|02-481-9503~4|서울 강동구 고덕로61길 116|서울 강동구 고덕동 650-1|||||||교촌치킨 고덕1호점||||80607
교촌치킨|길1호점|||교촌치킨|02-473-0092|서울 강동구 천중로 201|서울 강동구 길동 347-31|||||||교촌치킨 길1호점||||80607
교촌치킨|둔촌1호점|||교촌치킨|02-475-9295|서울 강동구 진황도로 168|서울 강동구 둔촌동 454-5|||||||교촌치킨 둔촌1호점|(둔촌동,예창빌딩)|||80607
교촌치킨|명일1호점|||교촌치킨|02-3426-9199,3380|서울 강동구 구천면로 438|서울 강동구 명일동 328-2|||||||교촌치킨 명일1호점||||80607
교촌치킨|성내점|||교촌치킨|02-485-9293|서울 강동구 풍성로 143|서울 강동구 성내2동 509-7|||||||교촌치킨 성내점|1층;1층|||80607
