##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@배스킨라빈스
배스킨라빈스|강릉교동점|||배스킨라빈스|033-655-3031|강원 강릉시 교동광장로 135|||AM10~PM11|||||배스킨라빈스 강릉교동점||||80608
배스킨라빈스|강릉대학로점|||배스킨라빈스|033-648-2121|강원 강릉시 경강로 2096||||||||배스킨라빈스 강릉대학로점||||80608
배스킨라빈스|강릉CGV점|||배스킨라빈스|033-641-3130|강원 강릉시 경강로 2120|||AM10~PM11|||||배스킨라빈스 강릉CGV점||||80608
배스킨라빈스|강릉포남점|||배스킨라빈스|033-651-1618||강원 강릉시 포남동 1186||AM10~PM11|||||배스킨라빈스 강릉포남점||||80608
배스킨라빈스|동해나안점|||배스킨라빈스|033-521-1131||강원 동해시 나안동 177-7||AM10~PM11|||||배스킨라빈스 동해나안점||||80608
배스킨라빈스|동해천곡점|||배스킨라빈스|033-532-0031|강원 동해시 대학로 31|||AM10~PM11|||||배스킨라빈스 동해천곡점|101호|||80608
배스킨라빈스|삼척쏠비치점|||배스킨라빈스|033-803-7975|강원 삼척시 수로부인길 453|||AM10~PM11|||||배스킨라빈스 삼척쏠비치점|(갈천동,(주)대명레저산업 삼척지점)|||80608
배스킨라빈스|삼척남양점|||배스킨라빈스|033-573-2750|강원 삼척시 진주로 35|||AM10~PM11|||||배스킨라빈스 삼척남양점||||80608
배스킨라빈스|설악워터피아점|||배스킨라빈스|033-638-3031|강원 속초시 미시령로2983번길 88|||AM10~PM9|||||배스킨라빈스 설악워터피아점|(장사동) 설악워터피아|||80608
배스킨라빈스|속초조양점|||배스킨라빈스|033-636-3179|강원 속초시 동해대로 4024|||AM10~PM11|||||배스킨라빈스 속초조양점|111 (조양동,1층111~112호)|||80608
배스킨라빈스|속초중앙점|||배스킨라빈스|033-631-5031|강원 속초시 중앙로 136|||AM10~PM11|||||배스킨라빈스 속초중앙점||||80608
배스킨라빈스|강원양구RE~0630점|||배스킨라빈스|033-481-0700|강원 양구군 양구읍 중앙길 9|||AM10~PM11|||||배스킨라빈스 강원양구RE~0630점||||80608
배스킨라빈스|양양쏠비치점|||배스킨라빈스|033-670-3622|강원 양양군 손양면 선사유적로 678|||AM10~PM11|||||배스킨라빈스 양양쏠비치점||||80608
배스킨라빈스|영월점|||배스킨라빈스|033-375-0300|강원 영월군 영월읍 중앙로 17|||AM10~PM11|||||배스킨라빈스 영월점||||80608
배스킨라빈스|원주터미널점|||배스킨라빈스|033-738-9131|강원 원주시 서원대로 171|||AM10~PM11|||||배스킨라빈스 원주터미널점|원주시외버스터미널|||80608
배스킨라빈스|원주무실점|||배스킨라빈스|033-744-3132||강원 원주시 무실동 1857-10||AM10~PM11|||||배스킨라빈스 원주무실점|(시네씨티타워 1층)|||80608
