##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@파파존스피자
파파존스피자|의왕호계점|126.95750696120747|37.37109532348364|파파존스피자|031-427-4343||경기도 안양시 동안구 호계동 959-14|||||||파파존스피자 의왕호계점|2층|||80614
파파존스피자|삼송점|126.88403827201573|37.64824437510297|파파존스피자|02-381-8892|경기도 고양시 덕양구 덕수천1로 64||||||||파파존스피자 삼송점|104호|||80614
파파존스피자|마산합포점|128.56422155974116|35.20476497615871|파파존스피자|055-241-8080||경상남도 창원시 마산합포구 자산동 189-3|||||||파파존스피자 마산합포점||||80614
파파존스피자|외대경희점|127.05881824786347|37.59460467116238|파파존스피자|02-969-8080|서울시 동대문구 이문로 83||||||||파파존스피자 외대경희점||||80614
파파존스피자|광운대점|127.05760431005281|37.61905827068187|파파존스피자|02-941-8959||서울시 노원구 월계동 469-3|||||||파파존스피자 광운대점|101호|||80614
파파존스피자|청량리키즈카페점|127.04832908547328|37.580608570265646|파파존스피자|02-3707-1545|서울 동대문구 왕산로 214||||||||파파존스피자 청량리키즈카페점|롯데백화점4층 키즈카페|||80614
파파존스피자|세종1호점|127.24890723718079|36.5048058077585|파파존스피자|044-865-2585||세종시 종촌동 660|||||||파파존스피자 세종1호점|104호|||80614
파파존스피자|동탄2점|127.11026542022032|37.20688280721438|파파존스피자|031-372-7157||경기도 화성시 영천동 678-4|주차||||||파파존스피자 동탄2점|비젼프라자 203호|||80614
파파존스피자|다산점|127.15773343166946|37.619715173830905|파파존스피자|031-551-4298||경기도 남양주시 다산동 3563|주차||||||파파존스피자 다산점|201호|||80614
파파존스피자|신길대방점|126.91690214204529|37.498671958283005|파파존스피자|02-848-8088||서울시 영등포구 신길동 4062|||||||파파존스피자 신길대방점|2층|||80614
파파존스피자|일산서구점|126.76351048186207|37.69284229083543|파파존스피자|031-911-3015||경기도 고양시 일산서구 탄현동 174-42|주차||||||파파존스피자 일산서구점||||80614
파파존스피자|배곧점|126.72908565805842|37.3705308748165|파파존스피자|031-319-4812|경기도 시흥시 배곧3로 86||주차||||||파파존스피자 배곧점|센터프라자 205호|||80614
파파존스피자|비산점|126.941662|37.399138|파파존스피자|031-381-3578|경기도 안양시 동안구 관악대로 157||||||||파파존스피자 비산점|두성프라자 104호|||80614
파파존스피자|김해율하점|128.8137948|35.1744351|파파존스피자|055-339-1577||경남 김해시 율하동 1318-2|||||||파파존스피자 김해율하점|104호|||80614
파파존스피자|파주운정점|126.7363864|37.7287093|파파존스피자|031-941-8447|경기 파주시 청암로 17번길 33||주차||||||파파존스피자 파주운정점|현대메디컬빌딩 202호|||80614
파파존스피자|논현점|127.0389431|37.5162221|파파존스피자|02-511-8757|서울시 강남구 학동로 328||주차||||||파파존스피자 논현점|1층|||80614
파파존스피자|순천점|127.5538242|34.9318511|파파존스피자|061-724-8181||전남 순천시 해룡면 신대리 2009|||||||파파존스피자 순천점|1층|||80614
파파존스피자|인천서구점|126.6843153|37.4886299|파파존스피자|032-577-8288|인천광역시 서구 여우재로 119||||||||파파존스피자 인천서구점|인천가좌두산위브트레지움 상가 101호|||80614
파파존스피자|천안불당쌍용점|127.1085198|36.8101978|파파존스피자|041-557-1577|충남 천안시 서북구 번영로 100||주차||||||파파존스피자 천안불당쌍용점|센트럴프라자 104호|||80614
파파존스피자|속초점|128.5774134|38.2075022|파파존스피자|033-635-8087|강원도 속초시 미시령로 3395||주차||||||파파존스피자 속초점|현대프라자 1층 131호|||80614
파파존스피자|해운대점|129.1506795|35.1585436|파파존스피자|051-747-2305|부산광역시 해운대구 해운대해변로 163||주차||||||파파존스피자 해운대점|현대베네시티 상가동 110호|||80614
파파존스피자|롯데사직구장점|129.0598895|35.1944046|파파존스피자|1577-8080|부산 동래구 사직로 45||||||||파파존스피자 롯데사직구장점|사직야구장|||80614
파파존스피자|SK와이번스스타디움|126.6919653|37.4349104|파파존스피자|1577-8080|인천광역시 남구 매소홀로 618||||||||파파존스피자 SK와이번스스타디움|(문학동)|||80614
파파존스피자|평창대관령점|128.7114871|37.670933|파파존스피자|033-333-0529|강원도 평창군 송천길 30||||||||파파존스피자 평창대관령점|(AM호텔 1층 106호)|||80614
파파존스피자|세곡점|127.1007772|37.4667896|파파존스피자|0234128080|서울시 강남구 헌릉로569길 9||||||||파파존스피자 세곡점|강남지웰파인즈 205호|||80614
파파존스피자|목포점|126.4258528|34.8069052|파파존스피자|061-282-8870|전라남도 목포시 옥암로 95||||||||파파존스피자 목포점|목포 포르모 큐브상가 1122,1122-1호|||80614
파파존스피자|청라점|126.6515484|37.53131|파파존스피자|032-217-8080|인천광역시 서구 중봉대로586번길 22||||||||파파존스피자 청라점|청라풍림엑슬루타워 판매시설A동 1층 A109호|||80614
파파존스피자|진해점|128.7013218|35.144188|파파존스피자|055-547-9060|창원시 진해구 충장로 505||||||||파파존스피자 진해점|2호|||80614
파파존스피자|답십리점|127.0537794|37.5720169|파파존스피자|02-2249-8344||서울시 동대문구 답십리동 1003|||||||파파존스피자 답십리점|1004 래미안위브 제근린생활시설-1동,제지1층 제 1-3호|||80614
파파존스피자|광교점|127.0481335|37.2925705|파파존스피자|031-217-4419|경기도 수원시 영통구 이의동 센트럴타운로 107||||||||파파존스피자 광교점|제204동 1층 1-001호|||80614
파파존스피자|당산점|126.9051596|37.5253111|파파존스피자|02-2632-2426|서울시 영등포구 영중로 101||||||||파파존스피자 당산점|2층|||80614
파파존스피자|마곡점|126.8394914|37.5613398|파파존스피자|02-3662-8088|서울시 강서구 강서로 402||||||||파파존스피자 마곡점||||80614
파파존스피자|김포한강점|126.6642245|37.6469799|파파존스피자|031-986-3163|경기도 김포시 김포한강4로 162||||||||파파존스피자 김포한강점|한강메트로 1동 102호|||80614
파파존스피자|부산동래점|129.0834007|35.2091033|파파존스피자|051-558-8080|부산시 동래구 명륜로 170||||||||파파존스피자 부산동래점|아이파크상가 201동 104호|||80614
파파존스피자|KT위즈파크점|127.0097125|37.3000583|파파존스피자|031-253-8088|경기도 수원시 장안구 경수대로 893||||||||파파존스피자 KT위즈파크점|KT위즈파크,5층|||80614
파파존스피자|대구상인점|128.5283121|35.8154665|파파존스피자|053-201-2204|대구광역시 달서구 월배로 129||||||||파파존스피자 대구상인점|2층|||80614
파파존스피자|양산물금점|129.0055269|35.3094755|파파존스피자|055-364-8081|경남 양산시 물금읍 중산역로 146||주차||||||파파존스피자 양산물금점|1F 104호|||80614
파파존스피자|거제옥포점|128.6921898|34.8902018|파파존스피자|055-687-8086|경남 거제시 옥포로 170||||||||파파존스피자 거제옥포점||||80614
파파존스피자|숙대점|126.9665244|37.5377393|파파존스피자|02-719-7707||서울시 용산구 원효로2가 1-37|||||||파파존스피자 숙대점||||80614
파파존스피자|길음점|127.0234286|37.6085575|파파존스피자|02-945-8080||서울시 성북구 길음동 1143|||||||파파존스피자 길음점|2층|||80614
파파존스피자|이태원점|126.9954245|37.5332091|파파존스피자|02-790-8084|서울시 용산구 우사단로 33||||||||파파존스피자 이태원점|2층|||80614
파파존스피자|거제점|128.609872|34.8925045|파파존스피자|055-632-8082||경상남도 거제시 장평동 321-3|||||||파파존스피자 거제점||||80614
파파존스피자|부산하단점|128.9621916|35.1036712|파파존스피자|051-207-8082||부산광역시 사하구 하단동 605-29|||||||파파존스피자 부산하단점||||80614
파파존스피자|공릉점|127.0781077|37.6187785|파파존스피자|02-949-8081||서울시 노원구 공릉동 661-9|||||||파파존스피자 공릉점||||80614
파파존스피자|중화점|127.0791162|37.605172|파파존스피자|02-434-8863||서울시 중랑구 중화동 283-1|||||||파파존스피자 중화점||||80614
파파존스피자|성남점|127.1579745|37.4461354|파파존스피자|031-731-8080||성남시 중원구 금광동 4398|||||||파파존스피자 성남점||||80614
파파존스피자|광주기아챔피언스필드|126.8868431|35.1682307|파파존스피자|15778080||광주광역시 북구 임동 316|||||||파파존스피자 광주기아챔피언스필드|광주기아챔피언스필드|||80614
파파존스피자|강남역점|127.0250568|37.4967691|파파존스피자|070-7708-3335||서울 강남구 서초동 1321-1|||||||파파존스피자 강남역점|서초플래티넘빌딩 지하1층|||80614
파파존스피자|대구달서점|128.5342598|35.8502037|파파존스피자|053-557-9877||대구광역시시 달서구 죽전동 270-26|||||||파파존스피자 대구달서점|2층|||80614
파파존스피자|메트로타워점|126.9744568|37.5563255|파파존스피자|02-6312-8990||서울시 중구 남대문로5가 537|||||||파파존스피자 메트로타워점|지하1층 푸드코트 1호|||80614
파파존스피자|한솔오크밸리점|127.8005530|37.4065281|파파존스피자|033-743-9990||강원도 원주시 지정면 판대리 557-1|||||||파파존스피자 한솔오크밸리점|콘도C동 1층|||80614
파파존스피자|위례점|127.1401508|37.4683425|파파존스피자|031-759-0357||경기도 성남시 수정구 창곡동 546|||||||파파존스피자 위례점|204호|||80614
파파존스피자|부산남구점|129.1011219|35.1315499|파파존스피자|051-626-9051||부산광역시 남구 대연동 561-1|주차||||||파파존스피자 부산남구점|2층|||80614
파파존스피자|미사점|127.1847513|37.5686336|파파존스피자|031-791-8081||경기도 하남시 망월동 (풍산동) 968-1|||||||파파존스피자 미사점||||80614
파파존스피자|노원점|127.0626476|37.6550304|파파존스피자|02-936-8080||서울특별시 노원구 상계동 716-3|||||||파파존스피자 노원점|203호|||80614
파파존스피자|대학로점|127.00193306579202|37.57801838666483|파파존스피자|02-766-0018|서울시 종로구 대학로 75||||||||파파존스피자 대학로점|2층|||80614
파파존스피자|성수점|127.0447668|37.5477075|파파존스피자|02-461-8188||서울특별시 성동구 성수동1가 (성수1가제2동) 656-297|||||||파파존스피자 성수점||||80614
