##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@BHC치킨
BHC치킨앤비어|(bhc)영흥점|||BHC치킨|032-880-9893||인천 옹진군 영흥면 내리 8-83|맥주판매||||||BHC치킨앤비어 (bhc)영흥점||||80615
BHC치킨앤비어|37사단사령부복지회관점|||BHC치킨|043-838-2490||충북 증평군 증평읍 연탄리 152|맥주판매||||||BHC치킨앤비어 37사단사령부복지회관점||||80615
BHC치킨앤비어|3군단사령부점|||BHC치킨|033-461-1741||강원 인제군 기린면 현리 사서함 116-1|맥주판매||||||BHC치킨앤비어 3군단사령부점||||80615
BHC치킨앤비어|8919부대점|||BHC치킨|053-859-6500||경북 경산시 하양읍 대학리 산98|맥주판매||||||BHC치킨앤비어 8919부대점||||80615
BHC치킨|가락점|||BHC치킨|02-404-2010||서울 송파구 가락동 159-6|||||||BHC치킨 가락점|11층|||80615
BHC치킨앤비어|가산디지털역점|||BHC치킨|02-2027-0085||서울 금천구 가산동 60-11|맥주판매||||||BHC치킨앤비어 가산디지털역점||||80615
BHC치킨|가양점|||BHC치킨|02-3663-9263||서울 강서구 등촌동 707-1|||||||BHC치킨 가양점|상가107호|||80615
BHC치킨|가장내동점|||BHC치킨|042-536-9282||대전 서구 내동 10-1|||||||BHC치킨 가장내동점||||80615
BHC치킨|가재울DMC점|||BHC치킨|02-373-9992||서울 서대문구 북가좌동 300-19|||||||BHC치킨 가재울DMC점||||80615
BHC치킨|가정점|||BHC치킨|032-584-2228|인천광역시 서구 원창로240번길 28||||||||BHC치킨 가정점|(가정동)|||80615
BHC치킨앤비어|가좌1동점|||BHC치킨|032-575-5777||인천 서구 가좌동 146-35|맥주판매||||||BHC치킨앤비어 가좌1동점||||80615
BHC치킨앤비어|가좌점|||BHC치킨|032-577-5892||인천 서구 가좌동 42-2|맥주판매||||||BHC치킨앤비어 가좌점||||80615
BHC치킨|가평설악점|||BHC치킨|031-585-9982|경기 가평군 설악면 신천중앙로 132-1||||||||BHC치킨 가평설악점|1층|||80615
BHC치킨앤비어|가평점|||BHC치킨|031-581-2930|경기도 가평군 가평읍 석봉로 212||맥주판매||||||BHC치킨앤비어 가평점|(에이스1차)|||80615
BHC치킨앤비어|가평현리점|||BHC치킨|031-584-9987|경기도 가평군 하면 조종새싹로4번길 15||맥주판매||||||BHC치킨앤비어 가평현리점||||80615
BHC치킨앤비어|간석사거리점|||BHC치킨|032-424-9922||인천 남동구 간석동 224|맥주판매||||||BHC치킨앤비어 간석사거리점|B105호|||80615
BHC치킨앤비어|간석올리브|||BHC치킨|032-429-9982||인천 남동구 간석1동 355-1|맥주판매||||||BHC치킨앤비어 간석올리브||||80615
BHC치킨|갈마내동점|||BHC치킨|042-537-9925|대전광역시 서구 신갈마로 142-12||||||||BHC치킨 갈마내동점|(갈마동,나은빌리지)|||80615
BHC치킨|갈매점|||BHC치킨|031-575-9290|경기 구리시 갈매동 갈매순환로 143||||||||BHC치킨 갈매점|(갈매동,LH갈매1단지) 1층 106호 (갈매동)|||80615
BHC치킨앤비어|갈산역점|||BHC치킨|032-504-9982||인천 부평구 갈산동 182-3|맥주판매||||||BHC치킨앤비어 갈산역점||||80615
BHC치킨|감곡점|||BHC치킨|043-883-5576|충북 음성군 감곡면 오향로 31||||||||BHC치킨 감곡점|상가동 -102 (감곡휴먼시아)|||80615
BHC치킨앤비어|감전점|||BHC치킨|051-322-5567||부산시 사상구 감전동 109-6|맥주판매||||||BHC치킨앤비어 감전점||||80615
BHC치킨|강남논현점|||BHC치킨|02-512-7633||서울 강남구 논현동 159|||||||BHC치킨 강남논현점|1층|||80615
BHC치킨|강남대점|||BHC치킨|031-274-4988|경기 용인시 기흥구 강남동로 46||||||||BHC치킨 강남대점|(구갈동,강남마을6단지자연|||80615
BHC치킨앤비어|강남반포점|||BHC치킨|02-512-8488||서울 서초구 반포동 746-5|맥주판매||||||BHC치킨앤비어 강남반포점||||80615
BHC치킨|강남역삼점|||BHC치킨|02-563-8868|서울특별시 강남구 역삼로11길 7||||||||BHC치킨 강남역삼점|1층 (역삼동)|||80615
BHC치킨|강릉교동택지지구점|||BHC치킨|033-645-7959||강원 강릉시 교동 1806-13|||||||BHC치킨 강릉교동택지지구점||||80615
BHC치킨|강릉노암점|||BHC치킨|033-641-8400||강원 강릉시 노암동 324-30|||||||BHC치킨 강릉노암점||||80615
BHC치킨|강릉홍제점|||BHC치킨|033-652-8282||강원 강릉시 홍제동 77-3|||||||BHC치킨 강릉홍제점||||80615
BHC치킨|강북구청점|||BHC치킨|02-998-5577||서울 강북구 수유동 220-47|||||||BHC치킨 강북구청점||||80615
BHC치킨|강상점|||BHC치킨|031-775-9982|경기 양평군 강상면 강남로 881||||||||BHC치킨 강상점|(병산리) 1층|||80615
BHC치킨앤비어|강서구청점|||BHC치킨|02-2065-2200|서울특별시 강서구 화곡로58길 34||맥주판매||||||BHC치킨앤비어 강서구청점|1층 (화곡동)|||80615
BHC치킨앤비어|강원신남점|||BHC치킨|033-461-9942|강원도 인제군 남면 신남로 58번길 5||맥주판매||||||BHC치킨앤비어 강원신남점||||80615
BHC치킨|강원영월점|||BHC치킨|033-372-9282||강원 영월군 영월읍 영흥리 945-45|||||||BHC치킨 강원영월점||||80615
BHC치킨앤비어|강원인제점|||BHC치킨|033-462-4488|강원도 인제군 인제읍 비봉로6번길 4||맥주판매||||||BHC치킨앤비어 강원인제점||||80615
BHC치킨|강원정선점|||BHC치킨|033-563-1168||강원 정선군 정선읍 봉양리 343-9|||||||BHC치킨 강원정선점||||80615
BHC치킨앤비어|강원천도리점|||BHC치킨|033-462-4066|강원 인제군 서화면 천도로 139||맥주판매||||||BHC치킨앤비어 강원천도리점||||80615
BHC치킨앤비어|강원평창점|||BHC치킨|033-334-9282||강원 평창군 평창읍 하리 137-3|맥주판매||||||BHC치킨앤비어 강원평창점||||80615
BHC치킨|강원홍천점|||BHC치킨|033-434-9979||강원 홍천군 홍천읍 신장대리 65-16|||||||BHC치킨 강원홍천점||||80615
BHC치킨|강일점|||BHC치킨|02-481-8292|서울특별시 강동구 천호대로221길 23||||||||BHC치킨 강일점|(상일동)|||80615
BHC치킨앤비어|강화점|||BHC치킨|032-932-5452|인천광역시 강화군 강화읍 강화대로404번길 5||맥주판매||||||BHC치킨앤비어 강화점|(청담B/D8층)|||80615
BHC치킨|개금점|||BHC치킨|051-897-1446|부산광역시 부산진구 개금본동로 34||||||||BHC치킨 개금점|(개금동) 개금동 현대아파트 상가 104동 102,103호|||80615
BHC치킨앤비어|개롱역점|||BHC치킨|02-2043-5002|서울특별시 송파구 오금로44가길 4||맥주판매||||||BHC치킨앤비어 개롱역점|(가락동)|||80615
BHC치킨|개봉점|||BHC치킨|02-2611-9288|서울특별시 구로구 개봉로16길 22||||||||BHC치킨 개봉점|(개봉동)|||80615
BHC치킨앤비어|거제/망치점|||BHC치킨|055-681-9290||경남 거제시 일운면 망치리 122-1|맥주판매||||||BHC치킨앤비어 거제/망치점||||80615
BHC치킨|거제고현점|||BHC치킨|055-638-0550|경남 거제시 고현로13길 30-5||||||||BHC치킨 거제고현점|(고현동,고현주공아파트복합상가)|||80615
BHC치킨앤비어|거제동부점|||BHC치킨|0556359277||경남 거제시 동부면 산양리 396|맥주판매||||||BHC치킨앤비어 거제동부점||||80615
BHC치킨|거제문동포스코점|||BHC치킨|055-636-9293|경남 거제시 상동5길 100||||||||BHC치킨 거제문동포스코점|더샵 블루시티 118-107|||80615
BHC치킨|거제수월점|||BHC치킨|055-636-9828||경남 거제시 수월동 1092|||||||BHC치킨 거제수월점|자이상가2동106호|||80615
