##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@나뚜루
나뚜루|아현|307742|550469|나뚜루||서울특별시 마포구 마포대로 195|서울특별시 마포구 아현동 774|||||||나뚜루 아현||||80625
나뚜루|플래그십/스토어/신촌|306203|550912|나뚜루|02-3141-6855|서울특별시 서대문구 신촌로 87|서울특별시 서대문구 창천동 30-14|||||||나뚜루 플래그십/스토어/신촌||||80625
나뚜루|서울성모병원점|312233|544854|나뚜루|02-537-1394|서울특별시 서초구 반포대로 222|서울특별시 서초구 반포동 505|||||||나뚜루 서울성모병원점|카톨릭대학교;서울성모병원 B1|||80625
나뚜루|잠실롯데월드몰1층점|321002|546098|나뚜루|02-3213-4192|서울특별시 송파구 올림픽로 300|서울특별시 송파구 신천동 29|||||||나뚜루 잠실롯데월드몰1층점|캐쥬얼동1층|||80625
나뚜루|신도림테크노마트점|302142|545502|나뚜루|02-2111-1115|서울특별시 구로구 새말로 97|서울특별시 구로구 구로동 3-25|||||||나뚜루 신도림테크노마트점|신도림테크노마트;신도림테크노마트 판매동 지하1층|||80625
나뚜루|가산디지털점|301290|542799|나뚜루|02-2028-6126|서울특별시 금천구 가산디지털1로 186|서울특별시 금천구 가산동 459-11|||||||나뚜루 가산디지털점|JEI PLATZ;제이플라츠 A동 103호|||80625
나뚜루|건대스타스티|318238|548776|나뚜루|02-2024-1451|서울특별시 광진구 아차산로 262|서울특별시 광진구 자양동 227-7|||||||나뚜루 건대스타스티|건대스타시티 지하1층|||80625
나뚜루|신림중앙점|306260|541539|나뚜루|02-873-1286|서울특별시 관악구 신림로12길 1|서울특별시 관악구 신림동 118-6|||||||나뚜루 신림중앙점||||80625
나뚜루|노원점|317369|561846|나뚜루||서울특별시 노원구 동일로 1414|서울특별시 노원구 상계동 713|||||||나뚜루 노원점|롯데백화점노원점 9F;롯데백화점노원점 9F|||80625
나뚜루|잠실롯데타워31층|321015|546099|나뚜루|02-3213-9978|서울특별시 송파구 올림픽로 300|서울특별시 송파구 신천동 29|||||||나뚜루 잠실롯데타워31층|롯데타워 31층|||80625
나뚜루|잠실롯데월드몰b1|321015|546099|나뚜루|02-3213-4781|서울특별시 송파구 올림픽로 300|서울특별시 송파구 신천동 29|||||||나뚜루 잠실롯데월드몰b1|캐쥬얼동 B1층|||80625
나뚜루|구로디저털역|303204|543037|나뚜루|02-857-7698|서울특별시 관악구 시흥대로 578|서울특별시 관악구 신림동 1643|||||||나뚜루 구로디저털역|광안프라자|||80625
나뚜루|구일점|300792|543908|나뚜루||서울특별시 구로구 구일로4길 33|서울특별시 구로구 구로동 685-215|||||||나뚜루 구일점|종합상가;종합상가 116호|||80625
나뚜루|수서역사점|321008|542967|나뚜루|02-445-9310|서울특별시 강남구 밤고개로 99|서울특별시 강남구 수서동 214-3|||||||나뚜루 수서역사점|지하1층SB15호|||80625
나뚜루|내손점|309648|532479|나뚜루|031-421-0057|경기도 의왕시 포일로 43|경기도 의왕시 내손동 414-3|||||||나뚜루 내손점|대림프라자;대림프라자 110호|||80625
나뚜루|송파방이점|322055|546330|나뚜루||서울특별시 송파구 위례성대로 34|서울특별시 송파구 방이동 180-7|||||||나뚜루 송파방이점||||80625
나뚜루|개롱점|323686|544322|나뚜루|02-443-2468|서울특별시 송파구 오금로 400|서울특별시 송파구 가락2동 166-1|||||||나뚜루 개롱점|아람빌딩;아람빌딩 105호|||80625
나뚜루|개화점|295120|552983|나뚜루|02-2662-6855|서울특별시 강서구 양천로 60|서울특별시 강서구 방화동 562-26|||||||나뚜루 개화점||||80625
나뚜루|의정부역점|315963|571062|나뚜루|031-836-0103|경기도 의정부시 시민로 80|경기도 의정부시 의정부동 494|||||||나뚜루 의정부역점|센트럴파크;센트럴타워 A112호|||80625
나뚜루|일산이마트|292778|561318|나뚜루|031-905-2358|경기도 고양시 일산동구 중앙로 1124|경기도 고양시 일산동구 백석동 1194|||||||나뚜루 일산이마트||||80625
나뚜루|부평산곡롯데마트점|285616|545543|나뚜루|032-507-2021|인천광역시 부평구 마장로 296|인천광역시 부평구 산곡동 159-52|||||||나뚜루 부평산곡롯데마트점|롯데마트 부평점;롯데마트 2층|||80625
