##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@커피빈
커피빈|원주AK플라자점|||커피빈|033-748-0631|강원도 원주시 봉화로 1||WIFI|월~목 09:30~21:00;금 토요일 09:30~22:00;일요일,공휴일 09:30~21:00|||||커피빈 원주AK플라자점|AK플라자원주점 1층|||80701
커피빈|부천북부역사거리점|||커피빈|032-655-8954|경기도 부천시 부천로 25||주차가능;WIFI;흡연가능|월   목  09:00 22:00 ; 금 09:00 23:00  ; 토 10:00 23:00   ; 일,공휴일 10:00 22:00|||||커피빈 부천북부역사거리점||||80701
커피빈|하남신세계백화점 B1점|||커피빈|031-8072-1641|경기도 하남시 미사대로 750||주차가능|월   금,주말/공휴일: 11:00~21:00|||||커피빈 하남신세계백화점 B1점|신세계백화점 지하1층 식품관|||80701
커피빈|안양시청앞점|||커피빈|031-5177-4770|경기도 안양시 동안구 시민대로 260||주차가능;WIFI|월   금 : 07:30~23:00 ; 주말/공휴일: 08:00~23:00|||||커피빈 안양시청앞점|1층 104,105호|||80701
커피빈|파주DT점|||커피빈|031-8070-0028|경기도 파주시 문발로 131||주차가능;드라이브스루;WIFI|월   금 : 07:30~21:00 ; 주말/공휴일: 09:00~21:00|||||커피빈 파주DT점||||80701
커피빈|광명아브뉴프랑점|||커피빈|02-899-7460|경기도 광명시 양지로 16||주차가능;WIFI|월 수 08:00~22:00 ; 목 일,공휴일 08:00~23:00|||||커피빈 광명아브뉴프랑점|아브뉴프랑 지하2층 (주)커피빈코리아 광명아브뉴프랑점|||80701
커피빈|분당차병원본관앞점|||커피빈|031-8017-8243|경기도 성남시 분당구 야탑로 64||WIFI|평일 07:30~22:30 ; 주말,공휴일 08:00~22:30|||||커피빈 분당차병원본관앞점|DS타워 1층|||80701
커피빈|수원인계DT점|||커피빈|031-898-8818||경기 수원시 인계동 967-4|주차가능;드라이브스루;WIFI|평일/주말/공휴일 07:30~23:00|||||커피빈 수원인계DT점|967-1번지 건물 1~3층|||80701
커피빈|동탄능동DT점|||커피빈|031-267-4182||경기도 화성시 능동 453-4|주차가능;드라이브스루;WIFI|평일/주말/공휴일 07:30~23:00|||||커피빈 동탄능동DT점|453-8,454-1 소재 건물 (1~3층)|||80701
커피빈|성균관대 자연과학캠퍼스점|||커피빈|031-278-7640|경기 수원시 장안구 서부로 2066||주차가능;WIFI|월 금 08:00 21:00 ; 토 08:30 20:00 ; 일,공휴일 휴점|||||커피빈 성균관대 자연과학캠퍼스점|성균관대 자연과학 캠퍼스 N센터 1층|||80701
커피빈|서수원이마트점|||커피빈|031-278-6593|경기도 수원시 권선구 수인로 291||주차가능;WIFI|평일,공휴일 10:30~21:30 ;매월 2주,4주 일요일 정기 휴무|||||커피빈 서수원이마트점|(구운동),이마트 서수원점 1층|||80701
커피빈|성남신흥점|||커피빈|031-759-6675|경기도 성남시 수정구 수정로 190||WIFI;흡연가능|평일,주말,공휴일 08:00 22:30|||||커피빈 성남신흥점|(신흥동)|||80701
커피빈|수원송죽DT점|||커피빈|031-248-6086|경기도 수원시 장안구 경수대로 989||주차가능;드라이브스루;WIFI;흡연가능|평일 07:00~24:00 ;주말 07:00~24:00|||||커피빈 수원송죽DT점||||80701
커피빈|평택소사점|||커피빈|031-692-2405|경기도 평택시 평남로 862||주차가능;WIFI|월 목 09:00 22:30 ; 금 토 09:00 23:00 ; 일,공휴일 09:00 22:30|||||커피빈 평택소사점|로이드빌딩 1층|||80701
커피빈|화정중앙공원점|||커피빈|031-979-9402|경기도 고양시 덕양구 화신로260번길 26||WIFI|평일, 주말 및 공휴일 08:30~23:00|||||커피빈 화정중앙공원점|동민프라자 1층 103~107호|||80701
커피빈|안양1번가점|||커피빈|031-468-9096|경기도 안양시 만안구 안양로304번길 12||WIFI;흡연가능|월 일 10:00 ~ 23:00|||||커피빈 안양1번가점|세진빌딩 2층|||80701
커피빈|부천상동점|||커피빈|032-329-9471|경기도 부천시 길주로 111||주차가능;WIFI|월 목 08:00 22:00 ; 금 08:00 23:00 ; 토,공휴일 09:00 23:00 ; 일 09:00 22:00|||||커피빈 부천상동점|센타플라자 1층|||80701
커피빈|산본역점|||커피빈|031-399-8812|경기도 군포시 광정로 58||WIFI|월 목,일요일/공휴일 08:00~22:00;금,토요일 08:00 ~ 23:00|||||커피빈 산본역점|1층 104호 및 2층|||80701
