##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@카페띠아모
카페띠아모|천안성정점|||카페띠아모|축하합니다!!|||||||||카페띠아모 천안성정점||||80711
카페띠아모|방이동점|||카페띠아모|070-4895-2149||서울시 송파구 방이동 159|||||||카페띠아모 방이동점||||80711
카페띠아모|영월/중앙로점|||카페띠아모|033-375-6228|강원도 영월군 영월읍 중앙로 53-1||||||||카페띠아모 영월/중앙로점||||80711
카페띠아모|부천옥길점|||카페띠아모|032-343-1537||경기도 부천시 옥길동 710-1|||||||카페띠아모 부천옥길점||||80711
카페띠아모|하이원워터월드점|||카페띠아모||강원도 정선군 사북읍 하이원길 175||||||||카페띠아모 하이원워터월드점||||80711
카페띠아모|광양/광양읍점|||카페띠아모|061-762-1117|전남 광양시 광양읍 서천변로 191||||||||카페띠아모 광양/광양읍점|1,2층|||80711
카페띠아모|강릉/교동점|||카페띠아모|033-641-6839||강원 강릉시 교동 1889-5|||||||카페띠아모 강릉/교동점||||80711
카페띠아모|마포/중앙도서관점|||카페띠아모|02-336-3501|서울 마포구 성산로 128||||||||카페띠아모 마포/중앙도서관점|마포 중앙도서관 지하1층 9호|||80711
카페띠아모|쌍문동점|||카페띠아모|02-993-2148||서울 도봉구 창동 828|||||||카페띠아모 쌍문동점|성우스타펠리스 1층|||80711
카페띠아모|원주/혁신점|||카페띠아모|033-744-8770||강원 원주시 반곡동 1884-1|||||||카페띠아모 원주/혁신점||||80711
카페띠아모|고려대/현대자동차경영관점|||카페띠아모|02-929-2600|서울 성북구 안암로 145||||||||카페띠아모 고려대/현대자동차경영관점|고려대 현대자동차경영관 지하1층|||80711
카페띠아모|한양대/MK점|||카페띠아모|070-7760-3173|서울 성동구 왕십리로 222||||||||카페띠아모 한양대/MK점|한양대엔지니어링하우스 B103|||80711
카페띠아모|청주/사창점|||카페띠아모|043-265-2002||충북 청주시 흥덕구 사창동 369-67|||||||카페띠아모 청주/사창점|가람빌딩1층|||80711
카페띠아모|경기대점|||카페띠아모|02-313-6284|서울 서대문구 충정로 2가 184-4||||||||카페띠아모 경기대점|1층 104호|||80711
카페띠아모|삼척/해변점|||카페띠아모|033-575-7787||강원 삼척시 갈천동 14|||||||카페띠아모 삼척/해변점|삼척테마타운 3동 103호|||80711
카페띠아모|논산/연무점|||카페띠아모|041-742-0721||충남 논산시 연무읍 동산리 897-5|||||||카페띠아모 논산/연무점|(2층)|||80711
