##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@스무디킹
스무디킹|CGV대구스타디움점|||스무디킹|1544-1122|대구 수성구 유니버시아드로 140||주차||||||스무디킹 CGV대구스타디움점|B1층|||80718
스무디킹|CGV평택점|||스무디킹|1544-1122|경기 평택시 평택로 51||주차||||||스무디킹 CGV평택점|(평택동,평택민자역사)|||80718
스무디킹|CGV포항점|||스무디킹|1544-1122|경북 포항시 남구 중흥로 77||베이커리;주차||||||스무디킹 CGV포항점|(상도동,밸류플러스 7층)|||80718
스무디킹|CGV목포평화광장점|||스무디킹|1544-1122|전남 목포시 원형동로 53||베이커리;주차||||||스무디킹 CGV목포평화광장점|CGV 5층|||80718
스무디킹|세종KT&G타워점|||스무디킹|044-960-5251|세종특별자치시 한누리대로 411||베이커리;주차||||||스무디킹 세종KT&G타워점|KT&G타워 3F|||80718
스무디킹|상록리조트점|||스무디킹|041-560-9302|충남 천안시 동남구 수신면 수신로 576||베이커리;주차||||||스무디킹 상록리조트점|상록호텔 1층|||80718
스무디킹|일산벨라시타점|||스무디킹|031-849-5770|경기 고양시 일산동구 강송로 33||베이커리;주차||||||스무디킹 일산벨라시타점|일산벨라시타 지하1층|||80718
스무디킹|서울역사점|||스무디킹|02-313-3393|서울 중구 한강대로 405||베이커리;좌석;주차;배달APP||||||스무디킹 서울역사점|서울KTX역 1층 (서울역 1번 출구에서 지상 에스컬레이터 탑승)|||80718
스무디킹|부평아이즈빌점|||스무디킹|032-514-8777|인천 부평구 마장로 489||베이커리;주차||||||스무디킹 부평아이즈빌점|부평아이즈빌 2층|||80718
스무디킹|서천국립생태원점|||스무디킹|070-5057-0444|충남 서천군 마서면 금강로 1210||베이커리;주차||||||스무디킹 서천국립생태원점|생태원 에코리움 1층|||80718
스무디킹|스타필드시티위례점|||스무디킹|031-8097-1361|경기 하남시 위례대로 200||베이커리;좌석;주차||||||스무디킹 스타필드시티위례점|스타필드시티 3F|||80718
스무디킹|논현점|||스무디킹|02-3446-5912|서울 강남구 강남대로 512||베이커리;좌석;주차||||||스무디킹 논현점|일렉트로마트 내 1층|||80718
스무디킹|CGV청주율량점|||스무디킹|1544-1122|충청북도 청주시 상당구 충청대로 114||베이커리;주차||||||스무디킹 CGV청주율량점|청주호텔 2층|||80718
스무디킹|패밀리미니몰점|||스무디킹||경기 평택시 팽성읍 안정순환로 118||베이커리||||||스무디킹 패밀리미니몰점|캠프험프리 내 패밀리미니몰|||80718
스무디킹|트레이더스구성점|||스무디킹|031-287-8064|경기 용인시 기흥구 용구대로 2457||좌석;주차||||||스무디킹 트레이더스구성점|트레이더스구성점 2층 셀렉더테이블 (푸드코트) 내|||80718
스무디킹|대명델피노점|||스무디킹||강원 고성군 토성면 미시령옛길 1153||베이커리;주차||||||스무디킹 대명델피노점|델피노 지하2층|||80718
스무디킹|덕평자연휴게소점|||스무디킹||경기 이천시 마장면 덕이로 154번길 287-76||주차||||||스무디킹 덕평자연휴게소점|1층 푸드코트 카운터 옆 (강릉방향)|||80718
스무디킹|CGV평촌점|||스무디킹|1544-1122|경기 안양시 동안구 관평로 170번길 33||베이커리;주차||||||스무디킹 CGV평촌점|(관양동 8층)|||80718
스무디킹|평택NCOA점|||스무디킹||경기 평택시 팽성읍 안정순환로 118||베이커리||||||스무디킹 평택NCOA점|1층|||80718
스무디킹|신세계의정부점|||스무디킹|031-8082-0233|경기 의정부시 평화로 525||베이커리;주차||||||스무디킹 신세계의정부점|신세계백화점 2층 푸드코트 내|||80718
스무디킹|인천공항점|||스무디킹|032-743-6913|인천광역시 중구 공항로 272||베이커리;좌석;주차||||||스무디킹 인천공항점|인천공항 제 1여객터미널 지하1층 (운서동)|||80718
스무디킹|CGV오리점|||스무디킹||경기 성남시 분당구 탄천상로 151번길 20||주차||||||스무디킹 CGV오리점|애플플라자 1층|||80718
스무디킹|이마트중동점|||스무디킹|032-325-8046|경기도 부천시 석천로 188||주차||||||스무디킹 이마트중동점|이마트중동점 B2층 (지하철과 연결)|||80718
스무디킹|제주신화월드점|||스무디킹||제주 서귀포시 안덕면 신화역사로304번길 38||베이커리;좌석;주차||||||스무디킹 제주신화월드점|쇼핑스트리트내 스무디킹|||80718
스무디킹|송도오네스타점|||스무디킹|032-832-6800|인천 연수구 송도국제대로 157||베이커리;좌석;주차;근거리 무료배달||||||스무디킹 송도오네스타점|114호 (송도동,오네스타)|||80718
스무디킹|트레이더스김포점|||스무디킹|070-7768-1193|경기 김포시 김포대로 715||좌석;주차||||||스무디킹 트레이더스김포점|트레이더스 1층 (풍무동)|||80718
스무디킹|파스텔시티점|||스무디킹|02-582-5552|서울특별시 서초구 방배천로 11||베이커리;좌석;주차||||||스무디킹 파스텔시티점|1층 (사당역 지하연결)|||80718
스무디킹|캠프험프리다운타운점|||스무디킹||경기 평택시 팽성읍 안정순환로 118||좌석||||||스무디킹 캠프험프리다운타운점|캠프험프리스 내 다운타운 메인쇼핑몰 센터 1층|||80718
스무디킹|이마트광명소하점|||스무디킹|02-898-8046|경기도 광명시 소하로 97||주차||||||스무디킹 이마트광명소하점|이마트광명소하점 1층|||80718
스무디킹|대구백화점점|||스무디킹|053-954-0064|대구 중구 동성로 30||베이커리;주차||||||스무디킹 대구백화점점|2층 스무디킹|||80718
스무디킹|신림포도몰점|||스무디킹|02-881-8333|서울시 관악구 신림로 330||베이커리;좌석;주차||||||스무디킹 신림포도몰점|포도몰 9층|||80718
스무디킹|삼청동점|||스무디킹|02-720-2292|서울시 종로구 삼청로 68||베이커리;좌석||||||스무디킹 삼청동점|1층|||80718
스무디킹|스타필드고양PK마켓점|||스무디킹|070-7500-7821|경기 고양시 덕양구 고양대로 1955||베이커리;주차||||||스무디킹 스타필드고양PK마켓점|스타필드 지하1층|||80718
스무디킹|스타필드고양점|||스무디킹|031-5173-3081|경기 고양시 덕양구 고양대로 1955||베이커리;좌석;주차||||||스무디킹 스타필드고양점|스타필드 3층|||80718
스무디킹|제주공항점|||스무디킹||제주 공항로 2||베이커리;좌석;주차||||||스무디킹 제주공항점|제주국제공항 1층 4번 게이트옆|||80718
스무디킹|대전세이탄방점|||스무디킹|042-472-5945|대전 서구 문정로 85||베이커리;좌석;주차||||||스무디킹 대전세이탄방점|대전세이탄방점 1층 스무디킹 (에스컬레이터 옆)|||80718
