##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@빵굼터
빵굼터|약수동점|312836|550910|빵굼터|02-2231-9380|서울특별시 중구 다산로 139|서울특별시 중구 신당동 374-6|||||||빵굼터 약수동점|랜더스빌딩|||80805
빵굼터|돈암점|313342|554843|빵굼터|02-953-8054|서울특별시 성북구 동소문로20길 18|서울특별시 성북구 동소문동5가 112|||||||빵굼터 돈암점||||80805
빵굼터|신답역점|316131|552451|빵굼터|02-2212-6584|서울특별시 동대문구 천호대로 231|서울특별시 동대문구 답십리동 465-137|||||||빵굼터 신답역점||||80805
빵굼터|길음점|313889|556252|빵굼터|02-909-0343||서울특별시 성북구 길음1동 550-37|||||||빵굼터 길음점||||80805
빵굼터|방배동점|311049|543580|빵굼터|02-592-0560|서울특별시 서초구 방배로 187|서울특별시 서초구 방배동 836-10|||||||빵굼터 방배동점|삼경빌딩|||80805
빵굼터|신대방점|304111|543178|빵굼터|02-839-9930|서울특별시 관악구 난곡로 355-1|서울특별시 관악구 조원동 519-1|||||||빵굼터 신대방점||||80805
빵굼터착한빵집||305007|553377|빵굼터|02-302-8176|서울특별시 서대문구 증가로 138|서울특별시 서대문구 남가좌동 344-32|||||||빵굼터착한빵집||||80805
빵굼터|대치동점|316786|544881|빵굼터|02-553-5806|서울특별시 강남구 역삼로 452|서울특별시 강남구 대치동 911-13|||||||빵굼터 대치동점||||80805
빵굼터|대방점|305242|545794|빵굼터|02-812-7434|서울특별시 동작구 여의대방로44길 9|서울특별시 동작구 대방동 500|||||||빵굼터 대방점|성원아파트;성원상가 105호|||80805
빵굼터|사당점|309762|542079|빵굼터|02-598-9466|서울특별시 관악구 남부순환로 2060|서울특별시 관악구 남현동 1057-23|||||||빵굼터 사당점||||80805
빵굼터|염창동점|300544|550879|빵굼터|02-3665-4636|서울특별시 강서구 양천로69길 58|서울특별시 강서구 염창동 292-1|||||||빵굼터 염창동점|염창동아아파트|||80805
빵굼터|면목점|319712|553722|빵굼터|02-494-3280|서울특별시 중랑구 면목로 338|서울특별시 중랑구 면목3.8동 459-15|||||||빵굼터 면목점|이주영치과|||80805
