##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@롯데마트
롯데마트|강변점|||롯데마트|02-3424-2500|서울특별시 광진구 광나루로 56길 85|서울 광진구 구의3동 546||10:00~23:00|||||롯데마트 강변점||||90402
롯데마트|구로점|||롯데마트|02-2639-2500|서울특별시 구로구 경인로 482|서울특별시 구로구 구로동 636-89||10:00~23:00|||||롯데마트 구로점||||90402
롯데마트|김포공항점|||롯데마트|02-6124-2500|서울시 강서구 하늘길 38|서울 강서구 방화동 886||10:00~23:00|||||롯데마트 김포공항점||||90402
롯데마트|삼양점|||롯데마트|02-2248-2500|서울특별시 강북구 삼양로 247|서울 강북구 미아동 1359||10:00~23:00|||||롯데마트 삼양점||||90402
롯데마트|서울역점|||롯데마트|02-390-2500|서울 중구 청파로 426|서울 중구 봉래동2가 122||10:00~24:00|||||롯데마트 서울역점||||90402
롯데마트|송파점|||롯데마트|02-2295-2500|서울 송파구 중대로 80|서울 송파구 문정동 150-2||10:00~23:00|||||롯데마트 송파점||||90402
롯데마트|잠실점|||롯데마트|02-411-8025|서울 송파구 올림픽로 240|서울 송파구 잠실동 40-1||10:00~23:00|||||롯데마트 잠실점|롯데마트 잠실점|||90402
롯데마트|서초점|||롯데마트|02-918-2500|서울 서초구 서초대로 38길 12|서울 서초구 서초동 1498-5||10:00~23:00|||||롯데마트 서초점||||90402
롯데마트|중계점|||롯데마트|02-2092-2500|서울 노원구 노원로 330|서울 노원구 중계동 361||10:00~23:00|||||롯데마트 중계점||||90402
롯데마트|청량리점|||롯데마트|02-3298-2500|서울 동대문구 왕산로 214|서울 동대문구 전농동 591-53||10:00~23:00|||||롯데마트 청량리점||||90402
롯데마트|행당역점|||롯데마트|02-3395-2500|서울 성동구 행당로 82|서울 성동구 행당2동 346||10:00~23:00|||||롯데마트 행당역점|한진타운상가 B2~B3층;한진타운상가 B2~B3층|||90402
롯데마트|월드타워점|||롯데마트|02-2057-2500|서울 송파구 신천동 올림픽로 300|서울시 송파구 신천동 29||10:00~23:00|||||롯데마트 월드타워점||||90402
롯데마트|은평점|||롯데마트|02-2097-2500||서울 은평구 진관동 79-15||10:00~23:00|||||롯데마트 은평점||||90402
