##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@홈플러스
홈플러스|가야점|129.027|35.153|홈플러스|051-890-8000|부산광역시 부산진구 가야대로 506|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 가야점||||90403
홈플러스|가양점|126.85|37.564|홈플러스|02-2063-2080|서울특별시 강서구 양천로 431|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 가양점||||90403
홈플러스|가좌점|126.671|37.498|홈플러스|032-453-8000|인천광역시 서구 가정로 151번길 11|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 가좌점||||90403
홈플러스|간석점|126.689|37.47|홈플러스|032-870-8000|인천광역시 남동구 경원대로 971|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 간석점||||90403
홈플러스|강동점|127.142|37.546|홈플러스|02-3400-8000|서울특별시 강동구 양재대로 1571|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점, 일부 임대매장 일요일 정상영업)|||||홈플러스 강동점||||90403
홈플러스|강릉점|128.899|37.756|홈플러스|033-649-8000|강원도 강릉시 경강로 2120|||10:00~24:00 (단, 매월 2,4번째 수요일 휴점)|||||홈플러스 강릉점||||90403
홈플러스|강서점|126.855|37.559|홈플러스|02-2660-8000|서울특별시 강서구 화곡로 398|||10:00~24:00 (단, 쇼핑몰 11:00~23:00 / 일부 브랜드 영업시간 상이) 2,4번째 일요일 휴점 (단, 쇼핑몰 연중무휴 운영 / 정기휴무일 쇼핑몰 영업 시간 11:00~21:00)|||||홈플러스 강서점||||90403
홈플러스|거제점|128.617|34.891|홈플러스|055-686-8000|경상남도 거제시 장평로 12|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 거제점||||90403
홈플러스|경기하남점|127.21257090568542|37.53856286|홈플러스|031-777-7000|경기도 하남시 하남대로 747|||10:00~24:00 (단, 매월 2,4번째 수요일 휴점)|||||홈플러스 경기하남점||||90403
홈플러스|경산점|128.7355109|35.83299|홈플러스|053-715-8000|경상북도 경산시 경안로 288|||10:00~24:00 (단, 매월 2,4번째 수요일 휴점)|||||홈플러스 경산점||||90403
홈플러스|경주점|129.225|35.873|홈플러스|054-770-8000|경상북도 경주시 공단로 97|||09:00~24:00 (단, 매월 2,4번째 일요일 휴점, 일부 임대매장 일요일 정상영업)|||||홈플러스 경주점||||90403
홈플러스|계룡점|127.257|36.274|홈플러스|042-550-8000|충청남도 계룡시 계룡대로 304|||10:00~22:00 (단, 매월 2,4번째 수요일 휴점)|||||홈플러스 계룡점||||90403
홈플러스|계산점|126.736|37.539|홈플러스|032-551-2080|인천광역시 계양구 오조산 공원로 14|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 계산점||||90403
홈플러스|고양터미널점|126.789722|37.643201|홈플러스|031-936-7800|경기도 고양시 일산동구 중앙로 1036|||10:00~24:00 (단, 매월 2,4번째 수요일 휴점)|||||홈플러스 고양터미널점||||90403
홈플러스|광양점|127.694|34.929|홈플러스|061-760-8000|전라남도 광양시 항만11로 70|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 광양점||||90403
홈플러스|광주계림점|126.917|35.162|홈플러스|062-530-8000|광주광역시 동구 무등로 314|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 광주계림점||||90403
홈플러스|광주하남점|126.805426|35.177983|홈플러스|062-616-8000|광주광역시 광산구 용아로 390|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 광주하남점||||90403
홈플러스|구미점|128.364|36.103|홈플러스|054-459-8000|경상북도 구미시 구미대로 174|||10:00~24:00 (단, 매월 2,4번째 수요일 휴점)|||||홈플러스 구미점||||90403
홈플러스|구월점|126.702|37.452|홈플러스|032-428-2080|인천광역시 남동구 예술로 198|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 구월점||||90403
홈플러스|금천점|126.897|37.468|홈플러스|02-890-8000|서울특별시 금천구 시흥대로 391|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 금천점||||90403
홈플러스|김제점|126.903|35.8|홈플러스|063-540-8000||전라북도 김제시 검산동 841||10:00~23:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 김제점||||90403
홈플러스|김포점|126.699|37.624|홈플러스|031-999-8000|경기도 김포시 중봉로 14|||10:00~24:00 (단, 매월 2,4번째 수요일 휴점)|||||홈플러스 김포점||||90403
홈플러스|김포풍무점|126.724|37.61|홈플러스|031-999-0000|경기도 김포시 풍무로 167|||10:00~24:00 (단, 매월 2,4번째 수요일 휴점)|||||홈플러스 김포풍무점||||90403
홈플러스|김해점|128.871|35.242|홈플러스|055-320-8000|경상남도 김해시 김해대로 2078|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 김해점||||90403
홈플러스|남대구점|128.57|35.839|홈플러스|053-659-8000|대구광역시 남구 대명로 116|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 남대구점||||90403
홈플러스|내당점|128.564|35.86|홈플러스|053-567-2080|대구광역시 서구 달구벌대로 1821|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 내당점||||90403
홈플러스|논산점|127.1|36.182|홈플러스|041-731-8000|충청남도 논산시 시민로 187|||10:00~23:00 (단, 매월 2,4번째 월요일 휴점)|||||홈플러스 논산점||||90403
홈플러스|대구수성점|128.623|35.839|홈플러스|053-760-8000|대구광역시 수성구 동대구로 95|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 대구수성점||||90403
홈플러스|대구스타디움점|128.6866443|35.8297446|홈플러스|053-664-8000|대구 수성구 유니버시아드로 140|||10:00~23:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 대구스타디움점||||90403
홈플러스|대구점|128.596|35.882|홈플러스|053-350-8000|대구광역시 북구 중앙대로 543|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 대구점||||90403
홈플러스|대전가오점|127.458|36.307|홈플러스|042-281-8000|대전광역시 동구 은어송로 72|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 대전가오점||||90403
홈플러스|대전둔산점|127.389|36.356|홈플러스|042-611-8000|대전광역시 서구 문예로 107|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 대전둔산점||||90403
홈플러스|대전탄방점|127.386|36.347|홈플러스|042-488-2080|대전광역시 서구 둔산중로 1|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 대전탄방점||||90403
홈플러스|동광주점|126.93|35.18|홈플러스|062-250-8000|광주광역시 북구 동문대로 200|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 동광주점||||90403
홈플러스|동대문점|127.039|37.574|홈플러스|02-2173-8000|서울특별시 동대문구 천호대로 133|||10:00~24:00 (단, 매월 2,4번? 일요일 휴점) 2019년 2월 5일 설당일 11:00~22:00|||||홈플러스 동대문점||||90403
홈플러스|동대전점|127.438|36.354|홈플러스|042-608-8000|대전광역시 동구 한밭대로 1282|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 동대전점||||90403
홈플러스|동래점|129.086|35.221|홈플러스|051-559-8000|부산광역시 동래구 중앙대로 1523|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점, 일부 임대매장 일요일 정상영업)|||||홈플러스 동래점||||90403
홈플러스|동수원점|127.03|37.263|홈플러스|031-231-8000|경기도 수원시 팔달구 효원로 257|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 동수원점||||90403
홈플러스|동청주점|127.495|36.667|홈플러스|043-290-8000|충청북도 청주시 청원구 충청대로 114|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 동청주점|지하1층|||90403
홈플러스|동촌점|128.656|35.886|홈플러스|053-559-2080|대구광역시 동구 동촌로 127|||10:00~23:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 동촌점||||90403
홈플러스|마산점|128.585|35.222|홈플러스|055-259-8000|경상남도 창원시 마산회원구 삼호로 56|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 마산점||||90403
홈플러스|면목점|127.082|37.58|홈플러스|02-437-2080|서울시 중랑구 사가정로 332|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 면목점|(면목동)|||90403
홈플러스|목동점|126.873|37.53|홈플러스|02-2644-2080|서울특별시 양천구 목동서로 170|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 목동점||||90403
홈플러스|목포점|126.399|34.806|홈플러스|061-241-8000|전라남도 목포시 영산로 313|||10:00~23:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 목포점||||90403
홈플러스|문경점|128.19|36.587|홈플러스|054-559-8000|경상북도 문경시 모전로 65|||10:00~23:00 (단, 매월 2,4번째 수요일 휴점)|||||홈플러스 문경점||||90403
홈플러스|문화점|127.407|36.32|홈플러스|042-226-2080|대전광역시 중구 계백로 1690|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 문화점||||90403
홈플러스|밀양점|128.741|35.489|홈플러스|055-359-8000|경상남도 밀양시 점필재로 45|||10:00~22:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 밀양점||||90403
홈플러스|방학점|127.044|37.665|홈플러스|02-912-2080|서울특별시 도봉구 도봉로 678|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 방학점||||90403
홈플러스|병점점|127.036|37.205|홈플러스|031-283-2080|경기도 화성시 경기대로 985|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 병점점||||90403
홈플러스|보령점|126.614|36.344|홈플러스|041-939-8000|충청남도 보령시 명암1길 17|||10:00~22:00 (단, 매월 2,4번째 수요일 휴점)|||||홈플러스 보령점||||90403
홈플러스|부산감만점|129.082|35.122|홈플러스|051-609-8000|부산광역시 남구 우암로 124|||10:00~23:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 부산감만점||||90403
홈플러스|부산반여점|129.115744|35.196474|홈플러스|051-509-8000|부산광역시 해운대구 선수촌로21번길 37|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 부산반여점|(반여동)|||90403
홈플러스|부산연산점|129.089041|35.191576|홈플러스|051-850-8000||부산시 연제구 연산동 105-1||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 부산연산점||||90403
홈플러스|부산정관점|129.176|35.323|홈플러스|051-519-8200|부산광역시 기장군 정관면 정관5로 50|||10:00~22:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 부산정관점||||90403
홈플러스|부천상동점|126.755|37.504|홈플러스|032-650-8000|경기도 부천시 원미구 길주로 118|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 부천상동점||||90403
홈플러스|부천소사점|126.814|37.485|홈플러스|032-610-8000|경기도 부천시 소사구 경인로 532|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 부천소사점||||90403
홈플러스|부천여월점|126.802|37.516|홈플러스|032-680-8000|경기도 부천시 오정구 소사로 663|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 부천여월점||||90403
홈플러스|북수원점|127.009|37.302|홈플러스|031-259-8000|경기도 수원시 장안구 경수대로 930|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 북수원점||||90403
홈플러스|분당오리점|127.107|37.34|홈플러스|031-8039-8000||경기도 성남시 분당구 구미동 159||10:00~24:00 (단, 매월 2,4번째 일요일 휴점, 일부 임대매장 일요일 정상영업)|||||홈플러스 분당오리점||||90403
홈플러스|삼척점|129.168|37.4461|홈플러스|033-571-8000|강원도 삼척시 중앙로 258|||10:00~24:00 (단, 매월 2,4번째 수요일 휴점)|||||홈플러스 삼척점||||90403
홈플러스|삼천포점|128.08|34.94|홈플러스|055-831-8000|경상남도 사천시 중앙로 165|||10:00~22:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 삼천포점||||90403
홈플러스|상인점|128.533|35.818|홈플러스|053-380-8000|대구광역시 달서구 월배로 183|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 상인점||||90403
홈플러스|서귀포점|126.56|33.26|홈플러스|064-731-8114|제주특별자치도 서귀포시 중앙로 180|||10:00~24:00 (단, 매월 2번째 금요일,4번째 토요일 휴점)|||||홈플러스 서귀포점||||90403
홈플러스|서대전점|127.319|36.314|홈플러스|042-540-8000|대전광역시 유성구 대정로 23|||10:00~23:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 서대전점||||90403
홈플러스|서면점|129.064|35.149|홈플러스|051-644-2080|부산광역시 부산진구 동천로 4|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스 서면점||||90403
