##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@하이마트
롯데하이마트|2호광장점|126.393763|34.803384|하이마트|0612786100||전남 목포시 용당동 1055-12||10:30~20:30|||||롯데하이마트 2호광장점|하이마트|||90501
롯데하이마트|VIC마켓금천점|126.895759|37.470661|하이마트|02-868-4300||서울 금천구 독산동 295-10||10:00~22:00|||||롯데하이마트 VIC마켓금천점||||90501
롯데하이마트|VIC마켓도봉점|127.045223|37.667858|하이마트|02-956-3600||서울 도봉구 방학1동 717-6||10:00~22:00|||||롯데하이마트 VIC마켓도봉점||||90501
롯데하이마트|VIC마켓신영통점|127.066558|37.230408|하이마트|031-205-7575||경기 화성시 반월동 123-5||10:00~22:00|||||롯데하이마트 VIC마켓신영통점||||90501
롯데하이마트|VIC마켓영등포점|126.904614|37.527807|하이마트|02-2068-3434||서울 영등포구 영등포동8가 62-1||10:00~22:00|||||롯데하이마트 VIC마켓영등포점||||90501
롯데하이마트|VIC마켓킨텍스점|126.753791|37.667197|하이마트|0319225678||경기 고양시 일산서구 대화동 1050-171||10:00~22:00|||||롯데하이마트 VIC마켓킨텍스점||||90501
롯데하이마트|가락점|127.128061|37.501435|하이마트|024096036||서울 송파구 가락2동 160-5||10:30~20:30|||||롯데하이마트 가락점||||90501
롯데하이마트|가야점|129.03255|35.154907|하이마트|0518976606||부산 부산진구 가야동 251-6||10:30~20:30|||||롯데하이마트 가야점||||90501
롯데하이마트|가양점|126.86187|37.55672|하이마트|0236610018||서울 강서구 등촌동 631-5||10:30~20:30|||||롯데하이마트 가양점||||90501
롯데하이마트|간석점|126.691379|37.473776|하이마트|032-571-7741||인천 부평구 십정동 334-2||10:30~20:30|||||롯데하이마트 간석점||||90501
롯데하이마트|강화점|126.488024|37.740189|하이마트|0329345700||인천 강화군 강화읍 남산리 216||10:30~20:30|||||롯데하이마트 강화점||||90501
롯데하이마트|개봉점|126.857203|37.497002|하이마트|02-2611-6500||서울 구로구 개봉동 161-4||10:30~20:30|||||롯데하이마트 개봉점||||90501
롯데하이마트|거제롯데마트점|128.690357|34.88894|하이마트|0556885600||경남 거제시 옥포동 308||10:00~22:00|||||롯데하이마트 거제롯데마트점|거제엘크루랜드마크|||90501
롯데하이마트|거제점|129.07189|35.18697|하이마트|0518640087||부산 연제구 거제동 507-3||10:30~20:30|||||롯데하이마트 거제점||||90501
롯데하이마트|거창점|127.908542|35.688933|하이마트|0559437458||경남 거창군 거창읍 상림리 27-15||10:30~20:30|||||롯데하이마트 거창점|(주)하이마트|||90501
롯데하이마트|건대입구점|127.076084|37.537966|하이마트|02-2201-0091||서울 광진구 자양3동 227-3||10:30~20:30|||||롯데하이마트 건대입구점||||90501
롯데하이마트|검단롯데마트점|126.664573|37.594528|하이마트|0325682929||인천 서구 마전동 1031-1||10:00~22:00|||||롯데하이마트 검단롯데마트점|롯데마트|||90501
롯데하이마트|검단점|126.675699|37.587139|하이마트|0325678553||인천 서구 당하동 1115-5||10:30~20:30|||||롯데하이마트 검단점||||90501
롯데하이마트|경기광주역점|127.25133|37.3953|하이마트|03180272415||경기 광주시 역동 216-31||10:30~20:30|||||롯데하이마트 경기광주역점||||90501
롯데하이마트|경기광주점|127.248017|37.418638|하이마트|031-767-1044||경기 광주시 탄벌동 11-7||10:30~20:30|||||롯데하이마트 경기광주점||||90501
롯데하이마트|경산점|128.731003|35.833521|하이마트|053-813-1110||경북 경산시 정평동 255-2||10:30~20:30|||||롯데하이마트 경산점||||90501
롯데하이마트|경암점|126.732552|35.981128|하이마트|063-443-6700||전북 군산시 경암동 637-9||10:30~20:30|||||롯데하이마트 경암점||||90501
롯데하이마트|계산점|126.734139|37.538629|하이마트|0325564545||인천 계양구 계산동 1066-3||10:30~20:30|||||롯데하이마트 계산점||||90501
롯데하이마트|계양롯데마트점|126.736|37.540964|하이마트|0325527200||인천 계양구 계산동 1059-1||10:00~22:00|||||롯데하이마트 계양롯데마트점|롯데마트 계양점|||90501
롯데하이마트|고양롯데마트점|126.836181|37.625176|하이마트|031-978-4600||경기 고양시 덕양구 행신1동 941||10:00~22:00|||||롯데하이마트 고양롯데마트점||||90501
롯데하이마트|고양롯데아울렛점|126.86312|37.629592|하이마트|03180352900||경기 고양시 덕양구 도내동 1003||11:00~21:00|||||롯데하이마트 고양롯데아울렛점|이케아고양점 1층|||90501
롯데하이마트|고양하나로점|126.74738|37.68314|하이마트|031-912-2190||경기 고양시 일산서구 대화동 2324||10:30~21:00|||||롯데하이마트 고양하나로점||||90501
롯데하이마트|고현점|128.627028|34.88813|하이마트|0556328989||경남 거제시 고현동 27-12||10:30~20:30|||||롯데하이마트 고현점||||90501
롯데하이마트|공릉점|127.071786|37.627307|하이마트|02-977-6700||서울 노원구 공릉동 379-16||10:30~20:30|||||롯데하이마트 공릉점||||90501
롯데하이마트|공주점|127.133714|36.472646|하이마트|041-852-8288||충남 공주시 신관동 643-4||10:30~20:30|||||롯데하이마트 공주점|5|||90501
롯데하이마트|관저점|127.329007|36.301765|하이마트|042-543-3033||대전 유성구 원내동 816||10:30~20:30|||||롯데하이마트 관저점||||90501
