##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@GS25
GS25|2테크노파크점|37.51826292|126.76388845|GS25||경기 부천시 오정구 석천로 345||toto;cafe25;post;battery;withdrawal||||||GS25 2테크노파크점|300동 114호 (삼정동 365)|||90702
GS25|38선휴게소점|38.00414846|128.73283627|GS25||강원 양양군 현북면 동해대로 1242||cafe25;drug;post;withdrawal;smart_atm||||||GS25 38선휴게소점|38선휴게소 (잔교리 41-10,38휴게소)|||90702
GS25|CBS점|37.52831065|126.87486792|GS25||서울 양천구 목동서로 159-1||post;battery||||||GS25 CBS점|(목1동 917-1,CBS방송국1층)|||90702
GS25|DDMC점|37.5783899|126.89294205|GS25||서울 마포구 매봉산로 75||cafe25;post||||||GS25 DDMC점|1층 107호 (상암동 1610)|||90702
GS25|DDP점|37.56703853|127.00978156|GS25||서울 중구 을지로 281||post;battery;tax||||||GS25 DDP점|(을지로7가 2-1)|||90702
GS25|DMC가재울점|37.57410234|126.91639401|GS25|||서울 서대문구 남가좌동 124-1|drug;post;withdrawal||||||GS25 DMC가재울점|DMC파크뷰자이 203동 101호|||90702
GS25|GS상당점|36.62142246|127.51590125|GS25||충북 청주시 상당구 호미로165번길 64||cafe25;drug;post;withdrawal;smart_atm||||||GS25 GS상당점|(용암동 2682)|||90702
GS25|GS칼텍스점|34.85012428|127.70150347|GS25||전남 여수시 여수산단로 918||||||||GS25 GS칼텍스점|(적량동 1320)|||90702
GS25|G강화가나안점|37.61326977|126.3826172|GS25||인천 강화군 화도면 해안남로 2351||post;withdrawal||||||GS25 G강화가나안점|(장화리 1106-2)|||90702
GS25|G고덕점|37.55513349|127.12956973|GS25||서울 강동구 고덕로 39||cafe25;drug;battery;withdrawal||||||GS25 G고덕점|(암사3동 441-14)|||90702
GS25|G국회대로점|37.52798374|126.91602067|GS25||서울 영등포구 국회대로 746||cafe25;post||||||GS25 G국회대로점|(여의도동 17-2)|||90702
GS25|G대구대림공단점|35.83533857|128.49134847|GS25||대구 달서구 달서대로 403||cafe25;drug;post;withdrawal;self_cook||||||GS25 G대구대림공단점|(호림동 482-2)|||90702
GS25|G대전갑천점|36.39266398|127.41356396|GS25||대전 대덕구 아리랑로55번길 187||cafe25;withdrawal;smart_atm||||||GS25 G대전갑천점|(신대동 426)|||90702
GS25|G대전톨게이트점|36.35272921|127.44361177|GS25||대전 대덕구 동서대로 1762||cafe25;post;withdrawal||||||GS25 G대전톨게이트점|(비래동 557-6)|||90702
GS25|G둔산우리점|36.35942773|127.38873147|GS25||대전 서구 청사로 224||cafe25||||||GS25 G둔산우리점|(둔산2동 916)|||90702
GS25|G목포합동점|34.82713588|126.42174376|GS25||전남 목포시 영산로 696||withdrawal||||||GS25 G목포합동점|(석현동 489-2)|||90702
GS25|G서초연일점|37.48257474|127.01849562|GS25||서울 서초구 남부순환로 2451||cafe25;drug;post;withdrawal||||||GS25 G서초연일점|(서초1동 1426-13,연일주유소)|||90702
GS25|G세종로점|36.52056157|127.24435727|GS25|||세종 세종로 1328|cafe25;drug;post;withdrawal||||||GS25 G세종로점|(아름동 816)|||90702
GS25|G스마트MTV점|37.29604193|126.76000014|GS25||경기 안산시 단원구 시화호수로841번길 4||drug;post||||||GS25 G스마트MTV점|(성곡동 851-7)|||90702
GS25|G시화공단점|37.33499997|126.7290724|GS25||경기 시흥시 공단1대로 256||cafe25;drug;withdrawal||||||GS25 G시화공단점|102호 (정왕1동 1367-2,시화공단3다)|||90702
GS25|G시흥하우로점|37.45831258|126.78605788|GS25||경기 시흥시 하우로 26-1||post;withdrawal||||||GS25 G시흥하우로점|GS칼텍스 하우고개주유소 내 1층 (대야동 57-5)|||90702
GS25|G신방우리네점|36.78939759|127.12847191|GS25||충남 천안시 동남구 서부대로 235||cafe25;drug;post;withdrawal||||||GS25 G신방우리네점|(신방동 49-25,우리네주유소)|||90702
GS25|G신사남서울점|37.51617873|127.018938|GS25||서울 서초구 나루터로 83||cafe25;bakery;instant;drug;post;withdrawal;smart_atm;self_cook||||||GS25 G신사남서울점|(잠원동 13-6,남서울주유소)|||90702
GS25|G여의도점|37.53035064|126.92556942|GS25||서울 영등포구 은행로 64||cafe25;drug;post;battery;withdrawal;jella_soft;self_cook||||||GS25 G여의도점|GS칼텍스內편의점 (여의도동 10-1)|||90702
GS25|G오토피아점|37.44954975|126.62831555|GS25||인천 중구 축항대로291번길 10||||||||GS25 G오토피아점|(신흥동3가 33-35)|||90702
GS25|G옥길로점|37.46045065|126.81381835|GS25||경기 부천시 옥길로 6||cafe25;post||||||GS25 G옥길로점|(옥길동 767-2)|||90702
GS25|G유성온천|36.35218594|127.34037821|GS25||대전 유성구 도안대로 583||withdrawal||||||GS25 G유성온천|(봉명동 554-6)|||90702
