##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@CU
CU|1타타대우상용차신협|||CU|063-469-3116|전라북도 군산시 동장산로 172|전라북도 군산시 소룡동 1589-1|||||||CU 1타타대우상용차신협|(소룡동)|||90704
CU|2타타대우상용차신협|||CU|063-469-3121|전라북도 군산시 동장산로 172|전라북도 군산시 소룡동 1589-1|||||||CU 2타타대우상용차신협|(소룡동) 1층;1층|||90704
CU|419사거리점|||CU|02-902-9990|서울특별시 강북구 삼양로139길 8|서울특별시 강북구 우이동 72-144|24시간;택배;튀김;커피;ATM||||||CU 419사거리점|(우이동)|||90704
CU|63빌딩점|||CU|02-780-6535|서울특별시 영등포구 63로 50|서울특별시 영등포구 여의도동 60|||||||CU 63빌딩점|하 (여의도동);하|||90704
CU|6공단1호점|||CU|032-866-1112|인천광역시 남구 장고개로 48|인천광역시 남구 도화동 84-4|24시간;택배;커피;ATM||||||CU 6공단1호점|믿음슈퍼;믿음슈퍼|||90704
CU|6공단2호점|||CU|032-866-1112|인천광역시 남구 염전로 241|인천광역시 남구 도화동 53-77|24시간;택배;튀김;커피||||||CU 6공단2호점||||90704
CU|7번국도점|||CU|054-787-6011|경상북도 울진군 후포면 후포삼율로 260|경상북도 울진군 후포면 후포리 917-18|24시간;커피;ATM||||||CU 7번국도점|(후포리)|||90704
CU|88체육관점|||CU|02-2697-5544|서울특별시 강서구 공항대로 376|서울특별시 강서구 화곡동 1093-76|ATM||||||CU 88체육관점|체육관 1체육관 內 (화곡동) 88호;체육관1체육관 內 88호|||90704
CU|901개화역점|||CU|02-2656-0701|서울특별시 강서구 개화동로8길 38|서울특별시 강서구 개화동 388-1|커피||||||CU 901개화역점|(개화동)|||90704
CU|902김포공항점|||CU|070-4256-0702|서울특별시 강서구 하늘길 77|서울특별시 강서구 방화동 886|튀김;커피||||||CU 902김포공항점|(방화동)|||90704
CU|903공항시장역점|||CU|02-2656-0703|서울특별시 강서구 방화동로 30|서울특별시 강서구 공항동 산20-2|||||||CU 903공항시장역점|(공항동) 지하층;지하층|||90704
CU|904신방화역점|||CU|02-2656-0704|서울특별시 강서구 방화대로 301|서울특별시 강서구 방화동 217-156|커피||||||CU 904신방화역점|(방화동) 지하층;지하층|||90704
CU|905마곡나루역점|||CU|02-2656-0705|서울특별시 강서구 마곡중앙5로 2|서울특별시 강서구 마곡동 367-6|베이커리;튀김;커피||||||CU 905마곡나루역점|(마곡동) 지하층;지하층|||90704
CU|906양천향교역점|||CU|02-2656-0706|서울특별시 강서구 양천로 341|서울특별시 강서구 가양동 159-3|튀김;커피||||||CU 906양천향교역점|(가양동) 지하층;지하층|||90704
CU|907가양역점|||CU|02-2656-0707|서울특별시 강서구 양천로 485|서울특별시 강서구 가양동 14-61|커피||||||CU 907가양역점|(가양동) 지하층;지하층|||90704
CU|908증미역점|||CU|02-2656-0708|서울특별시 강서구 양천로 560|서울특별시 강서구 등촌동 666-40|커피||||||CU 908증미역점|(등촌동) 지하층;지하층|||90704
CU|909등촌역점|||CU|02-2656-0709|서울특별시 강서구 공항대로 529|서울특별시 강서구 등촌동 666-94|커피||||||CU 909등촌역점|(등촌동) 지하층;지하층|||90704
CU|910염창역점|||CU|02-2656-0710|서울특별시 강서구 공항대로 631|서울특별시 강서구 염창동 284-84|커피||||||CU 910염창역점|(염창동) 지하층;지하층|||90704
CU|911신목동역점|||CU|02-2656-0711|서울특별시 양천구 목동중앙로 217|서울특별시 양천구 목동 136-2|커피||||||CU 911신목동역점|(목동) 지하층;지하층|||90704
CU|912선유도역점|||CU|02-2656-0712|서울특별시 영등포구 양평로 124|서울특별시 영등포구 양평동5가 66-1|||||||CU 912선유도역점|(양평동5가) 1층 1동 1호;1층 1동 1호|||90704
CU|913당산역점|||CU|02-2656-0713|서울특별시 영등포구 양평로 40|서울특별시 영등포구 당산동6가 227-1|||||||CU 913당산역점|(당산동6가) 지하층;지하층|||90704
CU|914국회의사당역점|||CU|02-2656-0714|서울특별시 영등포구 국회대로 758|서울특별시 영등포구 여의도동 1-6|튀김;커피||||||CU 914국회의사당역점|(여의도동) 지하층;지하층|||90704
CU|915여의도역점|||CU|02-2656-0715|서울특별시 영등포구 의사당대로 101|서울특별시 영등포구 여의도동 2-6|튀김;커피||||||CU 915여의도역점|(여의도동) -2층;-2층|||90704
CU|916샛강역점|||CU|02-2656-0716|서울특별시 영등포구 의사당대로 166|서울특별시 영등포구 여의도동 5-6|커피||||||CU 916샛강역점|(여의도동) -1층;-1층|||90704
CU|917노량진역점|||CU|02-2656-0717|서울특별시 동작구 노량진로 130|서울특별시 동작구 노량진동 60-11|커피||||||CU 917노량진역점|(노량진동) 지하층;지하층|||90704
CU|918노들역점|||CU|02-2656-0718|서울특별시 동작구 노량진로 238|서울특별시 동작구 본동 475-1|튀김||||||CU 918노들역점|(본동) 지하층;지하층|||90704
CU|919흑석역점|||CU|02-2656-0719|서울특별시 동작구 현충로 90|서울특별시 동작구 흑석동 4|베이커리;튀김;커피||||||CU 919흑석역점|(흑석동) 지하층;지하층|||90704
CU|920동작역점|||CU|02-2656-0720|서울특별시 동작구 현충로 220|서울특별시 동작구 동작동 326|||||||CU 920동작역점|(동작동) 지하층;지하층|||90704
CU|921구반포역점|||CU|02-2656-0721|서울특별시 서초구 신반포로 17|서울특별시 서초구 반포동 817|||||||CU 921구반포역점|(반포동) 1층 1동 1호;1층 1동 1호|||90704
CU|922신반포역점|||CU|02-2656-0722|서울특별시 서초구 신반포로 105|서울특별시 서초구 반포동 128-1|||||||CU 922신반포역점|(반포동) 지하층;지하층|||90704
CU|923고속터미널역점|||CU|02-2656-0723|서울특별시 서초구 신반포로 188|서울특별시 서초구 반포동 19-11|||||||CU 923고속터미널역점|(반포동) 지하층;지하층|||90704
CU|924사평역점|||CU|02-2656-0724|서울특별시 서초구 사평대로 285|서울특별시 서초구 반포동 128-7|||||||CU 924사평역점|(반포동) 지하층 1동 1호;지하층 1동 1호|||90704
CU|925신논현역점|||CU|02-2656-0725|서울특별시 강남구 봉은사로 102|서울특별시 강남구 역삼동 800|튀김;커피||||||CU 925신논현역점|(역삼동) 1층;1층|||90704
CU|BGF곤지암포켓점|||CU||경기도 광주시 곤지암읍 건업길 92|경기도 광주시 곤지암읍 건업리 148|24시간||||||CU BGF곤지암포켓점|(건업리)|||90704
CU|BGF로지스용인점|||CU|031-896-2153|경기도 용인시 기흥구 이현로30번길 131-1|경기도 용인시 기흥구 보정동 319|택배;커피||||||CU BGF로지스용인점|(보정동) 1층;1층|||90704
CU|BGF수지포켓점|||CU||경기도 용인시 수지구 손곡로 31|경기도 용인시 수지구 동천동 851|24시간||||||CU BGF수지포켓점|삼양식품물류센타 (동천동) 삼양식품물류센타;삼양식품물류센타|||90704
CU|BGF양주포켓점|||CU||경기도 양주시 백석읍 양주산성로 572|경기도 양주시 백석읍 복지리 153|24시간||||||CU BGF양주포켓점|(복지리) 2층;2층|||90704
CU|BGF푸드포켓점|||CU||전라북도 완주군 봉동읍 완주산단2로 282-21|전라북도 완주군 봉동읍 둔산리 924-20|24시간||||||CU BGF푸드포켓점|(둔산리)|||90704
CU|CK양평점|||CU|02-2676-5906|서울특별시 영등포구 영등포로3길 16|서울특별시 영등포구 양평동2가 36-2|24시간;택배;튀김;커피||||||CU CK양평점||||90704
CU|E1대천에너지점|||CU|053-591-0550||대구광역시 달서구 월성2동 759-51|24시간;택배;커피||||||CU E1대천에너지점|1층|||90704
CU|EBS일산사옥점|||CU|02-526-2951|경기도 고양시 일산동구 한류월드로 281|경기도 고양시 일산동구 장항동 1775|택배;커피||||||CU EBS일산사옥점|(장항동)|||90704
CU|ES충주호리조트점|||CU|043-641-0118|충청북도 제천시 수산면 옥순봉로 1248|충청북도 제천시 수산면 능강리 200-10|||||||CU ES충주호리조트점|(능강리)|||90704
CU|E가평휴게소상행선점|||CU|031-584-5902|경기도 가평군 설악면 미사리로 544|경기도 가평군 설악면 미사리 145-3|24시간||||||CU E가평휴게소상행선점|(미사리)|||90704
CU|E가평휴게소하행선점|||CU|031-584-5901|경기도 가평군 설악면 미사리로540번길 51|경기도 가평군 설악면 미사리 149-4|24시간||||||CU E가평휴게소하행선점|(미사리)|||90704
CU|E거가대교가덕휴게소|||CU|070-4050-6917|부산광역시 강서구 거가대로 2571|부산광역시 강서구 천성동 488-6|24시간||||||CU E거가대교가덕휴게소|(천성동)|||90704
CU|E거가대교거제휴게소|||CU|055-736-2200|경상남도 거제시 장목면 거가대로 1068|경상남도 거제시 장목면 율천리 산41-5|24시간||||||CU E거가대교거제휴게소|(율천리)|||90704
CU|E경기광주휴게소상행|||CU|031-8027-3945|경기도 광주시 곤지암읍 만삼로 211|경기도 광주시 곤지암읍 유사리 산30-2번지외 19필지 |24시간||||||CU E경기광주휴게소상행|_|||90704
CU|E경기광주휴게소하행|||CU|031-8027-3940|경기도 광주시 곤지암읍 만삼로 270|경기도 광주시 곤지암읍 삼합리 산27-2번지외 25필지 |24시간||||||CU E경기광주휴게소하행|_|||90704
CU|E구리남양주휴게소점|||CU||경기도 구리시 서울외곽순환고속도로 27|경기도 구리시 토평동 86|튀김;커피||||||CU E구리남양주휴게소점|한국도로공사구리남양주영업소 (토평동) 한국도로공사구리남양주영업소;한국도로공사구리남양주영업소|||90704
CU|E군자휴게소점|||CU|0|경기도 시흥시 군자로335번길 36-29|경기도 시흥시 거모동 산62-10|커피||||||CU E군자휴게소점|한국도로공사군자영업소 (거모동) 한국도로공사군자영업소;한국도로공사군자영업소|||90704
CU|E김포휴게소점|||CU||경기도 김포시 고촌읍 김포대로319번길 209-23|경기도 김포시 고촌읍 신곡리 760-2|24시간;튀김;커피||||||CU E김포휴게소점|한국도로공사김포영업소 (신곡리) 한국도로공사김포영업소;한국도로공사김포영업소|||90704
CU|E별내휴게소점|||CU|070-5079-7691||경기도 남양주시 별내면 광전리 산114-15|24시간;커피||||||CU E별내휴게소점||||90704
CU|E서하남휴게소점|||CU||경기도 하남시 서울외곽순환고속도로 19|경기도 하남시 춘궁동 212|24시간;튀김;커피||||||CU E서하남휴게소점||||90704
CU|E시흥상공휴게소1점|||CU||경기도 시흥시 서울외곽순환고속도로 105|경기도 시흥시 조남동 산15-1|24시간||||||CU E시흥상공휴게소1점|(조남동)|||90704
CU|E시흥상공휴게소2점|||CU||경기도 시흥시 서울외곽순환고속도로 105|경기도 시흥시 조남동 산15-1|||||||CU E시흥상공휴게소2점|(조남동)|||90704
CU|E양평휴게소상행선점|||CU|031-8027-2191|경기도 양평군 양동면 여양3로 384-27|경기도 양평군 양동면 산166-3|24시간;커피||||||CU E양평휴게소상행선점|_|||90704
CU|E양평휴게소하행선점|||CU|031-8027-2172|경기도 양평군 양동면 송석2길 52|경기도 양평군 양동면 산180-3|24시간||||||CU E양평휴게소하행선점|_|||90704
