##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@롭스
롭스|롯데슈퍼원주점|||롭스|0337663740|강원도 원주시 치악로 1781||||||||롭스 롯데슈퍼원주점||||90711
롭스|용인역북점|||롭스|0313343740|경기도 용인시 처인구 중부대로 1294||||||||롭스 용인역북점||||90711
롭스|롯데백화점안산점|||롭스|0314122512|경기도 안산시 단원구 고잔1길 12||||||||롭스 롯데백화점안산점|롯데백화점|||90711
롭스|기흥아울렛점|||롭스|03180363320|경기도 용인시 기흥구 신고매로 124||||||||롭스 기흥아울렛점||||90711
롭스|롯데슈퍼시흥은행점|||롭스|0313113740|경기도 시흥시 시흥대로1074번길 5||||||||롭스 롯데슈퍼시흥은행점|스페이스타워|||90711
롭스|오산점|||롭스|0313773741|경기도 오산시 오산로212번길 10||||||||롭스 오산점||||90711
롭스|이천점|||롭스|0316373740|경기도 이천시 어재연로37번길 23||||||||롭스 이천점||||90711
롭스|롯데마트경기양평점|||롭스|0317743740|경기도 양평군 남북로 76||||||||롭스 롯데마트경기양평점||||90711
롭스|수원역사점|||롭스|0312423740|경기도 수원시 팔달구 덕영대로 924||||||||롭스 수원역사점|AK플라자|||90711
롭스|동두천점|||롭스|0318683740|경기도 동두천시 지행로 53||||||||롭스 동두천점||||90711
롭스|파주아울렛점|||롭스|0319602424|경기도 파주시 회동길 390||||||||롭스 파주아울렛점|롯데프리미엄아울렛|||90711
롭스|롯데아울렛고양점|||롭스|03180352805|경기도 고양시 덕양구 권율대로 420||||||||롭스 롯데아울렛고양점|이케아 고양점|||90711
롭스|웨스턴돔점|||롭스|0319316500|경기도 고양시 일산동구 정발산로 24||||||||롭스 웨스턴돔점|웨스턴돔1|||90711
롭스|이천아울렛2호점|||롭스|0318874396|경기도 이천시 호법면 프리미엄아울렛로 177-120||||||||롭스 이천아울렛2호점||||90711
롭스|정자역점|||롭스|0317153740|경기도 성남시 분당구 성남대로 331번길 11-3||||||||롭스 정자역점||||90711
롭스|부천상동점|||롭스|0323233740|경기도 부천시 상동로 90||||||||롭스 부천상동점||||90711
롭스|구리점|||롭스|0315663740|경기도 구리시 경춘로 249||||||||롭스 구리점||||90711
롭스|정자점|||롭스|0317263740|경기도 성남시 분당구 정자일로 146||||||||롭스 정자점||||90711
롭스|판교점|||롭스|0317043740|경기도 성남시 분당구 대왕판교로 606번길 58||||||||롭스 판교점||||90711
롭스|인계점|||롭스|0312323740|경기도 수원시 팔달구 권광로 173||||||||롭스 인계점||||90711
롭스|안산중앙점|||롭스|0314033740|경기도 안산시 단원구 고잔1길 37||||||||롭스 안산중앙점|송원빌딩|||90711
롭스|광교아울렛점|||롭스|03180642068|경기도 수원시 영통구 도청로 10||||||||롭스 광교아울렛점|광교센트럴푸르지오시티|||90711
롭스|화정점|||롭스|0319733740|경기도 고양시 덕양구 화신로260번길 51||||||||롭스 화정점|현창빌딩|||90711
롭스|범계점|||롭스|0313833740|경기도 안양시 동안구 평촌대로223번길 44||||||||롭스 범계점||||90711
롭스|모란점|||롭스|0317553740|경기도 성남시 중원구 성남대로 1144||||||||롭스 모란점||||90711
롭스|수내점|||롭스|0317123740|경기도 성남시 분당구 백현로101번길 30||||||||롭스 수내점|엑스와이 빌딩|||90711
롭스|의정부점|||롭스|0318473740|경기도 의정부시 행복로 18||||||||롭스 의정부점||||90711
롭스|광명아울렛점|||롭스|0262262325|경기도 광명시 일직로 17||||||||롭스 광명아울렛점|롯데아울렛|||90711
롭스|수원몰점|||롭스|03180661629|경기도 수원시 권선구 세화로 134||||||||롭스 수원몰점|롯데몰 수원점|||90711
롭스|이천아울렛점|||롭스|0318874397|경기도 이천시 프리미엄아울렛로 177-119||||||||롭스 이천아울렛점|롯데프리미엄아울렛|||90711
롭스|진주점|||롭스|0557473740|경상남도 진주시 촉석로 190번길 9||||||||롭스 진주점||||90711
롭스|진주몰점|||롭스|0557912109|경상남도 진주시 동진로 440||||||||롭스 진주몰점||||90711
롭스|양산점|||롭스|0553723740|경상남도 양산시 양산역1길 14||||||||롭스 양산점|삼성생명|||90711
롭스|김해아울렛점|||롭스|0559002461|경상남도 김해시 장유로 469||||||||롭스 김해아울렛점||||90711
롭스|창원상남점|||롭스|0552673740|경상남도 창원시 성산구 마디미로 14||||||||롭스 창원상남점|드림디포|||90711
롭스|경주로데오점|||롭스|0547413740|경상북도 경주시 계림로 107||||||||롭스 경주로데오점|천년빌딩|||90711
롭스|롯데마트구미점|||롭스|0544653740|경상북도 구미시 구미대로 22길 11||||||||롭스 롯데마트구미점||||90711
롭스|포항점|||롭스|0542317245|경상북도 포항시 북구 중앙상가 4길 15||||||||롭스 포항점||||90711
롭스|구미인동점|||롭스|0544743740|경상북도 구미시 인동중앙로3길 19||||||||롭스 구미인동점||||90711
롭스|구미점|||롭스|0544423740|경상북도 구미시 문화로 18||||||||롭스 구미점||||90711
롭스|광주상무점|||롭스|0623833740|광주광역시 서구 상무중앙로 7||||||||롭스 광주상무점|상무타워|||90711
롭스|광주수완아울렛점|||롭스|0626162282|광주광역시 광산구 장신로 98||||||||롭스 광주수완아울렛점||||90711
롭스|광주첨단점|||롭스|0629743740|광주광역시 광산구 첨단중앙로 ||||||||롭스 광주첨단점||||90711
롭스|전남대점|||롭스|0622515809|광주광역시 북구 우치로 90번길 5||||||||롭스 전남대점||||90711
롭스|대구상인역사점|||롭스|0536443740|대구광역시 달서구 월배로 223||||||||롭스 대구상인역사점|대구지하철1호선 상인역|||90711
롭스|동대구역사점|||롭스|0537433740|대구광역시 동구 동대구로 530||||||||롭스 동대구역사점|동대구역지하철|||90711
롭스|범어역사점|||롭스|0537533740|대구광역시 수성구 달구벌대로 2396||||||||롭스 범어역사점|범어역|||90711
롭스|롯데마트칠성점|||롭스|0533513740|대구광역시 북구 호암로 1||||||||롭스 롯데마트칠성점||||90711
롭스|이시아폴리스 아울렛점|||롭스|0539452499|대구광역시 동구 팔공로 49||||||||롭스 이시아폴리스 아울렛점||||90711
롭스|대구동성로점|||롭스|0532563740|대구광역시 중구 동성로2길 53||||||||롭스 대구동성로점||||90711
롭스|대구상인점|||롭스|0536383740|대구광역시 달서구 월곡로 269||||||||롭스 대구상인점||||90711
롭스|대구두류점|||롭스|0535214761|대구광역시 서구 달구벌대로 1689||||||||롭스 대구두류점||||90711
롭스|반월당점|||롭스|0534243740|대구광역시 중구 달구벌대로 2100||||||||롭스 반월당점|반월당역|||90711
롭스|대전세이탄방점|||롭스|0424893740|대전광역시 서구 문정로 85||||||||롭스 대전세이탄방점|세이탄방점|||90711
롭스|대전시청점|||롭스|0424883740|대전광역시 서구 둔산로 136||||||||롭스 대전시청점|둔산타워|||90711
롭스|대전역사점|||롭스|0422263740|대전광역시 동구 중앙로 215||||||||롭스 대전역사점|대전역|||90711
롭스|대전은행동점|||롭스|0422248903|대전 중구 중앙로 164번길 20||||||||롭스 대전은행동점||||90711
롭스|뉴코아아울렛괴정점|||롭스|0512033740|부산광역시 사하구 사하로 190||||||||롭스 뉴코아아울렛괴정점||||90711
롭스|경성대부경대역점|||롭스|0516123740|부산광역시 남구 수영로 324||||||||롭스 경성대부경대역점||||90711
롭스|서면역사점|||롭스|0518163740|부산광역시 부산진구 중앙대로 730||||||||롭스 서면역사점|서면역|||90711
롭스|센텀시티점|||롭스|0517463740|부산광역시 해운대구 센텀동로 9||||||||롭스 센텀시티점||||90711
롭스|부산대2호점|||롭스|0515823740|부산광역시 금정구 부산대학로 49||||||||롭스 부산대2호점||||90711
롭스|서면역점|||롭스|0518028757|부산광역시 부산진구 서면로 74||||||||롭스 서면역점||||90711
롭스|서면부전점|||롭스|0518029705|부산광역시 부산진구 중앙대로702번길 50||||||||롭스 서면부전점||||90711
롭스|부산대점|||롭스|0515163740|부산광역시 금정구 부산대학로 29||||||||롭스 부산대점||||90711
롭스|경성대점|||롭스|0516273740|부산광역시 남구 용소로 7||||||||롭스 경성대점|청라빌딩|||90711
롭스|광복동점|||롭스|0512543740|부산광역시 중구 광복로 36||||||||롭스 광복동점||||90711
롭스|롯데몰동부산점|||롭스|0519012751|부산광역시 기장군 기장해안로 147||||||||롭스 롯데몰동부산점|롯데몰 동부산점|||90711
롭스|롯데마트광복점|||롭스|0514628933|부산광역시 중구 중앙대로 2||||||||롭스 롯데마트광복점|롯데백화점광복점|||90711
롭스|롯데마트금천점|||롭스|028023740|서울특별시 금천구 시흥대로 291||||||||롭스 롯데마트금천점|금천롯데캐슬골드파크3차|||90711
롭스|건대시네마점|||롭스|0234373740|서울특별시 광진구 아차산로 272||||||||롭스 건대시네마점|더샵스타시티|||90711
롭스|을지로입구역사점|||롭스|023183743|서울특별시 중구 을지로 42||||||||롭스 을지로입구역사점|을지로입구역 2호선|||90711
