##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@블랙야크
블랙야크|강원/강릉오죽헌상설점|128.874252|37.7852854|블랙야크|033-643-8243|강원 강릉시 동해대로 3298||||||||블랙야크 강원/강릉오죽헌상설점|(죽헌동) 블랙야크|||91001
블랙야크|강원/강릉점|128.899512|37.755545|블랙야크|033-647-8245|강원 강릉시 중앙시장2길 4||||||||블랙야크 강원/강릉점|(성남동) 1층|||91001
블랙야크|강원/동해점|129.115036|37.519758|블랙야크|033-532-8245|강원 동해시 중앙로 213||||||||블랙야크 강원/동해점|(천곡동)|||91001
블랙야크|강원/삼척점|129.168308|37.4457058|블랙야크|033-574-4320|강원 삼척시 중앙로 252||||||||블랙야크 강원/삼척점|(남양동) 블랙야크|||91001
블랙야크|강원/속초점|128.591717|38.203666|블랙야크|033-635-9954|강원 속초시 중앙로 40||||||||블랙야크 강원/속초점|(교동)|||91001
블랙야크|강원/원주시청점|127.924914|37.339606|블랙야크|033-747-6336|강원 원주시 로아노크로 50||||||||블랙야크 강원/원주시청점|(무실동) 1동 비102호|||91001
블랙야크|강원/원주중앙점|127.950546|37.348603|블랙야크|033-745-6336|강원 원주시 원일로 84-1||||||||블랙야크 강원/원주중앙점|(중앙동)|||91001
블랙야크|강원/철원점|127.219682|38.205304|블랙야크|033-458-4428|강원 철원군 동송읍 금학로 185||||||||블랙야크 강원/철원점||||91001
블랙야크|강원/춘천명동점|127.72931|37.879089|블랙야크|033-241-4509|강원 춘천시 금강로 69||||||||블랙야크 강원/춘천명동점|(조양동)|||91001
블랙야크|강원/태백점|128.992456|37.172597|블랙야크|033-552-2013|강원 태백시 황지로 154||||||||블랙야크 강원/태백점|(황지동)|||91001
블랙야크|강원/홍천점|127.878356|37.686299|블랙야크|033-434-8848|강원 홍천군 홍천읍 무궁화로 97||||||||블랙야크 강원/홍천점||||91001
블랙야크|힐크릭/강원/강릉점|128.896063|37.7521612|블랙야크|033-647-0670|강원 강릉시 중앙시장2길 11||||||||블랙야크 힐크릭/강원/강릉점|(성남동) 1층|||91001
블랙야크|힐크릭/강원/원주시청점|127.924848|37.3406461|블랙야크|033-743-1118|강원 원주시 만대로 5-2||||||||블랙야크 힐크릭/강원/원주시청점|(무실동) 101호|||91001
블랙야크|AK원주점|127.927747|37.345696|블랙야크|033-811-5920||강원 원주시 단계동 AK백화점 원주점 5층 블랙야크 |||||||블랙야크 AK원주점||||91001
블랙야크|(신)아우트로장암점|127.054073|37.6996876|블랙야크|031-872-0811|경기 의정부시 동일로 117||||||||블랙야크 (신)아우트로장암점|(장암동)|||91001
블랙야크|(신)아우트로진접점|127.160437|37.6849565|블랙야크|031-577-4488|경기 남양주시 진접읍 금강로 943||||||||블랙야크 (신)아우트로진접점||||91001
블랙야크|마모트현대아울렛김포점|126.785235|37.5972374|블랙야크|--|경기 김포시 고촌읍 아라육로152번길 100||온라인||||||블랙야크 마모트현대아울렛김포점|1층|||91001
블랙야크|경기/의정부호원점|127.047811|37.726598|블랙야크|031-840-5880|경기 의정부시 평화로 389||이전||||||블랙야크 경기/의정부호원점|(호원동) -|||91001
블랙야크|갤러리아수원점|127.032498|37.260914|블랙야크|031-548-8785||경기 수원시 팔달구 인계동 갤러리아백화점 수원점 5층 블랙야크 |||||||블랙야크 갤러리아수원점||||91001
블랙야크|경기/곤지암점|127.301624|37.371224|블랙야크|031-766-7913|경기 광주시 초월읍 경충대로 1037||||||||블랙야크 경기/곤지암점||||91001
블랙야크|경기/광명점|126.85791|37.4781811|블랙야크|02-2060-0415|경기 광명시 오리로 945||||||||블랙야크 경기/광명점|(광명동) 1층|||91001
블랙야크|경기/광주점|127.260067|37.4119505|블랙야크|031-767-5868|경기 광주시 광주대로 59||||||||블랙야크 경기/광주점|(경안동) 102호,103호|||91001
블랙야크|경기/김포점|126.670359|37.655445|블랙야크|031-998-1850|경기 김포시 김포대로 1466-30||||||||블랙야크 경기/김포점|(운양동)|||91001
