##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@컬럼비아
컬럼비아|현대 동대구점|||컬럼비아|053-430-2321|대구광역시 동구 동대구로 454||||||||컬럼비아 현대 동대구점|현대시티아울렛대구점 5F|||91001
컬럼비아|NC평택점|||컬럼비아|031-650-6421|경기 평택시 경기대로 279||||||||컬럼비아 NC평택점|뉴코아아울렛 5F|||91001
컬럼비아|롯데 인천터미널점|||컬럼비아|032-242-2464|인천 미추홀구 연남로 35||||||||컬럼비아 롯데 인천터미널점|롯데인천터미널점 4층|||91001
컬럼비아|시흥신천점|||컬럼비아|031-312-2200|경기 시흥시 수인로 3427번길 9-8||||||||컬럼비아 시흥신천점|1호|||91001
컬럼비아|마산창동점|||컬럼비아|055-245-7622|경남 창원시 마산합포구 불종거리로 35||||||||컬럼비아 마산창동점||||91001
컬럼비아|양산모다점|||컬럼비아|055-911-7158|경상남도 양산시 중부로 2||||||||컬럼비아 양산모다점|모다아울렛 1층|||91001
컬럼비아|봉담점|||컬럼비아|031-227-9327|경기도 화성시 봉담읍 삼천병마로 1047-8||||||||컬럼비아 봉담점|트레보시티아울렛 C동 204~206호|||91001
컬럼비아|평촌점|||컬럼비아|031-424-6605||경기도 안양시 동안구 평촌동 85-13|||||||컬럼비아 평촌점|인덕원 플러스 아울렛|||91001
컬럼비아|김포장기점|||컬럼비아|031-987-1324|경기 김포시 김포대로 1491||||||||컬럼비아 김포장기점|바-1|||91001
컬럼비아|춘천점|||컬럼비아|033-252-5484|강원도 춘천시 금강로 76-1||||||||컬럼비아 춘천점|1층|||91001
컬럼비아|홀라인점|||컬럼비아|070-7727-3908|서울특별시 마포구 성지길 22-0||||||||컬럼비아 홀라인점|(주)니코 지하1층 (합정동,지층)|||91001
컬럼비아|대전 장대점|||컬럼비아|042-822-5253|대전광역시 유성구 유성대로 782||||||||컬럼비아 대전 장대점||||91001
컬럼비아|인천모다점|||컬럼비아|032-288-7738|인천광역시 서구 북항로 32번 안길 50||||||||컬럼비아 인천모다점|모다아울렛1층|||91001
컬럼비아|신세계 김해점|||컬럼비아|055-272-1858|경남 김해시 전하로 304번길 24||||||||컬럼비아 신세계 김해점|신세계백화점 3F|||91001
컬럼비아|롯데 전주점|||컬럼비아|063-289-3459|전라북도 전주시 완산구 온고을로 2||||||||컬럼비아 롯데 전주점|롯데백화점 4F|||91001
