##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@케이스위스
케이스위스|2001미금점|||케이스위스|031-786-2835|경기도 성남시 분당구 미금일로154번길 20||||||||케이스위스 2001미금점|4층|||91001
케이스위스|검단산점|||케이스위스|070-7717-1100||경기도 하남시 창우동 293-2|||||||케이스위스 검단산점||||91001
케이스위스|그랜드일산점|||케이스위스|031-910-2091|경기도 고양시 일산서구 중앙로 1436||||||||케이스위스 그랜드일산점|그랜드백화점 (주엽동)|||91001
케이스위스|김포점|||케이스위스|031-983-7548||경기도 김포시 장기동 21-4|||||||케이스위스 김포점|나-321-5번지 다-3|||91001
케이스위스|뉴코아모란점|||케이스위스|031-729-1306|경기도 성남시 중원구 성남동 성남대로 1136||||||||케이스위스 뉴코아모란점||||91001
케이스위스|뉴코아산본점|||케이스위스|031-390-7316|경기도 군포시 번영로 504||||||||케이스위스 뉴코아산본점|3층 (산본쇼핑센터)|||91001
케이스위스|뉴코아야탑점|||케이스위스|031-729-1306|경기도 성남시 중원구 성남동 성남대로 1136||||||||케이스위스 뉴코아야탑점||||91001
케이스위스|뉴코아평촌점|||케이스위스|031-380-1349|경기도 안양시 동안구 동안로 119||||||||케이스위스 뉴코아평촌점|범계뉴코아5층|||91001
케이스위스|뉴코아평택점|||케이스위스|031-650-6345|경기도 평택시 경기대로 279||||||||케이스위스 뉴코아평택점|(비전동,뉴코아아울렛백화점)|||91001
케이스위스|롯데구리점|||케이스위스|031-550-7587||경기도 구리시 인창동 677|||||||케이스위스 롯데구리점|5층|||91001
케이스위스|롯데안산점|||케이스위스|031-412-7922|경기도 안산시 단원구 고잔1길 12||||||||케이스위스 롯데안산점|(고잔동) 5층|||91001
케이스위스|롯데이천아울렛점|||케이스위스|010-3921-8324|경기도 이천시 호법면 프리미엄아울렛로 177-74||||||||케이스위스 롯데이천아울렛점||||91001
케이스위스|롯데중동점|||케이스위스|032-320-7577||경기도 부천시 원미구 중동 1140|||||||케이스위스 롯데중동점|5층|||91001
케이스위스|모다곤지암점|||케이스위스|031-797-9188|경기도 광주시 초월읍 경충대로 907||||||||케이스위스 모다곤지암점|모다아울렛 곤지암점3층|||91001
케이스위스|모다남양주점|||케이스위스|031-514-8501||경기도 구리시 갈매동 268-3|||||||케이스위스 모다남양주점|모다아울렛3층|||91001
케이스위스|발안점|||케이스위스|031-352-5354|경기도 화성시 3.1만세로 1124||||||||케이스위스 발안점||||91001
