##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@코베아
코베아|용인동백점|||코베아|031-679-0995|경기도 용인시 기흥구 동백죽전대로 444||||||||코베아 용인동백점|(블루키 쇼핑몰 2층 문화센터 앞)|||91001
코베아|익산점|||코베아|063-842-0726|전라북도 익산시 군익로 471||||||||코베아 익산점|(송학동 242-4)|||91001
코베아|계양직영매장점|||코베아|032-555-2074|인천 계양구 아나지로 587-11||||||||코베아 계양직영매장점|(서운동 147-19번지)|||91001
코베아|구미점|||코베아|054-456-5535|경북 구미시 송선로 441||||||||코베아 구미점|(도량동 466-1번지)|||91001
코베아|김해진영점|||코베아|055-345-4114|경남 김해시 진영읍 진산대로 117||||||||코베아 김해진영점|(진영리 1019-1번지)|||91001
코베아|팔공산점|||코베아|053-983-8078|대구 동구 팔공로 350||||||||코베아 팔공산점|(봉무동 249-3번지)|||91001
코베아|대구점|||코베아|053-253-9557|대구 중구 달구벌대로 2235||||||||코베아 대구점|(삼덕동3가 376-25번지)|||91001
코베아|대전점|||코베아|042-522-6418|대전 유성구 유성대로 747-1||||||||코베아 대전점|(장대동 269-6)|||91001
코베아|동탄점|||코베아|031-378-9830|경기 오산시 경기대로 868-6||||||||코베아 동탄점|(세교동 173-1번지 )|||91001
코베아|부산점|||코베아|051-627-1279|부산 금정구 중앙대로 2073||||||||코베아 부산점|(남산동 55-3번지)|||91001
코베아|서산점|||코베아|041-665-4956|충남 서산시 고운로 358||||||||코베아 서산점|가동 (잠홍동 571-4)|||91001
코베아|안양점|||코베아|031-429-4996|경기 안양시 동안구 경수대로 789||||||||코베아 안양점|(호계2동 895-2번지)|||91001
코베아|여주375점|||코베아|031-886-0003|경기 여주시 명품로 316-14||||||||코베아 여주375점|(상거동 375-17번지)|||91001
코베아|울산점|||코베아|052-269-1279|울산 남구 번영로150번길 3||||||||코베아 울산점|(달동 1341-10)|||91001
코베아|원주점|||코베아|033-746-1006|강원 원주시 시청로 33-2||||||||코베아 원주점|(무실동 1722-5)|||91001
코베아|일산할인매장점|||코베아|031-968-8057|경기 고양시 일산동구 고양대로 1128||||||||코베아 일산할인매장점|(식사동 514-4)|||91001
코베아|진주점|||코베아|055-747-5900|경남 진주시 대신로 243||||||||코베아 진주점|(상대동 308-16번지 )|||91001
코베아|천안점|||코베아|041-582-3004|충남 천안시 서북구 음봉로 909-7||||||||코베아 천안점|(백석동 606-1번지)|||91001
코베아|청주점|||코베아|043-292-1008|충북 청주시 서원구 남이면 양촌1길 10-4||||||||코베아 청주점|(양촌리 212번지)|||91001
코베아|춘천점|||코베아|033-242-6464|강원 춘천시 춘천로 231||||||||코베아 춘천점|(효자동 747-18번지 )|||91001
