##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@롯데슈퍼
롯데슈퍼|단구점|||롯데슈퍼|033-748-5602|강원도 원주시 단구로 406||||||||롯데슈퍼 단구점|청솔아파트,;단관청솔3차아파|||92102
롯데슈퍼|속초점|||롯데슈퍼|033-635-5000|강원도 속초시 조양상가길 25||||||||롯데슈퍼 속초점|(조양동);(조양동)|||92102
롯데슈퍼|속초조양|||롯데슈퍼|033-637-9602|강원도 속초시 온정로1길 7||||||||롯데슈퍼 속초조양|1층|||92102
롯데슈퍼|영월점|||롯데슈퍼|033-373-5601|강원도 영월군 영월읍 중앙로 5-10||||||||롯데슈퍼 영월점|외1필지 (하송리)|||92102
롯데슈퍼|원주점|||롯데슈퍼|033-764-1148|강원도 원주시 치악로 1781||||||||롯데슈퍼 원주점|(개운동)|||92102
롯데슈퍼|철원점|||롯데슈퍼|033-455-7300|강원도 철원군 동송읍 이평2로 14||||||||롯데슈퍼 철원점|굿모닝마트 (이평리)|||92102
롯데슈퍼|춘천점|||롯데슈퍼|033-252-3000|강원도 춘천시 영서로 2195||||||||롯데슈퍼 춘천점|굿모닝마트 (퇴계동);(퇴계동)|||92102
롯데슈퍼|평창진부점|||롯데슈퍼|033-335-5601|강원도 평창군 진부시장뒷길 57-3||||||||롯데슈퍼 평창진부점||||92102
롯데슈퍼|횡성점|||롯데슈퍼|033-344-5601|강원도 횡성군 횡성읍 태기로 29||||||||롯데슈퍼 횡성점|(읍상리);롯데슈퍼|||92102
롯데슈퍼|가능역점|||롯데슈퍼|031-856-5612|경기도 의정부시 신촌로 86||||||||롯데슈퍼 가능역점|미림프라자 1층|||92102
롯데슈퍼|가천대점|||롯데슈퍼|031-759-7576|경기도 성남시 수정구 복정로 17||||||||롯데슈퍼 가천대점|벽산빌딩|||92102
롯데슈퍼|고양대화점|||롯데슈퍼|031-925-9138|경기도 고양시 일산서구 대산로 216||||||||롯데슈퍼 고양대화점||||92102
롯데슈퍼|고양동산점|||롯데슈퍼|02-381-9771|경기도 고양시 덕양구 동세로 19||||||||롯데슈퍼 고양동산점|아카메디|||92102
롯데슈퍼|고양삼송|||롯데슈퍼|02-381-8753|경기도 고양시 덕양구 신원로 40-16||||||||롯데슈퍼 고양삼송||||92102
롯데슈퍼|고양식사점|||롯데슈퍼|031-968-7216|경기도 고양시 일산동구 위시티4로 80||||||||롯데슈퍼 고양식사점|위시|||92102
