##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@식신맛집
언양기와집불고기||||식신맛집||울산 울주군 언양읍 헌양길 86|울산광역시 울주군 언양읍 서부리 13|||||||언양기와집불고기||||
도동산방||||식신맛집||울산광역시 울주군 송락골길 133|울산광역시 울주군 상북면 산전리 50-16|||||||도동산방||||
더파티울산점||||식신맛집||울산광역시 중구 번영로 329|울산광역시 중구 옥교동 120-2|||||||더파티울산점||||
촌놈||||식신맛집||울산광역시 남구 정동로20번길 15|울산광역시 남구 삼산동 1593-10|||||||촌놈||||
고래고기원조할매집본점||||식신맛집||울산 남구 장생포고래로 135|울산광역시 남구 장생포동 335-2|||||||고래고기원조할매집본점||||
미진돌곱창||||식신맛집||울산광역시 남구 남산로26번길 3|울산광역시 남구 무거동 1159-13|||||||미진돌곱창||||
떡바우횟집||||식신맛집||울산광역시 울주군 간절곶해안길 43|울산광역시 울주군 서생면 대송리 416-1|||||||떡바우횟집||||
울산숯불갈비||||식신맛집|||울산광역시 남구 삼산동 1555-4|||||||울산숯불갈비||||
본정||||식신맛집||울산 남구 왕생로120번길 5|울산광역시 남구 달동 1319-13|||||||본정||||
언양진미불고기||||식신맛집||울산 울주군 삼남면 중평로 33|울산광역시 울주군 삼남면 교동리 1597-7|||||||언양진미불고기||||
함양집||||식신맛집||울산광역시 남구 중앙로208번길 12|울산광역시 남구 신정동 579-4|||||||함양집||||
경주손칼국수||||식신맛집||울산광역시 남구 월평로47번길 7|울산광역시 남구 신정동 630-1|||||||경주손칼국수||||
갈비구락부||||식신맛집||울산광역시 울주군 남상평2길 34-12|울산광역시 울주군 삼남면 교동리 1576-12|||||||갈비구락부||||
천손짜장||||식신맛집||울산광역시 남구 울밀로 2890|울산광역시 남구 무거동 272-5|||||||천손짜장||||
대일함흥냉면||||식신맛집||울산 중구 명정4길 13|울산광역시 중구 태화동 795-6|||||||대일함흥냉면||||
꼬꼬사우나찜닭삼산본점||||식신맛집||울산 남구 삼산중로74번길 12|울산광역시 남구 삼산동 1522-3|||||||꼬꼬사우나찜닭삼산본점||||
미락식당||||식신맛집||울산광역시 중구 중앙길 100|울산광역시 중구 성남동 149-4|||||||미락식당||||
원조대구막창1번지||||식신맛집||울산광역시 중구 곽남1길 30|울산광역시 중구 남외동 343-5|||||||원조대구막창1번지||||
웅촌식육식당||||식신맛집|||울산광역시 울주군 웅촌면 곡천리 323-1|||||||웅촌식육식당||||
베테랑바베큐||||식신맛집||울산 울주군 서생면 해맞이로 924|울산광역시 울주군 서생면 신암리 222-3|||||||베테랑바베큐||||
바다바라기||||식신맛집||울산 북구 정자1길 111|울산광역시 북구 정자동 434-14|||||||바다바라기||||
난스시||||식신맛집||울산광역시 남구 정동로80번길 22|울산광역시 남구 삼산동 225-3|||||||난스시||||
원터가든||||식신맛집||울산 울주군 웅촌면 웅촌로 642-9|울산광역시 울주군 웅촌면 대복리 461-3|||||||원터가든||||
카페드파리울산본점||||식신맛집||울산 중구 중앙길 133|울산광역시 중구 성남동 57-14|||||||카페드파리울산본점||||
