##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@PACADEMY
#신나는피아노음악학원||||음악/미술학원||울산광역시 남구 옥현로 92-17||1|학교교과교습학원;예능(대);음악;예능(중)|||||#신나는피아노음악학원|2층,201호 (무거동)|||20309
1인이룸독서실||||독서실|052-268-5536|울산광역시 남구 대공원입구로21번길 27||1|학교교과교습학원;독서실;독서실(유아/초·중·고);독서실|||||1인이룸독서실|(2층) (옥동)|||20317
2관도스영어수학학원||||일반학원|070-4170-4909|울산광역시 남구 수암로 161||7|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||2관도스영어수학학원|2,3층 (야음동)|||20315
52미리음악학원||||음악/미술학원||울산광역시 남구 삼산중로74번길 22||2|평생직업교육학원;기예(대);실용음악(성악);기예(중)|||||52미리음악학원|601호 (삼산동)|||20309
85에스/이용학원||||전문자격학원||울산광역시 남구 왕생로95번길 11||2|평생직업교육학원;직업기술;이·미용;산업응용기술|||85S 이용학원||85S(에스)이용학원|2층 (달동)|||20307
Beyond/Math수학전문학원||||일반학원|052-900-7175|울산광역시 남구 법대로95번길 6||3|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||Beyond Math수학전문학원|(4층) (옥동)|||20315
이엠/영어수학학원||||일반학원|052-257-3335|울산광역시 남구 두왕로190번길 46||5|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||EM 영어수학학원||EM(이엠)영어수학학원|(선암동)|||20315
ENF입시단과학원||||일반학원|052-273-9485|울산광역시 남구 문수로369번길 58||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||ENF입시단과학원|21동 (301호,302호,305호) (옥동,도성아파트)|||20315
FreeTop외국어학원||||외국어학원|052-227-7905|울산광역시 남구 문수로 351||2|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||FreeTop외국어학원|1406-19번지 3층 (옥동)|||20305
GnB지앤비영어수학전문학원||||일반학원|052-247-4133|울산광역시 울주군 범서읍 장검길 93||6|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||GnB지앤비영어수학전문학원|2층 (범서읍)|||20315
HSK북경어연학원||||외국어학원|052-271-0580|울산광역시 남구 삼산중로131번길 21||5|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||HSK북경어연학원|1층 (삼산동)|||20305
I아트미술학원||||음악/미술학원|052-276-9966|울산광역시 남구 도산로101번길 10-24||2|학교교과교습학원;예능(대);미술;예능(중)|||||I아트미술학원|201호 (달동현대아파트상가) (달동,현대아파트)|||20309
제이/뷰티아카데미학원||||전문자격학원||울산광역시 남구 왕생로66번길 30||1|평생직업교육학원;직업기술;이·미용;산업응용기술|||J 뷰티아카데미학원||J(제이)뷰티아카데미학원|5층 일부 (달동)|||20307
케이/수학학원||||일반학원||울산광역시 남구 중앙로 46||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||K 수학학원||K (케이)수학학원|4층 전체 (야음동)|||20315
LEES잉글리쉬아카데미학원||||외국어학원|052-266-0115|울산광역시 남구 문수로352번길 10||14|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||LEES잉글리쉬아카데미학원|1,2층 (옥동)|||20305
엠피/수학전문학원||||일반학원||울산광역시 남구 문수로 351||1|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||MP 수학전문학원||MP(엠피)수학전문학원|4층 (옥동)|||20315
엠에스/학원||||일반학원||울산광역시 남구 돋질로261번길 17-1||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||MS 학원||MS(엠에스)학원|2층 (삼산동)|||20315
N앤스터디학원||||일반학원||울산광역시 남구 대학로 110||6|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||N앤스터디학원|3층일부 (무거동)|||20315
PASS입시단과학원||||일반학원|052-269-2125|울산광역시 남구 두왕로190번길 22||6|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||PASS입시단과학원|(3층,4층) (선암동,푸른초장교)|||20315
S&P학습능력개발원이상욱논리속독삼산학원||||일반학원|052-267-4000|울산광역시 남구 돋질로 305||3|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||S&P학습능력개발원이상욱논리속독삼산학원|2층 (삼산동)|||20315
에스피에프/융합영재관학원||||일반학원||울산광역시 남구 문수로 322||6|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||SPF 융합영재관학원||SPF(에스피에프)융합영재관학원|9층 (옥동,동은빌딩)|||20315
에스티엔/수학전문학원||||일반학원||울산광역시 남구 문수로 317||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||STN 수학전문학원||STN(에스티엔)수학전문학원|8,2층 (옥동 548-10번지) (옥동)|||20315
TOP과학전문학원||||일반학원|052-273-1714|울산광역시 남구 문수로335번길 8||2|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||TOP과학전문학원|4층 (옥동,경남은행 (옥서지점))|||20315
TOP독서실||||독서실|052-227-7579|울산광역시 남구 대암로 82||1|학교교과교습학원;독서실;독서실(유아/초·중·고);독서실|||||TOP독서실|(3층) (야음동,신정현대홈타운2단지아파트)|||20317
더/플러스수학학원||||일반학원|052-258-4440|울산광역시 남구 대공원입구로21번길 45-1||4|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||The 플러스수학학원||The(더)플러스수학학원|2층일부 (옥동)|||20315
The/M더엠수학학원||||일반학원||울산광역시 남구 거마로30번길 20||1|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||The M더엠수학학원|2층 (신정동)|||20315
the/wise/더위즈영재교육놀이학원||||외국어학원|052-276-6470|울산광역시 남구 돋질로 164||18|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||the wise 더위즈영재교육놀이학원|2층전체,3층일부 (달동)|||20305
가야입시학원||||일반학원|052-273-1676|울산광역시 남구 봉월로70번길 7||2|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||가야입시학원|(2층) (신정동,백양학원)|||20315
갑영어전문학원||||외국어학원|070-8841-2880|울산광역시 남구 문수로 340||2|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||갑영어전문학원|(6층) (옥동)|||20305
강남SKY(스카이)/입시단과학원||||일반학원|052-227-9167|울산광역시 남구 돋질로339번길 32-1||1|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||강남SKY(스카이)입시단과학원|(3층) (삼산동)|||20315
