##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@태권도장
논현/체육관||||태권도장|547-7121|서울 강남구 강남대로120길 42||||||||논현 체육관|지하1층 (논현동)|||20311
대도/체육관||||태권도장|555-0292||서울 강남구 대치동 626|||||||대도 체육관|청실상가4층|||20311
대청/체육관||||태권도장|3411-0712||서울 강남구 일원동 643-1|||||||대청 체육관||||20311
대치/체육관||||태권도장|557-1979||서울 강남구 대치동 1023-11|||||||대치 체육관||||20311
성도2/체육관||||태권도장|02-566-3286||서울 강남구 대치동 908-2호 지상1층 |||||||성도2 체육관||||20311
송현근/아카데미||||태권도장|518-2073||서울 강남구 압구정동 481|||||||송현근 아카데미||||20311
신구/체육관||||태권도장|02-542-1263|서울 강남구 도산대로25길 43||||||||신구 체육관|지하1층 (신사동)|||20311
쌍용/체육관||||태권도장|563-2018||서울 강남구 대치동 511|||||||쌍용 체육관|미도상가 3층 301호|||20311
용인대제일/체육관||||태권도장|3462-1171||서울 강남구 도곡동 902-5|||||||용인대제일 체육관|(지층)|||20311
정태권도/아카데미||||태권도장|5755788||서울 강남구 도곡동 544|||||||정태권도 아카데미|신호B/D 501,502호|||20311
은마/체육관||||태권도장|02-555-8360||서울 강남구 대치동 은마아파트상가 318|||||||은마 체육관||||20311
정의/체육관||||태권도장|2226-2076||서울 강남구 개포동 12|||||||정의 체육관|도시개발아파트 2단지|||20311
청목/체육관||||태권도장|543-3774||서울 강남구 삼성동 10-26|||||||청목 체육관|지층|||20311
학동/체육관||||태권도장|545-7555||서울 강남구 논현동 273-4|||||||학동 체육관||||20311
경용/체육관||||태권도장|02-442-0061||서울 강동구 암사1동 452-8|||||||경용 체육관||||20311
경희석사/체육관||||태권도장|481-7655||서울 강동구 암사2동 509|||||||경희석사 체육관|선사현대아파트단지상가내|||20311
경희이기성/체육관||||태권도장|4423092||서울 강동구 명일동 329-1|||||||경희이기성 체육관|2호 2층|||20311
고일/체육관||||태권도장|429-1909||서울 강동구 고덕2동 191-5|||||||고일 체육관||||20311
국일/체육관||||태권도장|477-7414||서울 강동구 천호4동 362-64|||||||국일 체육관||||20311
새암/체육관||||태권도장|426-9961||서울 강동구 상일동 286|||||||새암 체육관||||20311
서울/체육관||||태권도장|428-1988||서울 강동구 상일동 주공아파트 6단지 상가 |||||||서울 체육관||||20311
석사/체육관||||태권도장|426-5383||서울 강동구 명일동 246-5|||||||석사 체육관||||20311
엄지/체육관||||태권도장|481-4727||서울특별시 강동구 암사1동 469-8|||||||엄지 체육관||||20311
용인대경일/체육관||||태권도장|4872623||서울 강동구 길2동 92|||||||용인대경일 체육관|신동아상가 1층|||20311
용인대백인/체육관||||태권도장|472-7906||서울 강동구 둔촌2동 517-4|||||||용인대백인 체육관||||20311
용인대풍진/체육관||||태권도장|482-9386||서울 강동구 천호4동 304-33|||||||용인대풍진 체육관||||20311
한산/체육관||||태권도장|4829800||서울 강동구 둔촌동 148-7|||||||한산 체육관||||20311
한체대석사명성/체육관||||태권도장|3426-4690||서울 강동구 명일동 305-3|||||||한체대석사명성 체육관||||20311
경찰/체육관||||태권도장|988-4112||서울 강북구 미아9동 258-112|||||||경찰 체육관|(3층)|||20311
국기/체육관||||태권도장|988-1045|서울 강북구 삼양로27길 38||||||||국기 체육관|2층 (미아동)|||20311
으뜸/체육관||||태권도장|483-8685||서울 강동구 성내3동 419-26|||||||으뜸 체육관|201호|||20311
제일/체육관||||태권도장|473-9101||서울 강동구 둔촌동 주공아파트 라상가 209|||||||제일 체육관||||20311
천호동아/체육관||||태권도장|472-4727||서울 강동구 천호동 339|||||||천호동아 체육관||||20311
한양대천동/체육관||||태권도장|471-1722||서울 강동구 천호동 121-91|||||||한양대천동 체육관||||20311
해봉/체육관||||태권도장|3426-8019||서울 강동구 명일동 15|||||||해봉 체육관|삼익고덕쇼핑|||20311
현대/체육관||||태권도장|02-3663-5673||서울 강서구 가양3동 448-1|||||||현대 체육관|현대강나루APT상가 3층|||20311
남산/체육관||||태권도장|2256-1133||서울특별시 중구 신당동 372-95|||||||남산 체육관||||20311
동아/체육관||||태권도장|02-6261-1188||서울 중구 신당4동 344|||||||동아 체육관|동아하이츠A상가 603호|||20311
중앙/체육관||||태권도장|22528020||서울 중구 신당동 250-32|||||||중앙 체육관||||20311
충무/체육관||||태권도장|2264-4595||서울특별시 중구 묵정동 23-1|||||||충무 체육관||||20311
한미/체육관||||태권도장|313-0032||서울 중구 만리동2가 12-33|||||||한미 체육관||||20311
화랑태권도아카데미||||태권도장|2235-6833|서울 중구 동호로12길 98||||||||화랑태권도아카데미|1층 (신당동)|||20311
감만기무/체육관||||태권도장|635-3695|부산 남구 우암로 48||||||||감만기무 체육관|(감만동)|||20311
대학/체육관||||태권도장|904-4005||서울 강북구 수유3동 129-10|||||||대학 체육관||||20311
대호/체육관||||태권도장|907-1661||서울 강북구 수유6동 554-104|||||||대호 체육관||||20311
무성/체육관||||태권도장|996-8385||서울 강북구 수유5동 435-5|||||||무성 체육관|12층|||20311
문무/체육관||||태권도장|02-989-5401|서울 강북구 삼양로 218||||||||문무 체육관|(미아동) 2층|||20311
미아백민/체육관||||태권도장|999-1140||서울 강북구 미아3동 232-24|||||||미아백민 체육관||||20311
백두산/체육관||||태권도장|6221-3030||서울 강북구 번동 191|||||||백두산 체육관|가산그린아파트상가 201호|||20311
백운/체육관||||태권도장|981-7406|서울 강북구 인수봉로 128||||||||백운 체육관|(수유동)|||20311
백호/체육관||||태권도장|029976946|서울 강북구 삼양로 445||||||||백호 체육관|3층 (수유동)|||20311
벽산/체육관||||태권도장|906-7080||서울 강북구 수유2동 205|||||||벽산 체육관||||20311
성수/체육관||||태권도장|982-3317||서울 강북구 미아동 217-106|||||||성수 체육관||||20311
송중/체육관||||태권도장|987-7775||서울 강북구 미아9동 98-42|||||||송중 체육관||||20311
수유/체육관||||태권도장|02-990-5559|서울 강북구 노해로23길 73||||||||수유 체육관|지하1층,지상2층 (수유동)|||20311
지성/체육관||||태권도장|029817330|서울 강북구 도봉로 143||||||||지성 체육관|2층 203호 (미아동)|||20311
청훈/체육관||||태권도장|029817938||서울 강북구 미아5동 469-42|||||||청훈 체육관||||20311
태선문/체육관||||태권도장|980-5356|서울 강북구 삼양로 231||||||||태선문 체육관|2층 (미아동)|||20311
한빛/체육관||||태권도장|985-5425||서울 강북구 미아동 1353-5|||||||한빛 체육관|SK아파트상가 123호|||20311
한양/체육관||||태권도장|993-1716||서울 강북구 번1동 462-18|||||||한양 체육관||||20311
한진/체육관||||태권도장|984-8109||서울 강북구 번3동 139|||||||한진 체육관|한진그랑빌 상가 2층|||20311
강서원도/체육관||||태권도장|2666-5252|서울특별시 강서구 초원로10길 12-4||||||||강서원도 체육관|(방화동)|||20311
