##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@골프장
가야||||골프장|055-337-0091|경남 김해시 인제로 502||회원제:45;퍼블릭:9||||||가야|(삼방동,가야컨트리클럽)|||50206
가평베네스트||||골프장|031-589-8002|경기도 가평군 상면 둔덕말길 232||회원제:27||||||가평베네스트||||50206
강남300||||골프장|031-719-0300|경기도 광주시 새말길 353||회원제:18||||||강남300|(목동)|||50206
경주신라||||골프장|054-740-7114|경북 경주시 보문로 319||회원제:36||||||경주신라|(신평동,경주신라컨트리클럽)|||50206
계룡대||||골프장|042-550-7601/7611|충남 계룡시 신도안면 계룡대로 976길 ||회원제:36||||||계룡대||||50206
고은||||골프장|054-852-0447|경북 안동시 풍천면 풍일로 1572||회원제:18||||||고은|(어담리)|||50206
고창||||골프장|063-560-7744|전북 고창군 심원면 애향갯벌로 70||퍼블릭:21||||||고창|(고전리,고창컨트리클럽)|||50206
곤지암||||골프장|031-760-3555/6|경기 광주시 도척면 도척윗로 280||회원제:18||||||곤지암|(도웅리)|||50206
골드||||골프장|031-286-8111|경기도 용인시 기흥구 기흥단지로 398||회원제:36||||||골드|(고매동)|||50206
골드레이크||||골프장|061-339-3000|전라남도 나주시 남평읍 나주호로 442-129||회원제:18;퍼블릭:18||||||골드레이크||||50206
골든베이||||골프장|041-671-8000|충남 태안군 근흥면 정산포로 217||회원제:9;퍼블릭:18||||||골든베이|(정죽리,골드베이)|||50206
골프존카운티/선산||||골프장|054-473-6200|경북 구미시 산동면 강동로 953-73||회원제:18;퍼블릭:18||||||골프존카운티 선산||||50206
골프존카운티/선운||||골프장|063-560-2000|전라북도 고창군 아산면 운곡로 418||퍼블릭:18||||||골프존카운티 선운||||50206
골프존카운티/안성H||||골프장|031-8056-0700||경기도 안성시 보개면 북가현리 산65-1|퍼블릭:18||||||골프존카운티 안성H||||50206
골프존카운티/안성Q||||골프장|031-8046-7000|경기도 안성시 죽산면 장계길 20-229||퍼블릭:18||||||골프존카운티 안성Q||||50206
골프존카운티/청통||||골프장|054-339-8000|경상북도 영천시 청통면 청통로 733||퍼블릭:18||||||골프존카운티 청통||||50206
골프존카운티순천||||골프장|061-729-8888|전라남도 순천시 주암면 행정리 1길 77||회원제:18;퍼블릭:18||||||골프존카운티순천||||50206
광릉||||골프장|031-528-7001|경기도 남양주시 진접읍 팔야로 280||회원제:18;퍼블릭:9||||||광릉||||50206
광주||||골프장|061-339-7100|전라남도 곡성군 옥과면 입면로 455||회원제:27||||||광주||||50206
구니||||골프장|054-380-0000|경북 군위군 군위읍 도군로 2450||회원제:18||||||구니|(외량리)|||50206
구미||||골프장|054-452-9878|경북 구미시 장천면 송백로 229||퍼블릭:27||||||구미|(상림리,구미컨트리클럽하우스)|||50206
그랜드||||골프장|043-212-7111/~4|충북 청주시 청원구 오창읍 꽃화산길 14||회원제:27||||||그랜드|(화산리,그랜드컨트리클럽)|||50206
그레이스||||골프장|054-370-3000|경상북도 청도군 이서면 각계리 서녁길 91||회원제:27||||||그레이스||||50206
그린힐||||골프장|031-799-8500|경기도 광주시 곤지암읍 내선길 176||회원제:18||||||그린힐||||50206
금강||||골프장|031-880-6000|경기도 여주시 가남읍 여주남로 541||회원제:18;퍼블릭:9||||||금강||||50206
기흥||||골프장|031-376-4001|경기도 화성시 풀무골로106번길 244||회원제:36||||||기흥||||50206
김포시사이드||||골프장|031-987-9992|경기 김포시 월곶면 김포대로2801번길 219||회원제:18||||||김포시사이드|(포내리)|||50206
김해상록||||골프장|055-340-1400|경남 김해시 한림면 김해대로 974번길 198||퍼블릭:18||||||김해상록||||50206
나인브릿지||||골프장|064-793-9999|제주특별자치도 서귀포시 안덕면 광평로 34-156||회원제:18;퍼블릭:6||||||나인브릿지||||50206
남부||||골프장|031-280-4130|경기 용인시 기흥구 사은로 163||회원제:18||||||남부|(보라동,남부컨트리클럽)|||50206
남서울||||골프장|031-709-6000|경기도 성남시 분당구 안양판교로1201번길 161||회원제:18||||||남서울|(백현동)|||50206
남수원||||골프장|031-229-9200||경기도 화성시 송산동 170|회원제:18||||||남수원||||50206
남안동||||골프장|054-850-2700|경상북도 안동시 일직면 풍일로 1887||회원제:18||||||남안동||||50206
남여주||||골프장|031-880-6700|경기도 여주시 가여로 532||퍼블릭:27||||||남여주||||50206
남원상록||||골프장|063-630-1300|전북 남원시 대산면 월계길 11||퍼블릭:18||||||남원상록|(대곡리,남원상록골프장)|||50206
남촌||||골프장|031-769-0333|경기도 광주시 곤지암읍 부항길 135-38||회원제:18||||||남촌||||50206
남춘천||||골프장|033-269-3000|강원도 춘천시 신동면 오봉길 156||퍼블릭:18||||||남춘천||||50206
내장산||||골프장|063-570-7700|전북 정읍시 첨단과학로 476||퍼블릭:(18)||||||내장산|(신정동)|||50206
노벨||||골프장|055-670-8000|경남 고성군 회화면 회진로 567||회원제:27||||||노벨|(봉동리)|||50206
노스팜||||골프장|031-950-6900|경기 파주시 광탄면 쇠장이길 265||퍼블릭:18||||||노스팜||||50206
뉴서울||||골프장|031-762-5672|경기도 광주시 삼지곡길 95||회원제:36||||||뉴서울|(삼동)|||50206
뉴스프링빌||||골프장|031-630-7500|경기도 이천시 모가면 사실로527번길 158||회원제:36;퍼블릭:9||||||뉴스프링빌||||50206
뉴코리아||||골프장|02-353-0091|경기 고양시 덕양구 신원2로 57||회원제:18||||||뉴코리아|(신원동,뉴코리아컨트리클럽)|||50206
담양레이나||||골프장|061-380-7500|전라남도 담양군 담양읍 깊은실길 169||퍼블릭:18||||||담양레이나||||50206
대구||||골프장|053-854-0002|경상북도 경산시 진량읍 일연로 718-42||회원제:27||||||대구||||50206
대유몽베르||||골프장|031-531-1100|경기도 포천시 영북면 산정호수로 359-12||회원제:36||||||대유몽베르||||50206
더스타휴||||골프장|031-770-9900|경기 양평군 양동면 양동로 756||회원제:18||||||더스타휴||||50206
더클래식||||골프장|064-766-7024|제주특별자치도 서귀포시 남원읍 남조로 1105||퍼블릭:18||||||더클래식||||50206
덕평||||골프장|031-638-9626/~8|경기도 이천시 호법면 장자터로 115||회원제:18||||||덕평||||50206
도고||||골프장|041-542-4411|충남 아산시 선장면 삼봉산길 188||회원제:18||||||도고|(신성리)|||50206
동래베네스트||||골프장|051-580-0313|부산광역시 금정구 하정로 66||회원제:18||||||동래베네스트||||50206
동부산||||골프장|055-388-1315/7|경남 양산시 매곡외산로 282||회원제:27||||||동부산|(매곡동,동부산컨트리클럽)|||50206
동여주||||골프장|031-887-8444|경기도 여주시 가남읍 그랜드그린길 107||회원제:18||||||동여주||||50206
동원썬밸리||||골프장|033-344-5308|강원도 횡성군 서원면 서원서로339번길 90||퍼블릭:18||||||동원썬밸리||||50206
동전주써미트||||골프장|063-430-5000|전북 진안군 부귀면부귀로 72-161||퍼블릭:(27)||||||동전주써미트||||50206
동촌||||골프장|043-722-0707|충북 충주시 노은면 감노로 1327||퍼블릭:18||||||동촌||||50206
동훈힐마루||||골프장|055-520-8008|경남 창녕군 장마면 영산계성로 469-195||회원제:18;퍼블릭:18||||||동훈힐마루|(초곡리,힐마루골프장)|||50206
드비치||||골프장|055-736-3001|경남 거제시 장목면 거제북로 1573||회원제:18||||||드비치|(드비치골프장)|||50206
떼제베||||골프장|043-230-4000|충북 청주시 흥덕구 옥산면 동림2길 149||퍼블릭:36||||||떼제베|(동림리)|||50206
라데나||||골프장|033-260-1114|강원 춘천시 신동면 칠전동길 72||회원제:27||||||라데나|(정족리,라데나클럽)|||50206
라비에벨||||골프장|올드033-245-7000/듄스033-245-7100|강원 춘천시 동산면 종자리로 436||퍼블릭:36||||||라비에벨|(조양리,라비에벨 컨트리클럽)|||50206
라온||||골프장|064-795-1000|제주특별자치도 제주시 한경면 용금로 998||퍼블릭:27||||||라온||||50206
라헨느||||골프장|064-754-9000|제주특별자치도 제주시 명림로 374||회원제:18||||||라헨느|(봉개동)|||50206
레이크사이드||||골프장|031-334-2111/~8|경기도 용인시 처인구 모현읍 능원로 181||회원제:18;퍼블릭:36||||||레이크사이드||||50206
레이크우드||||골프장|031-820-1500|경기도 양주시 만송로 244||회원제:27;퍼블릭:9||||||레이크우드||||50206
레이크힐스경남||||골프장|055-589-8888|경남 함안군 칠원면 운무로 470||회원제:18||||||레이크힐스경남||||50206
레이크힐스용인||||골프장|031-336-8350|경기 용인시 처인구 남사면 경기동로 628||회원제:27||||||레이크힐스용인|(창리,레이크힐스C.C)|||50206
레이크힐스제주||||골프장|064-738-8858|제주특별자치도 서귀포시 산록남로 1391||회원제:27||||||레이크힐스제주|(중문동)|||50206
레인보우힐스||||골프장|043-879-7900|충북 음성군 생극면 차생로 168||퍼블릭:27||||||레인보우힐스|(생리,레인보우힐스C.C)|||50206
렉스필드||||골프장|031-880-8700|경기도 여주시 산북면 광여로 1115||회원제:18;퍼블릭:9||||||렉스필드||||50206
로드힐스||||골프장|033-269-8888|강원도 춘천시 동산면 종자리로 148-16||퍼블릭:27||||||로드힐스||||50206
로얄포레||||골프장|043-841-9000|충북 충주시 신니면 화치3길 35||퍼블릭:18||||||로얄포레|(대화리,(주)신니개발)|||50206
롯데스카이힐/김해||||골프장|055-340-9108|경상남도 김해시 진례면 고모로134번길 54-49||회원제:18||||||롯데스카이힐 김해||||50206
롯데스카이힐/부여||||골프장|041-939-1700|충남 부여군 규암면 백제문로 470||퍼블릭:18||||||롯데스카이힐 부여||||50206
롯데스카이힐/제주||||골프장|064-731-2000||제주특별자치도 서귀포시 색달동 100|회원제:18;퍼블릭:9||||||롯데스카이힐 제주||||50206
리베라||||골프장|031-376-6711|경기도 화성시 동탄면 중리길 183||회원제:36||||||리베라||||50206
마론뉴데이||||골프장|041-623-5500|충청남도 천안시 동남구 북면 납안5길 74||회원제:18||||||마론뉴데이||||50206
마에스트로||||골프장|031-8046-1000|경기 안성시 양성면 안성맞춤대로 2134-36||퍼블릭:18||||||마에스트로|(노곡리)|||50206
마우나오션||||골프장|054-740-0601|경북 경주시 양남면 동남로 982||회원제:18||||||마우나오션|(신대리,마우나오션리조트)|||50206
무등산||||골프장|061-379-1000|전라남도 화순군 화순읍 오성로 292-90||퍼블릭:27||||||무등산|(무등산CC)|||50206
무주덕유산||||골프장|063-320-7039|전라북도 무주군 설천면 만선로 185||회원제:18||||||무주덕유산||||50206
문경||||골프장|054-550-5000|경북 문경시 마성면 문경골프장길 240||퍼블릭:18||||||문경|(외어리,(주)문경레저타운)|||50206
발리오스||||골프장|031-352-5061|경기 화성시 팔탄면 3.1만세로 641-28||회원제:18;퍼블릭:9||||||발리오스|(화당리,발안컨트리클럽)|||50206
버드우드||||골프장|041-558-9900|충청남도 천안시 동남구 병천면 매성2길 103||회원제:18||||||버드우드||||50206
버치힐||||골프장|033-335-5757|강원도 평창군 대관령면 올림픽로 715||회원제:18||||||버치힐||||50206
베네치아||||골프장|054-420-0200||경북 김천시 구성면 송죽리 611-2|회원제:18||||||베네치아||||50206
베뉴지||||골프장|031-582-6248|경기 가평군 가평읍 용추로171번길 100||퍼블릭:27||||||베뉴지|(승안리,가평베뉴지골프장)|||50206
베어리버||||골프장|063-720-7126|전라북도 익산시 웅포면 강변로 130||회원제:(18);퍼블릭:(18)||||||베어리버||||50206
베어즈베스트/청라||||골프장|032-560-2000|인천 서구 청라대로316번길 45||퍼블릭:27||||||베어즈베스트 청라|(경서동)|||50206
베어크리크||||골프장|031-539-5700|경기 포천시 화현면 달인동로 35||퍼블릭:36||||||베어크리크|(지현리)|||50206
베이사이드||||골프장|051-930-0000|부산광역시 기장군 일광면 이천8길 100||회원제:27||||||베이사이드||||50206
보라||||골프장|052-255-1000|울산광역시 울주군 삼동면 삼동로 404||회원제:27||||||보라||||50206
부곡||||골프장|055-521-0707/10|경상남도 창녕군 부곡면 온천로 445||회원제:18||||||부곡||||50206
부산||||골프장|051-509-0707|부산광역시 금정구 중앙대로2327번길 112||회원제:18||||||부산|(노포동)|||50206
블랙밸리||||골프장|033-540-5300|강원도 삼척시 도계읍 도상로 307-84||퍼블릭:18||||||블랙밸리||||50206
블랙스톤||||골프장|064-795-2200|제주특별자치도 제주시 한림읍 한창로 925-122||회원제:18;퍼블릭:9||||||블랙스톤|(금악리,블랙스톤골프클럽)|||50206
블랙스톤/이천||||골프장|031-641-0473|경기 이천시 장호원읍 장여로 459-160||회원제:18;퍼블릭:9||||||블랙스톤 이천||||50206
블루마운틴||||골프장|033-439-1277|강원 홍천군 두촌면 광석로 898-160||퍼블릭:27||||||블루마운틴|(괘석리)|||50206
블루원/디아너스||||골프장|1899-1888|경북 경주시 천군동 보불로 391||회원제:27||||||블루원 디아너스||||50206
블루원상주||||골프장|1899-1888|경북 상주시 모서면 화현3길 127||퍼블릭:18||||||블루원상주||||50206
블루원용인||||골프장|031-330-9700|경기도 용인시 처인구 원삼면 보개원삼로1534번길 40||회원제:18;퍼블릭:9||||||블루원용인||||50206
블루헤런||||골프장|031-880-0700|경기 여주시 대신면 고달사로 67||회원제:18||||||블루헤런|(상구리)|||50206
비발디파크||||골프장|1644-0063|강원도 홍천군 서면 한치골길 200||회원제:18;퍼블릭:27||||||비발디파크||||50206
비에이비스타||||골프장|031-636-3577||이천시 모가면 어농리 386-1|회원제:36;퍼블릭:9||||||비에이비스타||||50206
사우스스프링스||||골프장|031-630-7000|경기 이천시 모가면 공원로 64||퍼블릭:18||||||사우스스프링스|(소고리)|||50206
사이프러스||||골프장|064-787-8888|제주특별자치도 서귀포시 표선면 번영로 2300||회원제:27;퍼블릭:9||||||사이프러스||||50206
사천||||골프장|055-851-5000||경남 사천시 서포면 다평리 산16-1|퍼블릭:27||||||사천||||50206
상떼힐||||골프장|043-850-2200|충청북도 충주시 앙성면 상대촌1길 198||회원제:18||||||상떼힐||||50206
상떼힐익산||||골프장|063-835-2521|전라북도 익산시 무왕로38길 111||회원제:18;퍼블릭:6||||||상떼힐익산|(덕기동)|||50206
샌드파인||||골프장|033-640-0600|강원도 강릉시 저동등길 53||회원제:18||||||샌드파인|(저동)|||50206
샤인데일||||골프장|033-430-1000|강원 홍천군 서면 한서로 247-156||퍼블릭:27||||||샤인데일|(동막리)|||50206
서경타니||||골프장|055-831-7000|경남 사천시 곤양면 흥신로 210||퍼블릭:36||||||서경타니|(가화리,타니골프앤리조트)|||50206
서라벌||||골프장|054-773-7000|경상북도 경주시 외동읍 내외로 577-189||퍼블릭:36||||||서라벌||||50206
서산수||||골프장|041-689-7714|충남 서산시 대산읍 삼길포7로 6||퍼블릭:18||||||서산수|(화곡리)|||50206
서서울||||골프장|031-943-0040/4103|경기 파주시 광탄면 혜음로 324||회원제:18||||||서서울|(용미리)|||50206
서원밸리||||골프장|031-940-9400|경기 파주시 광탄면 서원길 333||회원제:18;퍼블릭:27||||||서원밸리|(발랑리,서원밸리G.C클럽)|||50206
석정힐||||골프장|063-560-7000|전북 고창군 고창읍 석정2로 192||퍼블릭:18||||||석정힐|(석정리,클럽하우스)|||50206
설해원골든비치||||골프장|033-670-7700|강원도 양양군 손양면 공항로 230||회원제:27||||||설해원골든비치||||50206
세라지오||||골프장|031-887-8700|경기도 여주시 여양로 530||회원제:18||||||세라지오|(오금동)|||50206
세븐밸리||||골프장|054-979-1000|경상북도 칠곡군 왜관읍 봉계3길 180||퍼블릭:18||||||세븐밸리||||50206
세인트포||||골프장|064-786-3800|제주특별자치도 제주시 구좌읍 선유로 445-55||회원제:9;퍼블릭:27||||||세인트포||||50206
세종에머슨||||골프장|044-862-4004|세종특별자치시 전의면 운주산로 1510||회원제:27||||||세종에머슨||||50206
세종필드||||골프장|044-861-5678|세종특별자치시 연기면 정안세종로 1569||퍼블릭:18||||||세종필드|(산울리,세종필드골프클럽)|||50206
센추리21||||골프장|033-733-1000|강원도 원주시 문막읍 궁말길 193||회원제:36;퍼블릭:9||||||센추리21||||50206
