##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@투다리
투다리|인정점|||투다리|010-5759-3335|경기 용인시 처인구 금어로 2||||||||투다리 인정점|203호|||80213
투다리|동탄목동점|||투다리|031-376-5462|경기 화성시 왕배산2길 4-8||||||||투다리 동탄목동점|1층 101호|||80213
투다리|카림2차점|||투다리|031-375-9924|경기 화성시 동탄광역환승로 63||||||||투다리 카림2차점|105동 1층 113호|||80213
투다리|김천자이본점|||투다리|041-000-0000|경북 김천시 부곡길 145||||||||투다리 김천자이본점|1층 111호|||80213
투다리|송절점|||투다리|043-000-0000|충북 청주시 흥덕구 송화로 164||||||||투다리 송절점|7-11,103호 (송절동)|||80213
투다리|율하점|||투다리|053-965-1419|대구 동구 안심로22길 60-9||||||||투다리 율하점|A동 1층 102호 (율하동)|||80213
투다리|제니스점|||투다리|055-311-3059|경남 김해시 주촌면 천곡로 18||||||||투다리 제니스점|401동 1층 105호|||80213
투다리|문정본점|||투다리|02-407-6167|서울 송파구 새말로5길 30||||||||투다리 문정본점|1층 (문정동)|||80213
투다리|와우리점|||투다리|031-224-6101|경기 화성시 효행로 241||||||||투다리 와우리점|125호 (기안동,남수원씨티프라자)|||80213
투다리|인하대역점|||투다리|032-891-0542|인천 미추홀구 독배로 311||||||||투다리 인하대역점|114호 (용현동,비젼프라자)|||80213
투다리|사2동점|||투다리|031-407-5176|경기 안산시 상록구 항가울로 36-1||||||||투다리 사2동점|1층 (사동)|||80213
투다리|혁신2호점|||투다리|061-333-5792|전남 나주시 배멧3길 19-3||||||||투다리 혁신2호점|1층 103호 (빛가람동,엠제이빌딩)|||80213
투다리|운남점|||투다리|062-955-2836|광주 광산구 사암로390번길 27||||||||투다리 운남점|1층 (월곡동)|||80213
투다리|시낭점|||투다리|031-410-7115|경기 안산시 상록구 시낭북로2길 6||||||||투다리 시낭점|1층 (부곡동)|||80213
투다리|오치점|||투다리|062-268-2968|광주 북구 우치로241번길 56||||||||투다리 오치점|(오치동)|||80213
투다리|신세계점|||투다리|010-5461-0010|충북 청주시 흥덕구 대신로73번길 50||||||||투다리 신세계점|1층 103호 (복대동)|||80213
투다리|내곡점|||투다리|033-645-9339|강원 강릉시 강변로 122||||||||투다리 내곡점|(내곡동)|||80213
