##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@피쉬앤그릴
피쉬앤그릴|충북음성점|127.6906487|36.931105|피쉬앤그릴|043-873-1333||충북 음성군 읍내리 366-20||PM 5시 ~ AM 3시|||||피쉬앤그릴 충북음성점||||80215
피쉬앤그릴|충북괴산점|127.7931541|36.8098727|피쉬앤그릴|043-834-9393|충북 괴산군 괴산읍 읍내로 2길 61-1|||PM 5시 ~ AM 3시|||||피쉬앤그릴 충북괴산점|(동부리 627-18)|||80215
피쉬앤그릴|김포장기점|126.6677616|37.6443286|피쉬앤그릴|031-985-8974|경기도 김포시 김포한강4로 119|||PM 5시 ~ AM 3시|||||피쉬앤그릴 김포장기점|(장기동 1607)|||80215
피쉬앤그릴|대전용전점|127.4365897|36.351576|피쉬앤그릴|042-626-1352||대전광역시 동구 용전동 63-25||PM 5시 ~ AM 3시|||||피쉬앤그릴 대전용전점|2층|||80215
피쉬앤그릴|율량점|127.4903843|36.6700029|피쉬앤그릴|043-213-3539||충북 청주시 상당구 율량동 837||PM 5 시~ AM 4 시|||||피쉬앤그릴 율량점||||80215
피쉬앤그릴|와동점|126.8215284|37.3427071|피쉬앤그릴|070-4791-6761||경기도 안산시 단원구 와동 769-27||PM 5시 ~ AM 4시|||||피쉬앤그릴 와동점||||80215
피쉬앤그릴|천안두정점|127.1341553|36.8316767|피쉬앤그릴|041-551-1618||충남 천안시 서북구 두정동 879||PM 5시 ~ AM 4시|||||피쉬앤그릴 천안두정점|2층|||80215
피쉬앤그릴|전남완도점|126.7452226|34.3196768|피쉬앤그릴|061-554-5776||전라남도 완도군 완도읍 가용리 1073-5||PM 5시 ~ AM 4시|||||피쉬앤그릴 전남완도점||||80215
피쉬앤그릴|광혜원점|127.4383921|36.9920923|피쉬앤그릴|043-532-4062||충북 진천군 광혜원면 광혜원리 529-105||PM 5시 ~ AM 4시|||||피쉬앤그릴 광혜원점||||80215
피쉬앤그릴|광주풍암점|126.8791552|35.1263025|피쉬앤그릴|062-652-0047|광주광역시 서구 풍암1로21번길 9-14|||PM 5시 ~ AM 4시|||||피쉬앤그릴 광주풍암점||||80215
피쉬앤그릴|방학점|127.032685|37.6620453|피쉬앤그릴|02-954-3579||서울시 도봉구 방학동 669-2||PM 5시 ~ AM 4시|||||피쉬앤그릴 방학점|1층|||80215
피쉬앤그릴|충북음성대소점|127.4872559|36.967939|피쉬앤그릴|043-882-4469||충북 음성군 대소면 오산리 127-3||PM 5시 ~ AM 4시|||||피쉬앤그릴 충북음성대소점|1층|||80215
피쉬앤그릴|거제아주점|-|-|피쉬앤그릴|055-634-0030|경남 거제시 거제대로 3557-1||| |||||피쉬앤그릴 거제아주점||||80215
피쉬앤그릴|포항연일점|129.3459946|35.9977517|피쉬앤그릴|054-274-8863||경북 포항시 연일읍 생지리 246||PM 5시 ~ AM 4시|||||피쉬앤그릴 포항연일점||||80215
피쉬앤그릴|수원협성대점|126.9525999|37.2161452|피쉬앤그릴|031-298-7750||경기도 화성시 봉담읍 동화리 572-1||PM 5시 ~ AM 4시|||||피쉬앤그릴 수원협성대점||||80215
피쉬앤그릴|충남보령죽정점|126.602387|36.3591571|피쉬앤그릴|041-931-1107||충남 보령시 죽정동 668-4||PM 5시 ~ AM 4시|||||피쉬앤그릴 충남보령죽정점||||80215
피쉬앤그릴|홍성대학로점|126.6592088|36.5762232|피쉬앤그릴|041-632-1215||충남 홍성군 홍성읍 학계리 501-40||PM 5시 ~ AM 4시|||||피쉬앤그릴 홍성대학로점||||80215
피쉬앤그릴|인천옥련점|126.6528631|37.4273504|피쉬앤그릴|032-833-9864||인천시 연수구 옥련동 640-1||PM 5시 ~ AM 4시|||||피쉬앤그릴 인천옥련점|아주상가 113~114호|||80215
피쉬앤그릴|왜관점|128.3984887|35.9907275|피쉬앤그릴|054-972-9592|경상북도 칠곡군 왜관읍 중앙로2길 48-1|||오전 09:30|||||피쉬앤그릴 왜관점|(왜관리)|||80215
피쉬앤그릴|의정부성모점|127.075288|37.757931|피쉬앤그릴|031-847-2819||경기도 의정부시 금오동 67-1||PM 5시 ~ AM 4시|||||피쉬앤그릴 의정부성모점|거성상가 104호|||80215
피쉬앤그릴|덕소점|127.212517|37.5836385|피쉬앤그릴|031-521-9282||경기도 남양주시 와부읍 덕소리 541-12||PM 5시 ~ AM 4시|||||피쉬앤그릴 덕소점|우송상가 104호|||80215
피쉬앤그릴|양주덕정점|127.0669081|37.8313874|피쉬앤그릴|031-863-8941||경기도 양주시 고암동 134-1||PM 5시 ~ AM 4시|||||피쉬앤그릴 양주덕정점||||80215
피쉬앤그릴|인천갈산역점|126.7227416|37.5165639|피쉬앤그릴|032-516-0482||인천광역시 부평구 갈산동 177-7||PM 5시 ~ AM 4시|||||피쉬앤그릴 인천갈산역점|1층|||80215
피쉬앤그릴|수원대점|126.9777154|37.2145594|피쉬앤그릴|031-223-8434||경기도 화성시 봉담읍 와우리 62-6||PM 5시 ~ AM 4시|||||피쉬앤그릴 수원대점|1층|||80215
피쉬앤그릴|충남계룡점|127.2433668|36.2892689|피쉬앤그릴|042-840-7892||충청남도 계룡시 엄사면 엄사리 179-5||PM 5시 ~ AM 4시|||||피쉬앤그릴 충남계룡점||||80215
피쉬앤그릴|남구학익점|126.6614375|37.4393535|피쉬앤그릴|032-875-8377||인천 남구 학익동 699-5호 ||PM 5시 ~ AM 4시|||||피쉬앤그릴 남구학익점||||80215
피쉬앤그릴|행신역점|126.835014|37.6146627|피쉬앤그릴|031-970-0771||경기도 고양시 덕양구 행신동 760-1||PM 5시 ~ AM 4시|||||피쉬앤그릴 행신역점|리치빌|||80215
피쉬앤그릴|경기태전동점|127.2313018|37.391818|피쉬앤그릴|031-765-2883||경기도 광주시 태전동 667-4||PM 5시 ~ AM 4시|||||피쉬앤그릴 경기태전동점|1층|||80215
피쉬앤그릴|동백점|127.1527778|37.2821283|피쉬앤그릴|031-693-5426||경기도 용인시 기흥구 동백동 622-7||PM 5시 ~ AM 4시|||||피쉬앤그릴 동백점||||80215
피쉬앤그릴|포승점|126.8457594|36.9883322|피쉬앤그릴|031-682-2186||경기도 평택시 포승읍 도곡리 1145-8||PM 5시 ~ AM 4시|||||피쉬앤그릴 포승점||||80215
피쉬앤그릴|문경점|128.1890685|36.5873024|피쉬앤그릴|054-553-0720||경북 문경시 모전동 859||PM 5시 ~ AM 4시|||||피쉬앤그릴 문경점||||80215
피쉬앤그릴|문촌점|126.7597848|37.6717391|피쉬앤그릴|031-919-9882||경기도 고양시 일산서구 주엽동 19||PM 5시 ~ AM 4시|||||피쉬앤그릴 문촌점|대덕빌딩 102호|||80215
피쉬앤그릴|시흥신천점|126.7862723|37.4410981|피쉬앤그릴|031-313-0810|경기도 시흥시 호현로22번길 19|||.|||||피쉬앤그릴 시흥신천점||||80215
피쉬앤그릴|울산덕신점|-|-|피쉬앤그릴|052-237-3545|울산 울주군 온산읍 온덕2길 12||| |||||피쉬앤그릴 울산덕신점||||80215
피쉬앤그릴|조치원침산점|127.2920151|36.604889|피쉬앤그릴|041-862-5415||세종특별자치시 조치원읍 침산리 265-7||PM 5시 ~ AM 4시|||||피쉬앤그릴 조치원침산점||||80215
피쉬앤그릴|평택안중점|126.9307479|36.988004|피쉬앤그릴|031-683-0813||경기도 평택시 안중읍 안중리 293-9||PM 5시 ~ AM 4시|||||피쉬앤그릴 평택안중점||||80215
피쉬앤그릴|수원정자점|126.9942363|37.2959613|피쉬앤그릴|031-269-4450||경기도 수원시 정자동 876-4||PM 5시 ~ AM 4시|||||피쉬앤그릴 수원정자점||||80215
피쉬앤그릴|충주연수점|127.9297657|36.9879319|피쉬앤그릴|043-911-0393||충북 충주시 연수동 897||PM 5시 ~ AM 4시|||||피쉬앤그릴 충주연수점||||80215
