##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@VIPS
빕스|합정역점|||VIPS|02-336-4997|서울특별시 마포구 월드컵로1길 14|서울 마포구 합정동 472|돌잔치;세미나시설;놀이방;이벤트룸;WIFI;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자||||||빕스 합정역점|(합정동,마포한강푸르지오) 지하2층;딜라이트스퀘어 A동 지하2층 교보문고 앞|||80513
빕스/월드푸드마켓|대구/죽전점|||VIPS|053-566-1997|대구광역시 달서구 달구벌대로 1545|대구 달서구 죽전동 273-6|세미나시설;WIFI;수유실;라이브 키친 누들;라이브 키친 피자||||||빕스 월드푸드마켓 대구/죽전점|골든뷰메디타워 A동 3층;골든뷰 메디타워 A동 3층|||80513
빕스/월드푸드마켓|중동소풍점|||VIPS|032-328-1997|경기도 부천시 송내대로 239|경기 부천시 원미구 상동 539-1|돌잔치;세미나시설;놀이방;이벤트룸;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자||||||빕스 월드푸드마켓 중동소풍점|부천터미널 소풍;부천터미널 소풍 6층|||80513
빕스/월드푸드마켓|공덕해링턴점|||VIPS|02-2197-1997|서울시 마포구 마포대로 92|서울 마포구 도화동 25-13|돌잔치;하우스웨딩;세미나시설;어린이체험교실;이벤트룸;WIFI;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자||||||빕스 월드푸드마켓 공덕해링턴점|B동 2층;헤링턴 스퀘어 B동 2층|||80513
빕스/월드푸드마켓|올림픽공원점|||VIPS|02-415-1997|서울특별시 송파구 올림픽로 424|서울 송파구 방이동 88-2|이벤트룸;WIFI;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자||||||빕스 월드푸드마켓 올림픽공원점|올림픽공원;올림픽공원 만남의광장 A-2 동2문|||80513
빕스/월드푸드마켓|마산롯데마트점|||VIPS|055-251-1997|경남 창원시 마산회원구 삼호로 80||돌잔치;어린이체험교실;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자||||||빕스 월드푸드마켓 마산롯데마트점|롯데마트 마산양덕점 2층;롯데마트 마산양덕점 2층|||80513
빕스/월드푸드마켓|금천홈플러스점|||VIPS|02-896-1997|서울특별시 금천구 시흥대로 391|서울 금천구 독산1동 291-7|돌잔치;세미나시설;이벤트룸;WIFI;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자||||||빕스 월드푸드마켓 금천홈플러스점|홈플러스 금천점;금천 홈플러스 3층|||80513
빕스/월드푸드마켓|센텀시티홈플러스점|||VIPS|051-746-8997|부산광역시 해운대구 센텀동로 6|부산 해운대구 우2동 1499|돌잔치;세미나시설;놀이방;어린이체험교실;이벤트룸;WIFI;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자||||||빕스 월드푸드마켓 센텀시티홈플러스점|1499 홈플러스 센텀시티점;센텀시티 홈플러스 2층|||80513
빕스/익스프레스|인천공항입국점|||VIPS|032-743-2997|인천광역시 중구 공항로 운서동 , 여객터미널 1층 FB-P3-08 |인천 중구 운서동 2851|놀이방;WIFI;수유실||||||빕스 익스프레스 인천공항입국점|인천공항 여객터미널 1층|||80513
빕스/월드푸드마켓|광교점|||VIPS|031-216-6306|경기도 수원시 영통구 센트럴타운로 85||돌잔치;세미나시설;놀이방;어린이체험교실;이벤트룸;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자||||||빕스 월드푸드마켓 광교점|지하1층;아브뉴프랑 빕스 지하1층|||80513
