##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@애슐리
애슐리|뉴코아/일산점/(W)|||애슐리|031-902-4397|경기도 고양시 일산동구 중앙로 1206|||11:00~22:00|||||애슐리 뉴코아/일산점/(W)|(마두동) 일산뉴코아 8층 애슐리|||80520
애슐리|일산/대화점/(W)|||애슐리|031-913-1031|경기도 고양시 일산서구 중앙로 1581|||11:00~10:00|||||애슐리 일산/대화점/(W)|신세계하이투모로우 2층 애슐리|||80520
애슐리|구리점/(W)|||애슐리|0315651031|경기도 구리시 건원대로 3|||11:00~22:00|||||애슐리 구리점/(W)|(인창동) 흥화오피스텔 2층 애슐리|||80520
애슐리|롯데피트인/산본점/(W)|||애슐리|031-348-1031|경기도 군포시 번영로 485|||11:00~22:00|||||애슐리 롯데피트인/산본점/(W)|(산본동) 롯데피트인 8층|||80520
애슐리|김포한강점(W)|||애슐리|031-344-1031|경기도 김포시 김포한강11로255번길 15|||11:00~22:00|||||애슐리 김포한강점(W)|(운양동,김포한강 이랜드 타운힐스)|||80520
애슐리|퀸즈/뉴코아/부천점|||애슐리|032-624-8401|경기도 부천시 원미구 송내대로 239|||10:30~21:30|||||애슐리 퀸즈/뉴코아/부천점|(상동,뉴코아)|||80520
애슐리|미금역점(W)|||애슐리|031-604-1031|경기도 성남시 분당구 성남대로 151|||11:00~22:00|||||애슐리 미금역점(W)|(구미동) 엠코헤리츠 2층 애슐리|||80520
애슐리|NC/야탑점/(W)|||애슐리|031-708-1678|경기도 성남시 분당구 야탑로81번길 11|||10:30~22:00|||||애슐리 NC/야탑점/(W)|NC백화점 야탑점 7층|||80520
애슐리|NC/수원터미널/(W)|||애슐리|031-8065-3875|경기도 수원시 권선구 경수대로 270|||11:00~22:00|||||애슐리 NC/수원터미널/(W)|NC몰 5층 애슐리|||80520
애슐리|수원/망포점/(W)|||애슐리|031-273-1032|경기도 수원시 영통구 덕영대로1556번길 31|||11:00~22:00|||||애슐리 수원/망포점/(W)|(영통동)하이골프2층 애슐리|||80520
애슐리|뉴코아/동수원점(W)|||애슐리|031-307-1031|경기도 수원시 팔달구 인계로 154|||11:00~22:00|||||애슐리 뉴코아/동수원점(W)|(인계동) 동수원뉴코아아울렛 8층|||80520
애슐리|NC/안산고잔점/(W)|||애슐리|031-436-4555|경기도 안산시 단원구 광덕대로 194|||11:00~22:00|||||애슐리 NC/안산고잔점/(W)|(고잔동) 안산NC고잔점 B관 7층 애슐리|||80520
애슐리|뉴코아/평촌점/(W)|||애슐리|031-382-1443|경기도 안양시 동안구 동안로 119|||11:00~22:00|||||애슐리 뉴코아/평촌점/(W)|(호계동) 평촌뉴코아 아울렛 10층 애슐리|||80520
애슐리|의정부역점/(W)|||애슐리|031-825-5787|경기도 의정부시 시민로 80|||11:00~22:00|||||애슐리 의정부역점/(W)|(의정부동) 센트럴타워 8층|||80520
애슐리|NC/이천점/(W)|||애슐리|031-8010-8688|경기도 이천시 영창로 165|||11:00~21:30|||||애슐리 NC/이천점/(W)|(창전동) NC백화점 11층|||80520
애슐리|뉴코아/평택점/(W)|||애슐리|031-618-3023|경기도 평택시 경기대로 279|||11:00~22:00|||||애슐리 뉴코아/평택점/(W)|(비전동)|||80520
애슐리|동탄/메타폴리스점/(W)|||애슐리|031-371-6960|경기도 화성시 동탄중앙로 220|||11:00~22:00|||||애슐리 동탄/메타폴리스점/(W)|(반송동,메타폴리스) 메타폴리스 A블럭 지하1층 애슐리|||80520
애슐리|거제점/(W)|||애슐리||경상남도 거제시 장평로 12|||11:00~22:00|||||애슐리 거제점/(W)|(장평동) 디큐브백화점 6층|||80520
애슐리|김해외동점(W)|||애슐리|055-336-1031|경상남도 김해시 분성로 155|||11:00~22:00|||||애슐리 김해외동점(W)|(외동,한국2차아파트)|||80520
애슐리|포항점/(W)|||애슐리|054-246-1031|경상북도 포항시 북구 중앙상가길 6|||11:00~21:30|||||애슐리 포항점/(W)|(대흥동) NC포항점 7층|||80520
애슐리|NC/충장점/(W)|||애슐리|062-718-9600|광주광역시 동구 중앙로 163|||11:00~22:00|||||애슐리 NC/충장점/(W)|(충장로4가,NC웨이브 10층)|||80520
애슐리|광주/유스퀘어점/(W)|||애슐리|062-352-1031|광주광역시 서구 무진대로 904|||11:00~22:00|||||애슐리 광주/유스퀘어점/(W)|(광천동) 유스퀘어 2층 애슐리|||80520
애슐리|대구/이월드점/(W)|||애슐리|053-620-0012|대구광역시 달서구 두류공원로 200|||11:00~22:00|||||애슐리 대구/이월드점/(W)|(두류동) 83타워 1층|||80520
애슐리|동아쇼핑/대구점/(W)|||애슐리|053-251-4087|대구광역시 중구 달구벌대로 2085|||11:00~21:30|||||애슐리 동아쇼핑/대구점/(W)|동아백화점 쇼핑점 12층 애슐리|||80520
애슐리|동성로점/(W)|||애슐리|053-253-1031|대구광역시 중구 동성로 36|||11:00~22:00|||||애슐리 동성로점/(W)|(동성로2가,후아유 4층)|||80520
애슐리|홈플러스/둔산점/(W)|||애슐리|042-485-1033|대전광역시 서구 문예로 107|||11:00~22:00|||||애슐리 홈플러스/둔산점/(W)|홈플러스 둔산점 3층|||80520
애슐리|홈플러스/유성점/(W)|||애슐리|042-823-1034|대전광역시 유성구 한밭대로 502|||11:00~22:00|||||애슐리 홈플러스/유성점/(W)|홈플러스 4층 애슐리|||80520
애슐리|NC/중앙로역점/(W)|||애슐리|042-718-2880|대전광역시 중구 중앙로 141|||11:00~22:00|||||애슐리 NC/중앙로역점/(W)|(선화동,NC백화점) 7층|||80520
애슐리|NC/부산대점/(W)|||애슐리|051-509-7360|부산광역시 금정구 부산대학로63번길 2|||11:00~22:00|||||애슐리 NC/부산대점/(W)|(장전동,부산대학교)|||80520
애슐리|퀸즈/NC서면점|||애슐리|051-794-7300|부산광역시 부산진구 동천로 92|||11:00~22:00|||||애슐리 퀸즈/NC서면점|(전포동,디씨티) 5층|||80520
애슐리|뉴코아/덕천점/(W)|||애슐리|051-343-1031|부산광역시 북구 만덕대로 23|||11:00~22:00|||||애슐리 뉴코아/덕천점/(W)|(덕천동,뉴코아아울렛)|||80520
애슐리|부산/광안리켄트호텔점/(W)|||애슐리|051-939-1033|부산광역시 수영구 광안해변로 229|||11:00~22:00|||||애슐리 부산/광안리켄트호텔점/(W)|(광안동)광안리호텔 2층 애슐리|||80520
애슐리|홈플러스/부산아시아드점/(W)|||애슐리|051-507-1037|부산광역시 연제구 종합운동장로 7|||10:30~22:00|||||애슐리 홈플러스/부산아시아드점/(W)||||80520
