##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@맥도날드
맥도날드|대전유성DT점|||맥도날드|070-7209-0045|대전광역시 유성구 계룡로87번길 3|대전광역시 유성구 봉명동 446-5|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:24시간|||||맥도날드 대전유성DT점|(봉명동);맥도날드|||80604
맥도날드|대전유천DT점|||맥도날드|070-7209-0925|대전광역시 중구 계백로 1549|대전광역시 중구 유천동 327-4|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:24시간|||||맥도날드 대전유천DT점|(유천동)|||80604
맥도날드|대전가수원DT점|||맥도날드|070-7209-0040|대전광역시 서구 계백로 1124|대전광역시 서구 가수원동 655-4|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:08:00~03:00|||||맥도날드 대전가수원DT점|(가수원동)|||80604
맥도날드|대전가장DT점|||맥도날드|070-7017-6437,070-7017-7437|대전광역시 서구 도산로 324|대전 서구 가장동 54-1|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:24시간|||||맥도날드 대전가장DT점|(가장동);23,25,26|||80604
맥도날드|대전센트럴SKDT점|||맥도날드|070-7017-2430,070-7017-1430|대전광역시 중구 중앙로 64|대전광역시 중구 대흥동 522-1|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:08:00~24:00|||||맥도날드 대전센트럴SKDT점|(대흥동)|||80604
맥도날드|대전신탄진DT점|||맥도날드|070-7204-4997,070-7204-4957|대전광역시 대덕구 신탄진로 605|대전광역시 대덕구 상서동 834-4|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:24시간|||||맥도날드 대전신탄진DT점|(상서동)|||80604
맥도날드|대전카이스트점|||맥도날드|070-7017-6860,070-7204-4430|대전광역시 유성구 대덕대로 535|대전광역시 유성구 가정동 2-23|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:24시간|||||맥도날드 대전카이스트점|(가정동)|||80604
맥도날드|대전타임월드점|||맥도날드|070-7017-0672|대전광역시 서구 둔산로31번길 16|대전광역시 서구 둔산동 1011|맥모닝;맥올데이;Signature Burger|24시간;맥딜리버리:07:00~24:00|||||맥도날드 대전타임월드점|(둔산동)|||80604
맥도날드|대전터미널점|||맥도날드|070-7017-6431,070-7017-0431|대전광역시 동구 동서대로 1689|대전광역시 동구 용전동 63-3|맥모닝;맥올데이;Signature Burger|24시간;맥딜리버리:07:00~00:00|||||맥도날드 대전터미널점|(용전동)|||80604
맥도날드|대전한남대DT점|||맥도날드|070-7209-1474|대전광역시 대덕구 한밭대로 1102|대전광역시 대덕구 중리동 230-15|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:24시간|||||맥도날드 대전한남대DT점|(중리동)|||80604
맥도날드|목원대점|||맥도날드|070-7017-6954,070-7204-3297|대전광역시 유성구 도안북로 81|대전광역시 유성구 용계동 664-8|맥모닝;맥올데이;Signature Burger|07:30~24:00;맥딜리버리:07:30~24:00|||||맥도날드 목원대점|(용계동)|||80604
맥도날드|세이브존대전점|||맥도날드|070-7017-0390,070-7017-0317|대전광역시 서구 둔산로 201|대전광역시 서구 둔산3동 1809|맥모닝;맥올데이;Signature Burger|07:00~02:00;맥딜리버리:09:00~02:00|||||맥도날드 세이브존대전점|(둔산동);한신코아백화점 (Savezone)|||80604
맥도날드|대구본리DT점|||맥도날드|070-7209-1064,070-7209-1065|대구광역시 달서구 와룡로 134|대구광역시 달서구 감삼동 346|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:24시간|||||맥도날드 대구본리DT점|(감삼동)|||80604
맥도날드|대구이곡DT점|||맥도날드|070-7209-0965|대구광역시 달서구 이곡공원로 8|대구광역시 달서구 이곡동 1244-3|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:24시간|||||맥도날드 대구이곡DT점|(이곡동)|||80604
맥도날드|대구교대DT|||맥도날드|070-7209-0560|대구광역시 남구 중앙대로 225|대구광역시 남구 대명동 1793-5|맥모닝;맥올데이;Signature Burger;맥드라이브|07:00~02:00;맥딜리버리:07:00~02:00|||||맥도날드 대구교대DT||||80604
맥도날드|대구다사DT|||맥도날드|070-7209-0546||대구광역시 달성군 다사읍 죽곡리 5-23|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:07:00~24:00|||||맥도날드 대구다사DT||||80604
맥도날드|대구두류DT점|||맥도날드|070-7209-0696|대구광역시 달서구 달구벌대로 1684|대구광역시 달서구 두류동 495-47|맥모닝;맥올데이;맥드라이브|07:00~01:00;맥딜리버리:|||||맥도날드 대구두류DT점|(두류동)|||80604
맥도날드|대구만촌DT점|||맥도날드|070-7017-6504,070-7017-6984|대구광역시 수성구 달구벌대로 2634|대구광역시 수성구 만촌동 853-1|맥모닝;맥올데이;Signature Burger;맥드라이브|07:00~01:00;맥딜리버리:07:00~01:00|||||맥도날드 대구만촌DT점|(만촌동)|||80604
맥도날드|대구복현DT점|||맥도날드|070-7209-0541|대구광역시 북구 동북로 303|대구광역시 북구 복현동 364-5|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:24시간|||||맥도날드 대구복현DT점||||80604
맥도날드|대구시지DT점|||맥도날드|070-7017-4410,070-7017-4110|대구광역시 수성구 달구벌대로 3199|대구광역시 수성구 매호동 1087-1|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:09:00~03:00|||||맥도날드 대구시지DT점|(매호동)|||80604
맥도날드|대구용산점|||맥도날드|070-7017-0628,070-7017-0728|대구광역시 달서구 용산로 222|대구광역시 달서구 용산동 934|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:08:00~24:00|||||맥도날드 대구용산점|(용산동)|||80604
맥도날드|대구진천DT점|||맥도날드|070-7017-6463,070-7013-1463|대구광역시 달서구 월배로 67|대구광역시 달서구 진천동 608-6|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:24시간|||||맥도날드 대구진천DT점|(진천동)|||80604
맥도날드|대구침산DT점|||맥도날드|070-7017-2418,070-7017-7418|대구광역시 북구 침산로 120|대구광역시 북구 침산동 244-1|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:24시간|||||맥도날드 대구침산DT점|(침산동)|||80604
맥도날드|대구태전DT점|||맥도날드|070-7017-6864,070-7204-4472|대구광역시 북구 칠곡중앙대로 303|대구광역시 북구 태전동 409-12|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:24시간|||||맥도날드 대구태전DT점|(태전동)|||80604
맥도날드|대구평리DT점|||맥도날드|070-7017-1415,070-7017-6415|대구광역시 서구 서대구로 95|대구광역시 서구 평리동 1407-1|맥모닝;맥올데이;맥드라이브|24시간;맥딜리버리:24시간|||||맥도날드 대구평리DT점|(평리동)|||80604
맥도날드|대구황금DT점|||맥도날드|070-7017-6502,070-7017-6992|대구광역시 수성구 청수로 157|대구광역시 수성구 황금동 567-11|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:24시간|||||맥도날드 대구황금DT점|(황금동)|||80604
맥도날드|대구희망DT점|||맥도날드|070-7017-4420,070-7017-5420|대구광역시 수성구 수성로 238|대구광역시 수성구 중동 70-10|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:07:00~01:00|||||맥도날드 대구희망DT점|(중동)|||80604
맥도날드|동성로2호점|||맥도날드|070-7017-0436,070-7017-2436|대구광역시 중구 동성로 23-2|대구광역시 중구 사일동 77|맥모닝;맥올데이;Signature Burger|24시간;맥딜리버리:08:00~24:00|||||맥도날드 동성로2호점|(사일동)|||80604
맥도날드|동성로교보|||맥도날드|070-7017-6851,070-7204-4423|대구광역시 중구 국채보상로 586|대구광역시 중구 동성로2가 88-25|맥모닝;맥올데이;Signature Burger|07:00~24:00;맥딜리버리:07:00~24:00|||||맥도날드 동성로교보|(동성로2가);교보빌딩 1층|||80604
맥도날드|모다SKDT점|||맥도날드|070-7017-6467,070-7017-6967|대구광역시 달서구 달서대로 455|대구광역시 달서구 호산동 720-2|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:08:00~24:00|||||맥도날드 모다SKDT점|(호산동)|||80604
맥도날드|방촌점|||맥도날드|070-7017-0520,070-7017-0820|대구광역시 동구 동촌로 243|대구광역시 동구 방촌동 883-9|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:08:00~03:00|||||맥도날드 방촌점|(방촌동)|||80604
맥도날드|이마트만촌점|||맥도날드|070-7017-0549|대구광역시 수성구 동원로 136|대구광역시 수성구 만촌동 1356-5|맥올데이|09:00~23:30;맥딜리버리:|||||맥도날드 이마트만촌점|(만촌동) >> 2,4째주 일요일 휴무;이마트만촌점|||80604
맥도날드|이마트월배점|||맥도날드|070-7017-0564|대구광역시 달서구 진천로 92|대구광역시 달서구 대천동 555|맥올데이;Signature Burger|10:00~22:30;맥딜리버리:|||||맥도날드 이마트월배점|(대천동) >> 2,4째주 일요일 휴무|||80604
맥도날드|칠곡2호점|||맥도날드|070-7017-0537,070-7017-0535|대구광역시 북구 구암로 83|대구광역시 북구 읍내동 1385-2|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:08:00~03:00|||||맥도날드 칠곡2호점|(읍내동)|||80604
맥도날드|거제옥포SKDT점|||맥도날드|070-7017-3425,070-7017-4425|경상남도 거제시 거제대로 3714|경상남도 거제시 옥포동 551-1|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:07:00~01:00|||||맥도날드 거제옥포SKDT점|(옥포동)|||80604
맥도날드|거제점|||맥도날드|070-7017-2442,070-7017-1397|경상남도 거제시 장평로 12|경상남도 거제시 장평동 1211|맥모닝;맥올데이;Signature Burger|24시간;맥딜리버리:07:00~01:00|||||맥도날드 거제점|(장평동);디큐브백화점 1층|||80604
맥도날드|김해삼계DT점|||맥도날드|070-7017-6782,070-7017-6897|경상남도 김해시 가야로 167|경상남도 김해시 삼계동 1460-5|맥모닝;Signature Burger;맥드라이브|24시간;맥딜리버리:08:00~03:00|||||맥도날드 김해삼계DT점|(삼계동)|||80604
맥도날드|김해삼정DT점|||맥도날드|070-7017-2435,070-7017-1435|경상남도 김해시 김해대로 2471|경상남도 김해시 삼정동 616-3|맥모닝;Signature Burger;맥드라이브|24시간;맥딜리버리:08:00~03:00|||||맥도날드 김해삼정DT점|(삼정동)|||80604
맥도날드|김해외동DT점|||맥도날드|070-7209-0575|경상남도 김해시 분성로 144|경상남도 김해시 외동 238-3|맥모닝;Signature Burger;맥드라이브|24시간;맥딜리버리:08:00~03:00|||||맥도날드 김해외동DT점|(외동)|||80604
맥도날드|김해장유DT|||맥도날드|070-7209-0656|경상남도 김해시 번화2로 33|경상남도 김해시 대청동 316-1|맥모닝;Signature Burger;맥드라이브|24시간;맥딜리버리:08:00~03:00|||||맥도날드 김해장유DT||||80604
맥도날드|마산신포DT점|||맥도날드|070-7017-0328,070-7017-1405|경상남도 창원시 마산합포구 서성로 8|경상남도 창원시 마산합포구 신포동1가 25-1|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:24시간|||||맥도날드 마산신포DT점|(신포동1가)|||80604
맥도날드|밀양DT|||맥도날드|070-7209-0567|경상남도 밀양시 밀양대로 1872|경상남도 밀양시 삼문동 397|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:07:00~01:00|||||맥도날드 밀양DT||||80604
맥도날드|사천DT점|||맥도날드|070-7017-6480,070-7017-6896|경상남도 사천시 사천읍 사천대로 1838|경상남도 사천시 사천읍 수석리 320-11|맥모닝;Signature Burger;맥드라이브|24시간;맥딜리버리:11:00~23:00|||||맥도날드 사천DT점||||80604
맥도날드|신마산점|||맥도날드|070-7017-0432,070-7017-0519|경상남도 창원시 마산합포구 월영동서로 20|경상남도 창원시 마산합포구 해운동 5-119|맥모닝;맥올데이;Signature Burger|24시간;맥딜리버리:24시간|||||맥도날드 신마산점|(해운동)|||80604
맥도날드|양산DT점|||맥도날드|070-7017-0378,070-7017-0369|경상남도 양산시 동면 남양산길 7|경상남도 양산시 동면 석산리 1421-9|맥모닝;맥올데이;맥드라이브|24시간;맥딜리버리:24시간|||||맥도날드 양산DT점||||80604
맥도날드|양산덕계DT점|||맥도날드|070-7209-0616|경상남도 양산시 웅상대로 910|경상남도 양산시 평산동 16-6|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:07:00~00:00|||||맥도날드 양산덕계DT점||||80604
맥도날드|양산북정DT점|||맥도날드|070-7209-0606|경상남도 양산시 양산대로 925|경상남도 양산시 신기동 545-7|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:08:00~02:00|||||맥도날드 양산북정DT점||||80604
맥도날드|웅상DT점|||맥도날드|070-7017-0609,070-7017-0679|경상남도 양산시 웅상대로 1259|경상남도 양산시 삼호동 1016-9|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:24시간|||||맥도날드 웅상DT점|(삼호동)|||80604
맥도날드|이마트창원점|||맥도날드|070-7017-0640|경상남도 창원시 성산구 원이대로 608|경상남도 창원시 성산구 중앙동 91|맥올데이;Signature Burger|10:00~24:00;맥딜리버리:|||||맥도날드 이마트창원점|(중앙동) >> 2,4째주 일요일 휴무;창원이마트|||80604
맥도날드|진주신안점|||맥도날드|070-7017-0472,070-7017-0680|경상남도 진주시 진양호로 280|경상남도 진주시 신안동 582-3|맥모닝;맥올데이;Signature Burger|24시간;맥딜리버리:08:00~03:00|||||맥도날드 진주신안점|(신안동)|||80604
맥도날드|진주칠암DT점|||맥도날드|070-7017-2432,070-7017-1432|경상남도 진주시 진주대로 838|경상남도 진주시 주약동 94-1|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:24시간|||||맥도날드 진주칠암DT점|(주약동)|||80604
맥도날드|진해자은DT점|||맥도날드|070-7204-4992|경상남도 창원시 진해구 진해대로 950|경상남도 창원시 진해구 자은동 808-2|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:24시간|||||맥도날드 진해자은DT점|(자은동)|||80604
맥도날드|진해점|||맥도날드|070-7017-0457,070-7017-0287|경상남도 창원시 진해구 벚꽃로 68-1|경상남도 창원시 진해구 화천동 48-15|맥모닝;맥올데이;Signature Burger|24시간;맥딜리버리:08:00~03:00|||||맥도날드 진해점|(화천동)|||80604
맥도날드|창원사파DT점|||맥도날드|070-7209-0964|경상남도 창원시 성산구 창이대로706번길 2|경상남도 창원시 성산구 사파동 97-4|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:24시간|||||맥도날드 창원사파DT점|(사파동)|||80604
맥도날드|창원시티세븐점|||맥도날드|070-7017-0595,070-7017-0687|경상남도 창원시 의창구 원이대로 320|경상남도 창원시 의창구 대원동 121|맥모닝;맥올데이;Signature Burger|24시간;맥딜리버리:24시간|||||맥도날드 창원시티세븐점|(대원동);더시티세븐몰 103호|||80604
맥도날드|창원내서DT점|||맥도날드|070-7209-0586|경상남도 창원시 마산회원구 내서읍 광려천서로 77|경상남도 창원시 마산회원구 내서읍 중리 1043-8|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:08:00~03:00|||||맥도날드 창원내서DT점|창원 내서 맥드라이브|||80604
