##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@네네치킨
네네치킨|거제면점|||네네치킨|055-632-9266|경남 거제시 읍내로 45||||||||네네치킨 거제면점||||80615
네네치킨|상동점|||네네치킨|055-638-4481|경남 거제시 거제중앙로 1793하람빌딩 ||||||||네네치킨 상동점||||80615
네네치킨|아주점|||네네치킨|055-681-4442|경남 거제시 용소1길 94||||||||네네치킨 아주점||||80615
네네치킨|옥포점|||네네치킨|055-687-9234|경남 거제시 옥포대첩로 7길31 ||||||||네네치킨 옥포점||||80615
네네치킨|장승포점|||네네치킨|055-682-1073|경남 거제시 장승포로 16||||||||네네치킨 장승포점||||80615
네네치킨|장평점|||네네치킨|055-632-4492|경남 거제시 장평2로2길 10||||||||네네치킨 장평점||||80615
네네치킨|중곡점|||네네치킨|055-635-5092|경남 거제시 중곡로 47||||||||네네치킨 중곡점||||80615
네네치킨|지세포점|||네네치킨|055-681-9892|경남 거제시 일운면 거제대로 2491||||||||네네치킨 지세포점|103호|||80615
네네치킨|거창1점|||네네치킨|055-943-4479|경남 거창군 거창읍 아림로 47-1||||||||네네치킨 거창1점||||80615
네네치킨|고성점|||네네치킨|055-673-5579|경남 고성군 고성읍 성내로 31||||||||네네치킨 고성점||||80615
네네치킨|동상점|||네네치킨|055-332-4479|경남 김해시 구지로 146||||||||네네치킨 동상점||||80615
네네치킨|삼계점|||네네치킨|055-339-9288|경남 김해시 가야로 157번길 17-18||||||||네네치킨 삼계점||||80615
네네치킨|삼방점|||네네치킨|055-335-4492|경남 김해시 삼안로 158||||||||네네치킨 삼방점||||80615
네네치킨|외동점|||네네치킨|055-312-4492|경남 김해시 함박로 51||||||||네네치킨 외동점||||80615
네네치킨|율하1점|||네네치킨|055-321-4418|경남 김해시 율하1로 12||||||||네네치킨 율하1점||||80615
네네치킨|장유1호점|||네네치킨|055-311-4999|경남 김해시 능동로 7번길 15||||||||네네치킨 장유1호점||||80615
네네치킨|진례점|||네네치킨|055-346-4469|경남 김해시 진례면 송현로 58||||||||네네치킨 진례점||||80615
네네치킨|진영점|||네네치킨|055-342-4485|경남 김해시 진영읍 장등로 122번길 5||||||||네네치킨 진영점|102호|||80615
네네치킨|팔판점|||네네치킨|055-314-4492|경남 김해시 팔판로 32||||||||네네치킨 팔판점||||80615
네네치킨|한림점|||네네치킨|055-345-9676|경남 김해시 한림면 한림로 422번길 4-2||||||||네네치킨 한림점||||80615
네네치킨|남해점|||네네치킨|055-864-1700|경남 남해군 남해읍 화전로 78번가길 23||||||||네네치킨 남해점||||80615
네네치킨|경남마산시해운점|||네네치킨|055-241-8896|경남 창원시 마산합포구 월영동11길 42||||||||네네치킨 경남마산시해운점||||80615
네네치킨|경남마산시호계점|||네네치킨|055-231-5666|경남 창원시 마산회원구 내서읍 호원로 190||||||||네네치킨 경남마산시호계점||||80615
네네치킨|내일점|||네네치킨|055-353-4992|경남 밀양시 약산로 33||||||||네네치킨 내일점||||80615
네네치킨|삼문점|||네네치킨|055-356-7077|경상남도밀양시미리벌중앙로 85||||||||네네치킨 삼문점||||80615
네네치킨|사천점[B]|||네네치킨|055-852-4479|경남 사천시 사천읍 읍내로 40-6||||||||네네치킨 사천점[B]||||80615
네네치킨|삼천포점|||네네치킨|055-833-4498|경남 사천시 벌리로 17||||||||네네치킨 삼천포점||||80615
네네치킨|덕산점|||네네치킨|055-973-4004|경남 산청군 시천면 남명로 203-3||||||||네네치킨 덕산점||||80615
네네치킨|남부점|||네네치킨|055-382-4492|경남 양산시 양주로 42||||||||네네치킨 남부점||||80615
네네치킨|덕계1호점|||네네치킨|055-367-4780|경남 양산시 평산남4길 8||||||||네네치킨 덕계1호점||||80615
네네치킨|범어점|||네네치킨|055-382-9299||경남 양산시 물금읍 화합3길6-161층상가 |||||||네네치킨 범어점||||80615
네네치킨|북정점|||네네치킨|055-365-4492|경남 양산시 북정중앙로 14||||||||네네치킨 북정점||||80615
네네치킨|서창점|||네네치킨|055-366-9255|경남 양산시 삼호동부7길 10||||||||네네치킨 서창점||||80615
네네치킨|석산점[B]|||네네치킨|055-362-4479|경남 양산시 동면 금오12길 4-12||||||||네네치킨 석산점[B]||||80615
네네치킨|어곡점|||네네치킨|055-910-5595|경남 양산시 어실로 155||||||||네네치킨 어곡점||||80615
네네치킨|증산1호점|||네네치킨|055-384-4492|경남 양산시 물금읍 백호2길 17-10||||||||네네치킨 증산1호점||||80615
네네치킨|의령점|||네네치킨|055-572-4492|경남 의령군 의령읍 의병로 20길 25-3||||||||네네치킨 의령점||||80615
네네치킨|가호점|||네네치킨|055-756-2008|경남 진주시 진주대로542번길 7||||||||네네치킨 가호점||||80615
네네치킨|금산점|||네네치킨|055-761-0144|경남 진주시 금산면 금산로 52번길 4||||||||네네치킨 금산점||||80615
네네치킨|도동점|||네네치킨|055-763-4482|경남 진주시 대신로 363||||||||네네치킨 도동점||||80615
네네치킨|망경점|||네네치킨|055-763-4492|경남 진주시 진주대로 953번길 10||||||||네네치킨 망경점||||80615
네네치킨|문산혁신점|||네네치킨|055-756-4477|경남 진주시 문산읍 소문길 21||||||||네네치킨 문산혁신점||||80615
네네치킨|상대점|||네네치킨|055-753-7856|경남 진주시 돗골로 117번길 4||||||||네네치킨 상대점||||80615
